review_user,review_rate,review_time,review_text
ceen,4 stars,2 hours ago,low entrance fee
eLLy Yumang,4 stars,4 hours ago,"My experience here is very nice
Food is delicious
Ambiance is very nice …"
Ma. Joanna Vytiaco,5 stars,a day ago,N/A
Eden Grace Odever,5 stars,a day ago,N/A
neu reader,4 stars,a day ago,Nice view
Allain Jing World Travel,5 stars,a day ago,"Indulge in the romantic allure of 10,000 Roses Café in Cebu! This enchanting destination features an array of illuminated white roses, creating a magical ambiance that's perfect for couples and visitors seeking a unique experience. Whether …"
Elvira Obera,5 stars,2 days ago,"Very nice,mubalik mi puhon with My family and friends"
daniel catamco,5 stars,2 days ago,N/A
jawhar jguirim,5 stars,3 days ago,N/A
Janeth Baya,5 stars,3 days ago,Nice and relaxing
Ahmz Belo,5 stars,4 days ago,SO GOOD!!!
E Song,4 stars,5 days ago,"Located in a somewhat remote area, approximately 45 minutes away from the airport, this restaurant offers a unique escape from the bustling city life. While the culinary offerings may be average, the breathtaking sunset views make up for …"
REBUYON JOHN EUDZ,5 stars,5 days ago,N/A
Romeo Paquio,5 stars,5 days ago,N/A
Glenn Troy Valle,5 stars,5 days ago,N/A
Erica Tabuena,4 stars,6 days ago,N/A
ບີລີ ສີລໍາພອນ,1 star,6 days ago,N/A
DefiantSpy007 Gaming,4 stars,6 days ago,Nice place to unwind with your girlfriend or wife.
L.Kharl28 SB chanel,5 stars,6 days ago,"If you want to go, they open at 2pm, don't go there in the morning because …"
スバリストHiro,3 stars,6 days ago,"It is a famous spot that my friends in Cebu escorted me to. As soon as I entered, a squall came and I reluctantly withdrew, but I definitely want to visit again. It seems …"
Juvel Velasco,5 stars,a week ago,Love this place! It is better to visit it at dusk!
James Agreste,5 stars,a week ago,N/A
Dondon Gwapo,5 stars,a week ago,beautiful place!
Eduardo Yang,5 stars,a week ago,N/A
Justin Patrick Mendoza,5 stars,a week ago,Wonderful place. Beautiful scenery
joseph inrek,3 stars,a week ago,Well its ok just for 1 time experience
Harry Monleon,3 stars,a week ago,"It is an ideal place to visit for locals as well as foreign guests and you can count the roses that fall down ang you can deduct it from the 10,000 roses just for fun. I have had counted it twice and we i mean our company burst in laughter."
Ayfer Perez (Mr. Travel Man),4 stars,a week ago,Perfect amazing like I'm in another country.
Kenn John Oncines,5 stars,a week ago,N/A
Richiel Bernad,5 stars,a week ago,N/A
Ml Duran,5 stars,a week ago,Nice and convenient with the spot 🙂 …
Jay Van Dalisay,5 stars,a week ago,N/A
Kimberly Ellana,4 stars,a week ago,"Super nice. There’s an entrance fee for like P20-30. Sorry cnt remember. Hahah
Had a great time having our dinner her. Kinda expensive though. Food wasn’t that exceptional. We ordered the marinara and not a fan of it."
David Bates,5 stars,a week ago,N/A
Jowe Daloma,5 stars,a week ago,lovely and beautiful place
Ruby姵如,5 stars,a week ago,N/A
Regina CMC,1 star,a week ago,"It was deathly hot when we arrived so obviously no flowers were lit.
Even if you saw the flowers lit it would be picture worthy for a shot or two but certainly not worth the effort to go there. It's literally plastic Led flowers …"
galaxy,5 stars,a week ago,N/A
Rous D.H.,5 stars,a week ago,"It is a nice experience to see the 10,000 roses lit at night. But the best thing is to cross an 8km bridge over the sea to get there."
John William Ponsica,4 stars,a week ago,Fun to visit and Lovely view
alimar masendo,5 stars,a week ago,N/A
June Romeo,5 stars,a week ago,N/A
Glaiza Gonzales,4 stars,a week ago,N/A
Eunice Fuentes,5 stars,2 weeks ago,N/A
LA Garrucha,5 stars,2 weeks ago,Awesome view at night. The roses change to multiple shades of lights. Try to dine at the deck for overlooking view of roses and cool sea breeze. Short travel thru Cebu-Cordova Link Expressway. Have lots of parking space with a fee. Take note also of a minimal entrance fee upon entry.
Crypto Master777,2 stars,2 weeks ago,N/A
Grace Siason,5 stars,2 weeks ago,N/A
Anne Nicole Cahilig,2 stars,2 weeks ago,N/A
Mark Muller,3 stars,2 weeks ago,Plastic roses and a lot of plastic and other dirt in the surrounding water
hurlyn jay sabacahan,4 stars,2 weeks ago,N/A
Roy Adz Celarta Arroyo,5 stars,2 weeks ago,N/A
Kyle Corrales,5 stars,2 weeks ago,N/A
John Carlo Garcia,5 stars,2 weeks ago,"The foods are great.
The staffs are good and accommodating.
The scenery is perfect most especially the golden hour. …"
Angela Baby,5 stars,2 weeks ago,N/A
marinela cristina pilongo,4 stars,2 weeks ago,N/A
Andrei Francisco,5 stars,2 weeks ago,N/A
simon templar,3 stars,2 weeks ago,N/A
Barry McDonald,3 stars,2 weeks ago,"This was an ok experience. Roses were nice, and the atmosphere was really nice. Bought some food. It was ok. This site is located in Cordova, Lapu-Lapu City, Cebu"
Brendo Jr Bang-oa,4 stars,2 weeks ago,10k roses is a great experience. A very picturesque place and a nice place to stay in to watch the sun slowly go down.
Giselle Manayaga,5 stars,3 weeks ago,N/A
Cristin Julian,5 stars,3 weeks ago,N/A
JP Dela Cruz,4 stars,3 weeks ago,Passed by here from the airport to the hotel. Main attraction is the 10k lighted artificial roses. Nice atmosphere. Entrance fee is 20 pesos and 10 pesos for seniors/pwd. They have cafe/restaurant to enjoy. Though you may experience surge of visitors fridays and weekends at night.
Johan Hernandez,4 stars,3 weeks ago,N/A
Veronica Wilkinson,5 stars,3 weeks ago,I love the ambience..so relaxing
beth anne brua,5 stars,3 weeks ago,N/A
jayson bulan,5 stars,3 weeks ago,N/A
AJ L,1 star,3 weeks ago,Lol view is nice but thats it. Lol
Lauro Gamboa,5 stars,3 weeks ago,N/A
Cristiano Emmanuel Papalid,4 stars,3 weeks ago,N/A
Sami,4 stars,3 weeks ago,"We went there on a Saturday evening and it was jam-packed. Though there were too many people, we managed to get a table for 9 people with the help of one of their servers. The service of the guy servers was SUPERB! …"
"Ricafrente, Mary Benjamine",5 stars,3 weeks ago,N/A
Katrina Diocton,5 stars,3 weeks ago,N/A
Badee Bradex,4 stars,3 weeks ago,N/A
Rabiatul Adawiyah,5 stars,3 weeks ago,N/A
Jenesa Ragandap,5 stars,3 weeks ago,N/A
Arjim Estrera,5 stars,3 weeks ago,N/A
Christian Sebastian,5 stars,3 weeks ago,N/A
Mr. G.,5 stars,3 weeks ago,N/A
Mariel Rala,5 stars,3 weeks ago,N/A
Jo Anne Pilapil,3 stars,3 weeks ago,"I do agree that the ambiance is unique and as a local myself, this is one of the bucket list of my tourists friends. It is nice to visit here around afternoon to night as you get to relax and watch the view - the sea water and cebu city …"
미니어스(m1n1as),2 stars,3 weeks ago,N/A
Laarne Mendoza,5 stars,3 weeks ago,N/A
Adrian Semacio,5 stars,3 weeks ago,Great place to chill and relax with a cup of coffee.
Anna grace Castillano Rosete,5 stars,3 weeks ago,N/A
John Tuazon,3 stars,3 weeks ago,N/A
angelica andales,5 stars,3 weeks ago,N/A
Mary Jane Ortiz,5 stars,3 weeks ago,N/A
Tariq Zada,5 stars,4 weeks ago,N/A
Rahflexis Lee,4 stars,4 weeks ago,N/A
ShihYu Lin,5 stars,4 weeks ago,Very beautiful place 😊 …
Gem Giner,5 stars,4 weeks ago,"the ambiance is BREATHTAKING. Instagrammable 💯Very affordable drinks and friendly staff. Their drinks are delicious, they also sell souvenirs 🥰 Would want to go there again to experience the lighting of the roses but since we were there on a tour package we had to leave after an hour."
BitcoinTrader WorldWide,3 stars,4 weeks ago,N/A
clyde real,4 stars,4 weeks ago,N/A
Al Francis Menchavez,4 stars,4 weeks ago,N/A
Cesar Jamila,5 stars,4 weeks ago,N/A
Bong Dedals,2 stars,4 weeks ago,"Bad experience

> parking area issued no reciept …"
jacent anza,4 stars,4 weeks ago,A very nice place to stay in where you can have a hot coffee and a nice sunset.
Abu dan ledesma,3 stars,4 weeks ago,N/A
そら,5 stars,4 weeks ago,"To be honest, I licked that Filipino food was not good.
However, when I …"
Yam Danielle,4 stars,a month ago,"Better to visit during the night. If you’re coming from Cebu City, it’s just a 10-minute drive through CCLEX . However, the place is too crowded 🥲 …"
Danilo “Danny” Dela Cruz,5 stars,a month ago,"Souvenir items on sale with reasonable price is good, food is great and the ambiance is cool,the so called 10,000 roses is perfect to be with.Nice place."
Th44 Gj466,3 stars,a month ago,N/A
Chad mascarinas,3 stars,a month ago,N/A
Kristian,5 stars,a month ago,N/A
Vincent Sanchez,4 stars,a month ago,N/A
Airah Dana Froilan,4 stars,a month ago,"Went on a Saturday evening, place was packed with visitor. Ordered some coffee and it took a more than 45mins, may be it was because of a lot of customer. Best place to chill."
Oli B.,5 stars,a month ago,"A beautiful place with a special flair, especially after dark

.A beautiful place with a special flair, especially after dark"
Al-Kaiser Mohammad,5 stars,a month ago,Awesome experience to be honest a great view at night
Nikos Pastras,4 stars,a month ago,N/A
