review_user,review_rate,review_time,review_text
LIDE LEE,2 stars,22 hours ago,"I went because of the zip line, but …"
Kawamura Kenichi,4 stars,a week ago,"When I come here, I ea …"
Edward Felix (Eddie Felix),4 stars,2 weeks ago,We drove to this place to use the zip line but it turns out that it was very short. The weather was totally amazing and cool because we were way up in the mountains.
Carl Nathan Mier,4 stars,a month ago,N/A
신바람윤박사,5 stars,a month ago,fun!
Jenny Chiu,5 stars,4 months ago,The high-altitude zip line is 200 pesos round tr …
alphachris G,5 stars,5 months ago,Went there with my wife and friends. Zipline was great and the staff were accommodating. The food here are also affordable. …
Junille Candawan,5 stars,7 months ago,Haven't eaten food here so this review is only based on our zipline experience with my friends. Great service from the kuyas who will setup your gear. My friend was scared of zip lining but they won't pressure you to take it. They will even …
Tita Yu,4 stars,8 months ago,"One of our favorite places on Trans Central Highway. Good food, great service and cool place to enjoy. And affordable. Open now from Wednesday thru Sunday."
Frans dW,4 stars,8 months ago,"Good food, brewed coffee and efficient service combined with cool temperatures, fresh air and grand vista's.
Now open wednesday thru sunday. Same great staff and good food."
zenith navarro,3 stars,a year ago,N/A
Ella Jane Apiag,5 stars,a year ago,Best time is breakfast time and must try the suman with mango and tabliya
Neu Gal,4 stars,a year ago,"Accommodating staff. They are only open from thursdays to sundays. Luckily, we set our tour on a thursday, so we were able to go to the cafe. We brought our own lunch from the hotel, to which they charged us a minimal corkage fee of P30 per …"
Gerome Guilim,4 stars,a year ago,N/A
Marione Dico,3 stars,a year ago,N/A
Ian Jude Patron,5 stars,a year ago,A nice place to drop by and enjoy the view.
Bang Manga,5 stars,a year ago,A nice place to stop by and have breakfast or lunch!
nigel magnee,1 star,a year ago,2 hour drive from negative.  The facility was closed when the website center was open. Cost me a whole bunch of money very disappointed
R Y,5 stars,a year ago,"Their food was freshly cooked. And you will never go wrong with their plain quesadillas and mango crepes, you should really give it a try. Although their mango was a lil bit sour, t’was fine because it was creamy. 😋 …"
Kabukiran Tour,5 stars,a year ago,Great view relaxing
Cebu Guider,4 stars,a year ago,"Adventure Cafe

A Small Cafe in Zippy Race Track in the Mountains of Cebu …"
Karelle,5 stars,a year ago,"I love this place. So relaxing, and the food is comforting. 🥰 You might wanna bring a jacket when you go there 😂 …"
Dash Dy,5 stars,a year ago,Safe and enjoyable.. great comfort food too!
Michelle Eve Mendoza,5 stars,a year ago,This place is nice and is very relaxing. This is one of the many coffee shops you’ll find if you’re traversing the very long Transcentral Highway. They serve good coffee. I had native hot chocolate or sikwate as most bisayas call it and my …
intocebu해울,3 stars,a year ago,A good place to stop  …
Marcelino Arcilla Rapayla Jr,4 stars,2 years ago,Good place to unwind
Joram Tarega,5 stars,2 years ago,N/A
Tatu Saarinen,5 stars,2 years ago,Always nice to stop for coffee and some picapica.
Michael John Hatulan,4 stars,2 years ago,Affordable lomi ...right match for the cool weather in balamban.
Ronald Redido,4 stars,2 years ago,Relaxing atmosphere away from the crowded places within the area...Friendly staff
R A,3 stars,2 years ago,N/A
Jan Michael Brusas,5 stars,2 years ago,The place feels really cozy to me due to the weather when I got there and with the food they are serving made me feel warm because of their yummy lomi special and they also have a zipline which allows you to see an amazing view on the surrounding areas over all it is a really good place with the best views and yummy comfort food
Lito Mahilum,4 stars,2 years ago,"Stop over cafe from Cebu city going to Balamban, a nice place for adventure and dine-in the place is overlooking from Balamban shipyard."
March Yen Belocura,5 stars,2 years ago,N/A
Laurie Ablan,4 stars,2 years ago,"This place is cool literally and figuratively. You can dine, have coffee, chill and zip. They also have suman and sikwate and cheesecake and ice cream."
Hideaki Okamoto,5 stars,2 years ago,If you come here even on  …
Dennis McNally,1 star,2 years ago,"Raw burgers cooked on the outside ,raw on the inside."
Cebuano Laagan,5 stars,2 years ago,Fun place for zip line.
Julie Ceniza,5 stars,2 years ago,N/A
D “DoOoMzZZ” Y,4 stars,2 years ago,N/A
Jasen Salazar,5 stars,2 years ago,N/A
Aljune Degamo,5 stars,2 years ago,Very excitement and adventure
Rinalyn Escolano,5 stars,3 years ago,N/A
John Sumagang,5 stars,3 years ago,N/A
Marjorie Aguilar,5 stars,3 years ago,N/A
Lot Quibranza,4 stars,3 years ago,"Very nice place, (although rusts are clearly showing on the ceiling). Food's good. Will definitely recommend for travellers passing the highway."
Jimrey Biosa,4 stars,3 years ago,The place is so cool!!!! Stop over for traveller like me!
An Nista,4 stars,3 years ago,N/A
Nheil Crisostomo,3 stars,3 years ago,N/A
M N,4 stars,3 years ago,N/A
Pamela Zuckerman,5 stars,3 years ago,Great views and local delicacies!
Anton Gabila,4 stars,3 years ago,"I was just passing by this place with a friend to sip coffee in front of a good view of the mountains. This was the perfect spot.They have a zipline to but we didn't try it. They also have a spot where you can throw plates...if you are angry, or stressed."
Marco Anzani,4 stars,3 years ago,I love this place to meet biker friends
Ning Rowley,5 stars,3 years ago,#AWESOME PLACE TO HAVE FUN IN ZIPLINING RIDE. AND THEIR  #CARROTCAKE ARE the #Best in the world.
Mary Ann Laurnilla,5 stars,3 years ago,"If you'll surely wanted to have a road trip experience with friends .  don't miss to drop by at adventure cafe, try the zipline and the foods."
Irene Sanoy,5 stars,3 years ago,Puto't sikwate is superb! I love it so much!
roy aguilos,4 stars,3 years ago,N/A
Marco Anzani,4 stars,3 years ago,Great place for bikers stop
Marlon Arañas,3 stars,3 years ago,N/A
Jan Ek,5 stars,3 years ago,"Must do when in town, good food and the zip line is really fun and safe"
clarence anthony galapin,4 stars,3 years ago,N/A
aion bulanon,4 stars,3 years ago,Nice view and good food
Steve Garlick,5 stars,3 years ago,Great place for zip lining decent cafe
Arman Lapira,3 stars,3 years ago,"Zip line a must try... Food, not so much. Enjoy the view and a good scenic drive for a short trip from the city."
Michael Yap,4 stars,3 years ago,Good food and amazing views
Krizza Louise Lluch,4 stars,3 years ago,N/A
Martin Palutke,3 stars,4 years ago,Nice place for a quick meal and coffee.
Mary Ann R,5 stars,4 years ago,"If you are up to a venture kind of experience and it's your first time to step out from your comfort zone, then try out at Adventure Cafe. Be thrilled by their zipline and be astound by the mountain view. It is an awesome place to relax and get away from the City."
Herdeh Serna,3 stars,4 years ago,N/A
Junjun Zosa,4 stars,4 years ago,N/A
PJ Senibah,4 stars,4 years ago,Great scenic view over looking west. Feel the breeze and the ambiance.
Cesar Conde,5 stars,4 years ago,N/A
Arthur Jason Go,3 stars,4 years ago,N/A
Eusebio “Euse” Pason,5 stars,4 years ago,N/A
Daniel Roberts,4 stars,4 years ago,N/A
Steve Nuez,5 stars,4 years ago,N/A
Gabriel Diaz,2 stars,4 years ago,N/A
Geir Hanssen,3 stars,4 years ago,N/A
Jesse Luzano,5 stars,4 years ago,N/A
MCS TRADING & SERVICES,5 stars,4 years ago,N/A
Lyndon O,4 stars,4 years ago,"Menu is very affordable, great place for riders."
JINGYU CHOI,2 stars,4 years ago,N/A
Ye Oz,5 stars,4 years ago,Nice place and nice view
KINAH,4 stars,4 years ago,"I like the feel and ambiance of the café. The zipline is nice although short. Not very short, just short compared to others. It is a good place to hang out with friends and it can be romantic too."
Lizly Tidalgo,3 stars,4 years ago,N/A
Dante Rosette (Delta Rose),4 stars,4 years ago,Nice place and food.
Vanessa Ezra Goopio,5 stars,4 years ago,Our go to destination to cool down & unwind from busy city life. Stop over area after camping too. Their chicken tinola is the perfect comfort food. Huge serving too! For snacks we always have the usual Cebuano budbod sikwate :)
Maricel Galido,5 stars,4 years ago,Nice cold place to unwind. You should try their ripe mango and suman combo plus hot cocoa drink
Analiza Abatayo,5 stars,4 years ago,Friendly Staff as always..
Kevin John Arguelles,1 star,4 years ago,N/A
May-Ann Polinar,5 stars,4 years ago,Foods were fine but it's the view that makes my review 5. Zipline for only 205pesos. So cheap!
DrEm Rodrigo,3 stars,4 years ago,N/A
Kenneth Cutie,4 stars,4 years ago,N/A
石田久美子,4 stars,4 years ago,N/A
Stephan Vogel,3 stars,4 years ago,"Very good view, mediocre food"
Ed Cabs,3 stars,4 years ago,N/A
