review_user,review_rate,review_time,review_text
daniel catamco,5 stars,2 days ago,N/A
Kuochuan Tseng,3 stars,a week ago,N/A
Jordan C,5 stars,2 weeks ago,"We visited Alegre guitars 5 days ago during our trip to Cebu as it has been on my bucket list for a while now. The staff gave us a run down on how the guitars were made - the wood and material being used for the body, fretboard etc which is …"
adam4999,5 stars,a month ago,N/A
Renz Flores,3 stars,a month ago,N/A
Renz Pareja Flores,4 stars,a month ago,N/A
Randy Wang,5 stars,a month ago,"1. The road here is very congested, and it takes 30 minutes to get here from SM mall. It's about 20 minutes from here to the airport.
2. There are many choices inside, such as ukulele, guitar, etc., which are …"
HANK CHEN,4 stars,a month ago,N/A
duke “yoshi” lenshow,3 stars,a month ago,good for …
shyhder liao,5 stars,a month ago,"Because the factory is located in a narrow alley, it is recommended to take a taxi to go th …"
ai mielkie,5 stars,a month ago,N/A
Vector Maliuanag,4 stars,a month ago,"Half of the display was empty.
They must have done well selling but now, there's less choice for new customers"
kiecharry,5 stars,a month ago,"I have never been in this shop (it’s on my bucket list when I go back home soon)
However, a few years ago my tita gave me a guitar and she said it was from the …"
Lily Chun,5 stars,a month ago,N/A
Betty Tabangan,5 stars,a month ago,Amazing.
Borong Chen,5 stars,a month ago,Souvenirs to h …
Desmon Neil Nacua,5 stars,a month ago,Good quality guitars
Alaiza S,5 stars,a month ago,N/A
曾榮進,5 stars,2 months ago,very n …
Angelito Bernadez (Lito),5 stars,2 months ago,N/A
Angel Corete,4 stars,2 months ago,Art and music of a craft well done.
蔡昱安,5 stars,2 months ago,Narrato …
Vanessa Diaz,5 stars,2 months ago,N/A
Mauie Hernando,5 stars,3 months ago,N/A
Clifford Liloan,4 stars,3 months ago,nice quality guitar also for export
Aisshwarya Nair,5 stars,3 months ago,N/A
橋爪卓博,4 stars,3 months ago,"Manufacture and sale of guitars. Souvenirs too.
pl …"
Sharon Liao,4 stars,3 months ago,N/A
Remy Alcanzare,5 stars,3 months ago,Thank you boss.
Julius Perdiz,5 stars,4 months ago,N/A
Epifanio Baguio,5 stars,4 months ago,N/A
Cherry Mcloughlin,5 stars,4 months ago,It is amazing how they were able to maintain the shop. I’ve been here before like 8years ago. We bought ukulele this time. It’s a must visit when you are in Cebu. They are making high quality hand made guitars.
Lawrence Montinola,5 stars,4 months ago,the place if you want. quality guitar
糖糖Candice Shih,3 stars,4 months ago,The quality of the guitar is relatively basic. Those who h …
michael cook,4 stars,4 months ago,Great information from guide
박기명,5 stars,4 months ago,❤️🧡💛💚💙 …
space traveler,5 stars,5 months ago,"Best place ever. So friendly and a real eye opener so see how talented these people are. Give them a good tip, they deserve it"
민대희,4 stars,5 months ago,"If you like guitar, give …"
Leo Cuizon,5 stars,6 months ago,N/A
Roy Mejorada,4 stars,6 months ago,N/A
Gil Samson,5 stars,6 months ago,Well built and only genuinely built guitar in the Philippines. I flew to Cebu just to buy one. Worth it.
Jan Martin Epile (Thatzkie),5 stars,6 months ago,N/A
Adam Stone,5 stars,7 months ago,"Found this place by accident, you can see guitars being handmade.. craftsmanship looked amazing."
Theo Tsay,5 stars,7 months ago,N/A
RIO OCIO (Rio Travel),5 stars,7 months ago,The place is secretly amazing in making guitars.. the price are okay just enough for the quality of products.. most my guest will buy since they do the test and show you how it was made..
Andreas Daugaard Jørgensen,5 stars,8 months ago,A very nice shop and a small and interesting exhibition
Sharon Mercolita,5 stars,8 months ago,N/A
Ryan Peng,5 stars,8 months ago,N/A
Dan Co,4 stars,8 months ago,N/A
Y I,4 stars,8 months ago,N/A
Chanel Huang,5 stars,8 months ago,A really cool place
Allan Targa,3 stars,8 months ago,N/A
mico mico,1 star,9 months ago,I tried to order a custom guitar.  The person in charge does not respond to messages.  Not good customer service.
nazeeha11553,3 stars,9 months ago,N/A
Ericksi Russell,4 stars,9 months ago,N/A
Jips,5 stars,9 months ago,Awesome guitars factory...7k damage for souveniour a mahagony wood guitar.
Zaira See,5 stars,10 months ago,"Whenever I’m thinkinh of buying a guitar, it’s always Alegre that pops into my mind. I bought an acoustic guitar and ukulele here. Their guitars sound so great! The OG guitar shop of Cebu."
Bob,3 stars,10 months ago,N/A
Amores Noel,3 stars,10 months ago,N/A
Bryan Cabacungan,5 stars,10 months ago,N/A
Chris Evangelista,5 stars,11 months ago,"Such a cool place to visit. You can see the Luthiers working on guitars and ukuleles. And of course the prices are very reasonable for handmade ukuleles, especially if you want something unique like mango wood ukes."
Wally T,5 stars,a year ago,A nice guided tour.listen to them play the different guitars.very friendly owner and staff.Idefinitely suggest  a visit .Quality handmade guitars.
Takahiro Abe,5 stars,a year ago,N/A
Nathaniel Garcia,5 stars,a year ago,"I love it. We bought a really good sounding Guitarlele but i didn't know it has a different tuning from a regular guitar so we came back and have it replaced with a full size classical guitar with solid spruce top and solid bayong back and sides! They say it's expensive, but it's because they're all really handmade."
Shomari Diop,5 stars,a year ago,"Amazing product, quality craftsmanship!"
Luis Rodin Branzuela,5 stars,a year ago,It was nice
Deo Madrid,4 stars,a year ago,N/A
Sharmine Ortiz,5 stars,a year ago,Recently bought my new acoustic guitar here. 10/10 sa quality and craftsmanship ng mga staff and mismong owner ng Alegre. 30 years na din sila this year. Keep it up and may you continue to share the beautiful rythym for many many years to come!
angry pepe cancer,5 stars,a year ago,"Going there is a bit tough since the road is narrow and its hard to call for a taxi.
Its better to let your taxi wait abitp"
Art Tanggapan,3 stars,a year ago,Guitar price can be negotiable.
yuki tokuda,4 stars,a year ago,"I visited three years ago, and at that time I was able to tak …"
Mr Forcanity,5 stars,a year ago,Staff of this Guitar Factory is very accomodating
Vincent Sarsaba,5 stars,a year ago,N/A
Barry Wingrove,5 stars,a year ago,Alegre has a reputation for producing top quality hand made guitars and once you visit their factory and showroom you can truly get a feel for just how much love goes into each guitar. No two are the same.
Martin Gabel,5 stars,a year ago,N/A
KPOPular TV,5 stars,a year ago,"I'm glad to be back to this place to buy a gift for someone. Got a discount, too. They are all friendly. 🥰❤️ …"
Tommy,5 stars,a year ago,N/A
Chris Neunhoffer,5 stars,a year ago,"I got a beautiful little Cocert ukulele from Alegre. It sounds and plays amazing. It is now my favorite Uke. And I own four of them, from all over the world."
Happy Shin (잔혹한 맛집 평가단),5 stars,a year ago,handmade. Where to buy cheap guitars …
Dover Adams,5 stars,a year ago,Nice
Venus Seno,5 stars,a year ago,Good quality guitars!
Christian Adrian Aguilar,5 stars,a year ago,N/A
Joel Aparta,5 stars,a year ago,Tastiest Milk tea I've ever had😍😍😍 …
Rey “Rjadane” Adz,5 stars,a year ago,A lot of guitars to choose with
Mark Zelou Garces,5 stars,a year ago,N/A
Friar in Wander,5 stars,a year ago,N/A
Diome Daugdaug,4 stars,2 years ago,Good guitar place at a cost.
David Duan,5 stars,2 years ago,"I like a ukulele, the shape is e …"
Alma Cabardo,5 stars,2 years ago,N/A
Jo Zee,4 stars,2 years ago,N/A
Nora Urgel,5 stars,2 years ago,Highly satisfied with their products and very accommodating staff.  I bought classical guitar and ukelele. From the scale of one to ten. I'll give them 10.
Jan 2x,5 stars,2 years ago,"Just bought this amazing Nara wood guitar for an amazing discount.. I just love the sound and they have their own factory, w/c means easy repair if something should happend to your guitar."
James Alfred,4 stars,2 years ago,N/A
成瀬俊美,5 stars,2 years ago,"The atmosphere of the shop is comfortable and the tables are deep.
The glass  …"
Abrahm Amistad,4 stars,2 years ago,N/A
Vu Ngoc,4 stars,2 years ago,N/A
Rodny Rivera,5 stars,2 years ago,N/A
Dennis Ongue,5 stars,2 years ago,gooooood
Bouchard Cuyos,5 stars,2 years ago,It's a place where the best Guitar in Cebu are made.
Timothy Lamoste,5 stars,2 years ago,Very accommodating and customer friendly staff. They also give discounts to those who pay in cash.
Romeo Dalman,5 stars,3 years ago,N/A
Boris Pekarovič,4 stars,3 years ago,N/A
Bobby Allen,3 stars,3 years ago,"First the pros: This is a good place to visit if you want to see how guitars are made, as they offer tours of the facility by friendly staff. You can see samples of many different types of sound woods and bracings. The store has a good …"
Mar Ken Labajo,5 stars,3 years ago,Very nice guiters
Kris Cheng,4 stars,3 years ago,N/A
Rey Ryguindin,3 stars,3 years ago,Guitars sounds good.
PETER PARKINS,2 stars,3 years ago,N/A
joe kikz,4 stars,3 years ago,N/A
Prescy Tongco,4 stars,3 years ago,Nice place to visit esp when you love guitars. Downside is products are quite expensive.
Ueshima Kazuaki Mendy,5 stars,3 years ago,"[Alegre guitar factory with the world's leading rain 🎸]
To the guitar factory on Mactan Island, which is famous for guitar production. Mactan …"
Miguel Levardo,5 stars,3 years ago,N/A
張浩耘,5 stars,3 years ago,The boss's ukulele is played s …
Josel Contreras,4 stars,3 years ago,N/A
Hikaru Shoda,5 stars,3 years ago,N/A
蔡慶祥,5 stars,3 years ago,There are many handma …
Cisco L,5 stars,3 years ago,"We were like kids in a candy store! The salesman was very patient with us. He wasn't pushy, he let the ukulele's do all the talking. Also, he's very talented! …"
Bruce Waid,5 stars,3 years ago,Fantastic
ver cap,5 stars,3 years ago,"Very nice store, very helpful staff and a really good collection of guitars."
Jolin Chien,4 stars,3 years ago,N/A
Albert Lanuza,3 stars,3 years ago,N/A
Ying-Hao Chu,3 stars,3 years ago,Famous guitar …
Dijae,5 stars,3 years ago,N/A
Man Ching,4 stars,3 years ago,N/A
王中成,3 stars,3 years ago,N/A
Vincent Paguio,5 stars,3 years ago,"High Quality Guitars perfect for bloggers.
Like and subscribe Viney's Corner"
minchen wu,4 stars,3 years ago,goo …
強尼不戴普,4 stars,3 years ago,N/A
유종한,5 stars,3 years ago,I like handmade guita …
wendell legara,5 stars,3 years ago,N/A
Jay J,3 stars,3 years ago,N/A
Excel Cameros (khiel),5 stars,3 years ago,N/A
パンダ,3 stars,3 years ago,"There seems to be various reasons why Cebu is famous for guitars, but anyway, it was an interesting workshop.
Opportunities to see half-finished guitars are rare.
I listened to  …"
Work in Progress,4 stars,3 years ago,N/A
chou peggy,3 stars,3 years ago,N/A
伴野裕之,2 stars,3 years ago,If you're not intere …
David Rose,4 stars,3 years ago,Visited here as part of a tour. Nice small guitar factory and they let you sample a few guitars. Of course they want you to buy one though :)
Arabelle Aguirre,5 stars,3 years ago,N/A
山崎徹,3 stars,3 years ago,N/A
Fia Grefiel,5 stars,3 years ago,N/A
Kelsey kandy,5 stars,3 years ago,N/A
Venus Ann,5 stars,3 years ago,N/A
RJ Laars,5 stars,3 years ago,N/A
Abbie Ilagan,5 stars,3 years ago,This is where you can have a walkthrough on how guitars are made (from scratch).
Stanley Scott Arroyo,4 stars,3 years ago,N/A
Layne Fischer,5 stars,3 years ago,Very interesting..
