review_user,review_rate,review_time,review_text
Jonathan Samuya,5 stars,2 days ago,N/A
Roy Adz Celarta Arroyo,5 stars,4 days ago,N/A
中谷よしふみ（ramen4423）,3 stars,2 weeks ago,"I went on a Sunday, so the store was c …"
Alex Cortes,3 stars,2 weeks ago,"A walk, no more. The sea views are nice but not the best I've seen."
McBrokenCJ,5 stars,4 weeks ago,N/A
Stevy Dorenn Congson,5 stars,a month ago,Goods
shenna diong,5 stars,a month ago,A nice place to unwind
Mark Anthony Magallanes,4 stars,a month ago,N/A
KENNETH Mace,5 stars,a month ago,Beautiful little park street for near by too
John Carlo Planas,5 stars,a month ago,N/A
Izyr Villarino,5 stars,a month ago,Alegriamazing!
Junfox 2001,5 stars,a month ago,N/A
Paul Wing,4 stars,a month ago,"A popular spot to visit  with much improvements going.   Great picture taking opportunities. Parking is available just past the church by donation. Wash Room  facilities available.  Fun Gift shop, arts ,crafts and other goodies.  Saturday …"
Rosemarie Sola,5 stars,a month ago,N/A
Junel Hambre,5 stars,2 months ago,A very excellent experience i have in there👍😁😉 …
Eden,5 stars,2 months ago,My friends and I visited here. It's a great experience.
John Baxter Javierto,5 stars,2 months ago,Awesome!!
Christian clint ejercito Far,5 stars,3 months ago,N/A
rachelle ann De jesus,5 stars,3 months ago,Good spot for children.. Very interesting  place..
dhaver 009,5 stars,3 months ago,"Great place, a view of the sea can be seen at the back"
Lance leroy Termulo,5 stars,3 months ago,Will definitely visit again!
Aquajhong borres,4 stars,3 months ago,I want to go there.
Virgin Mary “VM” Albar,5 stars,3 months ago,I've been here before and I can say that the place is very nostalgic. The structure of the building is very classic. Good for prenup and big events since it's surrounded by nature.
Migo NUEZ,5 stars,3 months ago,"Great view, good for sunday picnic!"
Nadine Bello,4 stars,3 months ago,"Great view, cute designs on the letterings 😊 …"
STEPH HOLLANDS,5 stars,3 months ago,Nice viewing..
Richel Rivera,5 stars,3 months ago,Good spot for relaxing because of the nice views 👍 …
Sheremie Casas,5 stars,3 months ago,"It's a perfect place for you and your loved ones please come and visit,  and don't missed the view and the sunset."
denya cruz,5 stars,3 months ago,"Good place to chill and know more about 19th century you can learn more here. Nice view nice place,nice people"
Joy Anne Tuazon,5 stars,3 months ago,O like the place
Riza,5 stars,3 months ago,Cool place and good looking view
Jude Lluisma,5 stars,3 months ago,The view is relaxing
Monica Francisco,5 stars,3 months ago,Clean and very convenient🤗 …
Izzy Bromberg,2 stars,3 months ago,Nothing to do here
Mic Lee,5 stars,3 months ago,Fun
Sein Lee,4 stars,4 months ago,"The park was pretty.
I stayed for about an hour, but it was worth taking the bus from Moalboal to Al …"
aliel Niere,3 stars,4 months ago,nice
Anthony Alemana,4 stars,4 months ago,N/A
Nicolae Cristian Badescu,5 stars,5 months ago,"Good spot to chill and learn some history, as the old church and Spanish Tower from 19th Century helps you discover a bit of Cebu Insland's past."
Chris Lodovice,5 stars,5 months ago,Keep me in the moment
Dann Diez,3 stars,5 months ago,on going expansion
Malabuyoc Electrician,5 stars,6 months ago,Good!
Jan B,5 stars,6 months ago,Chill
Andrew Austin,5 stars,6 months ago,Park on the waterfront
Cebu Steve,5 stars,7 months ago,Great spot for photos
Boratti,3 stars,7 months ago,Not much to see other than an 18th century watchtower
DRAN CEBU TOUR GUIDE (Dran),5 stars,7 months ago,Nice Place to Chill5
Trisha Moonchild (Shang Shang),5 stars,7 months ago,N/A
Alexi Luke Arregadas,4 stars,7 months ago,N/A
Day Dream Vlog,4 stars,8 months ago,we bought very nice paint over there. i like this place. people so friendly
Princess Marlaine Picache,5 stars,8 months ago,Perfect for family vacation
Johannes William Cardona,5 stars,8 months ago,N/A
Joseph Filvin Suerte Aller,5 stars,8 months ago,N/A
Vengie Calibo,5 stars,8 months ago,Good place
Gerald Caparino,5 stars,8 months ago,N/A
Melissa Tolin,5 stars,8 months ago,N/A
liziel leguiz,5 stars,8 months ago,N/A
Genieva Grace Tanalgo,5 stars,8 months ago,N/A
Christopher Dave dominguez,3 stars,8 months ago,N/A
Bob Kenneth Lendio,5 stars,8 months ago,N/A
Michelle Lastimoso,5 stars,9 months ago,N/A
Ralph LeRoy Kintanar,5 stars,9 months ago,Nice place to stop
Joshua Pocong,4 stars,9 months ago,N/A
artwilson gipala,5 stars,10 months ago,N/A
Dodds C. Campomanes,4 stars,11 months ago,"Unfortunately when we visited there last February of 2022, it seems that the immediate seaside had been destroyed by the super typhoon Odette which ravaged most of the southern part of Cebu last December 2021. That was our first time …"
Jaycee Kay Luardo,5 stars,11 months ago,N/A
John Virgilio Robles Jr.,5 stars,11 months ago,N/A
Cinco Ace Shan,4 stars,a year ago,N/A
Excel Deoh Delostrico,5 stars,a year ago,its amazing park
Al Moreno,5 stars,a year ago,Town's park
Cernohorsky Petr,3 stars,a year ago,Great
Tolcom Benalayo,5 stars,a year ago,"Nice place to stay,.. From: Beauty Wise 🇵🇭 and Bohol …"
Acie Claro,3 stars,a year ago,N/A
Ruel Pao Alensonurin,5 stars,a year ago,N/A
Mookie D' Explorer,5 stars,a year ago,N/A
Pablo Pabatil,5 stars,a year ago,N/A
Mono,5 stars,a year ago,N/A
Josh McLaren,5 stars,a year ago,Very pretty
Paul Frederic Mangahis,4 stars,a year ago,N/A
Brett Rogers,2 stars,a year ago,Typhoon damaged
Shigeki12,3 stars,a year ago,Getting better
Karen,5 stars,a year ago,"Beautiful Alegria, where my Father's hometown. Located in the southern part of Cebu. 3 to 4 hrs. drive from the city. We do have a yearly visit here with my cousin as a way of remembering the death anniversary of my Lola. My last visit was …"
charmaine villacarlos,5 stars,a year ago,Congratulations 🥳 …
Elmer Domingo,4 stars,a year ago,Nice view of the sea
Elmer Domingo,4 stars,a year ago,Nice place for sight-seeing
Renny Juvie Cardona,5 stars,a year ago,"Still renovating, damaged by the typhoon ""odette""."
Jonnie Memoracion,5 stars,a year ago,It's nice Beautiful & Relaxing place to visit..
Jimmie Jules,5 stars,a year ago,N/A
Dario E. Avergonzado,3 stars,a year ago,N/A
Marvin Mejorada,3 stars,a year ago,A quite park near a shoreline.
nelward remollo crispolon,5 stars,a year ago,N/A
"PEREZ, PELIJAH LORRAINE M.",5 stars,a year ago,N/A
Rosalito Vilonta,5 stars,a year ago,N/A
"Legarte, James Michael",5 stars,a year ago,N/A
Christian Potot,5 stars,a year ago,NICE!
Rossie OV Hong,4 stars,a year ago,A very serene place. I love it.
Coreno Largo,5 stars,a year ago,very nice
Star Lopez,4 stars,a year ago,Nice
Ritchfel Lumanog,5 stars,a year ago,Amazing
FRJ Audio,4 stars,a year ago,N/A
Reyna Mae Pabalate,5 stars,a year ago,N/A
alexis labajo,5 stars,a year ago,N/A
Bash,4 stars,a year ago,goods
Hibiscus,4 stars,2 years ago,N/A
Cherry Mae Acapulco,5 stars,2 years ago,"Clean, relaxing"
Tel Perino,5 stars,2 years ago,N/A
Suave Revillas,4 stars,2 years ago,its fine
Wawin Guardiario,4 stars,2 years ago,N/A
Renan Teofilo,4 stars,2 years ago,N/A
Joseph Antig,5 stars,2 years ago,N/A
