review_user,review_rate,review_time,review_text
Teresa Pulvera,5 stars,2 weeks ago,Nice
Narlyn Lobingco,5 stars,2 weeks ago,"Such a holy place.  It is very silent and solemn. Although there a lot of people, you know everyone values sanctity and piety. A good place to find peace and self-reproach. There are accommodating areas for visitors.  Natural and beautiful …"
alvin timothy valencia,5 stars,a month ago,👍 nice …
Jose Palakeel,5 stars,4 months ago,On the way to sainthood
Johnnie Victor Ferrer,5 stars,5 months ago,"While we were in Simala in Cebu, a good friend suggested that we also visit the Shrine of Bishop Camomot in Carcar.  He will be the 3rd Filipino saint if he will be Canonized in the Vatican. This is a nice destination for Catholics. …"
Junecar Vallespin,5 stars,6 months ago,It was a place where incorruptible body of Blessed Archbishop Teofilo Camomot can be located. It's a Holy Ground and suitable for meditation and contemplation.
Aldren Redoble,5 stars,6 months ago,Nice and quiet place for reverence
PH,5 stars,6 months ago,N/A
Che (Che),5 stars,7 months ago,Place for meditation
Louidth Lloyd Galenzoga,4 stars,8 months ago,A place that you will prayer to be come saint Filipino and your indulgence self
Stephanie Rebaca,5 stars,8 months ago,N/A
Laurencio Valdez,4 stars,8 months ago,Good place for meditation
INFANTRYMAN GAMING,5 stars,9 months ago,felling blessed
Vinch Laird Ybanez,5 stars,9 months ago,N/A
Ramon joseph Famorc,5 stars,10 months ago,N/A
Freeli Berame (FreeliDude),5 stars,11 months ago,N/A
Marlene Bohol,5 stars,11 months ago,N/A
shalom tundag,5 stars,11 months ago,N/A
now shawing,5 stars,a year ago,"Very sacred, peaceful and beautiful place to visit."
C C D,5 stars,a year ago,Solemn place to pray.
Arthur Jason Go,5 stars,a year ago,N/A
elements of rj,5 stars,a year ago,best place to pray
Linden Michael Ray Cairo,5 stars,2 years ago,N/A
Aila Marie Honrada,5 stars,2 years ago,N/A
Jo Marie Baldueza,5 stars,2 years ago,N/A
Sam Tambago,5 stars,2 years ago,"My father returned to the shrine because of answered prayers through the intercession of Bishop Camomot.  This is my first time to visit but I felt the holiness of the place.  There's a public restroom, store, and resting area.  There's …"
Dr Dhelz Salburo,5 stars,3 years ago,"His undying love for the poor is just one of the virtues of the servant of GOD, bishop Camomot.  The shrine is helpful to us Christians seeking for GOD's grace through the intercession of late bishop Camomot. Bishop Camomot, Pray for us🙏 …"
Cecille Plaza,5 stars,3 years ago,N/A
Rubylen Malaque,4 stars,3 years ago,N/A
Rina Klaire Ferrolino,5 stars,3 years ago,N/A
Romy Roque,5 stars,3 years ago,N/A
Jose Lim,5 stars,3 years ago,A perfect place for prayer and meditation.  In this place we ask Archbishop Camomot to intercede for us and that God my hear our prayers!!!
MCEC,5 stars,3 years ago,N/A
Jomus Sarria,3 stars,3 years ago,Few area is still under renovation but very relaxing and informational for the life of Archbishop T Camomot.
Myk The Observer,5 stars,3 years ago,"Solemn place to worship and reflect oneself. Has wide open parking spaces, canteen, souvenir shop and a decent place to eat and restrooms without being worried if you're gonna be charged. Just clean as you go. Masses are held near the adjacent chapel too."
Carlo,5 stars,3 years ago,This shrine keeps getting better every time I come visit.
Randy Baring,5 stars,4 years ago,N/A
Sharra Canada,5 stars,4 years ago,N/A
Dones Tan,5 stars,4 years ago,Prayers
Clark Panugalinog,5 stars,4 years ago,N/A
Riener Dane-slgs,4 stars,4 years ago,N/A
Rhett Vincent Minguez,5 stars,4 years ago,I was glad the remains of Blessed Teofilo Camomot were transformed to a bigger chapel at the back. The chapel has pictures and memorabilias of this holy man. It is airconditioned. …
Christopher “Boyet” Sapong,5 stars,4 years ago,"Also known as Domus Teofilo, is a solemn place to honor the good archbishop Teofelo Camomot. Opens everyday at 8am - 4:30pm but I believe they are close at noon time. There is a Eucharistic celebration every Saturday at 10am. …"
Eric Bobis,5 stars,4 years ago,N/A
James Arnold,5 stars,4 years ago,Nice place...
Nedy Pamaong,5 stars,4 years ago,N/A
Carl Adrian Buaya (MrKrabbs),5 stars,4 years ago,"the burial place of archbishop teofilo camomot and also there's a mini museum in this place, you can see his bed his wristwatch his chair and many more."
Marlon Bantugan,5 stars,4 years ago,N/A
EDz' Abellana,3 stars,4 years ago,N/A
Moonrise Midnight,5 stars,4 years ago,N/A
Ricky Potot,5 stars,4 years ago,N/A
RoS eLy N AsTiG,4 stars,4 years ago,Refreshing view and comforting place
Sampaguita,5 stars,5 years ago,"It's very nice, quiet way, many shops, is it money, it would be good and stay like that place that is simple and comfortable but beautiful.

B …"
Russel Perez OFFICIAL,5 stars,5 years ago,N/A
yvesvlogTV ###,3 stars,5 years ago,N/A
saiii,5 stars,5 years ago,N/A
Joshua Bj Chaves,5 stars,5 years ago,Solemn place
Leo Garcia,5 stars,5 years ago,"Museum of the life, works and divinity of Archbishop Teofilo Camomot. His body was recently exhumed and transferred to this Shrine of Arch. Teofili Camomot of Domus Teofilo"
Lowella Baysa-Luza,5 stars,5 years ago,N/A
Mae Delarmente Carollo,5 stars,5 years ago,N/A
Suroy Suroy ni Jessie,5 stars,5 years ago,N/A
vilma ortega,5 stars,5 years ago,N/A
MamaG Farma,5 stars,5 years ago,Solemn shrine
Angel Mae Goya,5 stars,5 years ago,N/A
nash yap,5 stars,5 years ago,N/A
Bajoy Fudes,5 stars,5 years ago,N/A
Simply Boholana,5 stars,5 years ago,N/A
