review_user,review_rate,review_time,review_text
Jerrie Mae Talite,5 stars,12 hours ago,N/A
Ann Kristine Peñaredondo,5 stars,2 days ago,This museum shows everything about Cebu's Christian faith journey. A must-see so you'll understand the faith roots of Cebuanos and the whole Philippines as well. …
Lia Servano,5 stars,6 days ago,"The great experience in museum, I'll be back  soon☺️☺️☺️"
Emmanuel jr zamora Quinan,5 stars,a week ago,N/A
Raymund Guinto,5 stars,a week ago,N/A
Rail Letigio,5 stars,2 weeks ago,N/A
Mark Anthony James Alian,5 stars,4 weeks ago,N/A
Arjay Reyes,5 stars,a month ago,"During my college years in Cebu City, I never had the opportunity to visit the Achdiocesan Museum. However, despite its ancient exterior, I found the museum to be very welcoming. Inside, one can view a variety of regional artifacts. I took this photo during a seminar in 2016."
Ramon B Jr Mira,5 stars,a month ago,great experience
Micole Koy,5 stars,a month ago,N/A
Janilo Ermac,5 stars,a month ago,N/A
Allan Alcantara,5 stars,a month ago,N/A
Sushrut Vyas,5 stars,a month ago,N/A
Teddylyn Barcelona,5 stars,2 months ago,N/A
Rowela Bontilao,3 stars,2 months ago,Good
Cherry Rose Revilles,5 stars,2 months ago,N/A
Marites Agonoy,5 stars,2 months ago,N/A
quanghan nguyen,5 stars,2 months ago,N/A
Anjan T.,4 stars,2 months ago,"If you want to see some artifacts about how Christianity started in the Philippines, this is the place you must visit."
Mariedone Mismisin,4 stars,2 months ago,One of the many historical museum in Cebu
Timmyleh Pocong,5 stars,2 months ago,Best place to learn of Cebu's Catholic past
Michael Kirstien,3 stars,2 months ago,"Typical clerical Museum. The relics in the basement are okay. The upstairs exhibits seems a bit randomly selected. Of course the church has many items but just to present a wild selection is a bit questionable.
Nice garden."
Zelina Rae Danao,4 stars,2 months ago,N/A
kiko best,5 stars,2 months ago,Great history trip
Neil Allen Bentulan,5 stars,3 months ago,Amazing place would come here again
Kent Macatol,5 stars,3 months ago,"The Archdiocesan Museum of Cebu provides a captivating exploration of Cebu City's religious and historical heritage. With its diverse collection of artifacts and artworks, the museum beautifully showcases the region's deep-rooted Catholic …"
Liza Bacalso,5 stars,3 months ago,N/A
Maria Aaliyah Biagan,5 stars,3 months ago,"By the place itself, i was blown by the story it holds during the Spanish era when Christianity began in Cebu. Beautiful religious statues and displays seen in the museum, including several historical narratives that surprised me."
Irish Viviene Cruz,5 stars,3 months ago,Artifacts were very interesting including the paintings. Makes me want to learn more about its roots.
Zian Venice Cabilan,5 stars,3 months ago,"Religious artifacts have been preserved, most of which date back 200 to 300 years. The museum is stunning, and it is well worth a visit."
Kirk Abe,5 stars,3 months ago,N/A
Aivan Christopher Sapio,5 stars,3 months ago,I recently had the opportunity to visit the Archdiocesan Museum of Cebu during Gabii sa Kabilin and was thoroughly impressed by its stunning collection of religious artifacts and exhibits. The museum offers a captivating glimpse into the …
Arthz Cabesada,5 stars,4 months ago,N/A
糖糖Candice Shih,4 stars,4 months ago,"You need tickets, you can store your luggage, the counter staff are very considerate, …"
Socialalex song worker,5 stars,4 months ago,N/A
Eden Adorable,4 stars,4 months ago,N/A
Mathew Sams,4 stars,4 months ago,Good place to get some of the history of Catholic religion in Cebu. Right next to the St nino Church
Jane Barrientos,5 stars,4 months ago,N/A
Cheq Xie,4 stars,5 months ago,It is the ecclesiastical museum of the Roman Catholic Archdiocese of Cebu. The focus of the museum is regional Church architecture and artifacts. Many of the items on display are from the Spanish colonial times. …
CHAD WAYNE SOLIVIO,5 stars,5 months ago,N/A
