review_user,review_rate,review_time,review_text
Erwine Codizar,5 stars,a month ago,N/A
Julee lou Sabite,5 stars,6 months ago,N/A
judy Malinao,4 stars,a year ago,N/A
Ramel Victoriano,5 stars,a year ago,N/A
SaBz Po,5 stars,2 years ago,N/A
Carl Bontilao,5 stars,2 years ago,N/A
Elmer Bering,4 stars,2 years ago,nice place for plantitas and for joyride!!!
Marlou Tan,4 stars,2 years ago,Not much water flows.
Joey G. Temonio,5 stars,2 years ago,N/A
Catherine Ardiente,4 stars,2 years ago,Liked it
rolito ledesma,2 stars,2 years ago,N/A
ernz ompz,4 stars,2 years ago,N/A
Glem Famador,4 stars,2 years ago,N/A
Decon Prex,5 stars,2 years ago,semi trekking
Lucyl Hull,4 stars,3 years ago,N/A
Borromeo Clan Gaming etc,3 stars,3 years ago,The visitors needs to clean up the place before leaving the place.
Atul Sharma,5 stars,4 years ago,N/A
Geran Adolfo,5 stars,4 years ago,Adventure and nature at its best
양해룡,1 star,4 years ago,"Visit now April 1st
I had a hard time finding the  …"
Neo Jam,3 stars,4 years ago,N/A
KYLE POWELL,4 stars,4 years ago,"Short hike but ask for one of the locals to guide you as the trail is difficult to find,  short hike narrow trail, lots of up and down trail. Wear shoes with traction or you will slip on the steep areas. Nice looking rock formations very …"
agiftedcurse,2 stars,4 years ago,Sometime there is no water.
VIK SAN DIEGO,5 stars,4 years ago,Nice cold falls
Reynan Sayud,5 stars,4 years ago,N/A
Mj Dela Cruz,5 stars,4 years ago,scenic view
xibe basi,4 stars,5 years ago,"Its a falls but its not that active, due to weather conditions"
Jaime Masong,3 stars,5 years ago,Ok
Benjie Subaldo Andraje,1 star,5 years ago,N/A
