review_user,review_rate,review_time,review_text
Marc Zwillinger,5 stars,2 days ago,Nice area of Cebu good vibe clean nice lighthouse
Justine Marie Garsola,5 stars,4 days ago,"Time well spent here! 😍
A must visit here in Liloan …"
James Agreste,5 stars,a week ago,N/A
Chris F,5 stars,a week ago,A good place to chill & rest. I noticed that people bring hammock & use it there.
Apple of your Eye,5 stars,4 weeks ago,no access to beach 😢 …
ᴀ᧒ ᡶꪜ,5 stars,a month ago,"It's a peaceful place to relax with family!

×Updated : New Scenery"
Katrina Diocton,3 stars,a month ago,N/A
nelwin borres,4 stars,2 months ago,Nice view and ambience....newly imposed curfew hours(10:00pm) Tourist and locals are encourage to observe minimal noises when visiting due to the private households nearby.
Nelia Sablan,5 stars,2 months ago,N/A
Sadchey Sadili,5 stars,3 months ago,My hometown!  🔥 …
Randie pino,3 stars,4 months ago,N/A
Franrax,5 stars,4 months ago,N/A
Ryan Enclonar Mogello,5 stars,4 months ago,Nice place
Christian Neil Pacaña,5 stars,4 months ago,Looking for a place to chill out? Must visit this place ☺️ Super nice to chill out here l ❤️ Free to visit anytime. No entrance fee. Leave no trace.
Angelito Luat,3 stars,4 months ago,Old world-feels
nestle adrian castillano,3 stars,4 months ago,N/A
GOD_SPEED,5 stars,6 months ago,"john martin was here ,Good to be here but i wonder if camping is allowed in here."
jojo narca,5 stars,7 months ago,N/A
Richard Gene Blanco,4 stars,7 months ago,It's a good place to rest and a good destination for a morning run. The view is great. Cleanliness can be improve though
Daff Neigh,4 stars,7 months ago,The fresh air is amazing. ✨
Neil Marthy G. Apor,5 stars,7 months ago,nice
JAY DU7JAY,4 stars,8 months ago,N/A
cloydjune arididon,5 stars,8 months ago,N/A
Bongcawel Gerald Cesar,5 stars,9 months ago,N/A
Arnold Francisco,4 stars,9 months ago,First time there 👍 …
Peter Hills,4 stars,9 months ago,Interesting place. View is not so good as trees block the ocean side.
Aldrin Alpa Palis,5 stars,10 months ago,It's nice to try on a bike or walking AND jog …
Grant Dominic Bontigao,5 stars,10 months ago,We rides from lapu lapu city to liloan and its worth it. No entrance fee
Neil Anthony Co,5 stars,10 months ago,N/A
Samantha Culaton,5 stars,11 months ago,N/A
stem mccliff,3 stars,11 months ago,nice view but needs to be taken care off and maintenance...need to have upgrades
shalom tundag,5 stars,a year ago,N/A
Izel Ann Mojado-Dante,5 stars,a year ago,N/A
Jake Tautjo,5 stars,a year ago,N/A
Angelika Henri,5 stars,a year ago,N/A
Denis Denis,4 stars,a year ago,Nothing really exciting. Used the location as a point for bicycle riding. Came to make some pictures and proceeded to another position. Panoramic view is so so.
Cherry Mae Oclarit,5 stars,a year ago,Very relaxing and stress free area with a very beautiful ocean view.
Alven Encluna,5 stars,a year ago,Nice place
Winston Gabutero,4 stars,a year ago,Not so developed area
Amrafel John Tulingin,5 stars,a year ago,N/A
Ires Lyn Capute,5 stars,a year ago,Clean& green & of course fresssshhhhh air ..i really love this place❤️
Jenn Sayson,4 stars,a year ago,N/A
Van Noel Gayo,5 stars,a year ago,N/A
Nona Rowena Ubas,4 stars,a year ago,N/A
Ervs Antonio,5 stars,a year ago,NICE VIEW
ARJIE CANILLO,4 stars,a year ago,N/A
mary anne calijan,5 stars,a year ago,"Clean, fresh air!"
Arthur Jason Go,3 stars,a year ago,N/A
Ian Marilla,4 stars,a year ago,N/A
TechnoRex Buildz,5 stars,a year ago,N/A
Edmund sangasin,5 stars,a year ago,Ha ya hay its a quite place nice to refreshing mind😘 …
John Lloyd Cahiles,5 stars,a year ago,It's peaceful and eco friendly 💗 …
Gio in the Philippines,5 stars,a year ago,N/A
Rico Auman,5 stars,a year ago,"Nice and clean,well maintained by the caretaker,a lot of trees"
Genaro Revilla,4 stars,a year ago,N/A
Nina Marie,5 stars,a year ago,N/A
Karen Gestopa,4 stars,a year ago,"If you want to experience Tranquility and oneness, visit this place."
Karmela M.,3 stars,a year ago,N/A
Vincent Antecristo,5 stars,a year ago,nice view
Manuel Cabahug,5 stars,a year ago,Ok
randy donaldo,4 stars,a year ago,"Nice view..
Fresh air..
Bring red horse, not GF..
☺️"
Drewfox Adreano,3 stars,a year ago,N/A
Eric Febson Cabana,4 stars,a year ago,Clean place
tristan arvin jain,4 stars,a year ago,N/A
Moses Mari Lacierda,5 stars,2 years ago,I love the scenery. Panoramic view of the Mactan Channel and Mactan Island. Lots of trees and greenery. Fresh air. Bring your own provisions since there's no place where you can buy refreshments.
dana lee daluz,5 stars,2 years ago,Peace and serenity
Christian Inego,4 stars,2 years ago,At Amara North with matching kuya's balut
BRIAN HUGH,5 stars,2 years ago,N/A
Lito Mahilum,4 stars,2 years ago,Yes memories build 1904 light house.
cristina arcillas,4 stars,2 years ago,nice heritage site
Ferry Jun Etac,4 stars,2 years ago,It's also nice and peaceful place but maybe the place already private piro hindi pa sya restricted for outsiders.
Joe Seph De,5 stars,2 years ago,this place possess lot of memories in the past and it is also relaxing sitting down on the shade of the trees surrounding it...
aya baybay,5 stars,2 years ago,N/A
Lourence Alemania,4 stars,2 years ago,Free place to breath fresh air outside the four walls of your house😊 …
Raymond Capirol,5 stars,2 years ago,Such wonderful plce to visit...very relaxing..
roel gorre,5 stars,2 years ago,Awesome hi
Dyl Dejillas,4 stars,2 years ago,N/A
Anghell,5 stars,2 years ago,nice view
Raynes Tayco Velez,5 stars,2 years ago,"We hd our prenup here on May 24 2021 and its relly nice kasi accessible, no entrance fee, no restrictions etc. Dami rin ng bobonding dito at bikes  are all around"
Jerome Udtohan,5 stars,2 years ago,Hehehe our very own place
Lynley Pacifico,5 stars,2 years ago,N/A
louraine mae sayson,5 stars,2 years ago,Nice place to go to especially afternoon coz' you can smell the fresh air and the surrounding is clean ❤
John Christopher Tambago,5 stars,2 years ago,N/A
Jarvel Hersane,5 stars,2 years ago,A historical site in cebu where american architecture was displayed..
Erwin Monsalud,5 stars,2 years ago,A nice place to relax. Kids can also play with their skateboards or bikes.
Leopoldo Pascua II (Pasky263),5 stars,2 years ago,Beautiful.
Engr. Michael Querubin,5 stars,2 years ago,Peace
jerome malazarte,4 stars,2 years ago,N/A
ALDRIAN TAN followonfacebook,5 stars,2 years ago,nice place
