review_user,review_rate,review_time,review_text
Ann Kristine Peñaredondo,5 stars,22 hours ago,The roads leading to the Basilica are closed or a one-way streer on Sundays due to the throng of Mass goers. You will get there anyway. …
Neys One,5 stars,3 days ago,Nice place for tourist!!
Marc Zwillinger,4 stars,3 days ago,N/A
Russ Tiffany,5 stars,5 days ago,Wow what an amazing place. The history behind this church and the culture is just phenomenal. Love everything about the Philippines
Mary Nell Villarino,5 stars,5 days ago,N/A
Mary T.,5 stars,5 days ago,N/A
Roan Ayuban,5 stars,a week ago,A very holy place..
Eduard Francisco,5 stars,2 weeks ago,N/A
Mr.Yan Yan,5 stars,2 weeks ago,N/A
John Marlon,5 stars,2 weeks ago,"If your a Catholic, make time to pass by the basilica.  Thank the Lord for all the blessings you receive."
Manuel Ferdinand III Cardinal,5 stars,2 weeks ago,N/A
Dana Morgan,5 stars,2 weeks ago,Fascinating! Such a historical religious sight.
Mhel Franko Vincci II Netherward,5 stars,2 weeks ago,"⭐⭐⭐⭐⭐

Basilica Minore del Sto. Niño in Cebu City is an absolute masterpiece of …"
My Taste of Life / Lynne's Kitchen Food Vlog,5 stars,3 weeks ago,N/A
kervenGlenn flores,5 stars,3 weeks ago,N/A
Richel Angela Melencion,5 stars,3 weeks ago,🙏🙏🙏 …
Angelica Lichido,1 star,a month ago,great
Ed Caluma,5 stars,a month ago,Good Place
joshua Paul Homitano,5 stars,a month ago,N/A
Jeneth Villamor,5 stars,a month ago,N/A
Ramuj Quiapz,5 stars,a month ago,You are very strict..this is great.
CJ Lin,4 stars,a month ago,Historical Catho …
Ryan Morata,5 stars,a month ago,The church here in Santo Niño Cebu is b …
AIVE “eviangzkie” GUARDIARIO,5 stars,a month ago,A tourist spot and a Holy Church
Mou R Een,5 stars,a month ago,"The place is very scenetic and very historical, aside from that I felt very catholic by praying solemly .. and I am mesmerize by its beauty and structure .."
Danilo Dillo,5 stars,a month ago,"""So in everything, do to others what you would have them do to you, for this sums up the Law and the Prophets."" …"
JEBB ELO,5 stars,a month ago,"Place of worship,faith, history, culture and people. The cradle of Christianity in Asia..."
Honeydelle Caña,5 stars,2 months ago,N/A
Ryan Romero,5 stars,2 months ago,A minor basilica that houses a venerated statuette of Senior Santo Niño de Cebu that dates to Magellan's time.
Marian Adiong,5 stars,2 months ago,The experience of joining the traditional Sinulog dance after the mass is so great!
MelFred House,5 stars,2 months ago,N/A
Jastenlou Tampon,5 stars,2 months ago,"I always visit this hopy place whenever i can go in the cebu city since im living in the south province , i take time to  attend mass and light up candles everytime i visit here. Its always overwhelming to see and feel the vibes of the  unending lines of people wanting to participate the mass and candles."
Kim Raven Limbo,5 stars,2 months ago,N/A
Millie Chin (Milliefujii),5 stars,2 months ago,"A very big square, and lots of people are offering their prayers and lighting candles. You'll need to cover your legs if you're wearing shorts."
Jenica Guiruela,5 stars,2 months ago,N/A
Rubilyn L. Dicen,4 stars,3 months ago,"A must-visit historical place in the island of Cebu, Philippines.  Expect long queue inside the Basilica as devotees usually pay a visit to see the image of Sto.Niño.  Make sure to bring a jacket or a pashmina if you're wearing a sleeveless …"
Chyle Jyne Divinagracia,5 stars,3 months ago,Chest Sir!! 🙌🙏🥰😇 …
Marlene Bohol,5 stars,3 months ago,N/A
Dave Trace Resuerto,5 stars,3 months ago,N/A
Doreen Pacio,5 stars,3 months ago,N/A
Alexander Pinote,5 stars,3 months ago,N/A
Niel Banabatac,5 stars,3 months ago,Experience the Rich Flavors of Tradition with Basilica de Santo Niño
Josephine Varquez,5 stars,3 months ago,"Best place for a religious experience especially during the fiesta novena masses, the prayers, the hymns touches the heart. 🙏🙏🙏 …"
Douligeri Anna,5 stars,3 months ago,N/A
Eduardo Patingo,5 stars,3 months ago,attend solemn and holy mass
Armando Garrido,5 stars,4 months ago,Always drop by my Sto Nino shrine whenever I pass this arear.
Abreel Lear,5 stars,4 months ago,N/A
dennis maravillas,5 stars,4 months ago,Such a blessing for us to visit sto.nino
Angeli Mae,4 stars,4 months ago,N/A
Norms Causin,5 stars,4 months ago,sun place to worship god
Joseph Dialimas,5 stars,4 months ago,Long live lord holy ch …
Mark B,5 stars,4 months ago,N/A
Angelo Casangcapan,4 stars,4 months ago,N/A
Christopher Rodas,5 stars,4 months ago,N/A
jane jumaoas,5 stars,4 months ago,"This church is beside the Magellan’s cross, a place of worship. Accessible in any transportation route."
Rosalio Torres Jr,5 stars,5 months ago,N/A
aubrey anne putong,4 stars,5 months ago,N/A
Marie Nicole Paguio,5 stars,5 months ago,N/A
Kenn Baricuatro,5 stars,5 months ago,A solemn place to devote Señot Sto. Child …
Sherwin Ochinang,5 stars,5 months ago,N/A
Mr. Caydu Distributor,5 stars,5 months ago,Holy place
abcill alquisola,5 stars,5 months ago,N/A
Marinelle Jumawan,5 stars,5 months ago,N/A
Daniel,5 stars,5 months ago,"Not only historical, this church is still fully functional and in the same time welcoming tourists to get to see inside. There are staff who would remind you to be respectful and not taking pictures while there’s a worship going on. I like the tiny garden inside."
Ariel biloy,5 stars,6 months ago,🌻 …
Martin Jake Cinco,5 stars,6 months ago,N/A
Rene Arnel Abejero,5 stars,6 months ago,N/A
FERNANDO CAGAANAN,5 stars,6 months ago,N/A
Leonard Magistrado,5 stars,6 months ago,a lovely place
mark bonnar,5 stars,6 months ago,N/A
Grecelle Castillon,4 stars,6 months ago,You can attend Mass every weekdays and weekends😇. …
Pat Sequijor,5 stars,6 months ago,Visited this place to pray for PNLE 2022. Thankfully I passed and will try to return here for giving thanks.
Marie Jane,5 stars,6 months ago,"A very nice solemn place, too crowded yet worth visiting."
