review_user,review_rate,review_time,review_text
Trek Rosales,5 stars,4 days ago,"Getting there was a little bit difficult, especially using ""Waze"" Navigation App, Luckily I changed to Google Maps which was more accurate and got us to the entrance. …"
Patrick Jhon Bustamante,5 stars,6 days ago,This is what we call true nature. Recommended place for you
Li Huifang,3 stars,4 weeks ago,"The waterfall is beautiful, but very small …"
Michael John Alib,5 stars,a month ago,N/A
Jaybert Espinosa,4 stars,a month ago,N/A
Oleg Moleg,5 stars,a month ago,N/A
Joshua Munoz,5 stars,a month ago,"Guide-less first timer review. Tl;dr - would go again!

EDIT: Picture was taken during dry season. Climb during the wet season (or rain …"
sanju karthikeyan,5 stars,a month ago,Nice 💖 …
Maria Rizza Macalipay,5 stars,a month ago,N/A
Letecia Woods,5 stars,a month ago,"The whole family is happy
We all have fun ,enjoy the water falls
We come back again
Thanks"
rannie alcala,5 stars,2 months ago,"Budlaan Falls is an epic waterfall in Cebu City. Check out our guide for directions, what to expect and what to bring to Budlaan Falls."
GATS LAGUNA Rannie Alcala,5 stars,2 months ago,"Budlaan Falls is an epic waterfall in Cebu City. Check out our guide for directions, what to expect and what to bring to Budlaan Falls."
Daniel Sisbreño,4 stars,2 months ago,Nice and relaxing
vodge eredera,5 stars,3 months ago,N/A
Rommel Caputolan,3 stars,3 months ago,N/A
Vincent Liao,1 star,4 months ago,Avoid scammer “tour guide” with crazy fee!!! I wonder the authority will step in to make it right!
Jorge Alberto Fernandez,5 stars,4 months ago,N/A
M Inting,4 stars,5 months ago,"It's sad to see foreign tourists having bad experiences with the so called ""guides"", maybe the local tourism bureau can do something about it. This is a beautiful gem to visit and if you want to get away from the hustle and bustle of the …"
alexis abaya,4 stars,5 months ago,N/A
James Dominique Carcueva,5 stars,5 months ago,N/A
Nathan Bueckert,2 stars,5 months ago,Lots of garbage everywhere. I tried taking pictures without garbage in it.
Glenn Macasero,5 stars,5 months ago,Its a great place to relax and to explore.
JO SIE,5 stars,6 months ago,N/A
Jon Boy,5 stars,7 months ago,N/A
Stuart Karmelin,4 stars,9 months ago,"The falls is beautiful, but you need a guide to get there. It is a sometimes difficult path."
Mailyn Cabañero,4 stars,10 months ago,N/A
John Paul Cauchi,5 stars,10 months ago,"Love love love.

A must do! …"
Khyrhys Gonzalez,1 star,10 months ago,I would NOT recommend this place. The guides will slap you with a price and the falls isn’t event worth the experience. THIS IS THE WORST HIKE we’ve ever been. 500 for a 30min walk? Ridiculous. We just payed because we were worried they might do something to our car.
AJ Carag,4 stars,10 months ago,It's a short hike (about 30-45 minutes one way). It's quite tough since there are no signs & railings. You need a guide to go there). It's within Cebu city
Nemenzo Zen Andrei,5 stars,11 months ago,Cebu City's hidden gem. This place is just 30 minutes away from the city
Сергей Козык,1 star,a year ago,"Be aware of a guy with waist-length hair and cross tattoo on his face( and many other tattoos on the face) On the entrance to Budlaan Falls (Kabang Falls) he accompanied by another guy offered to be our guide, didn’t put our names in any …"
Yann Etpmoc,4 stars,a year ago,"I put 4 stars because there are plastic bottles....
Otherwise it's great, but a little advice...

To g …"
Jonas Reycian,5 stars,a year ago,The vibes and atmosphere was really refreshing.
Deva Subin Joshua,5 stars,a year ago,Loved it
