review_user,review_rate,review_time,review_text
Francis Jove Brillo,5 stars,5 hours ago,N/A
林明章,5 stars,22 hours ago,N/A
John Reppert,4 stars,a day ago,N/A
Holistic Learning Solutions,4 stars,a day ago,Lots of beautiful flowers 💐 specially on the month of May …
Princess Grace Santos,5 stars,2 days ago,N/A
"12 STEM F- MENINA, BEATRICE",5 stars,4 days ago,N/A
Michael Bandy,5 stars,5 days ago,N/A
Gina Estrada,5 stars,5 days ago,Nice Place❤️❤️❤️
ChupaChups Mondragon,5 stars,5 days ago,N/A
eddie solana,5 stars,5 days ago,Wonderful place
Juvel Velasco,5 stars,a week ago,Super double …
Heena ramani,5 stars,a week ago,N/A
Marco Gerninghaus,5 stars,a week ago,N/A
Richiel Bernad,5 stars,a week ago,N/A
Karl Imanoel Aoanan,5 stars,a week ago,N/A
BRIAN HUGH,4 stars,a week ago,N/A
Precious Morton,5 stars,a week ago,N/A
David Bates,5 stars,a week ago,N/A
Humphrey Singculan,5 stars,a week ago,N/A
Ralph Vecina,4 stars,2 weeks ago,N/A
Ricardo Conui Cabras,4 stars,2 weeks ago,N/A
Gui Balmes,5 stars,2 weeks ago,N/A
Anne Nicole Cahilig,5 stars,2 weeks ago,N/A
Christopher Ababa,5 stars,2 weeks ago,"Very good place, people are accommodating, want to visit again"
Ray John,5 stars,2 weeks ago,Place is beautiful and have a good costumer service.
Jienel Espiritu,5 stars,2 weeks ago,N/A
Jennelyn Unabia,3 stars,2 weeks ago,N/A
Abelardo Altamira,5 stars,2 weeks ago,N/A
Cristin Julian,5 stars,3 weeks ago,N/A
Antonette Sia,5 stars,3 weeks ago,N/A
Marianne Bebeloni,5 stars,3 weeks ago,N/A
Jefred Tapere Jr.,5 stars,3 weeks ago,N/A
Eva Boquinquito,5 stars,3 weeks ago,N/A
Samantha Clarisse Aceron,2 stars,3 weeks ago,N/A
Aja Aboyme,5 stars,3 weeks ago,N/A
Milvie Famor,3 stars,4 weeks ago,N/A
Jonathan Kuizon,5 stars,a month ago,N/A
Ana Lee,5 stars,a month ago,"it was a beautiful not so sunny day. they got staffs who'll greet you as you enter and tells you a few reminders. they got a restaurant now too. we ordered banana split, halo2x (not really good) and pancit (i like it!). i like where the …"
Lynn Wooderson,4 stars,a month ago,N/A
zora Candilosa,3 stars,a month ago,The restaurant ...we waiting  30mins of orders...
Heraldine Telmo,5 stars,a month ago,Very beautif …
JOHN ANDREY,5 stars,a month ago,"A must visit place, stunning flowers you will not find outside."
alvin sedenio,4 stars,a month ago,N/A
Xeng,5 stars,a month ago,"Buwakan ni Alejandra in Balamban, Cebu City, is an absolute treasure for flower enthusiasts and nature lovers. A visit to this enchanting place is an experience that will leave you in awe. …"
gareb cortez,5 stars,a month ago,N/A
Marvin Arabejo,4 stars,a month ago,N/A
ole frederiksen,4 stars,a month ago,Beautiful flower pl …
Ivydyl Andales,5 stars,a month ago,Super amazing views ❤️🫰❤️ Stressed free. Good for family and barkadas bonding places. Super duper nice place …
NERMAL TV,5 stars,a month ago,N/A
Algane Marry Barcial,5 stars,a month ago,Good great
Earmelyn,5 stars,a month ago,N/A
Evmard Yoyongco,5 stars,a month ago,Their CR is clean. that's why I give them 5 stars.
Steven Henslee,5 stars,a month ago,This place is fantastic if your in Cebu City you have to take the ride and visit
Vince Davin,4 stars,a month ago,N/A
Koko,5 stars,a month ago,Beautiful place♥️♥️♥️
Julian Lewis,5 stars,a month ago,"Beautiful flowers, helpful staff. They take photos for free of your family"
Joeyluz Zabate,5 stars,a month ago,N/A
Precious Lee,5 stars,a month ago,Beautiful scenery ♥️
Jelly Rivera,5 stars,a month ago,N/A
