review_user,review_rate,review_time,review_text
J. van Gaal,4 stars,4 days ago,Beautiful spit and a sweet motorbike ride towards it. Since there is no network there you will jot easily find the entrance to the trail towards the falls. Stop at this new dam for the entrance (see photo). It will then take you a 15 min …
Jogetolo,4 stars,2 weeks ago,N/A
Francis Toledo,5 stars,2 weeks ago,N/A
PrInCe oF Heart,5 stars,3 weeks ago,N/A
Golden Works TV,3 stars,3 weeks ago,N/A
Emeric Magny,5 stars,3 weeks ago,"A great experience in Cambais Falls, you have to walk a few minutes before getting there. It is best to leave the scooters on the side of the road and go on foot because the road to get to the motorcycle parking lot is really narrow!
It's …"
Black Tamba,4 stars,4 weeks ago,"The falls still beautiful when it has more waters after rains. When dry season, its not that good anymore unlike before."
Jerome Bautista (coconut_adrift),5 stars,a month ago,"There are an abundance of waterfalls in Cebu, I only had the pleasure of visiting two. This was the most grand! …"
Cole Rust,5 stars,a month ago,A very beautiful place
ชฎาพร พรมประโคน,5 stars,a month ago,"We ride on motorbikes so far but it’s close, all waterfalls around it’s closed"
Bredjette Tac-an,5 stars,a month ago,N/A
Jo Sutia,5 stars,2 months ago,You can dive here but prepare for the entrance fee. +20php entrance if foreigner
Vincent Kyle Manila,5 stars,2 months ago,N/A
Hayley M,5 stars,2 months ago,A great waterfall but requires a 20mins walk to the first section and then you have to climb the rocks to reach the main waterfall! Crocs or water shoes are highly recommended!
Samson,5 stars,2 months ago,"What a beautiful place! We were so lucky that it was no high season, we were there with only a hand of people. You ll find the paradise on earth there! Go there and do a jump in the water!"
faisal odasan,5 stars,2 months ago,A very nice waterfalls! Here you can feel the nature ambiance. I really love this place
Rocky Advincula,5 stars,2 months ago,Great
Pierre Jabet,2 stars,3 months ago,N/A
Carmen Witsken,2 stars,3 months ago,"**Smaller than it used to be**
Was not deep enough to dive into, perhaps possible during wet season. Lots of trash left behind :( …"
Radek Šinc,4 stars,4 months ago,A longer way from the road and currently unmarked. …
Alexander Adriatico II,4 stars,4 months ago,N/A
Yaya Sosyalera,5 stars,4 months ago,N/A
Alva Witt,5 stars,4 months ago,"A very beautiful waterfall! The route is accessible by scooter, but partly hilly and there are shorter rough roads. But the journey alone is worth it. Many palm forests and great views. When we arrived we were greeted by a couple of childre …"
Chendy Ursal,5 stars,4 months ago,N/A
Julianne Chin,4 stars,4 months ago,"Oct 2022
Not as good as the pictures anymore after the typhoon at Christmas 2021, still there is 3/ 4 levels that you can climb and it’s deep enough for jumping down for …"
Jana Müller,5 stars,5 months ago,"Beautiful waterfall. Easy to reach from the street/ place where you can park your scooter/motorbike.
We didn’t see one of those big waterfalls that you see on pictures, but the walk was nice"
Andrei Radulescu,5 stars,5 months ago,Wonderful not so long hike until you reach the waterfall.
