review_user,review_rate,review_time,review_text
Jm Epile,5 stars,a week ago,N/A
olens,5 stars,a week ago,N/A
Eldie Gozum,4 stars,a week ago,Amazing experience
Lucy,5 stars,2 weeks ago,"Loved our canyoneering experience after getting over the initial nerves. Our tour guides made sure we were always safe, jumping in the right spots and in the correct manner with someone waiting in the water to help also. It was mandatory …"
Paul Emile Vautier,5 stars,2 weeks ago,N/A
ㅎㅕ,5 stars,3 weeks ago,perfect. i requested via google chat. he responded very quickly and he served nicely. recommend here.
Analyn Articulo,5 stars,3 weeks ago,"Had this amazing time in Cebu. A big shout out to our habal-habal driver, we enjoyed the ride and the beautiful view climbing the highest point to start our activity. Kudos the travel agency especially Kuya Jaja and his assistant who took care of us. Twas a great and rare experience! Thank you Cebu 🩵 …"
Juanito Jr. A. Tinsay,5 stars,3 weeks ago,N/A
Paulo Sagun,5 stars,4 weeks ago,"Very good experience, must do when in Cebu. Props to the local tour guides they really good with what they do."
Gabino Tacoloy,5 stars,4 weeks ago,Very unexpected.  I enjoyed a lot and the tour guides are very helpful.
Germaine Esteban,5 stars,a month ago,Great
Fransiska Stgg,5 stars,a month ago,Very interested. No turn back. Just go
Cole Rust,5 stars,a month ago,Very cool
Andrew Pitogo,1 star,a month ago,N/A
Charlie Lan,5 stars,a month ago,Fantastic experience made possible by the wealth of knowledge and care provided by the operator and the local guides working hand-in-hand to make sure our experience was both enjoyable and safe. Our guide Rene had been doing it for over 10 …
ara tia,5 stars,a month ago,N/A
joontae ko,4 stars,a month ago,"There is a slightly longer course, but I couldn't go there because it was bein …"
Michael,3 stars,a month ago,Was disappointed with this. We couldn't do canyoneering because our 8yrold daughter was with us. But we were forced to stay and do nothing for 4hrs! This is the disadvantage of getting joiner tour. But still the tour agency shouldn't have …
Matti & Shaked,5 stars,a month ago,"A great family experience, we did with three children, the youngest is 7 and the experience and challenge were great. The load of travelers on the route did not interfere with the experience, the guidance and organization were excellent. highly recommend"
Thomas Mielle,5 stars,a month ago,Great experience with nature
stf blmm,3 stars,2 months ago,Long waiting lines and over crowded. But beautifull vieuws
WH K,5 stars,2 months ago,It is best for Koreans to go to Sej …
Ray Harker,5 stars,2 months ago,"Amazing experience for the more of an active person. Please be aware this is an 8.5km hike through the canyon, swimming, waterfalls, hiking across river beds. If you are not in a ny kind of shape (fit) or have any physical challenges, DONT …"
Ceasar Morandarte Love for Philippines,5 stars,2 months ago,An amazing place for adventure and canyoneering
Kara Joy Carol,5 stars,2 months ago,Superrr best experience! It's beautiful! it's worth th …
Teo's Lee,2 stars,2 months ago,It be more fun with a partner haha
John Justin Comendador,5 stars,2 months ago,N/A
Daniel,5 stars,2 months ago,"I think it's the best activity if you can support it physically. Jumping in nature, cool water, and adventures wi …"
eizel delpilar,5 stars,2 months ago,This place is so memorable and adventure experience🥰 …
Siew Min,5 stars,2 months ago,"Had an unforgettable experience throughout the canyoneering experience. Shoutout to our guide Jun-Jun who guided us, as well as taking photos and videos while we are enjoying the swim and activities. Super pretty Waterfall, refreshing water and great greenery !"
Eden,5 stars,2 months ago,My friends and I tried the canyoneering for the first time and we really had fun. It's one of our unforgettable experiences in cebu.
Manish Pandey,5 stars,2 months ago,Amazing if you are a water lover ❤
Kelvin Matira (Beben),5 stars,2 months ago,N/A
허우인,5 stars,3 months ago,"Please visit at least once! Waterproof pack required If you make a reservation for Koreans, it is 110 …"
Rechel Trinidad,5 stars,3 months ago,"Great place, great view, very relaxing. Highly recommend for friend and big family❤️"
Anthony Abadiez,5 stars,3 months ago,"Great place, great view, very relaxing. Highly recommend for friend and big fam."
Austino Archangel Primotivo Alexandré Gomez deLiaño,5 stars,3 months ago,"Great place, great view, very relaxing. Highly recommend for a big fam!"
Ganiella Paras,5 stars,3 months ago,"Lots of fun, adventurous place"
Richelle Palmes,5 stars,3 months ago,"Great place !!
We did a long connection at Cebu and went to the waterfalls. I think it's a must do experience …"
Jho De guzman,5 stars,3 months ago,I highly recommend this experience to anyone looking for an adrenaline rush and a chance to explore the great outdoors. I loved this place.
Pauline Mendiola,5 stars,3 months ago,One of the best experience during our trip in Cebu. I will definitely come back with my family.
Francine Raine,5 stars,3 months ago,Beautiful place for adventure. Yahoooo...
rachelle ann De jesus,5 stars,3 months ago,Love this place...
Nerraw,5 stars,3 months ago,These places will be the tourist spot of the Cebu. Nice place to visit and it is amazing beach and wonderful place
Mary France Bautista,5 stars,3 months ago,Beautiful
jomer sta. ana,5 stars,3 months ago,N/A
juan paulo lavapie,5 stars,3 months ago,Love the place... Water is clean...
Anabel Sotomayor,5 stars,3 months ago,Yes this place badian is my hometown but when we going home i will visit this place.Beautiful people and hospitable person in badianon.
melanie suan,5 stars,3 months ago,Good place
Sunshine Licadwe,5 stars,3 months ago,So much fun and stunning views.
Purizza Jorda,5 stars,3 months ago,"Superb Falls!!!

This waterfall is very beautiful. We visited this place in 2017. The water flow is superb. Its a very good place to visit."
hazel lluch,5 stars,3 months ago,One of the best experiences I had! The place is sooo nice!
Aya Dalit,5 stars,3 months ago,"The views are beautiful, the water is clean and the place is beautifuis❣️"
Karla Fabricante,5 stars,3 months ago,Lots of fun and good place
"Del Rosario, Rodlhynn Aguila",5 stars,3 months ago,This kind of View is very relaxing and very SWAK for nature trip
Aquajhong borres,5 stars,3 months ago,I want to adventure this place. So refreshing.
Renger Morillo,5 stars,3 months ago,Wownthe sorounding is very great   its cool . Love it .
dhaver 009,5 stars,3 months ago,a must do outdoor activity when visiting Cebu. definity not for the faint-hearted.  be prepared to slide and jump. i lost count the number of times i did. it was very fun! the whole stretch of the canyon and river is beautiful. the whole experience was for the book!
Kierrjude Mazi Basilio,5 stars,3 months ago,"Great place, great view, wonderful experience."
Sarah May Villalon,5 stars,3 months ago,Good for adventure!!! Such a good place to unwind
ramikhudair,5 stars,3 months ago,4 hours aprox to complete trek. provided with water shoes for the rugged and/or slipper rocks. life vest for swimming and hard hat for the many jumps/swings.
Myeonghee Cheon,5 stars,3 months ago,N/A
Myongjae Lee,4 stars,3 months ago,canyon …
Benny Gross,4 stars,3 months ago,"The Kwasan Falls are located in Badian, about eighteen kilometers from Albuel.

The stream section in this area has three levels. Each lev …"
Thierry Costa,5 stars,3 months ago,N/A
Jack Barry,5 stars,3 months ago,"Not sure our exact tour company but this trip was wonderful. There are several jumps ranging from 3m-10m. Lots of swings, you go into, under and on top of several waterfalls. The zip line at the start for a small extra fee was worth it. The …"
Thunyakan Ch.,5 stars,3 months ago,"Nice experiences!
So much fun and stunning views.
Be prepared, you will consume a lot of energy here. …"
Sitty Asyah Mala,5 stars,3 months ago,Canyoneering is the best!
gigi abogado,5 stars,3 months ago,N/A
azeh abad,5 stars,3 months ago,Very adventurous..nice place
Zearina Taclob,5 stars,3 months ago,"Challenging adventure for you and your friends! If you love water sports, this is the place for you."
Madam Siabells &Mai,5 stars,3 months ago,I love nature and this place is one of the great places I've been to. 😊🥰 it's really fun and very cool place to unwind with friends. …
Dante B. Sandoval,5 stars,3 months ago,Another nature's wonder that is worth a visit & will be proud of it once you've experienced.
Eligario Jr. Bermillo,5 stars,3 months ago,"Canyoneering in Badian, Cebu is an adventurous and thrilling activity that takes you through the stunning canyons and waterfalls of the Badian River. The experience is truly unforgettable and offers a unique way to experience the natural …"
