review_user,review_rate,review_time,review_text
佳玫,5 stars,4 days ago,N/A
Sara Yang,2 stars,2 weeks ago,Friends with poor physical strength and h …
changhwan yeom (mcure),3 stars,2 weeks ago,"Previously, it was mainly Chinese. There are a lot of Taiwan …"
KENNETH SY,4 stars,2 weeks ago,N/A
Claire Melody,4 stars,2 weeks ago,N/A
Jericho Cristobal,5 stars,2 weeks ago,N/A
楊,5 stars,3 weeks ago,N/A
Mary Ruth Ochavillo,4 stars,a month ago,N/A
邱素貞,5 stars,a month ago,su …
Vincent Dela Cruz,5 stars,a month ago,The food is good but pricy
Borong Chen,4 stars,a month ago,"In the backward place, a coco …"
Mark Uncle666,5 stars,2 months ago,N/A
Maria Judia Minoza,5 stars,2 months ago,"Our 2nd stop on our island hopping trip. Clear waters, entrance is 50."
Roy Lebosada,5 stars,2 months ago,N/A
chalotte c,4 stars,2 months ago,The toilet …
Party Zoo,5 stars,3 months ago,N/A
hy kung,5 stars,4 months ago,The water is so …
李思儀,5 stars,4 months ago,N/A
Hunghung Kuo,5 stars,5 months ago,seafood is chea …
Tammy米恩,3 stars,5 months ago,I just want to say that …
Ivy,4 stars,5 months ago,"The islanders can speak some Chinese, so haggling is a must, and they will charg …"
VIVI CHEN,5 stars,6 months ago,The beach is so beautiful🏖️I can’t finish taking pictures. Residents on the island are selling live seafood🦞. …
Wild Vincent,4 stars,6 months ago,"Learning to travel, …"
Chih An,5 stars,8 months ago,🇵🇭Shiseido Island is a famous sightseeing spot. Following the one-day itinerary arrang …
Mama,5 stars,2 years ago,N/A
Frank Lin,5 stars,3 years ago,Super beautiful isla …
Aracer CHEN,3 stars,3 years ago,OK touri …
CHIU CHIH LO,3 stars,3 years ago,Milk sh …
余仲淇,5 stars,3 years ago,Shise …
Ying-Hao Chu,4 stars,3 years ago,The private isla …
MIA,4 stars,3 years ago,"It’s really good to take pictures here. The weather is good, no matter how you take pictures, and the food  …"
Man Ching,4 stars,3 years ago,N/A
CH Ch,2 stars,3 years ago,"A family of four, two big and two small chartered boats set off from Hilton Port. Along the way, they saw the hand …"
謝和政,5 stars,3 years ago,N/A
林冠呈,4 stars,3 years ago,N/A
洪瑞英,5 stars,3 years ago,Caohagan Island is an island bought by Japanese Sakiyama Katsuhiko with 10 million pension. Although Kat …
諸天兵,5 stars,3 years ago,"Beautiful beaches, si …"
breezelee22,4 stars,3 years ago,Low tide is not …
takahiko sato,3 stars,3 years ago,N/A
林欣慧,5 stars,3 years ago,The scenery is bea …
曾朝宗,4 stars,3 years ago,Not bad re …
mori law,4 stars,3 years ago,N/A
Lee Jur,4 stars,3 years ago,"beautiful seaside, but eating environment is not so clear"
ju happy,3 stars,3 years ago,N/A
Chris Ching,3 stars,3 years ago,It is very differ …
多喝水,3 stars,3 years ago,It's not  …
連名翔,3 stars,3 years ago,too many Chinese
jeremy lin,3 stars,3 years ago,N/A
Jimmy Liu,5 stars,3 years ago,"The sky is blue, the sea is so clear, a …"
李察基爾,5 stars,3 years ago,photo …
灰熊,3 stars,3 years ago,basically …
吳儒儒,5 stars,3 years ago,primi …
人哪,5 stars,3 years ago,Seafood is delicious and …
凌小姐,4 stars,3 years ago,N/A
許鏸心,5 stars,3 years ago,N/A
牧,5 stars,3 years ago,N/A
WenYao Hsieh,5 stars,3 years ago,N/A
Antonio Vidal,5 stars,3 years ago,N/A
SZU CHEN LIU,4 stars,3 years ago,N/A
haojung kuo,4 stars,3 years ago,primit …
楊宗培,5 stars,3 years ago,N/A
