review_user,review_rate,review_time,review_text
Jhommar Nacorda,1 star,3 weeks ago,N/A
ken bernadas,3 stars,2 months ago,😍 …
marilyn momo,5 stars,2 months ago,N/A
Tau gamma Phi,5 stars,2 months ago,N/A
joel balorio,5 stars,2 months ago,You will love to see priceless religious artifacts.
Charles Catipay,5 stars,3 months ago,N/A
Harry Monleon,5 stars,3 months ago,"First time to visit the Capilla Sta. Ana, it is a museum of sorts of almost all Patron Saints of the Catholic Church owned by the prominent family here the Lebumpacil. …"
Nick Chaves,4 stars,4 months ago,A place to visit
Ivy M Cabante,5 stars,4 months ago,N/A
Eric Angana,5 stars,4 months ago,Nice place
Benz TV & DSquad,5 stars,4 months ago,It's my first here in Capilla Santa ana located in Toledo City Cebu the museum is great aircondetioned.The maze is truly amazing
Shonan Cuenca,4 stars,5 months ago,N/A
arnolfo abalo (Dodong),3 stars,5 months ago,Good
Pearl Anne Melody Mancao,5 stars,6 months ago,"A very good place to visit when in Toledo City, Cebu"
Marc Barcelona,5 stars,6 months ago,N/A
Ruben Pedrigal,5 stars,6 months ago,N/A
Larry Dickinson,5 stars,7 months ago,Gv
G,5 stars,8 months ago,N/A
Gael Olisabi,4 stars,10 months ago,"There's many artifacts in the chapel, there are even bones of saints 🤯. We went there at the right time, the labyrinth was properly trimmed that day. …"
Kent Largo,5 stars,11 months ago,N/A
Carmel Caballero,5 stars,a year ago,N/A
MotoRides Touring & More,5 stars,a year ago,N/A
David Aycardo,5 stars,a year ago,N/A
Bya Xylebelle Borjal,5 stars,a year ago,N/A
Andy Apelado,5 stars,a year ago,N/A
Greta Fay Amarillo,5 stars,a year ago,I love the place... my second time to visit.
Cherry Mae Acapulco,3 stars,a year ago,So expensive for a minute visit
Tito Bethoven,4 stars,a year ago,"Awesome place where saints abide! You will find a cool  and amazing labyrinth in this chapel. Come and visit the place to saints, statues, doors, relics and ornaments!"
Gemmyl Ysatam,5 stars,a year ago,"Had the luxury of going there without other guests in the area. A good place to unwind and have a sense of fulfillment right after the labyrinth is accomplished at the center. Got to find the shortcut though. Haha. Yeah, there is."
Michael Robert Balatayo,4 stars,a year ago,Creepy and historical place
Jan Daisyl Diaz,4 stars,a year ago,"There were grass cuts on the maze walk way. The maze was one way, we thought it crosses paths with other directions... But it looks amazing on pictures btw!
We paid 100 for entrance, that includes a tour inside the chapel. A lot to see inside the chapel too!"
Eugene M. Ebale,5 stars,a year ago,N/A
Jrln Lngkt,5 stars,a year ago,Solemn place & relaxing
Carla Gonzales,4 stars,a year ago,N/A
ESTEBAN Lelis,5 stars,a year ago,"I love this place so much,, I feel a holy place"
Jolievic Olingay,5 stars,a year ago,Love it
Levine Pagado,5 stars,a year ago,N/A
J alino,5 stars,a year ago,N/A
mark k alino,5 stars,a year ago,N/A
richard ouano,3 stars,a year ago,Holiness
Loven Bartolata,5 stars,a year ago,N/A
Helen Ferrater,5 stars,a year ago,N/A
Campo Joseph,3 stars,a year ago,Noisy when have classes
Roel Mangubat,5 stars,a year ago,"closed when we arrived, though, we enjoyed the adjacent garden called Labyrinth."
Des An,5 stars,a year ago,N/A
JC Carl,4 stars,a year ago,Great
maria elena carvajal,5 stars,2 years ago,Very nice spot to introspect.
Farah Jean,4 stars,2 years ago,N/A
Maria Suzeth Acebu - Sinogaya,5 stars,2 years ago,N/A
Leonor Roxanne Lepiten,5 stars,2 years ago,It looks grand on the pics but its actually just a small scale juranta(not sure of the spelling)-maze. It was quite fun but their chapel is closed due to the pandemic and ongoing renovations. Entrance to the labyrinth is 100/person.
Remedios “MimiVintage” Badayos,5 stars,2 years ago,The labyrinth looks interesting and great for us catholic to finish our holy Rosary.. inside thier private beautifull  church is thier relics and artifacts ..you guys must visit here
Nimrod Quinones,5 stars,2 years ago,This is a treasure trove of religious artifacts.
Leah Cataposan,5 stars,2 years ago,N/A
MANNy barcenas,4 stars,2 years ago,N/A
Arlee Jay,4 stars,2 years ago,"An air-conditioned private chapel with a labyrinth garden on its side.
Good place for a private church wedding or photo shoot.
As of April 2021, it has an entrance fee of PHP 100.00 per person."
Jimmy Villahermosa,4 stars,2 years ago,"A privately owned Chapel and Museum located in Toledo City, Cebu. Inside are relics of saints, religious icons and antique statues from Europe that were acquired by the owners in their travels. However, you are not allowed to take pictures …"
Dada Longlegs,4 stars,2 years ago,Clean.
Joan Llamedo,5 stars,2 years ago,Nice.
JM Ceballos,3 stars,2 years ago,N/A
vergel villa rivera,5 stars,2 years ago,N/A
Michelle Dayanan,5 stars,2 years ago,N/A
Efren Jr. Faller,5 stars,2 years ago,Very solemn
Paul Bryan Y. Prestosa,5 stars,2 years ago,N/A
Rupert Reyes,4 stars,2 years ago,N/A
Søftie Kyøt,5 stars,2 years ago,Ok ya know na po is a good day to imo order na po was
Junrie Bandolon,5 stars,3 years ago,N/A
Jimnel Anabieza,4 stars,3 years ago,Amazing collections
eugene libusana,5 stars,3 years ago,N/A
Cebu City Tour,4 stars,3 years ago,This place is owned by a private owner. They have a church and put every collection they have to make the Church good. When you will go to this place you need to pay Php100.00 to cover the maintenance. After that entrance fee you can discover what they have inside the church and their maze.
Brandy Palarion,5 stars,3 years ago,Solemn place
France Guillena,2 stars,3 years ago,Quite expensive
Haze Nua,5 stars,3 years ago,N/A
Jeremy Montalla,5 stars,3 years ago,N/A
Malaya Ruaza,5 stars,3 years ago,Entrance fee of 100 for the museum tour and the labyrinth maze.
Bae Maya,5 stars,3 years ago,N/A
BENDEMAR DEVILLERES,5 stars,3 years ago,N/A
Jay Marie Pedrano,5 stars,3 years ago,Nice place and quite.. A place you think and think..
Charito Adlawan,3 stars,3 years ago,N/A
Sai sai Lucky,5 stars,3 years ago,"I had a great experience in this place.
I wanted to back  here with my family and friends. 😇🙏😍😊😊 …"
Breezy Adalin,5 stars,3 years ago,N/A
Chenny88 Ayers,4 stars,3 years ago,Really great place 👍😊 …
Grejelyn Lalic,4 stars,3 years ago,Solemn
Eduardo del Castillo,3 stars,3 years ago,Nice collection of pieces for the chapel. It is clean and air conditioned. The guide said that all except two are from overseas. The labyrinth is a nice touch and cleverly designed such that you have to walk all those paths to get to the …
John Charles Bendijo,4 stars,3 years ago,Labyrinth is very interesting. You get to pay 100 pesos though for the curator inside the museum.
clyde silvano,4 stars,3 years ago,N/A
Cowboy1 Easy,3 stars,3 years ago,Nice
Anton Gabila,5 stars,3 years ago,"You can take pictures outside the church, inside the church, and in the labyrinth garden. There are rooms where they keep relics like the wood stained with the blood of Jesus, old robes of a pope, and the like. In these rooms, picture taking is not allowed. There is an entrance fee here of Php100."
Tziporah Belgica,5 stars,3 years ago,N/A
Tristan Abais,5 stars,3 years ago,"If you happen to be in Toledo, the mini museum is quite interesting. Staff was very accommodating."
Manoy Roy,4 stars,3 years ago,N/A
Jan Hinkle Sacris,5 stars,3 years ago,Full of antiques
Bong Tutor,5 stars,3 years ago,Nice Place
Tau Rus,4 stars,3 years ago,N/A
daì xì,5 stars,3 years ago,i was lost in this maze 😂 …
Tapsiness Happiness,5 stars,3 years ago,Faithfully
"fernando, jr Baroma",3 stars,3 years ago,N/A
JopardzTV,5 stars,3 years ago,Solemn place
Jed Dijamco,5 stars,3 years ago,"Beautiful privately owned chapel with a small museum with a collection of religious relics from europe including a shard of the true cross of jesus, reliquary of actual bones of saints, hundreds of years old bible, and many more. Dont forget to visit the outdoor labyrinth garden outside for a nice little photo op."
Jericho Gantaan,5 stars,3 years ago,Chapel sta Ana Museum toledo.
Dodong Jay,5 stars,3 years ago,N/A
cherie lumantao,5 stars,3 years ago,N/A
rose40 chicharron,4 stars,3 years ago,Beautiful and amazing
Noelle Dawson,5 stars,3 years ago,N/A
May Cabatino,5 stars,3 years ago,N/A
