review_user,review_rate,review_time,review_text
varian fernandez,5 stars,an hour ago,Nice place
MHARYOU TV,5 stars,3 hours ago,Nice place
Fredeliza Abella,4 stars,a day ago,N/A
Michael Dulinski,4 stars,a day ago,Busy place
Micheal Castaneda,1 star,a day ago,Satisfied
Byanca Consumer Goods,5 stars,a day ago,Thumbs up
Claire Amorganda,5 stars,a day ago,N/A
Dan Lonzana,4 stars,a day ago,N/A
Stefan Obermeier,4 stars,2 days ago,"Authentic Philippines food. Inexpensive and ""real"" feeling! Even if it's a bit tiring 😂"
Thorak Bahag,1 star,2 days ago,Going to carbon and buy fruits
lynier cabajar,5 stars,2 days ago,Fabulous 🤩 …
Ruelo Paolo Saladaga Jr,5 stars,2 days ago,N/A
Ramil Jr. Paorco,5 stars,2 days ago,N/A
Kirito Enal (Chifei),5 stars,2 days ago,Good
Michelle Campana,4 stars,3 days ago,Nice place at cheapest thier selling
Bo Bords,2 stars,3 days ago,N/A
lyndon caballero,5 stars,4 days ago,Its organize properly
Arnel Fajardo,4 stars,4 days ago,good food and afordable
welmer amistad,5 stars,4 days ago,N/A
Laurencio Valdez,2 stars,4 days ago,In desperate need of cleaning up 😞😞😞 …
Loudisah Medina Laspiñas,4 stars,4 days ago,N/A
Heena ramani,2 stars,4 days ago,Dirty n unorganised
Marc Zwillinger,5 stars,5 days ago,"Market has been upgraded with many places to eat, good food reasonable ambiance. Sooo crowded but by far the most produce I've ever seen. This is a great stop for a variety of good food in the carbon center and as much produce as you can imagine just outside and down the block"
Ange Cabahug,4 stars,5 days ago,N/A
Nick Labus,3 stars,5 days ago,"First Got There eversince my high school days,nothings change i gues except the Food Park but as the Ukay-Ukay goes not as like before so pretty much theres some changes"
Kristine Abella,5 stars,5 days ago,nice
IRTC BLOGSPOT,4 stars,5 days ago,"Make it easy, it's not too much trouble, it's not like a sauna, you have a lot of traffic, almost a single motor."
KIM SUE'S TV,4 stars,5 days ago,Not very organized and it's very crowded and hot.
Jonathan Samuya,5 stars,6 days ago,N/A
Ann,5 stars,6 days ago,Perfect
jeff francis Lim,3 stars,6 days ago,Better than the old one
ALEXANDER “JODRAN” IMPERIAL,5 stars,6 days ago,N/A
Henry Sayaboc,4 stars,6 days ago,N/A
torionwarlito torion,5 stars,6 days ago,N/A
Jollyvie Reyes,5 stars,6 days ago,A place with a variety of foods.
JP RV,5 stars,a week ago,N/A
Jelou Sotto,5 stars,a week ago,You can a lot of fruits and vegetables in cheaper price
Jhaina Vergara,5 stars,a week ago,N/A
Naoj Gainwhole,5 stars,a week ago,N/A
nuaim sham,2 stars,a week ago,Not for muslims. Very very hard to find halal food.
Anthony Simon Roa,4 stars,a week ago,N/A
Lloyd Anthony Tradio,2 stars,a week ago,N/A
Albert Duldulao,4 stars,a week ago,The lechon and seafoods are del …
NAYANA DEVARAJU,4 stars,a week ago,N/A
Car Trading,5 stars,a week ago,N/A
Michwel Fat,5 stars,a week ago,You can find all your needs out there they have a fresh vegetables and fish etc.
Empeds Casul,5 stars,a week ago,N/A
Gala Gonzales,4 stars,a week ago,N/A
Jenelyn Dumalag,5 stars,a week ago,N/A
Rea Xan,5 stars,a week ago,N/A
Eliza Lecera,5 stars,a week ago,N/A
Queen Fantonial,5 stars,a week ago,"it's nice, clean and cheap"
Rommel Deloy,5 stars,a week ago,Cleanliness...
Erick Mamolang,2 stars,a week ago,N/A
Hanna Michaela dela cruz,4 stars,a week ago,N/A
Louie Jay Augusto,4 stars,a week ago,N/A
MrTurfsire T,5 stars,a week ago,good market
Luca Dal Pero,5 stars,a week ago,N/A
Christian Adam Casas,4 stars,a week ago,renovated place to modern living
Angel Lee,4 stars,a week ago,It's getting cleaner than Before and wider they also have a parking lot near the carbon market so it's accessible
Chisom Jenny,5 stars,a week ago,"Overall my experience at the Carbon market was nothing short of enchanting. It's more than just a shopping destination; it's a hub of sustainable living, community building, and positive change. I highly recommend visiting the Carbon Market …"
David Bates,5 stars,a week ago,N/A
Gunder Glenn,5 stars,a week ago,N/A
Pedrosa Nathan,5 stars,a week ago,N/A
Spinach Creation,5 stars,a week ago,"Very amazing place , affordable food and drink"
Alice Manolong,4 stars,a week ago,Cheap  veggies
Damian Pokoj (Louis Cyphere),4 stars,a week ago,"Awesome place to buy produce and other items from local sellers.
Parking can be a pain to find, but it is worth it.
The only issue that I have, and it is completely understandable, is the …"
Stella Ybalez,5 stars,a week ago,Vg
p p,5 stars,a week ago,"There are a lot of so-called ""smell"" word of mouth, but I think that is a characteristic of t …"
jamil mostacho,3 stars,a week ago,"Plenty of stores to choose veggies and fruits and many more. Just crowded, and the ground is a bit muddy with wet dusts after a heavy rain. Foul smell of different things and expect the noise from a lot of people."
Frank Anthony Floreta,4 stars,2 weeks ago,N/A
Anson Leung (Anson),3 stars,2 weeks ago,N/A
Dumai,3 stars,2 weeks ago,"Make sure you have a nice dressing gown, and you can use it to get a smile on your face …"
Arong Jerome,5 stars,2 weeks ago,Ww2wwwww
"Sionyu,km Lim",5 stars,2 weeks ago,N/A
knnth nn,4 stars,2 weeks ago,N/A
Moussa M. M. Ahmed,5 stars,2 weeks ago,N/A
MACK OF ALL TRADES,4 stars,2 weeks ago,N/A
Neil Fano,4 stars,2 weeks ago,N/A
Jason Szewc,5 stars,2 weeks ago,"Such an intense market! Mounds and mounds of fresh produce, thousands of people, what a sight to see!"
Bruno Matino,4 stars,2 weeks ago,N/A
Mavil Bartolay,5 stars,2 weeks ago,N/A
Seph Baldevino,5 stars,2 weeks ago,N/A
Felicity Wayfarer,5 stars,2 weeks ago,N/A
AKRAM HOSSAIN,5 stars,2 weeks ago,N/A
Dave Polistico,5 stars,2 weeks ago,Very much improved!
Joseph Garcia,4 stars,2 weeks ago,N/A
Rail Letigio,5 stars,2 weeks ago,N/A
Miss Lou,3 stars,2 weeks ago,"Many roads closed for 1 way traffic only, and diversion roads have many parked cars along the way."
Jhapet Laping,5 stars,2 weeks ago,N/A
xbarbarian,4 stars,2 weeks ago,Ok
Dennis Tesoro,3 stars,2 weeks ago,Nice
Haidy Florita,1 star,2 weeks ago,N/A
Grace Varquez,4 stars,2 weeks ago,N/A
Bany Russia,4 stars,2 weeks ago,It was a pleasant experience.
Mary Shane Cantillas,5 stars,2 weeks ago,N/A
