review_user,review_rate,review_time,review_text
Elizer Mendoza,5 stars,5 days ago,N/A
Aj Big,5 stars,6 days ago,N/A
Rahkee Ville,5 stars,a week ago,N/A
Juanito Cabs,5 stars,a week ago,N/A
Anthony Tan,5 stars,2 weeks ago,N/A
Virginia James,5 stars,2 weeks ago,It is a wonderful place to worship God; a place to ask a favor for the Carmelite Sisters to read and pray one's intentions.
Flordeliz Caballes,5 stars,3 weeks ago,N/A
Ani B,5 stars,3 weeks ago,This church is beautiful & peaceful. It’s close to my heart. My mama use to bring me here specially on Our Lady of Mount Carmel feast day.
Henrietta Cojuangco,5 stars,4 weeks ago,N/A
Yvonne Jainar,5 stars,4 weeks ago,Sanctuary.
Ghemrick Ybanez,5 stars,a month ago,N/A
Ralph Pacio,5 stars,a month ago,Blessed to visit this solemn monastery
Joel Arcayan,5 stars,a month ago,N/A
Juan Valiente Pinez,5 stars,a month ago,N/A
Olive Franz,5 stars,a month ago,N/A
Jocelyn Espina,5 stars,a month ago,A place of worship.
Livince Jorquia,5 stars,a month ago,N/A
apol Velasquez,5 stars,a month ago,N/A
Mary Chris Pancho,5 stars,a month ago,N/A
Shaira Blythe,5 stars,a month ago,N/A
Zelina Rae Danao,5 stars,a month ago,N/A
RYZA RAFAEL,5 stars,a month ago,N/A
BERTH TV CONSTRUCTION MAN,5 stars,a month ago,N/A
Doreen Pacio,5 stars,a month ago,One of my most favorite churches in the city... I love its solemn ambiance and the priests always deliver very inspiring homilies.
Ombo Abelgas,5 stars,a month ago,N/A
Socorro Zosa,5 stars,a month ago,N/A
Adette Paca,5 stars,a month ago,Very solemn place
John Baxter Javierto,2 stars,a month ago,N/A
contessa pancho,5 stars,2 months ago,N/A
charmaine lynn tan,5 stars,2 months ago,N/A
Costilo Losorata,5 stars,2 months ago,N/A
Marl Regalado,5 stars,2 months ago,Miraculous.
Bong Abe,5 stars,2 months ago,N/A
Ryan Romero,5 stars,2 months ago,"One of the famous churches in Cebu runs by Carmelite Nuns. This beautiful religious place is surrounded by thriving greenery, pleasing courtyard, stained-glass windows, and arches that makes it more appealing to the visitors eyes."
raymund silot,5 stars,2 months ago,This is the perfect place for prayers and for those who needs to find peace in a chaotic city like cebu. A place for spiritual reborn and a place for a weary heart to find joy.
Eric Smith,5 stars,2 months ago,Peaceful.
Dnyl Andrei Dagsan,5 stars,3 months ago,N/A
Marily Cambonga,5 stars,3 months ago,N/A
Robert Mercolita,5 stars,3 months ago,N/A
Jasper Janea,5 stars,3 months ago,Sacred place
Gerard G.,5 stars,4 months ago,The monastery is like a refuge to me. I spend moments of prayer and silence here.
jesus menardo banzon,5 stars,4 months ago,N/A
John Guaren,5 stars,4 months ago,Silent and very conducive for prayer despite being within a very busy district in the city
Jerome Udtohan,5 stars,4 months ago,N/A
Gino Maro,4 stars,4 months ago,N/A
Sherwin Colina,5 stars,4 months ago,N/A
Karen,5 stars,4 months ago,Been blessed to visit this place last Maunday Thursday for the first time for our Visita Iglesia. People come here for their devotions to the Lady of Mount Carmel. The ambiance and the place itself gives you healing to your soul. It is a …
Benjie Surban P,5 stars,4 months ago,N/A
Aleja Fore,5 stars,4 months ago,Always go there whenever i had the chance to. Solemn place where you can pray in your heart's content. You may write your petition. …
Mark B,5 stars,4 months ago,N/A
Mathew Sams,3 stars,4 months ago,N/A
Chris Moon tea clear,5 stars,4 months ago,Peaceful place
Roland Bautista,5 stars,4 months ago,"One of my favorite churches in Cebu City. Very solemn, clean, organize, and they have access to car parking."
Ma Teresita Abad,5 stars,5 months ago,N/A
Airees Narvaez,5 stars,5 months ago,A quiet place where you can seek refuge or say your prayers..
Marjo Gy,4 stars,5 months ago,N/A
francis garcia,5 stars,5 months ago,Peaceful and calm
Rhodhorah Sumatra,5 stars,5 months ago,"Carmelite Monastery very solemn Mass,I've attended located at Mabolo Cebu"
Christine Catuburan,5 stars,5 months ago,N/A
Paul Hood,5 stars,5 months ago,N/A
Roel Desuyo,5 stars,5 months ago,During the 5th Pilgrim Relics of St. Therese of Lisieux..I was there at the 5pm Welcome Mass..Very solemn and a heartwarming pilgrimage. Unforgettable...God be praised!
Nizle Rusiana,5 stars,5 months ago,N/A
Dayan Abanto,5 stars,5 months ago,N/A
ACERA Katherine,5 stars,5 months ago,N/A
Archiene Mea Sabanal,5 stars,5 months ago,Good place to  pray 🙏 …
Ryan Cuico,5 stars,5 months ago,Solemn
Venchito Casaul,4 stars,6 months ago,N/A
stephanie yu,5 stars,6 months ago,N/A
Eduardo Abris,5 stars,6 months ago,N/A
Allan Sunggayan,5 stars,7 months ago,N/A
Stephanie Jane Sabiona,5 stars,7 months ago,N/A
John Philip Javellana,5 stars,7 months ago,N/A
Mr IF Dennies Siongco,5 stars,7 months ago,A place to reflect and meditate
philam alfornon,5 stars,7 months ago,N/A
Shane Andrea Toledo,5 stars,7 months ago,Quite place where you can prayed well to God ♥️♥️
owen tan,5 stars,7 months ago,Solemn place to pray.
Lady Enchantress Garden and Travel,4 stars,7 months ago,N/A
Aljoriz Dublin,5 stars,8 months ago,"One of the historic churches in Cenu during the Martial law, masses are not hourly but open for prayer."
Bryan Narte,5 stars,8 months ago,N/A
Elizabeth Hauss,3 stars,8 months ago,N/A
Nilo Suarez,5 stars,8 months ago,N/A
Baby Bears (BabyBears),5 stars,8 months ago,N/A
Richard Gonzaga,5 stars,8 months ago,N/A
Jerah Mae ihada,5 stars,8 months ago,I also love the way it looks
Clifford Salve,5 stars,8 months ago,Thank you Lord 🙏🙏🙏 …
Lady Z,5 stars,9 months ago,N/A
Paul L,5 stars,9 months ago,N/A
Peter Beveridge,3 stars,9 months ago,Went for my mother's birthday
Greg Ray,5 stars,9 months ago,Lovely small Monastery that has been here since 1949.  They take prayer requests.
Nicholas Jr Villahermosa,5 stars,9 months ago,N/A
Catherine Palar,5 stars,9 months ago,I'm very comfortable in carmelite church... Not so crowded Very peaceful for me.❤️❤️❤️
Klyde Irwan Zaragoza,5 stars,9 months ago,N/A
Rabbi Morata,4 stars,9 months ago,Very solemn and clean and encourages one to contemplate and 🙏 pray. …
achilles arriba,5 stars,9 months ago,Good
Elizabeth Suico,5 stars,10 months ago,N/A
James Clifford Orozco,5 stars,10 months ago,N/A
Clighty Rivera,5 stars,10 months ago,N/A
Kookie Uy,5 stars,10 months ago,Place to wirship our Almighty
Franzel Sagarino,5 stars,10 months ago,N/A
Michelangeli Godo,5 stars,10 months ago,A place to spiritually gain energy in ones faith!
Lorie Lu,5 stars,11 months ago,N/A
Mary Elaine Baring,5 stars,11 months ago,N/A
Fransiskus Very,5 stars,11 months ago,Feels better heree
EMMANUEL ABALLE,5 stars,11 months ago,I love the place very comfortable
Honney-Maei Colon,5 stars,11 months ago,N/A
Gemma Villalino,5 stars,a year ago,Place where you can solemnly pray
xavier solis (dookiexave),5 stars,a year ago,N/A
Karen Quijada,5 stars,a year ago,I love the solemnity of the mass and their choir
Jim Cristobal,5 stars,a year ago,N/A
KENNETH CLORES,5 stars,a year ago,N/A
Justin Kristoff,5 stars,a year ago,N/A
madz pepito,5 stars,a year ago,N/A
Crischellyn Abayon,5 stars,a year ago,The best place to visit if you are looking for a silent place to pray in the middle of the city.
EL RISH,5 stars,a year ago,This is so holy 🙏 …
Grace Yap,5 stars,a year ago,Beautiful
Em Yin,5 stars,a year ago,N/A
lucila “Lucille” alindajao,5 stars,a year ago,"Carmelite Monastery is one of the best places to visit when we speak of spiritual matters. It is located in Mabolo, Cebu City. It is just few meters away from Ayala Center Cebu and SM City Cebu. If you want to experience the tranquility of …"
Arong Jerome,5 stars,a year ago,N/A
Susan Salazar,5 stars,a year ago,N/A
Riener Dane-slgs,4 stars,a year ago,"Good morning my dear ones, that must have to be God's blessings for us to all our friends nearby so much that we offered prayers not only for us but for those living and dead."
Apple Tacandong,5 stars,a year ago,N/A
Carmn BBR,4 stars,a year ago,N/A
Mary Mayol,4 stars,a year ago,N/A
Democrito Anton lll Mendoza,5 stars,a year ago,N/A
Hyacinth Fidelis Joaquin,5 stars,a year ago,A good place to pray and reflect
Iin Wijayanti,5 stars,a year ago,N/A
JRCB,5 stars,a year ago,N/A
Ma. Christine Tejedor,5 stars,a year ago,N/A
Elsie Maniwang,5 stars,a year ago,The place moves you to talk to our Lord  which should be the 1st intention for the visit .
Jasmine Fermin,5 stars,a year ago,N/A
odessa necesario,5 stars,a year ago,N/A
JUN M Tautuan,5 stars,a year ago,"I feel so bless and connected to our devine creator,  nice and sacred place to praise to worship and to thank GOD ."
jr romero,5 stars,a year ago,Very solemm place... Hopin to visit this place the soonest
Edgar Geñoso,5 stars,a year ago,N/A
Raya Su (Maestrang Laagan),5 stars,a year ago,a solemn place to meditate
Simone,5 stars,a year ago,N/A
julie mary mantos,5 stars,a year ago,Very solemn Place. My go to place if I feel down and sad. A perfect place to feel God and Mary's presence.
Joanne Nerona,5 stars,a year ago,N/A
Desmon Neil Nacua,5 stars,a year ago,A serene place in the midst of bustling city.
Kimberly May Abing,5 stars,a year ago,N/A
Vern Serra,5 stars,a year ago,N/A
Neil Harvey Gador,5 stars,a year ago,N/A
Oddette Tan,5 stars,a year ago,N/A
Florenda Bacon,5 stars,a year ago,N/A
edwin quinan,5 stars,a year ago,One of my stops for bisita Iglesia. I was able to pray here. Quiet and serene place.
John Marston,5 stars,a year ago,Nice little quiet church
Kathy Jimeno,5 stars,a year ago,I love coming to this church as it is solemn and very convenient
Jerome Gumapac,5 stars,a year ago,N/A
Elmer Cabang,4 stars,a year ago,N/A
Glenna Tenefrancia,5 stars,a year ago,N/A
Ryan Sitoy,5 stars,a year ago,Place to go to keep our faith..
Marisol Jayme,5 stars,a year ago,N/A
LYDZ ABLAZA,4 stars,a year ago,Quite and very solemn to pray.
Doc Jake Jandumon,5 stars,a year ago,Nice one. Thank you very much.
오매리,5 stars,a year ago,The place is clean and signs are present specially  to those that are not allowed to do while inside the premises.
Anthony Aracan,5 stars,a year ago,solemn place
danica lanas,5 stars,a year ago,This is a great place for you to speak with God. The ambiance and the place itself gives you healing to your soul.
Mary Sheeva Mangas,5 stars,a year ago,N/A
Cyrel Cristian Rabanes,5 stars,a year ago,N/A
Manie Mt,5 stars,a year ago,solemn place to pray🙏 …
HazelD Dionio,5 stars,a year ago,Good place for prayer and discernment
Carlo Cosio,5 stars,a year ago,N/A
Marc Alain Mendez,5 stars,a year ago,N/A
Dale Quitayen,5 stars,a year ago,N/A
Resty Perez,5 stars,a year ago,Solemn place to pray
Arlene Abando,5 stars,a year ago,N/A
Chartreuse Mae,5 stars,a year ago,You have to have Faith for a miracle to happen.
Chanak Baktin,5 stars,a year ago,N/A
Jen Balagtas,5 stars,a year ago,N/A
Kristyl Lascuña,5 stars,a year ago,N/A
