review_user,review_rate,review_time,review_text
Giacomo Chiocchetti,5 stars,a day ago,Well curated display in a noteworthy home. A must visit if you are interested in local history.
Kelvin Clyde Chua,5 stars,5 days ago,N/A
XIAO LIN,4 stars,a week ago,"nice walk-in,ticket fee 100 peso"
iCar Cebu Transport Services,5 stars,a week ago,N/A
mama abeb,5 stars,a week ago,"I highly recommended this place , it's so nice And very historic place"
kahlil moslares,5 stars,a week ago,N/A
Apol Santos,5 stars,a week ago,N/A
Jurry Ybanez,5 stars,a week ago,N/A
Angelo Mesina,5 stars,a week ago,"Casa gorordo museum located in cebu, are beautiful place,"
Renzo Zaballero,5 stars,a week ago,N/A
Roldan Soncuan,4 stars,a week ago,N/A
Jhon Virgil Georfo,4 stars,a week ago,So nice
Samuel Emar,5 stars,a week ago,N/A
Nicole Parazo,5 stars,a week ago,N/A
Rommel Constantino,5 stars,a week ago,N/A
papet maambong,5 stars,a week ago,N/A
신동화,3 stars,2 weeks ago,I liked t …
Ann Sanchez,5 stars,2 weeks ago,N/A
paw lopez,5 stars,2 weeks ago,N/A
Rafael Del panos,5 stars,2 weeks ago,N/A
Tony D.,4 stars,2 weeks ago,Fantastic historic site.
Jason Sevilla,5 stars,2 weeks ago,Nice Place
MARIA RA FA ELA ROMERO,5 stars,2 weeks ago,N/A
John Latoza,5 stars,2 weeks ago,N/A
Reyna Perez,5 stars,2 weeks ago,"Spanish relics were witnessed from the walls, dinning utensils, and other house furnitures. It is well maintained.nice place ❣️"
L R,5 stars,2 weeks ago,N/A
Richard Miral,4 stars,2 weeks ago,N/A
Gelaii Inciso,5 stars,2 weeks ago,N/A
Jerry Flores,5 stars,2 weeks ago,N/A
Leslie Estacio,5 stars,2 weeks ago,"This museum is really amazing it portrays life of Spanish expatriates in Cebu. Full of antiques and old furniture, the house has stunning architecture and design. High ceilings give it an airy, spacious quality and the use of coral stone and wood gives the house a unique feel. ❤️ I love this museum feel the love of history."
Kline Mercolita,5 stars,2 weeks ago,N/A
Flores Villarino,5 stars,2 weeks ago,Old but not forgotten. Historic Structure is well maintained.
Ma. Grace Gestopa,5 stars,2 weeks ago,Wow! It's really more tourist spots in the Philippines 😍 …
Nicko Angelo Cole,5 stars,2 weeks ago,The tour is very good.
Irish Navarro,5 stars,2 weeks ago,N/A
Edwin Nadong,5 stars,2 weeks ago,N/A
Rowena Bondaug,5 stars,2 weeks ago,N/A
MAUREEN ROXAS CASTILLO,5 stars,2 weeks ago,N/A
Lucky Moboayaen,5 stars,2 weeks ago,Great place
Ednardo Avenido,5 stars,3 weeks ago,N/A
Marlyn Dianito,5 stars,3 weeks ago,N/A
Alfred Alsagar,5 stars,3 weeks ago,N/A
Angelo Avira,5 stars,3 weeks ago,Great museum
Beelzebub,5 stars,3 weeks ago,What a great place!
Angelica Kim Arevalo,5 stars,3 weeks ago,N/A
Jhean Lundag,5 stars,3 weeks ago,N/A
Alex Camisura,5 stars,3 weeks ago,N/A
Jomarie Herrero,5 stars,3 weeks ago,N/A
Arlene Banaag,4 stars,3 weeks ago,N/A
Annie Tayoba,5 stars,3 weeks ago,N/A
ITS PRINCESSGAMING STYLE,4 stars,4 weeks ago,Very well preserved and maintained to still remember our past.....
Jesson Morata,5 stars,4 weeks ago,N/A
charmaine lynn tan,5 stars,a month ago,First time visiting this museum with my family. The registration fee was worth it. My nephews and nieces enjoyed and learned a lot.
Pia Sarah Nacasi,4 stars,a month ago,"My kids love this museum, we enjoyed a lot! Keep it up!"
edriel doloroso,5 stars,a month ago,Love it
Marietta M.,5 stars,a month ago,N/A
Horst Cheng,4 stars,a month ago,comfo …
huckly chiu,5 stars,a month ago,N/A
Lkenneth syvilla,4 stars,a month ago,N/A
Kirtney James Tompong,1 star,a month ago,They are not accommodating
Dodds C. Campomanes,5 stars,a month ago,One just can’t help but be amazed at the antiquity of this house—from the architecture to the interior design and all items owned by some of the pre-19th century elite—how their lifestlyes were vastly different than what it is today. …
Philip Rama,5 stars,a month ago,The security guard was really helpful and guided us in the second floor. Very historical house indeed.
Evmard Yoyongco,3 stars,a month ago,No videos allowed inside.
Allan Alcantara,5 stars,a month ago,N/A
Yan-Ting Chen,5 stars,a month ago,Nice place!
jessa,5 stars,a month ago,a nice place to visit a historical museum
Charmane Delos reyes,5 stars,a month ago,Nice location.. Very good ambience..
Tim Whiz,5 stars,a month ago,Very cool look at Philippino homes and life style
lixen law,4 stars,a month ago,nice place to chill
