review_user,review_rate,review_time,review_text
Joseph Froebel C. Soguilon,4 stars,3 weeks ago,N/A
Lee Soon Jang,1 star,3 weeks ago,N/A
김호근,5 stars,a month ago,N/A
Daisy Charisse Cañon,5 stars,a month ago,N/A
Ahmz Belo,2 stars,a month ago,I Love it😊😊😊 …
Jeffrey Olmedo,5 stars,2 months ago,N/A
Jeffrey Cabintoy,5 stars,2 months ago,N/A
Erlyn Rosales,1 star,2 months ago,"Please be aware!Those people who tried to come here, it's a scam!!What we saw in the website is not on actual in this place. My sister and her family came here just now and paid for the entrance and check the place which no paintings like …"
Niño Malo,1 star,7 months ago,N/A
Jerwin Roiles,3 stars,a year ago,N/A
ESTEBAN Lelis,5 stars,a year ago,Nice place
Jos Grimbergen,3 stars,a year ago,Twmporary closed due the tropical storm Megi
min charlie,3 stars,a year ago,There's a …
gcon torralba,5 stars,a year ago,I have a great experience
Cleven Pacarat,5 stars,a year ago,N/A
Kevin Lester Cabusas,5 stars,a year ago,N/A
Rick Dave Yap,3 stars,a year ago,N/A
Gary Corres,3 stars,a year ago,N/A
Niño Angelo Santiago,5 stars,a year ago,N/A
shollielyd calvo,5 stars,a year ago,Nice ambiance..delicious foods and friendly store hosts.
Ms Eiram,5 stars,a year ago,A very nice place for the family to enjoy. The kids will surely love it!
thata hiyas,4 stars,a year ago,N/A
almie Kujath,5 stars,a year ago,N/A
Ann Mae Sadagnot,4 stars,a year ago,N/A
Mark Anthony Diongco,4 stars,a year ago,N/A
Janet Thea Lalas,5 stars,a year ago,N/A
The Zesty Tubers,5 stars,a year ago,⭐
Art Tanggapan,5 stars,a year ago,Cebu Happy world has new look with food court and live band.  Good place to dine with your family and friends.
Joelian Kerish Pepito,4 stars,a year ago,Its Nice..Bored a little..pretty good service..
Joy Mae Pausal,4 stars,a year ago,Nice art work. Me and my company enjoyed a lot. Until nex time
Gio in the Philippines,5 stars,a year ago,Great place for photos
Keith,4 stars,a year ago,N/A
Schlumberger Ymbong,5 stars,a year ago,Fun and amazing
