review_user,review_rate,review_time,review_text
Thomas Barredo,5 stars,5 hours ago,N/A
Homer Leyson,5 stars,a day ago,N/A
JP Sunglao,5 stars,3 days ago,N/A
Ann,5 stars,5 days ago,Excellent
Jui-Yu Chuang,5 stars,a week ago,"We had a holy and pure mass in a beautiful Sunday morning. I was really touched and even cried spontaneously. Oh, God! …"
Larry Leong,3 stars,a week ago,N/A
Roche D.C.,5 stars,2 weeks ago,N/A
Renie “Renieboy” Fibra,5 stars,2 weeks ago,Beautiful
Arthur Mibulos,5 stars,3 weeks ago,Romantic and religious people.
Ivan,4 stars,3 weeks ago,N/A
Joshua Flores,5 stars,3 weeks ago,"A solemn place to attend mass, or just light a candle and just pray. For parking the place was adequate and guarded, expect full parking during Sundays, but is quite pricey amount to 30 pesos. Overall one of the most beautiful Churches in the country."
AbuHalefa,5 stars,3 weeks ago,N/A
Troyex M “Cherje” Tonz,5 stars,4 weeks ago,"Sometimes we go there Cebu Metropolitan Cathedral for exact time the mass will started. I'm sorry I cannot supported photo, when we was there."
Takuro Arai,4 stars,4 weeks ago,N/A
Jec Cabarles,5 stars,4 weeks ago,N/A
chan koh,5 stars,a month ago,N/A
Arjay Reyes,5 stars,a month ago,"When I was studying in Cebu City and later on during my seafaring journey, this place of worship was always on my list of must-visit destinations. The atmosphere inside is incredibly calming, and attending mass here can make you feel as …"
Joey B,5 stars,a month ago,Beautiful church my 7yr old daughter  baptize here in this historic church
Saif Dy Ahmed,5 stars,a month ago,Very accessible church. Almost every hour there's a mass.
Jheena Ramos,5 stars,a month ago,N/A
Dandylone Quimpan,5 stars,a month ago,Love it🙏 …
笛布斯顗賚,5 stars,a month ago,"Very old church, but there ar …"
Davide Antonacci,5 stars,a month ago,Among the excellences of Cebu. To visit absolutely
Alexander Pinote,5 stars,a month ago,N/A
Rosalie Encienzo,5 stars,a month ago,N/A
Jelai Baconguis,5 stars,a month ago,N/A
Belia B,5 stars,a month ago,It was solemly
Myrene Decano,5 stars,a month ago,"One of the most beautiful churches in Cebu. Also a perfect place to pray & attend mass. Beautiful church interior. Also, I prefer their parking space as it is inside the church premises, and gated. You don't have to worry about your vehicles, since there are also security guards on duty."
Rhea Po,5 stars,a month ago,"Visisted CMC today since my errand is mostly in this area. Attended the mass too. Few people joined the mass since it was noon time.
I do recommend as one of the best ⛪️ to have your wedding here. Parking is also …"
Jayson Val Edulian,5 stars,a month ago,N/A
Jeumont Cabanesas,5 stars,a month ago,N/A
Glofa Hocon,5 stars,a month ago,N/A
Theodore Canja,5 stars,a month ago,Very nice place. The interior is beautifu …
Martin Tang,4 stars,a month ago,N/A
Rocky Espinosa,5 stars,a month ago,N/A
daisyrose domingo,5 stars,2 months ago,Attend mass only
Bobby Magbutay,5 stars,2 months ago,N/A
Teddylyn Barcelona,5 stars,2 months ago,N/A
mario macatol,5 stars,2 months ago,N/A
Homeboy #Stryper Still#,5 stars,2 months ago,N/A
Alicia yT Angeles,5 stars,2 months ago,N/A
Ela Joy Solayao,5 stars,2 months ago,N/A
Nick Chaves,5 stars,2 months ago,N/A
Dante Cabunilas,5 stars,2 months ago,N/A
Antonio Flores,4 stars,2 months ago,N/A
Mark Dennis Ong,4 stars,2 months ago,A big part of Cebu Catholic History. A must for all Catholic. Less crowded compared to the Basilica.
John Clint Iosephvs Pepito,5 stars,2 months ago,N/A
Kristine Mae B,5 stars,2 months ago,I didn't know that this church existed as I only know the basilica but during our tour this is included in our destination and was able to visit a heritage site in Cebu <3
Niña Mayola,5 stars,2 months ago,N/A
Marian Sumalinog,5 stars,2 months ago,N/A
siegfred bacante,5 stars,2 months ago,N/A
Marifi Coutinho,5 stars,2 months ago,N/A
Davix Gle,3 stars,2 months ago,N/A
Ainee Mahusay,5 stars,2 months ago,N/A
JP Remar Serrano,5 stars,2 months ago,N/A
Clay Darylle Dinauanao,5 stars,2 months ago,N/A
Millie Chin (Milliefujii),5 stars,3 months ago,"Free entrance, the church is still open for service."
Hirofumi Kawashima,4 stars,3 months ago,The cathedral was built between the 17th and 20th centuries. Construction was interrupted several  …
Ervillo Malolot Jr,5 stars,3 months ago,Great Place
Cedric James Miatapal,5 stars,3 months ago,N/A
Duy Trương,5 stars,3 months ago,N/A
Travel with Suresh Kumar YouTube channel,5 stars,3 months ago,Very beautiful place and cheap cost for living
Caryl Vincent Doncillo Articulo,5 stars,3 months ago,It's very amazing 🤩 …
Sonii Andres,5 stars,3 months ago,N/A
aemruelos,4 stars,3 months ago,N/A
Marlliam Shekinah Ababao,5 stars,3 months ago,N/A
Chona Manggol,5 stars,3 months ago,"The cathedral's architectural style is a mix of neoclassical and Romanesque revival, with its façade adorned with intricate carvings and reliefs depicting various religious scenes. The interior of the cathedral is equally impressive, with a high ceiling, beautiful stained glass windows, and ornate altars."
