review_user,review_rate,review_time,review_text
Charisse Ponce,3 stars,an hour ago,"Kid-friendly
Good for family and kids
We loved the bird show"
Billy Ray Mallare,5 stars,7 hours ago,N/A
Rhenz James,5 stars,9 hours ago,N/A
ali mooon,5 stars,a day ago,N/A
Eunice Malijan,5 stars,2 days ago,N/A
King Lakwatsera,4 stars,2 days ago,"It's a great experience to see such incredible sea creatures. I suggest that there should be a bigger aquarium inside. It's really much appreciated if there is bigger aquarium inside. Which you can say ""Wow"" If I rate this 1 to 10. I score …"
Elvira Obera,5 stars,2 days ago,Very2x nice to get rid of stre …
daniel catamco,5 stars,3 days ago,N/A
chrispwnisher,5 stars,3 days ago,N/A
Mark Anthony Piamonte Parami,5 stars,3 days ago,N/A
율령TV,3 stars,4 days ago,N/A
Dann Hill Devon Peregrino,5 stars,4 days ago,N/A
BIAO CHAO,5 stars,4 days ago,"Instagram: chaochoooo
It is very suitable for walking around, a very speci …"
chris smith,4 stars,4 days ago,Very good place to go. Just wish there where more food options
Karen Cabañes,5 stars,5 days ago,N/A
jhei bhadz,5 stars,5 days ago,N/A
Curtis Cardwell,4 stars,6 days ago,It was a fun day. Be sure to check out the main tank during feeding and the birds show!
Jerome Sotea,5 stars,6 days ago,Love it.
Patrick Jhon Bustamante,5 stars,6 days ago,Perfect place and experience with your children.
Jun Oka,4 stars,a week ago,An aquarium where you can experienc …
Clarissa Jaluag,5 stars,a week ago,N/A
Alma Labador,5 stars,a week ago,My very First time visit @Ocean Park Cebu city 🥰🥰It's really amazing …
ranaw sale,5 stars,a week ago,Nice
Jackie Araza,5 stars,a week ago,buy your ticket in advance to avoid waiting long lines esp if you go on weekends
Rahkee Ville,5 stars,a week ago,N/A
Arjhei Bontog,5 stars,a week ago,Definitely worth visiting.
Caloy Ruiz,5 stars,a week ago,N/A
K T,4 stars,a week ago,N/A
FILBEN JOHN BROCA,5 stars,a week ago,N/A
Marlon Sungcad,5 stars,a week ago,N/A
Ruby姵如,5 stars,a week ago,N/A
ARIANE VON,5 stars,a week ago,Come and see the beauty and nature here in Cebu ocean park
John Denver Formilleza,5 stars,a week ago,My Child really loves the place even us parents will be amazed.
Donald Obsenares,5 stars,a week ago,N/A
wkybear,5 stars,a week ago,Large variety of ocean animals here! Good to come with children~ good family visiting place!
Desiree Ocampo,5 stars,a week ago,Great place for the family. The place and animals are well taken care of.
Joel Sarita,2 stars,a week ago,Not worth it.
오혜미,3 stars,2 weeks ago,"It was nice to see a variety of tropical fish.
Those who have been to large aquariums or Seocheon Natio …"
Cathleya Dawn Cabetingan,5 stars,2 weeks ago,Very relaxing view of the oceanarium
みつみつ1116,5 stars,2 weeks ago,"Sea Trek is an attraction that dives with helmet diving in the aquarium tank. It was 1200 PHP per person, but it was a very valuable experience. Feeding stingrays and snorkeling is 1000 PHP per per …"
Leonelfa Concepcion,5 stars,2 weeks ago,Great experience with the ocean creatures.
Cato Limås,5 stars,2 weeks ago,A must have when in Cebu.
Mischelle Marie Suico,4 stars,2 weeks ago,"The place is great for all ages.
There are fun activities and interesting interactions with the animals. …"
Michael Heckel,5 stars,2 weeks ago,N/A
Jennifer Velez,4 stars,2 weeks ago,N/A
Mimi Gun,5 stars,2 weeks ago,N/A
medi 0.,5 stars,2 weeks ago,"Nice view. Bring your own camera. Coz there picture is Php300 each. And dont forget to take a pic of the website to download the soft copy of your pic.
Hope next time they offer flash drive with soft copy."
魏Weijunyo,4 stars,2 weeks ago,Nice
Irene Yu,4 stars,2 weeks ago,"❌Expensive goods and restaurant
😃I was just like exploring under the big aquariums.
✔It was a great experience!
✔Must try! …"
Sara Yang,4 stars,2 weeks ago,Cebu Ocean Park is more suitable for  …
Gustav Kullgren,5 stars,2 weeks ago,N/A
Fanny Chen,5 stars,2 weeks ago,"The park is not big. When you arrive in the morning, there are not many tourists. You can …"
장준호,5 stars,2 weeks ago,"A park where you can enjoy restaurants and unique experiences.
Parrots are more l …"
Dumai,5 stars,2 weeks ago,"The restaurant of feeding shows are excellent and food is so delicious.
The restaurant  …"
陳怡恩 Ian,5 stars,2 weeks ago,"It is very suitable for children's attractions, and it will  …"
Steven Henslee,5 stars,2 weeks ago,Great place
Aleksandra Malec,5 stars,2 weeks ago,Great aquadining experience!
Vincent Tagupa,4 stars,2 weeks ago,Loved the whole experience. It's just a bit off that they print so much per picture. It would be good if they reduce the price a bit so that he can enjoy it.
Dana Morgan,4 stars,2 weeks ago,This aquarium is well done and we'll worth the admission price.
Llem Oiced,5 stars,2 weeks ago,Nice for family hangouts...just follow the schedule for bird show and fish feeding for more exciting part.
nOrtz drive,5 stars,2 weeks ago,we see different kind of underwater species including those reptiles.
Jim Mathis,4 stars,2 weeks ago,N/A
Nikko Ouano,4 stars,2 weeks ago,N/A
Edgar Rivera,4 stars,2 weeks ago,N/A
Mandy Chen,4 stars,2 weeks ago,The underwater experience i …
Oli Kolie,4 stars,2 weeks ago,N/A
Andrei Francisco,5 stars,2 weeks ago,N/A
D Calungsod,5 stars,2 weeks ago,"The adventure and sight seeing in this wonderful ocean park was super enjoyable. The ticket price was really worth it and the staff was very friendly. Though, expect a lot of people especially in the 360 Acrylic tunnel. Overall we really enjoyed the tour!! 😁 …"
Cristin Julian,5 stars,3 weeks ago,N/A
Audrey Quider,5 stars,3 weeks ago,N/A
Mau Mau,3 stars,3 weeks ago,DO NOT eat there. The food at the restaurant was too expensive for its quality. It did not taste good at all. We ordered six kinds from their menu - some were bland and some we just could not appreciate the taste. The fish was also …
Leigh Sio,5 stars,3 weeks ago,N/A
Catherine Cequina,5 stars,3 weeks ago,N/A
Ariel Sotaridona,5 stars,3 weeks ago,Perfect venue for events!
Jonathan Andrie Fabi,5 stars,3 weeks ago,Best experience i ever had entrance is cheaper on weekdays than on weekends and holiday
Russell Anthony,5 stars,3 weeks ago,N/A
Ruth Ready,4 stars,3 weeks ago,N/A
Kareen Khate Magno,4 stars,3 weeks ago,N/A
Levy Bagalihog,5 stars,3 weeks ago,It was fantastic
Eva Boquinquito,5 stars,3 weeks ago,N/A
willard mcdaniel,5 stars,3 weeks ago,Awesome place to take kids. Very clean place. You can touch some of the animals. A must see. Great place to take kids.
john haymer,5 stars,3 weeks ago,N/A
George Seferian,5 stars,3 weeks ago,N/A
Jenesa Ragandap,5 stars,3 weeks ago,N/A
titing laagan,3 stars,3 weeks ago,N/A
Rob Kuehne,5 stars,3 weeks ago,It was a great day and very exciting.
Riga Pescadero,5 stars,3 weeks ago,Family friendly and well organised. Loved the bird show!
edmund badal,5 stars,3 weeks ago,we love it!
Mariel Rala,5 stars,3 weeks ago,N/A
yu chen,3 stars,3 weeks ago,"800P for foreigners on weekends, the meaning of …"
趙羽茜,5 stars,3 weeks ago,N/A
Joeanna Liper,4 stars,3 weeks ago,N/A
Belle Pelanio,5 stars,4 weeks ago,N/A
James Guiregay,5 stars,4 weeks ago,N/A
Allen Manx,2 stars,4 weeks ago,"Better to go at Manila Ocean Park than here, you will be wasting your time and money."
Arniel Escuadro,5 stars,4 weeks ago,N/A
Y R I Z,5 stars,4 weeks ago,The bestttt experience!!! It's so beautiful here …
masaki tsukagoshi,3 stars,4 weeks ago,N/A
Nhian B. Dagdagan,5 stars,a month ago,"Cebu Ocean Park offers a captivating aquatic experience! The variety of marine life on display, from colorful fish to majestic sharks, is truly awe-inspiring. The tunnel walk-through surrounded by ocean creatures is a highlight, making you …"
Mark Joseph Valencia,5 stars,a month ago,N/A
Yam Danielle,4 stars,a month ago,"My boys had a lot of fun! We enjoyed a lot and we tried the restaurant. We were able to watched the bird show. However, my kid was looking for a dolphin 🐬 show🤩 …"
Ma. Rosalie Mabida,5 stars,a month ago,N/A
adam4999,5 stars,a month ago,Amazing aquarium in Cebu!  It will always hold a very special place in my heart!
Tilman Felix Fliegel,5 stars,a month ago,"Very nice aquarium and terrarium. Especially a lot of fish, which you can also see in the sea here. You can also book underwater ""walks"" in the huge pool, a great experience for someone who has never dived."
Jason Chu,4 stars,a month ago,"Relatively inexpensive for what you get to see. However, it is a bit small and my kids walked through the entire park in about an hour."
MK Management,5 stars,a month ago,"We loved it. Came eith our son, plenty to do restaurant has good food and a giant glass aquarium to watch while you eat and the food is very reasonably priced which i was surprised about. Staff is wonderful and accommodating."
游凡萱,4 stars,a month ago,restau …
Maynard Cabellon,5 stars,a month ago,Very nice experience and the aquariums and variety of sea life and reptiles was very good.
ole frederiksen,4 stars,a month ago,N/A
M,5 stars,a month ago,N/A
Denzel Solutan,5 stars,a month ago,N/A
Runar Skretteberg,4 stars,a month ago,Fantastic great lot to look  …
Phước Duy Nguyễn,5 stars,a month ago,Great. Birds are very intelligent. Nemo fish is so beautiful.. …
