review_user,review_rate,review_time,review_text
ranaw sale,5 stars,a day ago,Nice
Dino Batain,5 stars,a day ago,"I love the place! I was able to explore the history of Cebu. This museum prompts me to reflect on my Cebuano heritage and its significance. The museum presents numerous historical details, mainly through artifacts. The highlight of my visit …"
Ann Kristine Peñaredondo,5 stars,2 days ago,"This museum is a must-see because it showcased the best of Cebu's people, faith, and origins."
Jose Carcabuso,5 stars,5 days ago,"Had the opportunity to witness their history. The tour guide is so good at explaining. They are having their internship here, I forgot their school."
Jerome Tunacao,5 stars,5 days ago,N/A
Joel “Hugot ni Pokyaw” Matas,5 stars,5 days ago,It's like time travelling
Patrick Jhon Bustamante,5 stars,6 days ago,Best experience when you visit the place. So many things you will learn from here
James Agreste,5 stars,a week ago,N/A
Awoo Sangalang,4 stars,a week ago,N/A
Shawi Cortez,5 stars,a week ago,"Museo de Sugbu was a pleasant surprise!

I got to appreciate Cebu more because of how simple its history was presented. …"
Sam Bendo,5 stars,2 weeks ago,We enjoyed our visit to the Museo Sugbo since it had very rich display of Cebu’s amazing history. It gave us more reasons to appreciate Cebu’s rich culture. The displays are well chosen and one thing that we are also thankful for was for …
Christine Matignas,5 stars,3 weeks ago,N/A
Reygie James Langamen,4 stars,3 weeks ago,It's nice
Medward,5 stars,4 weeks ago,"Unexpectedly brilliant ! Thought this place would be boring, but some things just exceed expectations !"
Noli Me,5 stars,a month ago,"A must visit in Cebu! You will learn a lot of things. 50 pesos entrance fee with tour guide. Well, it's not easy to talk for a long time so better to give them a tip. 🤗 …"
Joseph Palmer,5 stars,a month ago,My guide provided a detailed history of Cebu. Well worth the time.
Marieann Palermo,1 star,a month ago,N/A
Jhon Stephen Rebusa,5 stars,a month ago,"The Cebu Provincial Museum is a cultural institution located in Cebu City, Philippines. It is dedicated to preserving and showcasing the rich history, art, and cultural heritage of the Cebu Province. …"
Jocevel Ventura,5 stars,a month ago,N/A
Abelardo Altamira,5 stars,a month ago,Cool
Ramon B Jr Mira,5 stars,a month ago,"a good place to know or see historical
events and artifacts."
kishen amarnath,5 stars,a month ago,Nice history collection and guide. Truely enjoyed the collection and information.
Dick Lapitan,3 stars,a month ago,N/A
Chad Atwell,5 stars,a month ago,"The museum is clean and easy to navigate, with multiple buildings to explore. You'll be pleasantly surprised by many of the things you see there."
duke “yoshi” lenshow,4 stars,a month ago,A must visit if  …
Ray Harker,4 stars,2 months ago,N/A
Rio de la Cruz,5 stars,2 months ago,N/A
Chua Hsieh Li,4 stars,2 months ago,N/A
Rhorey Jhenn S. Ello,5 stars,2 months ago,I'm not from Cebu but it's exciting to know the history behind their culture. Great environment and offers various galleries to visit and if you're a student you can get discounts for their entrance fee.
Eliel Maurel Torno,5 stars,2 months ago,"If you're into history, this is the place to know more about the history of Cebu"
Leonardo Aniel,5 stars,2 months ago,N/A
구르믈버서난달 (gooday2day),5 stars,2 months ago,N/A
Josiah Wadsack,5 stars,2 months ago,"Fantastic little museum about Cebu Island from prehistory through WW2. The permanent collection is three large rooms, lots of artifacts and good descriptions. Also have three small rooms for rotating exhibitions (mostly about minor topics …"
Jan Carpio,5 stars,2 months ago,It’s amazing to personally see the historical artifacts in this museum which was something that we only see and read on textbooks before. This proves how rich the history and culture of Cebu especially evidences of the coming of Spaniards and how Philippines were transformed into what it is today.
도현김,5 stars,2 months ago,N/A
김형석,1 star,2 months ago,noth …
Inocencio De la Torre,5 stars,3 months ago,N/A
Garip,5 stars,3 months ago,Absolutely great! This is where Filipino history is at home!!!
林紋奾,4 stars,3 months ago,A bit small but nice
Noobelist,5 stars,3 months ago,The place was lively and full of relics of the past. You can really immerse yourself in the history of Cebu.
Ivy Lubiano,4 stars,3 months ago,N/A
Pete Lewis,5 stars,3 months ago,Felt like the past lingers inside my mind. 😁 …
Martin Signer,5 stars,3 months ago,N/A
Joneaj Luke Bibangco,5 stars,3 months ago,"must visit in Cebu City

-M to F (9am to 430pm)"
John Carlo Ruiles,5 stars,3 months ago,N/A
坂下雄一,5 stars,3 months ago,N/A
Brad Zurehc Ancajas,5 stars,3 months ago,amazing place..
Daniel Neather,4 stars,3 months ago,N/A
Double Z,5 stars,4 months ago,The museum is housed in a stunning Spanish-era house that has been lovingly restored to its original glory
Dominic Quizon,5 stars,4 months ago,N/A
Brent Cerdena,5 stars,4 months ago,Gives you a tour of the whole Historic Cebu if you're time-strapped. Nice curations of Cebu artifacts. Some exhibits aren't locally sourced though.
lester cabaltica,5 stars,4 months ago,N/A
Glaiza Moreno,5 stars,4 months ago,Hopefully more trees to be planted.
Jonathan Samuya,5 stars,4 months ago,N/A
유영욱,5 stars,4 months ago,"There was more to see than I thought.
It was also a time to study the history of …"
B Arendt,5 stars,4 months ago,"It was better than expected. First of all, all the staff are friendly and welcome you. The building is nice too. The two large trees in the spacious courtyard were really impressive. There was also a head of Tolsto …"
Rejulios Villenes (Rej Ville),5 stars,5 months ago,Love the place and its story behind every hisyory.
Thibault,5 stars,5 months ago,N/A
Kirk,3 stars,5 months ago,N/A
Lin Chuch Cheng,5 stars,5 months ago,The guide spoke good English and I learned a lot about the history of Cebu from the tour which I wouldn't have if I didn't come to the museum.
Aldrine Desengano,5 stars,5 months ago,N/A
Mikhail Zvezdin,5 stars,5 months ago,"I recommend.
The whole history of Cebu. A very carefully selected co …"
Costas Ios,5 stars,5 months ago,N/A
hyojin Chong,5 stars,5 months ago,Know the history of the Philippines fro …
Travis Hansen,5 stars,5 months ago,Lots of interesting exhibits. Can get a guided tour as well.
Daniel,3 stars,6 months ago,"Almost all section in the building at the inner compound (back) was closed due to renovation. The museum itself is small (expect not more than 1 hour) and old (building wise, and how the exhibits are presented). One good thing about the …"
Ludwig Simbajon,5 stars,6 months ago,N/A
zavash zarei,1 star,6 months ago,"Walked 1.5 hour to get to, guards sitting inside would not let any body in say it was closed because of holiday, what holiday I ask he Could not think of name"
Nikos Karaportis,5 stars,6 months ago,N/A
Gerodias Emee,5 stars,6 months ago,N/A
Kyle Murphy,5 stars,6 months ago,The museum itself is very old and contains artifacts free dating the 1600s in the 1700s the way everything inside the museum is as well-kept the people there care for the items as there is just so much love and appreciation for the Filipino …
Ekaterina Danshina,5 stars,6 months ago,N/A
bubble Santillan,5 stars,6 months ago,N/A
RAYMOND PERUCHO,2 stars,6 months ago,"I just found out that if you left something, the staff won't bother to call or inform you. I left my change of 950 pesos. After a couple of hours that left the museum, I just remembered that I had forgotten to take my change from the …"
René de Rochemont,5 stars,6 months ago,Great to learn about the history of Cebu!
Jonathan Chow,5 stars,6 months ago,N/A
EMY GONZALES,5 stars,6 months ago,N/A
Angelo Marion Ramos,5 stars,6 months ago,N/A
emz mazaku,5 stars,6 months ago,N/A
Harry Monleon,4 stars,6 months ago,Every museum has lot of educational stories to offer and Sugbo Museo is one operated by the Provincial Government of Cebu. …
Jose Maria Mendieta Pessy,4 stars,6 months ago,It is not very big and there is no a …
이건호,3 stars,6 months ago,"About half of them are under renovation
The prison is recycled, so it smells pleas …"
Ocean Green Massage,5 stars,6 months ago,Nice place
배성은,5 stars,7 months ago,N/A
Chili Red Arowana,4 stars,7 months ago,"Small museum, but good place to get intro into philipines and cebu history. I dont think its very comprehensive, but it has alot of vintage stuff, like ww2 rifles, guns, bank notes, uniforms.. its worth a pop by. By the way its not free of charge like some reviews say, i guess maybe foreigners have to pay 50pesos per pax"
Stanislas Vernet,4 stars,7 months ago,Good place
Rexcel Lagare,5 stars,7 months ago,N/A
Jan Vincent Francisco,5 stars,7 months ago,A glimpse of Cebu's history
Hope Yu,5 stars,7 months ago,Books! And reading activities!
Ben B,5 stars,7 months ago,"Very interesting museum, really enjoyed learning about Cebu."
Abhishek Parikh,5 stars,7 months ago,Good to visit if u r interested in knowing history.
Elianah Ursal,4 stars,7 months ago,N/A
Johara Solon,4 stars,8 months ago,N/A
rhyu kho,5 stars,8 months ago,The place is full of knowledge and history of cebu.. they have tour guide sometimes but if no tour guide it is okay the pictures and details are clear to understand. …
Bryan Narte,5 stars,8 months ago,N/A
William Yap,5 stars,8 months ago,Great place to learn about Cebu City and Cebu Province historical events and information
Dan Co,4 stars,8 months ago,N/A
STEPHEN CHOW,5 stars,8 months ago,N/A
공진웅,5 stars,8 months ago,"Do you want to know history of Philippines
Come here
If you are curious abou …"
Christie Ann Coronel,5 stars,8 months ago,N/A
Indrek Tiits,5 stars,8 months ago,Good palce to learn local history
Cebu Best Wedding and Events Planner JadePaghubasan,5 stars,8 months ago,N/A
Negro Amaw,5 stars,8 months ago,N/A
Shannien Llavore,5 stars,9 months ago,N/A
Juper Sereñina,5 stars,9 months ago,N/A
Yvan Boulet,5 stars,9 months ago,An enriching visit on the history of the Philippines. Small friendly museum to visit. Little frequented. Low entry fee 50php
Cheryll Celerio,5 stars,9 months ago,Here are museo sugbu it's a heritage place...and it's nice to visit here...and the place are so nice...and this place along where I live...
nazeeha11553,4 stars,9 months ago,N/A
Joan Delgra,5 stars,9 months ago,N/A
Laloy Laagan,5 stars,9 months ago,"for those who wants to learn more about our history, lineage and culture this is a must place to visit."
Glenn Tarle,5 stars,9 months ago,N/A
Harry Zabala,5 stars,9 months ago,N/A
Eugenio Valentos,5 stars,9 months ago,N/A
Jose Mari Orlanda,5 stars,10 months ago,"In my opinion, the best and most complete museum in Cebu in terms of artifacts on display. Has several galleries too."
Stephanie Jane Sabiona,5 stars,10 months ago,N/A
Rhea sabay,4 stars,10 months ago,"Recently went there with fam, it's amazing how they store the artifacts. It's good for people who are interested in history.."
ROSITA TANGPOS,5 stars,10 months ago,N/A
Angeli Gabines Soterol,5 stars,10 months ago,N/A
claro bolanio,5 stars,10 months ago,Rich in cultural heritage evidenced by the preserved stone houses and artifacts...
T H,4 stars,10 months ago,"Interesting, a part is unfortunately under renovat …"
Travis,3 stars,11 months ago,N/A
Henry Pavey,5 stars,11 months ago,"The best local museum in the area, definitely a must see attraction. 👍 …"
guillermo imperio,5 stars,11 months ago,N/A
Jan Carlo Gozon-Casupanan,5 stars,11 months ago,"Awesome museum! To top it off, we met Atty. Chel Diokno! What a wonderful coincidence! Kudos to the curator and volunteer students for the fun-filled journey back to the past. The highlight for me was the exhibit on the 500th year of Spanish colonization."
Jacqueline Calnea,5 stars,11 months ago,The place is historical. Good artifacts.  Kudos to the City of Cebu for this free entrance. museum.
Smith Smith,4 stars,11 months ago,"Lots to see of documented Cebu history, helpful staff, free admission"
Brandon Tablada,5 stars,11 months ago,N/A
Blaze Latiada,5 stars,11 months ago,Super beautiful!!!!! I really love museums and super highly recommended 👌especially if you're like me who is curious to see objects from the …
ro gen,5 stars,a year ago,history at it's finest!
murat cakan,5 stars,a year ago,"The owner is a very warm and sincere person.  He is very knowledgeable on many subjects.  While visiting the museum, a guide accompanies you and tells you all the details.  There is an entrance fee of 100 pesos."
now shawing,5 stars,a year ago,N/A
Sho Kuma,4 stars,a year ago,Admis …
Rey “Rjadane” Adz,5 stars,a year ago,Historic place... a must see and visit...
Bertold Gams,4 stars,a year ago,"Good overview about the history of th Philippines, with a focus on Cebu, which was called Sugbu in the pre-colonial days. No entrance fee."
eloisa arcibal,5 stars,a year ago,"Great Musuem and People, all of them are friendly I will come back again, shout out to those intern that I met last July, they deserve a high rate for on the job training. …"
P B,5 stars,a year ago,"Accomodating staff. Very neat place.
If the tourist is a history lover, it'll be a fun place to visit."
Kenichi Mochizuki,5 stars,a year ago,N/A
Marie Towers,5 stars,a year ago,A very educational and informative part of Philippine history.  Highly recommended for all especially locals.
Marii,4 stars,a year ago,"As of July 12, 2022 — There was no entrance fee and zero wait. There were a lot of sections under construction about 6-8 sections. …"
kirby pabuaya,5 stars,a year ago,N/A
James Guerrero,5 stars,a year ago,N/A
Jee-Ann Gallano,5 stars,a year ago,N/A
ETHAN PEREZ,4 stars,a year ago,N/A
Marlon John,5 stars,a year ago,I highly recommend the place for all visitors - local and foreign. It details Cebu history very well in a structured and organised way. Staff are helpful and guides you. The place itself is interesting as it used to be a jail and now …
Reniel Philip Mindanao,4 stars,a year ago,N/A
Dennis Hora,5 stars,a year ago,Educational
riza gabonia,5 stars,a year ago,N/A
Juhani Takala,4 stars,a year ago,Nice small museum for a short trip. Guidance available from staff
Ma. Christine Tejedor,5 stars,a year ago,N/A
iamEddinofCebuPH,3 stars,a year ago,N/A
Helen K,5 stars,a year ago,"Several rooms on different topics. Part of the museum under reconstruction. For learning about the history of the country, this is the best museum in Cebu in my opinion. No entrance fee."
Ikram Haque,5 stars,a year ago,Great place to get a good summary of Cebu and Filipino history in general. Very well organized and the displays are very educational.
Emek Durmuşoğlu,5 stars,a year ago,"It was the most informative museum about Cebu's history. The admission is free. There are many galleries. Among the many attractions in Cebu, we liked the Cebu Provincial Museum the most. Hidden gem."
Ramel Victoriano,4 stars,a year ago,N/A
Alena Pavlova,4 stars,a year ago,"Nice & cool
Older exhibition but also very new about Magellan, Elcanto or traditional food sources"
danzteo 000,5 stars,a year ago,N/A
Michael Maravilla,5 stars,a year ago,N/A
Marc Gateman,3 stars,a year ago,N/A
Scott Goodson,5 stars,a year ago,N/A
Marek Rozwadowski,4 stars,a year ago,N/A
Tomasz Łuczak,5 stars,a year ago,N/A
Fran S,4 stars,a year ago,N/A
Anna Aquino,5 stars,a year ago,Breathtaking experience. Excellent artifacts and collections.
zakiii L33,5 stars,a year ago,Good place to visit many to see highly recommended 😃 …
joseph inrek,4 stars,a year ago,N/A
rose maluya,5 stars,a year ago,N/A
Pigsat TV,5 stars,a year ago,"It was awesome, personnel are approachable and very professional"
Cal Navalta,4 stars,a year ago,N/A
Jhay Salas,5 stars,a year ago,N/A
Colin R,4 stars,a year ago,It's nice
Julius Theo Castroverde,5 stars,a year ago,N/A
chef mels cuisine,3 stars,2 years ago,N/A
anex tv,5 stars,2 years ago,N/A
Debbie Puerto,5 stars,2 years ago,N/A
Ivy lampa,3 stars,2 years ago,N/A
Nesley Cate Librea,5 stars,2 years ago,N/A
Jom Ampit,5 stars,2 years ago,N/A
Daph Bacus,5 stars,2 years ago,N/A
Deme Invento,4 stars,2 years ago,It tells the significant history of our land - Cebu is the place of famous heroes!
Jhaz,4 stars,2 years ago,"When I visited the place today, there were not many people.. its June 12, the rooms are air conditioned and the items and antiques are well maintained.. the guard is very accomodating."
Kelvin John Ferrer,5 stars,2 years ago,N/A
Al Jay Mejos,5 stars,2 years ago,Free of charge! Very nice to know your culture and history.
Narciso levy Rubillar,5 stars,2 years ago,N/A
kariejasnicamela Nathanielvince,5 stars,2 years ago,N/A
Generil de los Santos,5 stars,2 years ago,N/A
edison cabilin,5 stars,2 years ago,N/A
YUMMY DOG,5 stars,2 years ago,N/A
Artemio Bernales,5 stars,2 years ago,Good
Just Mikaeltan,1 star,2 years ago,N/A
Cathleen Kay Barte,5 stars,2 years ago,N/A
Netz Navarro (Netz),5 stars,2 years ago,N/A
honeylyn aunzo,1 star,2 years ago,N/A
Nasrudin Abdul,5 stars,2 years ago,N/A
Lisandro Serino,4 stars,2 years ago,Cool
Sid Mendoza,5 stars,2 years ago,kurdt coburn
Kelvin Tugaon,5 stars,2 years ago,"I love this place, Campbar San fernando."
Dodoy Alada,5 stars,2 years ago,N/A
norbs anila,5 stars,2 years ago,awesome place
Jonel Marianito,5 stars,2 years ago,N/A
Omar Salazar,5 stars,2 years ago,Nice
yamatake c,5 stars,2 years ago,N/A
Angelie Carcuevas Amoyan,5 stars,2 years ago,N/A
Ching Matthews,5 stars,3 years ago,Thinking what place to visit next? Then I got something for you in MUSEO SUGBO IN CEBU 😍. You'll really get mesmerized by the authenticity of the historical things and stories in Cebu ☺️. …
Shaheensaaa Sam,5 stars,3 years ago,excel …
Ronald Anthony Ibanez,5 stars,3 years ago,N/A
Panda,5 stars,3 years ago,N/A
Emman Castillo,5 stars,3 years ago,N/A
C Sta.Maria,5 stars,3 years ago,N/A
sharon mor,5 stars,3 years ago,N/A
Christopher Pohlmann,5 stars,3 years ago,Awesome and free
Ellesor Cristy Zaldarriaga,5 stars,3 years ago,N/A
Riva Hazel Rada,5 stars,3 years ago,N/A
Chara Espaldon,4 stars,3 years ago,"Small museum in the heart of Cebu city, interesting info inside!"
Michael Shoor,3 stars,3 years ago,N/A
