review_user,review_rate,review_time,review_text
Lena RO,3 stars,a day ago,Nice temple from the outside but we wegrennt allowed on the upper Plattform and the inside due to face masks requirements. Sadly there were no face masks purchasable und the guard was a little bit unfriendly.
Me ss,5 stars,2 days ago,"You have to wear a mask, it  …"
Marc Zwillinger,5 stars,3 days ago,"Nice experience! You don't have to pay for parking or entry. As you approach, there's a guard house, you need to leave your id and continue to the Temple. I guess it's all private property there. Don't worry though they don't charge money …"
Adrian Dziaduszek,4 stars,4 days ago,"Chinese temple in Cebu City. It is a nice quiet place to check out. You will see here traditional architecture common in China.
To respect the sacral element of the place You should avoid taking pictures of their sacred areas and be quiet.
Entrance is free."
Romeo Paquio,5 stars,4 days ago,N/A
Andrew Fitzgerald,4 stars,5 days ago,Very decorative.
Prince_B612 Little,3 stars,6 days ago,I went on a C …
Harry Monleon,5 stars,a week ago,N/A
GM IRLANDEZ,5 stars,a week ago,N/A
Casandra Verbraecken,5 stars,a week ago,We came here for a day tour and it was very amazing.
Natalie Marie Deslate,4 stars,a week ago,"No mask no entry
With souvenir shop inside"
David Mah,3 stars,a week ago,spent maybe 10mins here? not much to see and you still need to wear a mask.
Jenesa Ragandap,5 stars,a week ago,N/A
SeungHyun Lee,4 stars,a week ago,"A good place to visit in Cebu City.
There is no admission fee, but you must wear a  …"
Teo Chloe,2 stars,2 weeks ago,"Decent taoist temple. Advisable to wear proper clothings (shirt and jeans) as they do not allow people to pray to the deities. No photo taking on the statues. However, the external surrounding and view are still available. Wouldn't advise …"
AA A.,4 stars,2 weeks ago,"It was a good experience, we pray here and roam around the surroundings and you can take photos"
Sieun Kim,3 stars,2 weeks ago,It's nice to see.. It's n …
John Supilanas,5 stars,2 weeks ago,N/A
Ailene GDR,5 stars,2 weeks ago,N/A
John Rosal,4 stars,2 weeks ago,N/A
Mark,4 stars,2 weeks ago,"Prepare your masks because at this time, they still don't let unmasked people inside. Prepare also to climb quite a number of steps. They also don't let people to take photos inside  the shrine out of respect."
Jules Larrobis,5 stars,3 weeks ago,"Breathtaking view of Cebu from atop the hill, peaceful and serene as would be expected of a temple. You have to be mindful that taking pictures is OK as long as the statues of the deities are not included in the photo even if they're just …"
Cristiano Emmanuel Papalid,4 stars,3 weeks ago,N/A
Kristine Mae B,5 stars,3 weeks ago,"Free entrance with allotted parking space for visitors. You just have to make sure that your knees are prepared for their stairs, one of the visitors I saw as an elderly and they did not proceed because it's too high and they got tired in …"
Alibasher Macalnas,4 stars,3 weeks ago,It a lovely place.
Tariq Zada,5 stars,3 weeks ago,N/A
Jhon Stephen Rebusa,5 stars,3 weeks ago,"Perched on a hill in Beverly Hills Subdivision, Cebu City, Philippines, the Cebu Taoist Temple stands as a renowned religious site, drawing both tourists and devotees. Constructed in 1972 by the local Chinese community, it serves as a …"
Jm Epile,5 stars,4 weeks ago,Beautiful temple
sergey Ignatyev,4 stars,4 weeks ago,Good place with free entry. With view of beverly hills.
Jorge Wynno,1 star,4 weeks ago,Taoist temple wants you to wear facediapers. We walked out. I am pissed....hahaha
Gem B.,5 stars,a month ago,Very quiet place...
Angel Ybanez,3 stars,a month ago,N/A
doo Doo,5 stars,a month ago,"The Philippines is Catholic, but it is the only Taoist temple in Cebu that is located in a wonderful pla …"
Hanna Razhelle Cabarco,5 stars,a month ago,N/A
Staana Anafridez,4 stars,a month ago,N/A
rijelyn magpusao,5 stars,a month ago,Great place for meditation.
Rh Ea,4 stars,a month ago,N/A
adrian David,2 stars,a month ago,N/A
Scotty,2 stars,a month ago,"Unimpressed with the lack of care or maintenance, most of the ponds had no water, fountains not only a few with koi (fish).
They're still playing the COVID mask scam, won't let you go in without buying a …"
Mylene Lagancia,5 stars,a month ago,You should not miss this place on your itineraries when you visit Cebu. It's a free entrance fee. This place is super instagramable. …
Abelardo Altamira,5 stars,a month ago,A worship place
Zahurul Hakh,4 stars,a month ago,N/A
Jheena Ramos,5 stars,a month ago,N/A
笛布斯顗賚,4 stars,a month ago,The Taoist tourist attract …
John Aaron Cancio,3 stars,a month ago,N/A
Eugene “Geno” Eugenio,1 star,a month ago,"When you read the board and the same people who guard the place can't understand plain english , it ruins it for everyone. Instruction was simple  , learn how to read english if you're working here."
Thirugnanam Balassubramanian,4 stars,a month ago,N/A
Marichu Siegue,4 stars,a month ago,N/A
Bích Ngọc Nguyễn,4 stars,a month ago,"As a Vietnamese, Chinese, you must find the architecture of this temple too bt. K has a very special j. Westerners pr …"
Kyrusky Tampepe,5 stars,a month ago,N/A
Jürgen Tomaschewski,4 stars,a month ago,"Beautiful, but not the mega event."
CJ Lin,4 stars,a month ago,Brightly colored pagodas a …
Dick Lapitan,3 stars,a month ago,N/A
Hector Carrillo,1 star,a month ago,A temple should be open for anyone looking for a spiritual experience and they seem to be not that open. A lot of restrictions you can’t concentrate yourself as the security is watching what you are doing wrong
Ron B.,5 stars,a month ago,"Beautiful taoist temple. It was a hot day when we went, but the beauty, architecture and ambience of the place was nice. You get quite a good view from the top. Taking photographs inside the shrines and alters is prohibited."
Allan Alcantara,5 stars,a month ago,N/A
duke “yoshi” lenshow,2 stars,a month ago,A cheap theme park whe …
The Calling To Saved life,5 stars,a month ago,N/A
Carlye Daugird,4 stars,a month ago,N/A
allan jones,5 stars,a month ago,solemn they are silent in …
Renoah Manlucot,5 stars,a month ago,N/A
Norman Gonzales,5 stars,a month ago,N/A
Imfame Eranela,4 stars,a month ago,N/A
Charlemagne Fabillar,5 stars,a month ago,N/A
Angel Corete,4 stars,a month ago,Spectacular religious display.
Arnold Reyes,5 stars,a month ago,N/A
Adel Neri,5 stars,2 months ago,N/A
Sam Hpoo,3 stars,2 months ago,This was an ok place. I wasn't too happy about having to p ut on a facemask even though the pandemic is over. There are lots of stairs and it just made it uncomfortable. Other than that the buildings were what you would expect them to be.
Art III Masbate,5 stars,2 months ago,N/A
유순식,4 stars,2 months ago,N/A
Ivy Tabaranza,5 stars,2 months ago,"Good place, far from the guard house, motorcycles are not allowed to enter …"
Bong Abe,5 stars,2 months ago,N/A
angelito enigmax,5 stars,2 months ago,We where here
Maria,5 stars,2 months ago,Thia place is a must visit when you go to cebu. No entrance fee but is well maintained. The buildings here are work of art. You just have to observe silence because this place is a temple and must be respected.
James Adams,5 stars,2 months ago,Very beautiful place to visit i am an American but I love the culture of the culture of the people
Kathreen Fernandez,5 stars,2 months ago,N/A
Reggie Tiu,3 stars,2 months ago,N/A
feng ni,5 stars,2 months ago,very good
Ryan Read,5 stars,2 months ago,Beautiful temple. Wonderful views and photo opportunities.
HECTOR GALLEPOSO,5 stars,2 months ago,"If you want a quiet & relaxing place to visit, then don't miss to visit this place. A beautiful overlooking view of Cebu City can be seen here."
Antti Tee,5 stars,2 months ago,Authentic taoist temple. Free entrance and very beautiful architecture. No picture taking inside the shrine and you should also respect the place and people there by remaining silent as there are people praying inside. They also require you to wear a facemask so be sure to bring one.
Jan Cristen Butron,5 stars,2 months ago,very gloomy and sparsely populated.
Jazzle Fe Demapitan,4 stars,2 months ago,N/A
Van,3 stars,2 months ago,2023-06-03 Very annoying - no mask no entry. For God's sake this place is outdoors
Thea Ocray,5 stars,2 months ago,N/A
Apple Lozada,5 stars,2 months ago,"The place is nice and peaceful. No entrance fee, just make sure you have a mask ready.
I went there with a taxi cost me like ₱50 from the subdivision gates. …"
Mariusz Polak,5 stars,2 months ago,Okera
YS LEE.,3 stars,2 months ago,"Free admission, free parking,
A place worth stopping by if you really have nowhere  …"
Frank Strikeland (Frank),5 stars,2 months ago,"A good place for picture taking, just make sure to respect the temple and the religion."
Bilal Ahmad,5 stars,2 months ago,It looks like a Japan but very high from the ground was hard to go through long stairs but was a good experience
Reagan Ronald,5 stars,2 months ago,N/A
Thatsanee Thatsanee,5 stars,2 months ago,"It was a beautiful, clean, pea …"
Purushoth Kavi,5 stars,2 months ago,N/A
Win Guisando,5 stars,2 months ago,N/A
Dietmar Westenfelder,4 stars,2 months ago,N/A
D J,3 stars,2 months ago,Still wearing masks even though to get into the country you have to be updated on shots and I can guarantee these guys aren't paid good enough to even care but I was minding my own business 20ft away from anyone and was still asked to wear a mask as I was doing a vlog but otherwise pretty nice views up here.
Cherish Buen Mosuela,5 stars,3 months ago,N/A
Mariedone Mismisin,5 stars,3 months ago,"Sacred place of the Taoists, well preserve …"
Steve Peterson,4 stars,3 months ago,N/A
Derek Bowen,2 stars,3 months ago,I love touring temples but this one turned me off because wearing a face mask was mandatory and you weren't allowed to take pics inside any of the temple structures.  They wouldn't even let you take pics of the front of the temple.  You …
Jefferson John Rayo,4 stars,3 months ago,Taoist Temple in the heart of Cebu
Ximo Romero Esteve,2 stars,3 months ago,"The temple is cool, somewhat neglected, however we did not like that for some parts women have to cover up to their knees and men do not."
Pierre Sumogue,3 stars,3 months ago,N/A
Clyve,3 stars,3 months ago,N/A
Alpha Bravo,1 star,3 months ago,"Despite having to climb 100s of stairs the staff chase you around and tell you to pull your mask up. It's May 2023. This is dangerous and beyond ridiculous. Avoid this place until they ""follow the science"""
Erich Vincent,5 stars,3 months ago,N/A
나의 일상,5 stars,3 months ago,"Why is no one talking about masks?
You must wear a mask to enter.
Fortunately, the  …"
praxene albiso,5 stars,3 months ago,N/A
WEERAPRIYA,5 stars,3 months ago,N/A
Prkyana,5 stars,3 months ago,ganda here!
Sheila May Javillonar,5 stars,3 months ago,N/A
TheAnatoly1,5 stars,3 months ago,Peaceful
Ruschelle Guevarra,5 stars,3 months ago,N/A
K S,3 stars,3 months ago,Just good to be once
Robert Houba,5 stars,3 months ago,N/A
Krisna Ciudad,5 stars,3 months ago,N/A
Herson Fajardo,5 stars,3 months ago,No picture allowed specialy inside the temple. Be quiet and respect those who are praying.
Policarpio Princesslyn,5 stars,3 months ago,N/A
jigger cris,5 stars,3 months ago,N/A
Silver Bull,5 stars,3 months ago,Really worth seei …
Therblig Gamzie,5 stars,3 months ago,Nice place to meditate and pray
Ben Colletti,5 stars,3 months ago,Such a peaceful place with a fantastic view of the city.
Donna Mae Pabiona,4 stars,3 months ago,N/A
Petr Muzik,4 stars,3 months ago,Worth a visit if you are in Cebu-Manila....there is a special atmosphere.. …
坂下雄一,4 stars,3 months ago,N/A
Carms Yang,5 stars,3 months ago,N/A
Jonniel Tanoco,5 stars,3 months ago,N/A
Alejandro Garcia,5 stars,3 months ago,N/A
mike scot,1 star,3 months ago,"Horrible place to go.  Couldn't take pictures, had to wear a mask. if you don't reserve a cab, you'll be stranded there.  Definitely not worth the cab fare to go.  We went and were out of there in less than 5 minutes."
Letlet Valdez,4 stars,3 months ago,"a bit tiring climbing up at the Temple, yet, when you get there, its worth it"
BGB,4 stars,3 months ago,N/A
Nowi Abdallah,5 stars,3 months ago,N/A
Pieter,4 stars,4 months ago,N/A
