review_user,review_rate,review_time,review_text
xhiang anasiur (xiang),5 stars,3 days ago,N/A
rainier getuaban,5 stars,a week ago,N/A
Stephanie Rebaca,5 stars,2 weeks ago,N/A
loi antolihao,5 stars,2 weeks ago,N/A
Dan Joseph GONZALES,5 stars,3 weeks ago,N/A
Derek Borromeo,5 stars,a month ago,N/A
Shawn Jude Salan,4 stars,a month ago,N/A
Mark Anthony Tan,5 stars,a month ago,N/A
Therese Lee,5 stars,a month ago,N/A
Juanito Escarpe,4 stars,a month ago,N/A
Stephanie S.,3 stars,a month ago,N/A
Eric Smith,5 stars,a month ago,An architectural feat. Peaceful and serene.
Niel Banabatac,5 stars,a month ago,Chapel of San Pedro Calungsod - Cebu City
Janine Oliva,4 stars,a month ago,N/A
Raul Herrera,4 stars,2 months ago,"Nice Catholic church just near SM Seaside (just 200 meters walk, as per Google).
For the churchgoers, I have included the latest mass schedule."
Yvonne Jainar,5 stars,2 months ago,Simple house of prayer.
Hariz Torino (Zony),5 stars,2 months ago,N/A
Ghemrick Ybanez,5 stars,2 months ago,N/A
KarLos,5 stars,2 months ago,love this spacious church. the parking area gets full easily so you must be there 30mins to an hour before the mass to secure a parking slot
jahman jahblack,5 stars,2 months ago,N/A
Eldred II Enecio,5 stars,2 months ago,N/A
alvin grefaldeo,5 stars,2 months ago,N/A
Rizza Erediano,5 stars,2 months ago,N/A
Rafael Ugang,5 stars,2 months ago,N/A
eva mae navaja,5 stars,2 months ago,Very nice
Sweet Laureen25,4 stars,3 months ago,Nice chapel..
Ki Bucog,5 stars,3 months ago,a solemn place...
Cedric James Miatapal,5 stars,3 months ago,N/A
jigger cris,5 stars,3 months ago,N/A
Rodrigo Bacalso,4 stars,3 months ago,N/A
Ai Alberio,5 stars,3 months ago,N/A
yabski cute,5 stars,3 months ago,N/A
Ailyn Samson,5 stars,4 months ago,Very nice chapel at Ramos area
Rambu Tan,1 star,4 months ago,N/A
Mimi Sanrio,5 stars,4 months ago,N/A
Noynoy S,5 stars,4 months ago,N/A
Angela Quinto,5 stars,4 months ago,Love the ambience. You definitley feel closer to The Big Man Upstairs.
Carlos Jr. Aguilar,4 stars,4 months ago,N/A
Donna Mae Cabico,5 stars,4 months ago,N/A
Junaz Emboy,5 stars,4 months ago,N/A
Ben Ashley Rebuyas,5 stars,4 months ago,N/A
Elmer Bueno,5 stars,4 months ago,N/A
