review_user,review_rate,review_time,review_text
mg song,3 stars,2 weeks ago,watch  …
林思葵,3 stars,a month ago,It's good …
April Shelly Lepon,5 stars,2 months ago,N/A
Allvin Yosores,5 stars,2 months ago,very historic🥰 oldest city in the Philippines …
Garip,5 stars,3 months ago,"I found this place or this street very great! There are many opportunities to buy a lot for little money here. From groceries to souvenirs. However, you should be careful, because the fun stops one street away. There several beggars will come towards you."
cせいよう,4 stars,3 months ago,N/A
DMS tattoo,5 stars,3 months ago,"About eight years ago, when I was studying abroad, I often skipped scho …"
ben yu,5 stars,3 months ago,"It's A very busy street.  Lots of restaurants, malls,  universities,  hotels around."
Lam Nguyen,5 stars,3 months ago,N/A
Richard Dico,5 stars,3 months ago,N/A
Hà Nguyễn,4 stars,3 months ago,N/A
Wendell Apgao,5 stars,4 months ago,"I was blown away by the quality and selection of products available. The market truly captures the essence of a traditional European-style market, with vendors selling everything from artisanal cheeses and cured meats to freshly baked bread …"
Michael Capacao,5 stars,4 months ago,N/A
Jann Vincent Bollino,5 stars,4 months ago,N/A
Nico Compostela,1 star,4 months ago,Walk tour as today.
Teresa Mae Cabriana,5 stars,4 months ago,N/A
Sharmaine Rose Paglalunan,5 stars,5 months ago,N/A
Pj Natacap,5 stars,5 months ago,Colon street is always busy. Especially during sinulog sa sugbo …
Ryan Rubang,5 stars,6 months ago,Eating Street Food in the Oldest Street in the Philippines :)
Petros,1 star,6 months ago,If you are tourists you don’t have to go there is a very dirty road with one low end mall just go to the Magellan cross and Sandi Nino
noidirepse baculi,5 stars,6 months ago,N/A
Sam Michael,5 stars,6 months ago,"Colon Street, Cebu City.

This street is considered the oldest national road in the Philippines. It was …"
juakin tuazon Official,5 stars,7 months ago,Crowded at 4 pm
prajwal vb,4 stars,7 months ago,N/A
Karthik Chandrasekar,5 stars,8 months ago,N/A
Kim Gan,5 stars,8 months ago,Busy
Edelaine Mae Gabriel,5 stars,9 months ago,They got it all for you
John Peter F. Falguera,5 stars,10 months ago,good
Juls Montejo,5 stars,10 months ago,Want to room around the oldest street in cebu and try the street foods and other product the street can offer
Bryane Jayke Fernandez,3 stars,11 months ago,I stepped on shit there
Kimberly Tumulak,5 stars,11 months ago,N/A
Junrie Fajarlego,5 stars,11 months ago,"1st street in PH. Historical but not famous. I used to walk here all the time. Missing too. I used to witness hold-ups, snatchers. Shocking. Be careful, but it's fun to go on a food …"
Phralad Igot,3 stars,a year ago,N/A
"Golla, Jasper Jan A.",4 stars,a year ago,N/A
Anna,4 stars,a year ago,"a busy crowded place, hence, a lot of cheap stores to shop, it has so much to offer"
Imperm Column,5 stars,a year ago,Lively place
Rhenz James,5 stars,a year ago,All items are found here!!
yg kim,3 stars,a year ago,"There are many shops. The roadside is very dirty, so travelers need to be prepared. There is filth …"
Jocelyn Kadlaun,4 stars,a year ago,N/A
Vimal VR,5 stars,a year ago,N/A
Louie Quir Joseph Ijao,5 stars,a year ago,Crowded people. metro
Tommy Uy,4 stars,a year ago,Colon .. the street I used to pass from 1976 to 1982 .. wow ...
Aehr Yang,5 stars,a year ago,Oldest street in cebu
Lilian Watin,5 stars,a year ago,N/A
Sweetmar Abz,5 stars,a year ago,N/A
GERALDYN BACUS-REMEGIO,5 stars,a year ago,N/A
Carlx Pedalino,4 stars,a year ago,N/A
Jhonnel Mica,5 stars,a year ago,Nice
Jhon Chrizel Godmalin,5 stars,a year ago,N/A
lightly breath,5 stars,2 years ago,N/A
Shyrine Palapar,5 stars,2 years ago,N/A
NJ T,5 stars,2 years ago,N/A
Cybel Cañete,3 stars,2 years ago,N/A
Merly Echavez,5 stars,2 years ago,N/A
Sherwin Jr Zamora,5 stars,2 years ago,N/A
Russel Camitan,5 stars,2 years ago,N/A
Joshua Nino Cabreros,5 stars,2 years ago,N/A
Arnold Verano Leopoldo,4 stars,2 years ago,N/A
Francis vlogs,5 stars,2 years ago,i love cebu
R La,3 stars,2 years ago,N/A
Dr. Dumbness,5 stars,2 years ago,N/A
JL VM,4 stars,2 years ago,N/A
Roylan Nable,5 stars,2 years ago,N/A
Allyn Alfah,5 stars,3 years ago,N/A
Carlos villacorta,5 stars,3 years ago,Teasty place.
Jayson Delis reyes,5 stars,3 years ago,N/A
