review_user,review_rate,review_time,review_text
Ramil Prieto,5 stars,2 days ago,N/A
Benjie Aliser,5 stars,a week ago,N/A
Phil,1 star,a month ago,This certainly doesn't resemble a sanctuary. Birds in small cages appear unhappy and not very healthy.
Seek Purpose,3 stars,a month ago,"Pros: The environment is clean and offers a pleasant atmosphere. Various species of birds, lizards, pythons, and brown Philippine deer can be observed. …"
John Debrie Gonzaga,5 stars,a month ago,Good place to visit for a zoo in cebu
Set,4 stars,2 months ago,Nice place for learning about our local fauna
유승근,4 stars,2 months ago,N/A
Ferdinand Legaspi,5 stars,3 months ago,This is where i live
Elvin Rey Dalumpines,5 stars,4 months ago,"clean, calming, well maintained"
Rudy Salandanan,4 stars,4 months ago,Getting into the tunnel which is very conctricted good for small kids but a challenge to the big and less mobile but a must for the adventurer
Alvin Clinton Villaflor,4 stars,4 months ago,N/A
Vhamvhan Yai,5 stars,4 months ago,... kids can learn
Jay Marie Loqueloque,4 stars,4 months ago,Very nice...
nova “bangbang” frances,5 stars,4 months ago,N/A
Jill Rentucan,5 stars,4 months ago,Great place for an educational tour especially gor kids ☺️.
Julee lou Sabite,5 stars,4 months ago,Love it
Neilson Cardeno,5 stars,5 months ago,Nice
edmund getamondoc,5 stars,5 months ago,Very nice place for family bonding and enjoy watching the different kind of animals especially the Crocodiles😁 …
Guardian Angel,5 stars,5 months ago,Love it
Jeneza Dela Cerna,5 stars,5 months ago,N/A
Nils Torsten Samuel Dahlstrom,4 stars,5 months ago,"Now this was the first time for Sebastian to come here, he is as he is, not low energy and runs around even where he is not to be.  :-)  <3    We went there together with his schoolmates parents and teachers,  I'm not a teenager anymore, …"
Nathaniel James Sarmiento,4 stars,5 months ago,N/A
Francis Bautista,4 stars,5 months ago,N/A
Anvar Kiekbaev,5 stars,5 months ago,N/A
Mackoy Porlas,5 stars,5 months ago,N/A
Dennis Jade Toribio,5 stars,6 months ago,Visit to help the animals
Grace Secretaria,5 stars,6 months ago,Its good for the kids they enjoyed watching the crocodile
Kim Cortes,4 stars,6 months ago,N/A
Nurvine Restauro,4 stars,7 months ago,N/A
Christian Lee,5 stars,7 months ago,"Nice Place, Friendly Staff."
Raj Jilka,5 stars,7 months ago,Good to visit
Aliaksandr “Sizam4ik” Kopyshau,5 stars,7 months ago,N/A
Niño Jay Lamor,4 stars,7 months ago,N/A
머고,5 stars,8 months ago,Good value for m …
Welmer Aro,3 stars,8 months ago,Nice
Jiovanni Alaan,5 stars,9 months ago,N/A
Carl Adriane Abellanosa,5 stars,9 months ago,N/A
Jhong Vergara,5 stars,10 months ago,N/A
ALAIN COMETA,5 stars,10 months ago,N/A
Rafael Briz Jr.,4 stars,10 months ago,Big crocs😂😂😂😂 …
Breavis,1 star,11 months ago,"it's closed, but their Facebook page says it's open"
Tim Stevens,1 star,a year ago,"Big sign at the entrance saying closed since Odette.  Facebook page doesn't mention that, wish I didn't drive all the way out there for nothing."
EmperorWulf,5 stars,a year ago,"Major part of my childhood, must visit"
pintoy1 Cabrera,1 star,a year ago,Said open and we drove all the way there and it was closed
Mayette Silva,5 stars,a year ago,N/A
SeongJun Lee,5 stars,a year ago,Affordable
Jun UpperDo PH,5 stars,a year ago,N/A
Maria Nicole Cabrillos,5 stars,a year ago,N/A
Christian Tabada,5 stars,a year ago,N/A
Elle Sarcol,5 stars,a year ago,Its fun
TresbornToping,3 stars,a year ago,N/A
Square Edge,3 stars,a year ago,N/A
Nicole Rey Arriesga (nikuro),3 stars,a year ago,N/A
Amy Puzon,5 stars,a year ago,It is so nice! I was not expecting them to have so many different animals to view. The name made me think it was only crocodiles and maybe a few reptiles but they have so many different animals. There are also very informative placards to …
Sheila Mari Canedo,4 stars,a year ago,N/A
Laura Ruby Sabucido,5 stars,a year ago,N/A
Hobby Yista,5 stars,a year ago,"I have visited the place so many times like more than 10 times. I have already brought my family here specially my family. However, the entrance fee after the pandemic almost doubled. In fairness, the place is great! Crocodiles and other animals can be seen in this place."
Arthur Jason Go,4 stars,a year ago,N/A
Clent Vincent Medina,3 stars,a year ago,Nice thumb …
Cymbelline Ong-Young,5 stars,a year ago,Haven't been here in ages. But the place is great! Kids loved it and their staff are helpful and friendly. Pls call ahead.
stanly cereno,5 stars,a year ago,N/A
Mara Charlyn Niño,5 stars,a year ago,Health protocols are well observed and followed. You'll going to enjoy seeing those cute animals. They do have big crocodiles there. You'll going to meet Bruno. 😊 …
Mamac Sherla,5 stars,2 years ago,Great for kids and family bonding
Jodan ElectricalServices,4 stars,2 years ago,N/A
regie gonzales,4 stars,2 years ago,N/A
