review_user,review_rate,review_time,review_text
June Seals,5 stars,2 days ago,N/A
Erica Tabuena,5 stars,3 days ago,N/A
Wen Li,5 stars,3 days ago,It's bea …
Hung Yuan Lin,5 stars,4 days ago,Beautiful and historical church.
Dan,5 stars,4 days ago,N/A
Deb Villanueva,5 stars,5 days ago,"My grandparents were originally from Oslob so being here truly brings me to a full circle. The place is rich with culture, apart from the usual whale watching/tour events. And their local restos really give you an insight to the best food selection that Oslob can offer."
Gaib Porio,5 stars,6 days ago,N/A
j maine,5 stars,6 days ago,N/A
Jm Epile,5 stars,a week ago,N/A
Ruby姵如,5 stars,a week ago,N/A
Deane Dickinson,4 stars,a week ago,N/A
Alberto Martínez Oller,5 stars,a week ago,place with history
Brandon Hedrick,5 stars,a week ago,N/A
Jui-Yu Chuang,5 stars,a week ago,"Cuartel means “Barracks” in the Spanish language.

The Cuartel Ruins was built by Spanish back in the 1860s when the Spanish forces …"
Sabri K,5 stars,2 weeks ago,"Beautiful, historic site. Perfect for Instagram photos."
羅惠均Lola,4 stars,2 weeks ago,Good👍🏻 …
benemenzo,3 stars,2 weeks ago,Very nice and clean...but its too crowded for me but its actually beautiful and amazing place to visit
Down,4 stars,2 weeks ago,Nice
Gustav Kullgren,3 stars,2 weeks ago,N/A
KENNETH SY,3 stars,2 weeks ago,N/A
Monaliza Repermoso,5 stars,2 weeks ago,It is amazing 🤩 ruins in Oslob.The Cuartel Ruins pictures of the past history that will be seen until now! …
marinela cristina pilongo,4 stars,2 weeks ago,N/A
James Jimmy,4 stars,3 weeks ago,Nice beach and heritage place
楊,5 stars,3 weeks ago,N/A
Mark Jhon Fernandez,5 stars,3 weeks ago,N/A
Lyn Deluana,5 stars,4 weeks ago,What a beautiful place
Abdul Rehman Siddiqui,3 stars,a month ago,Look like haunted 😮 place …
Rich Hard,5 stars,a month ago,Definitely worth the visit.  Great place to just chill and take photos
Fransiska Stgg,5 stars,a month ago,Very romantic place
Val Edgar Baluyos,5 stars,a month ago,N/A
김기영,3 stars,a month ago,out of …
adrian David,3 stars,a month ago,N/A
ruth angelica gella,5 stars,a month ago,Well maintained and clean. Very nice place just beside the sea.
Jehlee Laurel,5 stars,a month ago,N/A
스텔라15,3 stars,a month ago,A place you just pass by and  …
Leidgin Omamalin,5 stars,a month ago,"Cuartel ruins is a very beautiful place, perfect for tourists, the view is beautiful, the place is big, worth it …"
Bany Russia,5 stars,a month ago,N/A
Nathaniel Gonzales,5 stars,a month ago,N/A
Rochie Japus,5 stars,a month ago,N/A
陳建宇,3 stars,a month ago,N/A
Jefferson Booc,5 stars,a month ago,N/A
Rustom Manlabao,5 stars,a month ago,N/A
邱素貞,5 stars,a month ago,hot
DIONIELEE APRIL SANORIA,5 stars,a month ago,N/A
楊惠如,5 stars,a month ago,N/A
Hazel B,4 stars,a month ago,The place is clean and serene. Front view is facing the sea waters of Cebu. Sumilon Island is right across it and near the whale watching area. Very accessible. People are friendly too. Kudos to Mayor Guaren n Pipol of Oslob for keeping it spic n span.
Res Malto,5 stars,a month ago,Nice
飛飛,5 stars,2 months ago,N/A
張喬妹,5 stars,2 months ago,N/A
Dessa Tubiano,5 stars,2 months ago,N/A
kringthology,5 stars,2 months ago,N/A
Kazi Mashrur Mamun,4 stars,2 months ago,Very relaxing place to spend evening with loved ones. You will find restaurants to enjou the evening.
Arthur Diaz,4 stars,2 months ago,N/A
CHIEZ GERALLA,5 stars,2 months ago,N/A
Johanna Marie Frejoles,5 stars,2 months ago,N/A
Emmarl Vincent Mendoza,3 stars,2 months ago,N/A
無花果,5 stars,2 months ago,N/A
Leonardo Aniel,5 stars,2 months ago,it's beautiful places and historical
張世勳,5 stars,2 months ago,Beautiful sce …
Melvin Sato,5 stars,2 months ago,Historical  place
Aljon Adonis,3 stars,2 months ago,N/A
Jeffrey Omboy,5 stars,2 months ago,N/A
lakwatserong uragon,5 stars,2 months ago,a good place to visit
Nate Evanko,5 stars,2 months ago,Such a cool experience to see this history. Look closely at each wall and see the construction with corral reef as building blocks and egg yolks as glue. So cool!
Felix jemeniz Sabusab jr,5 stars,2 months ago,N/A
Abuhalil Sambutuan,5 stars,2 months ago,N/A
Jonathan Buscato,5 stars,2 months ago,N/A
Charles Bryan Pitogo,5 stars,2 months ago,N/A
平田庄一郎,4 stars,2 months ago,N/A
Doug Anderson,5 stars,2 months ago,"Interesting, scenic and great area for a short visit."
KUSHEN LO,5 stars,2 months ago,N/A
Kelvin Matira (Beben),5 stars,2 months ago,N/A
Joseph Rio Poloyapoy,5 stars,2 months ago,N/A
Maricx B. Reyes,3 stars,2 months ago,N/A
Cindy Candy,5 stars,2 months ago,N/A
Christian John,5 stars,2 months ago,Very beautiful!
Huang Amy,5 stars,2 months ago,N/A
John Fil Garciano,5 stars,2 months ago,Great place for chilling.
한명기,4 stars,3 months ago,N/A
Cherish Buen Mosuela,5 stars,3 months ago,N/A
Marcus Joshua So,5 stars,3 months ago,N/A
Sherlyn Pangan,5 stars,3 months ago,"Very historical place in Cebu, the Cuartel Ruins in Oslob. Come and visit!"
Mike Russel Abaya,5 stars,3 months ago,N/A
Niña Mayola,5 stars,3 months ago,Well-cleaned and best play ground for children.
BGB,5 stars,3 months ago,N/A
jeffrey saba,5 stars,3 months ago,a place to care old ruins.
Junie Rose Bodoso,5 stars,3 months ago,"Old historical place. There's a mini museum, church, and the bay view. 100% cleaner than Manila bay. Haha!"
Shirley Lee,4 stars,3 months ago,N/A
Aran Canuday,5 stars,3 months ago,I really love to explore and to visit our heritage and our history..
Erich Vincent,5 stars,3 months ago,N/A
郭彥廷,5 stars,3 months ago,N/A
Cross border trucker Camionero,5 stars,3 months ago,That’s a great place lot a family’s here
王俊傑,5 stars,3 months ago,N/A
林志銘,5 stars,3 months ago,The foreign country is very old and has historical significance
불나방,5 stars,3 months ago,N/A
Danny Apura,5 stars,3 months ago,Wow
Lee Leo,5 stars,3 months ago,N/A
Jenelyn Vequizo,5 stars,3 months ago,"It's a great place to unwind ,relax and have fun with the family .."
Adam Atillo,5 stars,3 months ago,Nice place to visit.
Florean Mae Reston,5 stars,3 months ago,Interesting place to visit.
ma.teresa gonzales,5 stars,3 months ago,N/A
Юрий Налобин,5 stars,3 months ago,Just  to see and  make  positive pictures with  the historical place
Wittawat Chongnimitsataporn,3 stars,3 months ago,N/A
chen yu,5 stars,3 months ago,N/A
Allie Wu,5 stars,3 months ago,Beautiful
마스터 (jack),5 stars,3 months ago,N/A
이수연,4 stars,3 months ago,N/A
Malu Sierra,3 stars,3 months ago,N/A
Holly shih,4 stars,3 months ago,N/A
수호신,5 stars,3 months ago,N/A
金芳儀,5 stars,3 months ago,It's a bea …
Sean Sabanal,5 stars,3 months ago,It's really amazing..how they build this structure in a very limited equipments 💗💕 …
Real Billy,3 stars,3 months ago,"Nice Ruins to see, but not much else, there was a small building close by that said museum but it was closed when I was there and it looked like it had not been open for some time. The church is close by also which is nice to visit and the main square of the town 👍 …"
youngki lee,4 stars,3 months ago,N/A
Gary Huerto,4 stars,3 months ago,The Cuartel Ruins stand along the coast of the municipality of Oslob on the island of Cebu. It was built by Spaniards back in the 1860s when the Spanish forces colonized the Philippines. The edifice was constructed using thick coral stones that still stand today.
Christy Clitar,3 stars,3 months ago,N/A
Giselle,4 stars,3 months ago,It's a heritage park. There's a church also.
Joel Nunez,5 stars,4 months ago,"Worth a visit. Oslob is not just about the butanding and Tumalog Falls. Explore the seaside, have a snack"
Julius Perdiz,5 stars,4 months ago,N/A
Veli Bustib,3 stars,4 months ago,It's  the ruins of an old spanish military quarters near the Roman Catholic Church
Jhon Stephen Rebusa,4 stars,4 months ago,"The museum features exhibits and displays that showcase the history and culture of Oslob and the surrounding area. Visitors can learn about the town's role in the revolution, as well as its traditions, customs, and way of life. The museum …"
Ben,5 stars,4 months ago,N/A
Gee Singson,5 stars,4 months ago,N/A
Joanne Pilapil,5 stars,4 months ago,N/A
Плутарх Аристархович,5 stars,4 months ago,Very cozy and atmospheric place))
Ysl Redoblado,3 stars,4 months ago,N/A
Joe Knowes,5 stars,4 months ago,"The place doesn't only give you serene vibes because of the sea breeze and waves crashing on the nearby shore. It also gives you a sense of time-travel back to the Spanish Era as you look at the distant ruins, or even as you caress the …"
Teeh Young,5 stars,4 months ago,Very historical landmark in Oslob.
Kevin Cambra Sánchez,4 stars,4 months ago,"They are free, fast to visit.
On the night with the lights is the best moment to go"
ᴡ ᴀ ᴠ ᴇ ᴄ ʜ。,5 stars,4 months ago,Feels historical.
Cindy Liao,5 stars,4 months ago,"Suitable photorealistic area, very beautiful"
Leemuel Turalles,5 stars,4 months ago,N/A
Shannen Tejares,5 stars,4 months ago,"If you wish to kind if relive from the past you can visit here. Aside from the aesthetic ruins, it's near the sea. Giving you a breathe of fresh sea breeze. There are no tickets for entrance, it's free. But be sure to be a responsible tourist don't throw your wastes anywhere"
Nathan Williams,5 stars,4 months ago,"Take a walk along the foreshore, explore the historical Spanish ruins and get a fresh juice shake and relax on the grass - we were even luck enough to watch the paragliding land."
Joan Gervacio,5 stars,4 months ago,N/A
Patrick U,5 stars,4 months ago,N/A
Sareno Jason Beato I.,5 stars,4 months ago,N/A
John Aaron Andes,5 stars,4 months ago,"Very nice, Definitely the best Especially for me that love Hist …"
Eason Cheng,5 stars,4 months ago,N/A
Jeff Praga,5 stars,4 months ago,N/A
PeiChi Lee,5 stars,4 months ago,N/A
Svetlana Besklubova,5 stars,4 months ago,Nice waterfront area to walk and chill. Old church and other ancient structures nearby.
Aries Vosotros,5 stars,4 months ago,Very nice place to go. Sunday is a family day. The vibe is good.
KM Ilustrisimo,4 stars,4 months ago,N/A
Dennis Chen,4 stars,4 months ago,A scenic spot suitable for taking pictures.  …
Austin Chen,5 stars,4 months ago,N/A
Clarissa mae,5 stars,4 months ago,N/A
A J,5 stars,4 months ago,pr …
Nia Roz,5 stars,4 months ago,N/A
Alvin Labajo,5 stars,4 months ago,Very peaceful ng place and very clean when we went there. ❤️
Michael Johnson,3 stars,4 months ago,N/A
DR T,4 stars,5 months ago,N/A
Thomas Kohnen,3 stars,5 months ago,N/A
Armand Sayeed,4 stars,5 months ago,N/A
Tomas Zato,5 stars,5 months ago,N/A
Ana Mariella David,4 stars,5 months ago,N/A
Philipp Neumann,4 stars,5 months ago,N/A
Lovely Joy Abillar,5 stars,5 months ago,I love it 😻🤩 …
Jaromir Jeremy Horejsi,5 stars,5 months ago,"Good photo opportunities, free of charge."
Księciunio,1 star,5 months ago,A place that can be easily missed.
Bolantoy TV,5 stars,5 months ago,The best time to really visit this place is around summer or dry season maybe from Dec to May as Cuartel really stands out in an azure background. Historically enjoying and visually satisfying. This is a proof that even before the …
Lynjona manongsong Pajaron,5 stars,5 months ago,Beautiful places
Yee Thiparpa,5 stars,5 months ago,Impressive
Joseph Counts,5 stars,5 months ago,N/A
李金峰,4 stars,5 months ago,N/A
Pawel Paluch,3 stars,5 months ago,N/A
Jeshelle Cerbito,3 stars,5 months ago,"2/26/23
Side quest. …"
Marlie Gutierrez,5 stars,5 months ago,Very nice view
Yaya,5 stars,5 months ago,"Very nice place, you can take beautiful pictures, eat there. However swimming is prohibited because it is a marine sanctuary, not knowing it my friend wanted to cool off, it was a local resident who told us and fortunately because no signpost unfortunately."
Adrian Cris Malaga,5 stars,6 months ago,N/A
Eliakim Asocro,5 stars,6 months ago,N/A
David Hulshuis,5 stars,6 months ago,Nice just before sunset
jayr vequiso,5 stars,6 months ago,N/A
Adeline Irene Sumalpong,5 stars,6 months ago,We went there around 5pm. It is open all the time and is free of charge. There are several nice photo opportunities whether it is with daylight or during night time. It is a nice place to chill and enjoy the scenery.
Борисов Юрий,5 stars,6 months ago,"Well preserved ruins, admission is free. Near the cathedral and  …"
antonio barzaghi,4 stars,6 months ago,"Small compound of spanish era well preseved. As usual, they started hyperloud music at 2:30pm when in the area there were just 5 people me included..... But why??????? People here can't live in harmony with any place... So sad...."
an jie,4 stars,6 months ago,N/A
Philip Joshua Ruzol,4 stars,6 months ago,N/A
Gunruthai Charoenkanasub,5 stars,6 months ago,It's nice to stop and take some pictures here. Historical place built when Spanish came to Oslob.
Doroteo Egoc,5 stars,6 months ago,One of tourist destination
Ysa Evangelio,5 stars,6 months ago,"feels so historical, great place and location giving that time warp vibes."
STELLA JOY TAFALLA,5 stars,6 months ago,N/A
David Rumptz,4 stars,6 months ago,Nice place to visit along the way
Nida Reas,5 stars,6 months ago,It's good to preserve the remnants of history.
Eva Winkler,5 stars,6 months ago,Nice well kept square around the cathedral and ruins. Partly with panels with explanations. The museum is currently closed for renovation.
Bernard Liu,4 stars,6 months ago,N/A
Jolly BEEc Thor,5 stars,6 months ago,N/A
BEE Australian Pure Honey,4 stars,6 months ago,Great location amongst the ruins for wedding photos. Very basic food and drinks available. Good place to relax at the waterfront.
Daniel Saluter,4 stars,6 months ago,"Small ruins near the sea, illuminated at night …"
Allan Villar,4 stars,6 months ago,N/A
Aimee Lim,5 stars,6 months ago,We did some side trip to visit the ruins. Its perfect for taking pictures. Best time will be in the late afternoon and its cooler. Theres a walkway behind towards the beach. We did spend a short time here and not able to explore the beach area.
BebiaTgnTxkvjcuhc FegaridoTroTkaodog,5 stars,6 months ago,Onl …
Lisa,5 stars,6 months ago,N/A
Adam,5 stars,6 months ago,N/A
林宴平,5 stars,6 months ago,Historic  …
김신열,5 stars,7 months ago,Take a simple wa …
Greta Dumallay,5 stars,7 months ago,N/A
MSDEE xo,5 stars,7 months ago,Chills. Beautiful.
Kastro De La Cruz,5 stars,7 months ago,"Nice place to visit, and also the location of the best mango shake I've ever had in Cebu."
Danilo Friolo,5 stars,7 months ago,Nice
Rebejane Gonzales,5 stars,7 months ago,Can be a good backdrop for your photoshoot.
Merlyn Ansali,4 stars,7 months ago,N/A
Merly Cimeni,4 stars,7 months ago,near Boulevard
angelmini wang,4 stars,7 months ago,N/A
Dodo Perpectua,5 stars,7 months ago,Ruins during the spanish regime
Desiles Ugo,4 stars,7 months ago,N/A
Nicey Sumalo,4 stars,7 months ago,N/A
archie cab,5 stars,7 months ago,"It's a great structure to look from the past. For me it is manifestation that engineering works before are more sophisticated. Imagine, it still stands today for more than hundreds of years that passed from it's construction."
Mandar Sawant,4 stars,7 months ago,Pretty morning walk or evening stroll or a lazy Sunday picnic with family spot.
Alphard Gonzales,5 stars,7 months ago,N/A
Ermelinda Flores,5 stars,7 months ago,Amazing
