review_user,review_rate,review_time,review_text
Ann Kristine Peñaredondo,5 stars,3 days ago,The place is awesome. I went here to observe Forest School Cebu. The kids are able to appreciate nature because of how the place was built and maintained.
Chanak Baktin,5 stars,5 days ago,N/A
Kirito Enal (Chifei),4 stars,a week ago,Good for family and friends to celebrate
Cesar del Rosario,4 stars,a week ago,Good place for jogging. There is entrance fee and parking for your vehicle. Good fresh air because of the trees.
alvin timothy valencia,5 stars,a week ago,Nice 👍 …
TAZ KY,4 stars,a month ago,Fun
dan paqueo,4 stars,a month ago,"An affordable venue for Family outing.  You can hike here,  run,  jog,  play Frisbee or badminton, swim or just spend time alone or with family in nature setting.  Sayang lang wala na ang mini Zoo. …"
JESS ANN ORCALES,5 stars,2 months ago,N/A
Jim Rubio,4 stars,2 months ago,N/A
Almira Delmo,5 stars,2 months ago,N/A
yvo Mangubat,5 stars,2 months ago,N/A
Vincent Roa,3 stars,2 months ago,N/A
Anamarie Reponte,5 stars,2 months ago,It's really nice place and quite close to everything
yang ta,5 stars,2 months ago,N/A
Mariel Ann Filosopo,3 stars,2 months ago,N/A
욜로티샤 YOLO Ticia,4 stars,4 months ago,N/A
Jerome Estorias,5 stars,4 months ago,N/A
Chloe's Adventure vlog,5 stars,4 months ago,N/A
Sharmaine Rose Paglalunan,5 stars,5 months ago,N/A
Carmeline Barangan,3 stars,5 months ago,It was a breath of fresh air but I just hope they would take care of the animals left there.
Teodora Ortiz,5 stars,5 months ago,N/A
dArkc3LL,5 stars,6 months ago,Best place to walk with dogs.
Leigh Sio,4 stars,7 months ago,N/A
Dhonald Dee (Doba),5 stars,7 months ago,Close the road
Baby Rose Ambagan,4 stars,7 months ago,"the greener the setting ,the more relief 🍃🌴⛰️ …"
Jayrold Ladrera,4 stars,7 months ago,N/A
Kleber Delgado,5 stars,8 months ago,good
JR Alcantara,3 stars,8 months ago,Somehow a Good place but not a quiet place :)
Raul Malanog,5 stars,8 months ago,N/A
Love to Smile,5 stars,8 months ago,It's fun here.
Van Ashton Pierre Ojeda,5 stars,9 months ago,It's nice to relax with nature
Sui Generis,5 stars,9 months ago,N/A
WinkyG vlog,4 stars,9 months ago,The entrance fee is super affordable and the place is good for family to stroll around but sad to mention that no more animals available.
Xyzelle,4 stars,10 months ago,"Been there 1st week of March 2022 and the park has not fully opened yet due to typhoon Odette. Their pool and mini zoo was still close but nevertheless, kids still enjoyed running freely at the park."
廖思彤,5 stars,10 months ago,N/A
Chris Oliver Ouano,4 stars,10 months ago,N/A
Lloyd Curiba,5 stars,10 months ago,N/A
Jonathan Pelostratos,5 stars,10 months ago,"Super nice place to relax, unwind and enjoy."
Rodel John Chin,5 stars,11 months ago,N/A
Daniel Mabini,5 stars,11 months ago,N/A
Cinderella 99,5 stars,11 months ago,Love the place!
Ryan Colonia,5 stars,11 months ago,N/A
Jam Chan,1 star,11 months ago,N/A
Martin,3 stars,11 months ago,So so park but quiet.
Jally Dalin,1 star,a year ago,N/A
Cebuano Prepper,3 stars,a year ago,Nothing spectacular. Just a wide open space to walk around and it also has a small zoo. I hope they can add more features and amenities.
Villame's Garage,5 stars,a year ago,Still as beautiful as ever. Best place for you to unwind and be part of nature within the city
Jefferson Tampus,4 stars,a year ago,N/A
Darleen Corpin,5 stars,a year ago,Awesome photoshoot experience! #dreamyfairytaletheme
Dante Bojos,5 stars,a year ago,Yap
Jhuvez Anne Biyok,5 stars,a year ago,N/A
Krizia (Kree),4 stars,a year ago,"Good for walking, jogging and reconnecting with nature. Plenty of trees and wide open spaces."
Petchie Villados,5 stars,a year ago,N/A
Marvin de Aquino,5 stars,a year ago,Nice please to have family bonding and peck neck
Janine Cuizon,5 stars,a year ago,The most ideal place for outdoor activities.
ibrahim A,5 stars,a year ago,"Open 5 am and close 6pm
Good place to walk for adults
And there is play ground for kids …"
Nico Compostela,1 star,a year ago,has today was the walking tour every sunday.
Rex John Aban,5 stars,a year ago,N/A
Joswe Asignar,5 stars,a year ago,N/A
chrizel canoneo,1 star,a year ago,N/A
Pete Lewis,4 stars,a year ago,N/A
