review_user,review_rate,review_time,review_text
HyoSik Wee,3 stars,20 minutes ago,Pass if you run …
daniel catamco,5 stars,5 hours ago,N/A
Hyojeong Lee,4 stars,6 hours ago,"I came to Cebu, so it's worth going, but it's not that big …"
Janice Baoy,3 stars,12 hours ago,"less activity for the kids.The slides,the swing cannot be use."
Giacomo Chiocchetti,3 stars,a day ago,"Not sure if it's worth going in as there is nothing in itself to see. However, the historical cartoons at the entrance are interesting."
T K,4 stars,a day ago,N/A
Jose Carcabuso,5 stars,2 days ago,Had our tour at Fort San Pedro and was able to see their history.
Marc Vincent,5 stars,2 days ago,The mini museum (old fortification) was beautiful. You have to consider the weather when you're planning to go. Not enjoyable when it's too hot or too wet.
Xena Sumalinog (Xeen),5 stars,2 days ago,N/A
Adrian Dziaduszek,5 stars,2 days ago,"Ruins of Spanish fort, actually in pretty good shape. They serve public purposes. You can see here some history of Spanish invasion. Entrance fee is 30php."
佳玫,5 stars,3 days ago,N/A
Joshua Alarcon,5 stars,3 days ago,The place is similar to Fort Santiago that we have in Manila
柯柯,2 stars,3 days ago,"It's a very small photo session, if you want to come, just take a photo at the door, and the entrance ticket is 30 pesos, not expensive but don't w …"
芳枝柯馨茹,2 stars,4 days ago,"The fare is 30 pesos. There are toilets on the first floor
Wha …"
Bobby,4 stars,4 days ago,N/A
Meimi Parks,5 stars,4 days ago,Just amazing!
Prince_B612 Little,4 stars,4 days ago,Fortress I went on a city tour and …
郭長林Ben,5 stars,6 days ago,N/A
Justin Raz,5 stars,a week ago,N/A
jackylou abalon,5 stars,a week ago,N/A
jelide derp,5 stars,a week ago,N/A
Andrii Starkov,4 stars,a week ago,Quite place
David Bates,5 stars,a week ago,N/A
F & F,5 stars,a week ago,N/A
DIERF DARYL LUSPO,5 stars,a week ago,N/A
Jui-Yu Chuang,5 stars,a week ago,"The most impressive attraction I’ve visited in Cebu city. A must-to-see place!

The more Philippines history I’ve read, the better understanding to this …"
Shawi Cortez,5 stars,a week ago,"Entrance P30
Children P20
Senior and PWD P24 …"
Troyex M “Cherje” Tonz,5 stars,a week ago,This photo has the image in front of Fort San Pedro. More people having fun during weekends.
Sandy Singh,3 stars,a week ago,"A bit of an embarrassment from a spectacle viewpoint.  Took abt 10 minutes to walk the entire fort.  I walk slowly, and check out every detail. LOL. …"
Andriza Prieto- Lasacar,5 stars,a week ago,N/A
Larry Leong,3 stars,a week ago,N/A
Ray Douglas,3 stars,a week ago,"Ok, worth a look if you're in cebu"
Jialin Wang,5 stars,a week ago,"You need to collect tickets, forget how much but  …"
Lolita Ado,5 stars,a week ago,"For those who learn history, Highly recommended for you to visit."
Clifford Luke,5 stars,a week ago,N/A
Konno Tatsuhiro,4 stars,a week ago,I visited on my honeymoo …
Cato Limås,5 stars,a week ago,"For being in the Philippines, this was actually quite good. Nicely taken care of. And you get some history of Cebu."
Earl Darren Dela-on,5 stars,a week ago,N/A
유무무,5 stars,a week ago,"Entrance fee 30 pesos per person

There are a lot of cats  …"
Sara Yang,4 stars,a week ago,Military his …
Kiwi Chen,5 stars,a week ago,cute mi …
JY Kim,5 stars,2 weeks ago,N/A
Michael James,5 stars,2 weeks ago,Finally made it to explore the area. Very nice relaxing place to visit and check out the historic Fort San Pedro.
Mercedita Alberca,4 stars,2 weeks ago,You can learn the past history
Lolita Ado,5 stars,2 weeks ago,Once there it so good to see a historic preservation.
Gilbert Cabigas,5 stars,2 weeks ago,Nice place
Maricel Jumaoas,5 stars,2 weeks ago,Nice place
Miguel Angel,5 stars,2 weeks ago,N/A
Dana Morgan,4 stars,2 weeks ago,Great historical spot to learn if the history of Cebu.
Andrei Francisco,5 stars,2 weeks ago,N/A
Niel Genz,5 stars,2 weeks ago,N/A
Mark,4 stars,2 weeks ago,Entrance is 30 pesos. A small place to roam around. The weather is sunny so it's fine. Not that much to do here.
이채현TV,4 stars,2 weeks ago,it's t …
Paul Miller,5 stars,2 weeks ago,"The fort was a nice place to spend an afternoon. It was easy to find in the city, no need to book an expensive tour. There were also other attractions close by to see"
April Shelly Lepon,5 stars,2 weeks ago,N/A
Lauro Gamboa,5 stars,2 weeks ago,N/A
chan koh,4 stars,2 weeks ago,N/A
Aya Adriela Culaton,5 stars,2 weeks ago,Properly cleaned and maintained. Very informational about Cebu’s heritage. There is also a small pop up selling some souvenir items
