review_user,review_rate,review_time,review_text
Matthew,1 star,a week ago,Nothing good
Rodrick John Villones,1 star,2 weeks ago,to o …
Cyril Solayao,5 stars,a month ago,Ftfhehwh hu g h h beugtquwhs5
Alexander,5 stars,a month ago,"The best place that our Youth Camp was held, reccomend to try Sanctuary!"
Christian Rey Flores,3 stars,a month ago,"Renovation is ongoing, not much of activities"
ryan abella,4 stars,a month ago,very late post. We had our company anniversary held at this place. not very accessible and a bit hard to find. Place is very nice and the pool was decently sized.
Angelo “ajabcars” Balili,5 stars,a month ago,my kids very happy
소리아노세자르,4 stars,3 months ago,N/A
Dave Gavero,4 stars,3 months ago,N/A
Gamiel Isaac Orejudos,4 stars,3 months ago,"A nice place to relax and have fun with family & kids. However, the pool floor is just too abrasive. almost everyone who was with me had abrasions on their feet (i had it on my foot, elbow, and hand) or their feet just hurts when walking. …"
Rowela Bontilao,3 stars,3 months ago,The food is good and the place is relaxing
Archer Casio,4 stars,3 months ago,N/A
Pedrilio Jr. Leyson,2 stars,4 months ago,"I am deeply concerned about the safety of children at the swimming pool. Although the place is nice, the pool flooring has sharp surfaces that are causing cuts on their feet. When I brought this to the attention of the manager's office, I …"
Kenizzite Novicio,5 stars,4 months ago,N/A
Riczon Quindao,5 stars,4 months ago,Nice place .good for camping
Joey Ace Garbo Tudtud,3 stars,4 months ago,N/A
Герман Абрикосов,4 stars,5 months ago,"No restaurants, takeout only"
Faith Althea Filipinas,4 stars,5 months ago,Nice
Tanny Rotersos,5 stars,5 months ago,I like the place because you're far from the busy streets of the city. This will be a perfect place for bible study or seminar or even meetings. But the disadvantage here is it's very far from the highway and you need to ride habal habal or just your private vehicle.
Ferrolyn Pilarca,5 stars,6 months ago,N/A
Pawikan Junior,5 stars,6 months ago,Thanks For the Comfort❤️
florante agbay,5 stars,6 months ago,Nice place
melito dagatan,4 stars,6 months ago,N/A
Glenn Tarle,5 stars,7 months ago,N/A
Reymarc Angelo Anohada,5 stars,8 months ago,N/A
Danace Bryant Alfonso (kanamits),4 stars,8 months ago,N/A
Raquel Baay,4 stars,9 months ago,"This place is cool, peaceful and friendly place,one thing, i dont like is the pool,which is,they used on the pool flooring,that caused many children the damage on their feet."
احمد الزهراني,1 star,10 months ago,The name of the doctor Quiza Cesar
John Larry Cinco,5 stars,10 months ago,Great Place Might visit again soon
Richard Comision,5 stars,11 months ago,N/A
yeso khate,4 stars,a year ago,N/A
Phil Gab,3 stars,a year ago,Location is too far
rey bernard villacorta,5 stars,a year ago,N/A
Mary Vir Yap,4 stars,a year ago,N/A
Eugene M. Ebale,5 stars,a year ago,N/A
alvin roger,2 stars,a year ago,No longer the Genesis Valley before.
rory thomas,3 stars,a year ago,Bad road but nice quiet place
ANNE CARMEL VERANO,5 stars,a year ago,N/A
Manuel Villanueva,5 stars,a year ago,I love the nature very relaxing!! fresh Air!
bernelle lim,5 stars,a year ago,N/A
tiffany ann real,5 stars,a year ago,"Needle and Lens Films
FOTOPHILIC"
Takoi Fajardo,5 stars,a year ago,N/A
Rhoedel Querol,5 stars,a year ago,N/A
Lj Technologies I.T. Solutions & Communications,5 stars,a year ago,N/A
Love Flores,4 stars,a year ago,N/A
Lemwel Jr Bayking,5 stars,a year ago,N/A
May Baltonado,4 stars,a year ago,N/A
Desiree V.Calinog,3 stars,a year ago,"They have poolside, garden, open field, lagoon, Chapel and bird sanctuary. It's a good place for leisure or group gatherings but their toilets needs to be updated. They only have one shower in the female Comfort Room. Guests are queuing just to rinse after using the pool if the rinsing area is full."
Michael Ocaña,5 stars,a year ago,relaxing place
Evelyn Mendoza,1 star,a year ago,Disgusting. Not worth going 😕 😪 …
Glaiza Mae,4 stars,2 years ago,"The place is huge and wide. A great place to conduct gatherings like camping, team building and parties.
The upper part of the area can also cater weddings and pre-nup"
Jonathan Austria,5 stars,2 years ago,N/A
Rex Felipe,1 star,2 years ago,Accommodation and services were unacceptable for a very luxurious price.
Dave Z,4 stars,2 years ago,N/A
Reah May Quinlog,5 stars,2 years ago,Great ambiance
Eze Serra,3 stars,2 years ago,N/A
kenken Juarez,5 stars,2 years ago,N/A
Princess Gamolo,5 stars,2 years ago,N/A
Stephen Lopez,4 stars,2 years ago,Good place to bike to
Mike James Alforque,5 stars,2 years ago,Nice place to relax and have fun
Jade Villegas,5 stars,2 years ago,N/A
Erwin Catalan,5 stars,2 years ago,Nice place for family gathering
Ronnie Tumangan,5 stars,2 years ago,Its so amazing place to stay its a fresh air
Edcil Quimequime,3 stars,2 years ago,N/A
Flynn,4 stars,2 years ago,N/A
Julie Ceniza,4 stars,2 years ago,N/A
John Rubi,5 stars,2 years ago,No signal. Good for team building
Joahnavi Pestanas,5 stars,2 years ago,They constantly renovate their place.
Jill John Lagusay,4 stars,2 years ago,N/A
arvin ian hernandez,5 stars,2 years ago,N/A
Kate Ygot,5 stars,2 years ago,N/A
Schweitzer Zee Misiona,4 stars,2 years ago,Away from the crowds
Alrio Niño Corona (thesailor_adventures),4 stars,2 years ago,N/A
Dean Michael Bontuyan,3 stars,2 years ago,N/A
elbern ballos,5 stars,2 years ago,Nice place for family bonding
Siham “Samibee22” Bakri,5 stars,3 years ago,N/A
Jenny Lyn Young,5 stars,3 years ago,We had our team building here. Which includes tents you can sleep overnight. Bbq stations you can cook to your hearts content. Swimming pool you can use and a lil playground to reminisce your childhood. …
Kiven Jhon Entuna,5 stars,3 years ago,N/A
marthe burgos,5 stars,3 years ago,Again and again love it
Maricel Reponte,5 stars,3 years ago,N/A
