review_user,review_rate,review_time,review_text
Tura Arts,5 stars,a month ago,N/A
Kenz Quiño,5 stars,2 months ago,N/A
김선화,5 stars,4 months ago,N/A
yoon yoon,5 stars,4 months ago,N/A
Eutuxia Memoracion,5 stars,7 months ago,N/A
Gwyneth Indino,5 stars,11 months ago,N/A
Neil Ian Ruiz,5 stars,a year ago,N/A
필립,3 stars,a year ago,It's still under cons …
Crispin Luar (Cris),5 stars,a year ago,N/A
Yram Ardauc,5 stars,a year ago,I went here for Psychosocial Services (for Bagyong Odette) with my Colleagues from USJ-R - SDPC in partnership with RAFI. It was a half day experience and my first. It's heartbreaking to see what the typhoon has brought to the locals of …
Atasha Ashley Paran,3 stars,a year ago,All good but the island itself is still recovering from the destruction of typhoon odette.
Noriel James De Vega,5 stars,a year ago,Looks nice but it is closed
marlon cornelio,2 stars,a year ago,the island has clear emerald waters. you can see the corals and fishes from your boat or by the port. …
Romano Constantino Corpuz,2 stars,a year ago,N/A
Michelle LY,4 stars,a year ago,I can tell this place would be worth it to visit on summer but definitely not July!
ツÀŕčáņâ,5 stars,2 years ago,Best place to escape the reality.
Hezekiah Montejo,5 stars,2 years ago,N/A
Francisca Menguito,5 stars,2 years ago,I love the beach perfect for a tourist spot!!! During in Midst of April the tide of the sea/wave  is very big.
NIÑO PAULO CARREON,5 stars,2 years ago,a great place to go to rejuvenate
Cez Prieto,5 stars,3 years ago,"The first time I visited this island was for our school work and it wasn't commercialized yet. Now, there's a big signage with the island's name, a restaurant with live band, and a proper docking area. You'll have to pay extra though if you …"
신은호,5 stars,3 years ago,N/A
hirokaizm50,4 stars,3 years ago,N/A
박진규,5 stars,3 years ago,N/A
Jarvis Uy,5 stars,3 years ago,N/A
샌드드림,4 stars,3 years ago,N/A
ほしポン,5 stars,3 years ago,It is a point where you can encounter big fish even …
kanchan,5 stars,3 years ago,"There are few tourists on the island, so you can r …"
DAI SAKURA,5 stars,4 years ago,hi …
