review_user,review_rate,review_time,review_text
محمد Мухаммад,5 stars,a month ago,"It is a heartwarming thing to find your brothers, for Islam is everywhere, they per …"
Omar Alsoufi,5 stars,2 months ago,N/A
BGB,5 stars,4 months ago,I went to do my salât and I was really well received by the brothers...
Mottin Magadapa,5 stars,5 months ago,It's a great mosque Muslim here are caring people
SittieAisah Solaiman,5 stars,5 months ago,Nice mosque
Sajidul Siraji,5 stars,6 months ago,N/A
Nazish Minto,5 stars,6 months ago,N/A
Salem Al-Khulaifi,5 stars,8 months ago,Very nice and renov …
فيصل الطواله,5 stars,a year ago,A mosque near the center where Friday prayers are held. God has written the reward for those in cha …
hasan alharbi,5 stars,a year ago,"Mosque 🕌 Green Mosque
In Cebu City, Philippines
Friday and Eid prayers and Tarawih prayers are …"
Amir Abdullahi,5 stars,a year ago,N/A
Christopher “Boyet” Sapong,4 stars,a year ago,Beautiful Mosque. Thanks to our Muslim brothers who let me in and tour me around.
Tom Crow15,5 stars,a year ago,N/A
Roslye “Rose” Labrador,4 stars,a year ago,N/A
Daph Bacus,5 stars,a year ago,N/A
Nur-adim Hadji Shalim,5 stars,3 years ago,N/A
Albaksh Khan,5 stars,3 years ago,Ma Sha Allah. Osm mosque
Dilbar Karami,3 stars,3 years ago,N/A
HaMaD Ibrahim,5 stars,3 years ago,N/A
Rachid Ait Hassoun,3 stars,3 years ago,N/A
Hazra Asakil,3 stars,4 years ago,N/A
سجة أبو سعد,2 stars,4 years ago,N/A
Adel ALmunasab,5 stars,4 years ago,N/A
Simon's Station,5 stars,4 years ago,I went to the mosque and the caretaker gave me an English-Arabic Copy of the Quran called The Noble Quran
Hussam Alshehri,5 stars,4 years ago,N/A
"Hadji Azis, Nor-faysah",5 stars,4 years ago,N/A
roberto de Ramos,5 stars,4 years ago,Mosque opposite zapatera elementary school
Zhymund Arizh Tambut,4 stars,4 years ago,A beautiful Masjid in the heart of Cebu City
Jon Eman,3 stars,4 years ago,N/A
Lucman Abdulrachman,2 stars,5 years ago,N/A
S R Faruquee,4 stars,5 years ago,Peace of mind
Mohammed Abdul Salaam,5 stars,5 years ago,The Friday prayer is scheduled between 12PM - 12:30PM.
Abbas Hasim,5 stars,5 years ago,N/A
Marky Labz,5 stars,5 years ago,Not finished ye …
Acasah Macabato,4 stars,5 years ago,Nice place.
Setyo Legowo,3 stars,5 years ago,N/A
Talha Tahir,5 stars,6 years ago,"Mosque near Zapatera School, Sikatuna Street. Sufficient space available for prayers. Open for all 5 times prayers."
Mohammed Abu Bakar Siddique,5 stars,6 years ago,Lovely
Annas H. Ale,5 stars,6 years ago,N/A
محمد الشمري,5 stars,6 years ago,N/A
