review_user,review_rate,review_time,review_text
Jui-Yu Chuang,1 star,a week ago,"Not open when visiting on 13 August, 2023."
Eduardo Yang,5 stars,7 months ago,N/A
Andrew Gentes,1 star,8 months ago,N/A
Aldrin Alpa Palis,5 stars,a year ago,It's fine
Noime Rigen Alberca,5 stars,3 years ago,great place and must visit in cebu
"fernando, jr Baroma",5 stars,3 years ago,N/A
Riley Shin,5 stars,3 years ago,A place you can visit if you want to know more about the history of Cebu and the churches it has.
Robert Broussard,5 stars,3 years ago,Fantastic Philippines Cebu music history! Ahoo!
spools.i (JC),5 stars,3 years ago,"Historical facts over here, I hope people would appreciate the things here :)"
Erich Sebusa,5 stars,3 years ago,The stuff of that Karenderya was good and hospitable and smiling
Art Ruanto Tuanquin,3 stars,3 years ago,N/A
Isabella 28,4 stars,3 years ago,N/A
Christian Salazar (Arch.SalazarC),5 stars,3 years ago,N/A
Marmark Marquez,5 stars,3 years ago,N/A
Sidney Taborite,3 stars,3 years ago,N/A
Krey Amorin,4 stars,3 years ago,N/A
Eduardo Abejero,3 stars,4 years ago,N/A
Alan Jensen,4 stars,4 years ago,N/A
pie v,3 stars,4 years ago,N/A
Nolan Cabardo,5 stars,4 years ago,Good to visit this place...
Hazel Martin Cabriles,5 stars,4 years ago,N/A
Fabbie Tangpos,4 stars,4 years ago,N/A
Yeddah Mae Labrado,2 stars,4 years ago,N/A
Sharra Canada,5 stars,4 years ago,This is the only music museum in the Visayas. You can listen to old Philippine music here. You can gain more knowledge not just in folk songs but also the different musical instruments used by the ancestral people of the Philippines.
Rolando Capala,5 stars,4 years ago,N/A
Stan Cabigas,4 stars,4 years ago,N/A
woo ji,5 stars,4 years ago,A place where you can meet traditional Filipino musical instruments. If you go …
Angela Lee,3 stars,4 years ago,I went for it on pur …
Colin R,3 stars,4 years ago,Groovy
Kathrina Dechosa,5 stars,4 years ago,There are cebuano singer that you will not believe they are from Cebu and also the old instrument that ethnic group used are nice..
Kids TV - CARS,4 stars,4 years ago,Nice place
Venice Margarette Juanillas,5 stars,5 years ago,N/A
enkoy apolo,5 stars,5 years ago,N/A
Miraflor Saldua,5 stars,5 years ago,Thank you to Gullas family for thia. Very educational.
Lie Fat,5 stars,5 years ago,N/A
اكرم الاحمدي,5 stars,5 years ago,N/A
christian domosmog,3 stars,5 years ago,N/A
Badr Altasan,1 star,5 years ago,N/A
Rome Nicolas,5 stars,6 years ago,The history of Cebuano music and Rizal artifacts are here.
Ej Coray,4 stars,6 years ago,this place is nice
Alexander Faciol Calderon (Alex),4 stars,6 years ago,House of old music
Zeno Hsu,4 stars,6 years ago,N/A
Joulz G (Julz),4 stars,7 years ago,N/A
"Marcelo P. Osores, Jr.",5 stars,7 years ago,N/A
Jeremiah Cayondong,4 stars,7 years ago,I am very grateful for the Gullas family in realizing this one-of-a-kind museum. It is dedicated on reliving the original filipino music through antique finds and musical instruments. Great place for a field trip for kids and the young at heart like me!
Ka Bino Guerrero,5 stars,7 years ago,the regions only museum solely for music
rahayuni andika situmorang,5 stars,7 years ago,N/A
Stevejona Jambre,5 stars,7 years ago,N/A
Audrey Tomada,4 stars,10 years ago,N/A
