review_user,review_rate,review_time,review_text
daniel catamco,5 stars,an hour ago,N/A
richard evangelista,5 stars,2 days ago,very accomodating tourist guide
Jose Carcabuso,5 stars,2 days ago,This art is a masterpiece!
Jovelyn Bacalla,5 stars,2 days ago,N/A
Heinz Jade,4 stars,2 weeks ago,"Sculptures made of brass, bronze, concrete and steel exemplify the heritage of Cebu. It was built by  national award-winning artist Eduardo Castrillo. Funded by the late senator Marcelo Fernan, construction of the monument began in July …"
rovi sera joseph,5 stars,2 weeks ago,N/A
SeungHyun Lee,3 stars,2 weeks ago,I was looking for something to see on the way to Cebu  …
Christian Jaylord Miranda (CJay),5 stars,2 weeks ago,It's just sight seeing
Daniel,5 stars,2 weeks ago,"Must see if you’re in Cebu. All great places to check out in the nearby neighborhood, including the oldest house in Cebu City. Free to walk around and see."
Joseph Dobis,5 stars,2 weeks ago,"It’s ok. I wouldn’t go out of my way to come
Here ."
游嘉勲,4 stars,3 weeks ago,just a memorial  …
Geoffrey Duminasac,5 stars,3 weeks ago,N/A
Phil Floren Gallardo,5 stars,3 weeks ago,N/A
Phoenix Fire,5 stars,3 weeks ago,N/A
Ольга Горко,5 stars,3 weeks ago,"Sometimes buses with groups come, but they do not interfere. The monument shows the history of the Philippines. Nearby there is 7/11 if you want to …"
duke “yoshi” lenshow,4 stars,a month ago,Whenever I go to  …
Lopez Kameron Cloydy D,5 stars,a month ago,Very affordable live love cebu moments
Spam Tapunan,3 stars,a month ago,"Cool statues. Summarized history of Cebu. Lots of vendors outside haggling tourist, saw some koreans were scared of one rather hostile souvenir vendor."
Jürgen Tomaschewski,5 stars,a month ago,"Impressively much represented in one monument, worth stopping by when you are in Cebu city. No entrance fee."
Charlie Lan,5 stars,a month ago,Beautiful landmark. Rich in history. Definitely bigger than I expected. Worth a 5-10 minute visit during a tour of Cebu City. No entrance fee or wait time required. Beware of peddlers selling trinkets and souvenirs.
なみへい,3 stars,a month ago,I think it's good to stop and take a look. There is no  …
Maria,5 stars,a month ago,N/A
Jezreel Vasquez,5 stars,a month ago,N/A
Josefina II Policarpio,5 stars,a month ago,N/A
Jocelyn Evangelista,5 stars,a month ago,Massive statue
dell ron,4 stars,a month ago,Beautiful...  there you'll read and know what happened that time..
"OBALDO, PATRICIA BABES",5 stars,a month ago,"This Historical place is a beauty indeed, gives light to the past."
Alaiza S,5 stars,a month ago,N/A
Jo Sutia,5 stars,a month ago,The very first city in the Philippines. See the video and picture
Julius Paulin,5 stars,a month ago,N/A
michael San MATEO PHILIPPINES,5 stars,2 months ago,N/A
Carl Yoi,5 stars,2 months ago,Nice for instagram and FB posting
Jun Tech,3 stars,2 months ago,N/A
ANDRE K.,4 stars,2 months ago,Nice to walk around the monument in the evening
April Shelly Lepon,5 stars,2 months ago,N/A
Wandering Kid,5 stars,2 months ago,N/A
林宥甫,5 stars,2 months ago,"It's small, like a separate isl …"
Masato Minami,4 stars,2 months ago,N/A
izally presbitero,5 stars,2 months ago,Nice place to know history
flynn Dee,5 stars,2 months ago,N/A
Javier Bakker,3 stars,2 months ago,Cool statues but not really worth going to
ben yu,3 stars,2 months ago,"A very small park with beautiful monuments located along busy streets where people and public transport passes by, people seems to ignored it."
Roger Federico,5 stars,2 months ago,N/A
sha,4 stars,2 months ago,Just took photos around the area. There are also locals selling souvenirs and jewelry.
Van,3 stars,2 months ago,Well I guess it looks ok
Jhoemer Costales,4 stars,2 months ago,N/A
Win Guisando,5 stars,2 months ago,N/A
Jens Jarlengrip,3 stars,2 months ago,N/A
Aravind J,4 stars,2 months ago,N/A
Millie Chin (Milliefujii),4 stars,2 months ago,"You can probably see the whole thing in 5 minutes 😂 There are no signs or whatsoever here, some vendors are selling things outside. …"
Renz Balais,5 stars,3 months ago,N/A
Nic Valenzuela,5 stars,3 months ago,N/A
Jumar Dimpas,4 stars,3 months ago,It's old but gold. Just need some little fixing
郭彥廷,5 stars,3 months ago,nice
Jürg Zurburg,4 stars,3 months ago,N/A
rommel tejeno,5 stars,3 months ago,One of Cebu's pride to visit for our Historical abundance. It showcase how the culture develop in the area on the years passed by.
Regina May Balquin,5 stars,3 months ago,N/A
Sheila May Javillonar,5 stars,3 months ago,N/A
Crisandro Bautista,5 stars,3 months ago,Love the place. Such beauty.
Ayek Ragasajo,1 star,3 months ago,N/A
MERRYL JOHN LLAGAS (Mei- Mei),5 stars,3 months ago,A nice place to spend time with your family❤️❤️
Jericho Vitug,5 stars,3 months ago,Summary of history of the monument in cebu so much to learn very beautiful sculpture!
joel amora,5 stars,3 months ago,Great place👍👍👍 …
Ma. Riva Ligutom,5 stars,3 months ago,Great place to think about living
Remal Oligario,5 stars,3 months ago,What a great place! ❤️
rafael sibal,5 stars,3 months ago,this art of statue is historical must  be a place to go
jerome A.,5 stars,3 months ago,"This is good place to visit, the sculpture is very detailed, its amazing"
Jennelyn Manguiat,5 stars,3 months ago,A historical place.
JC Rodriguez,5 stars,3 months ago,A great place to visit. Will visit again soon
Rhea Carreon,5 stars,3 months ago,Very nice place.
Jan Martin Epile (Thatzkie),5 stars,3 months ago,N/A
MrMayoyama,4 stars,3 months ago,N/A
Mary Fe Maceren,5 stars,3 months ago,Amazing walls Ang near at terminal for the boat going others island of Bohol
Pascal Rückheim,5 stars,3 months ago,"As you can see, a monument. Nice to look at, in the immediate vicinity is the food mile at night. Can you connect."
Jennifer Perucho,1 star,3 months ago,N/A
disciple fanny user,5 stars,3 months ago,N/A
Jace Reyles,4 stars,3 months ago,N/A
Coleen Pamiroyan,5 stars,3 months ago,Learned something on this history!!!!GREAT!!
French Mike Hermo,5 stars,3 months ago,N/A
Navis Marine (KABARO),5 stars,3 months ago,"Best iced coffee, you can smell the  espresso made by robusta and arabica beans."
Angelito Almero,4 stars,3 months ago,Historic visit
Menandro Dela Cruz,5 stars,3 months ago,A 500 years of Christianity showcase...all in one!
Rodrigo John,5 stars,3 months ago,"The smell of urine is better, but I still admire the sculpture. A …"
Cris Gomez,4 stars,4 months ago,N/A
タッキー,4 stars,4 months ago,"When I was looking for it on Google Maps, it suddenly appeared as a huge sculpture-like build …"
sethgil casil,5 stars,4 months ago,N/A
Rey Arcite,5 stars,4 months ago,N/A
John Carlo Ruiles,4 stars,4 months ago,N/A
Jerome Udtohan,3 stars,4 months ago,N/A
Alfon Francis Arnejo,3 stars,4 months ago,N/A
R G,5 stars,4 months ago,N/A
Arche Crez,4 stars,4 months ago,"It's one of the nice places for many heritage here in cebu,"
John V,3 stars,4 months ago,N/A
Ivete Azevedo,5 stars,4 months ago,Go around and enjoy...
Angelo Casangcapan,4 stars,4 months ago,"It needs some renovation, parts of the structures are broken."
Irfan Silalahi,5 stars,4 months ago,There are so many stories here just by walking around the monuments and looking at it from different angles.
유영욱,3 stars,4 months ago,"It's just surrounded by statues
I have a rough  …"
Juan Angel Martinez Ruedas,4 stars,4 months ago,N/A
Mathew Sams,3 stars,4 months ago,Good to go see as it's close to Yap Sandiego house and Casa Gorordo. Not much here though
Athirah Azizan,4 stars,4 months ago,"illustration and representation of sculptures made of brass, bronze, concrete, and steel. It was built by the national multi-awarded artist Eduardo Castrillo. The construction of the monument, funded by the late senator Marcelo Fernan along …"
吳昭瑩,5 stars,4 months ago,"2023.3.24 Today, under the leadership of a taxi driver i …"
Donesio Lagnason,5 stars,4 months ago,N/A
Mark Joseph Nana,5 stars,5 months ago,I enjoy visiting here and look a little how beautiful the monument is. However you cannot  read anymore the words in the tablets because it is already worn out.
Davey Shaloma,5 stars,5 months ago,N/A
Christlin Angus,4 stars,5 months ago,N/A
이민경,5 stars,5 months ago,I heard it  …
高田カイル,4 stars,5 months ago,N/A
Jeoffrey Gudio,4 stars,5 months ago,N/A
Romanas Zvezdovas,5 stars,5 months ago,Beautiful piece of history
JP M (JP),4 stars,5 months ago,N/A
Jazzel Kris Obasan,5 stars,5 months ago,😍😍😍😍😍 …
DominiQC Asean,3 stars,5 months ago,An historical monument located on a street angle with very small grounds. Best pictures are taken from the roadside.
Евгений Нов,4 stars,5 months ago,"Monument, almost panorama …"
Ari-pekka Ylostalo,4 stars,5 months ago,Nice monument.  See photos
Jet Camara,4 stars,5 months ago,Not well maintained
hyunjung Kim,5 stars,5 months ago,N/A
Chandra Kanth Reddy,5 stars,5 months ago,"This is worth visiting. Honestly among the places I have been to in Cebu city, I liked this one more."
edmund getamondoc,5 stars,5 months ago,Nice place
zavash zarei,1 star,5 months ago,Guards take holidays and close it whenever they want
Jo Casil,5 stars,6 months ago,Nice place
Rico Schiekel,4 stars,6 months ago,Interesting monument showing some of Cebus heritage.
August Chen,4 stars,6 months ago,N/A
Xtinejoy Jacinto,4 stars,6 months ago,N/A
EMY GONZALES,5 stars,6 months ago,N/A
Edward Wolosezky,5 stars,6 months ago,N/A
Дмитрий Машурчак,5 stars,6 months ago,A very beautiful monument. On the way we went to the cathedral and it was impossible not to notice this building. Worth a visi …
Rhys Marie Cabalan,5 stars,6 months ago,N/A
Norman Griffiths,5 stars,6 months ago,Just a quick stop was very interesting
Daniel Knoll,5 stars,6 months ago,From Magellan's arrival until his defeat. It's well presented.
Aimee Lim,5 stars,6 months ago,The details of the scuptures are amazing. A historical landmark. Its located in a small park in a busy streets with small parking spaces. Still worth to visit this remarkable place. It is free also.
Clare,5 stars,6 months ago,Walked past the historical monument by chance. It’ll be nice to have more information/ write up about the monument and it’s significance!
Mireia Grau,5 stars,6 months ago,N/A
Jamaila Baliña,5 stars,6 months ago,N/A
Jayed Minor,5 stars,6 months ago,N/A
John Rosvelt Germino,4 stars,6 months ago,N/A
John Jones,5 stars,6 months ago,"We were casually walking the night market when we stumbled across this monument late at night. What a pleasant surprise. It was big, bold and beautiful. There was no indication of who each person was but we took lots of pictures and we'll Google it when home."
Stanimir Dimitrov,1 star,6 months ago,N/A
Janine Lumapac,5 stars,6 months ago,N/A
Chili Red Arowana,1 star,6 months ago,"Just a large statue monument, you will need a guide to explain what is going on in the statue or else it seems not so impressive. Its a small site, can be done in 5mins.."
Pavol Ocenas,5 stars,7 months ago,N/A
Gerard Louie Aguirre,5 stars,7 months ago,N/A
Karsten Hansen,3 stars,7 months ago,N/A
Gladys Victorino,5 stars,7 months ago,N/A
Mac Santos,5 stars,7 months ago,N/A
Emmanuel A Kof,5 stars,7 months ago,Nice monument in the heart of Cebu city
glenn dacoma,5 stars,7 months ago,N/A
Resty Agustin,5 stars,7 months ago,N/A
Kyrl Haydn Ligan,5 stars,7 months ago,"Located near the tip of the oldest Street in the Philippines, Colon Street. This monument sums up how Christianity started in the country."
park John (제프리삼촌),5 stars,7 months ago,"They are sculptures depicting the most important and symbolic events in detailed history from the past to the present. They are not old works, but they were b …"
Celmar Maurillo,5 stars,7 months ago,N/A
Shienna Doba,5 stars,7 months ago,N/A
Nizar Rajeh,4 stars,7 months ago,Put this as a pin on your map when you decide to do a day trip through old town Cebu City. You'll definitely need it to get your bearings when your heading to Yap-San Diego ancestral house or down towards Magellan's cross. …
Adriana Batá,5 stars,7 months ago,Very good
Alder Febraday Tamarra,5 stars,7 months ago,N/A
Rossie OV Hong,5 stars,7 months ago,N/A
albertine caldeza,5 stars,7 months ago,N/A
olive reyes,5 stars,7 months ago,"If u are fond of historical spot, this is the best place to visit and have memorable photos."
Jeneth Villamor,5 stars,7 months ago,N/A
Edward,5 stars,7 months ago,"No parking space, must see though"
Dilshad Ahmed,4 stars,7 months ago,N/A
shin otty,4 stars,7 months ago,I thought it would be …
rhyu kho,5 stars,7 months ago,A summary of all important events in Cebu.. such a unique monument.. totally wow!
PsybeL08 cy_violet08 Montana,4 stars,7 months ago,N/A
stef balbanera,3 stars,7 months ago,N/A
EMERALD MARPAGA,5 stars,7 months ago,N/A
Lok Tam,5 stars,7 months ago,N/A
Alphard Gonzales,5 stars,7 months ago,N/A
Jories Joy Canete,5 stars,7 months ago,N/A
El Zacs,5 stars,7 months ago,N/A
Kuba Stanosz,5 stars,7 months ago,N/A
Donnelly Mumar,5 stars,7 months ago,One of the Oldest Heritage located at Cebu City.
thomas mueller,2 stars,7 months ago,N/A
Danilo Careloria,3 stars,7 months ago,it's nice to see the place
Jerry Gutierrez,4 stars,7 months ago,"Located in a busy area; the monument needs maintenance and it's an open, small park; still worth the trip to see the monuments of Cebu."
Keven Ngujo,5 stars,7 months ago,NIGHT MARKET!!!!
Karlizle Aubree Tumanda,5 stars,8 months ago,N/A
Amy M. Del Rosario,4 stars,8 months ago,N/A
Dann Diez,3 stars,8 months ago,due to earthquake the site needs repairs
Ian Kyle Oropa,5 stars,8 months ago,N/A
Paps Ski tv,5 stars,8 months ago,N/A
Maylyn Pilongo,5 stars,8 months ago,N/A
육구닭jck,3 stars,8 months ago,I just went there. It's ju …
Karthik Chandrasekar,4 stars,8 months ago,The monument is good to see. But need more maintenance.
June Magpuyo,4 stars,8 months ago,N/A
Jojo Azuelo,5 stars,8 months ago,N/A
Eric Domingo,5 stars,8 months ago,N/A
Nick Cruise,5 stars,8 months ago,Pretty historical and it is monumental!
Darren Fancy,4 stars,8 months ago,An interesting piece of art depicting the history of Cebu in the overall history of the Philippines.
Ariane Sanchez,5 stars,8 months ago,N/A
Janette Misa,5 stars,8 months ago,N/A
Maryjane Arsenio,4 stars,8 months ago,N/A
Stephen Pacada,5 stars,8 months ago,N/A
Louidth Lloyd Galenzoga,3 stars,8 months ago,It's a place of mark of history in Philippine started arrived the Spaniards in Cebu.
Manuel Villanueva,5 stars,8 months ago,Heritage
Hunter Demon,5 stars,8 months ago,N/A
chandelier chandie,5 stars,8 months ago,N/A
Jose Ignacio Taculayan,3 stars,8 months ago,N/A
Nomer Ambe,5 stars,8 months ago,N/A
REPDOS JAMES,5 stars,8 months ago,Its a great place to rome around and eat foods or buy somethings
horace love,5 stars,8 months ago,N/A
Aron Jae Rosalejos,5 stars,8 months ago,N/A
Stevan Alvarado,5 stars,8 months ago,N/A
Ronald Ornopia,5 stars,8 months ago,N/A
Cebu Best Wedding and Events Planner JadePaghubasan,5 stars,8 months ago,N/A
Prabhakaran B,3 stars,8 months ago,N/A
Emilio Montelibano,5 stars,8 months ago,N/A
Lumagbas Michelle Ann,5 stars,9 months ago,N/A
Zoilo Villanueva,5 stars,9 months ago,"It looks good, but nothing else. Take a couple of pictures then leave"
Patrick Jones,4 stars,9 months ago,Interesting history
giselle gelbolingo,5 stars,9 months ago,N/A
Causse Guillem,5 stars,9 months ago,A great monument that goes around the whole history of the city.
Cheryll Celerio,5 stars,9 months ago,Yes it's nice here to visit also for the firstimer here and tourist from other places
Russ Tolentz,5 stars,9 months ago,N/A
Librado Luar Jr.,4 stars,9 months ago,Everything is Exciting
Raul Rodriguez,5 stars,9 months ago,N/A
Nashlei Bahina,4 stars,10 months ago,N/A
Mal Cooper,3 stars,10 months ago,Seen as part of a tour of historical sites. Interesting as a whole.
Adara Madison,5 stars,10 months ago,Very beautiful
Macarlo Malang,4 stars,10 months ago,N/A
Strabby Crabby,2 stars,10 months ago,The monument is only 20 years old but already falling apart.
danilo jr escano,5 stars,10 months ago,N/A
Kevin Sewell,4 stars,10 months ago,"Really enjoyed the artwork and scripture here! It's a multifaceted, multi-sided storytelling of the history of the Philippines and it's very well done."
Jiru Jian,4 stars,10 months ago,N/A
Julimar Trinidad,4 stars,10 months ago,"The Heritage of Cebu Monument.  The construction of the Monument began in July 1997, built by the National artist Eduardo Cadtrillo.  The Heritage Cebu Monument is a sculptures made of concrete, bronze, brass, and steel."
Roel yaun Limpangog,5 stars,10 months ago,N/A
Asoy,4 stars,10 months ago,N/A
Kay Su,4 stars,10 months ago,He's ok but can't read what it's about because what's written is not preserved or discolored.
STman Teves,5 stars,10 months ago,N/A
joseph inrek,4 stars,10 months ago,Yes nice place for tourist
Ampong Alcano,5 stars,10 months ago,It's has a unique heritage portrait that captures my eyes.😉 …
Chona Manggol,3 stars,11 months ago,Not well-maintained.
cebu elite machines inc.,4 stars,11 months ago,A place where I play perya during nightime
christine dumdum,2 stars,11 months ago,N/A
Jisaa Jeyyn,5 stars,11 months ago,Very Historic and amazing monument!!
Olivia Torres,4 stars,11 months ago,N/A
dennis “Dens” sambilad,4 stars,11 months ago,Good
mapette loon,5 stars,11 months ago,N/A
Mark Anthony Sanchez Sarabia,5 stars,11 months ago,N/A
Stasnislavus Stepanov,5 stars,11 months ago,"A very large and beautiful monument to the discoverers, a lot of people and a lot of c …"
Eliud Kering,5 stars,11 months ago,No e place to bounding with family and friends
Jose Gabriel Fabileña,5 stars,11 months ago,N/A
jesam bulactin,1 star,11 months ago,N/A
Neil Panchito,4 stars,11 months ago,Super cool!
Gabriel Diola,3 stars,11 months ago,N/A
최성욱 (건축학도),3 stars,11 months ago,It's not being managed. There is a homeless man and a dog lying at the …
Louie Jay Augusto,4 stars,11 months ago,N/A
