review_user,review_rate,review_time,review_text
Valeriano Riveral jr,5 stars,7 months ago,N/A
Mark Lennon,3 stars,9 months ago,N/A
Glezel Abendan,5 stars,2 years ago,N/A
MrChow TV,5 stars,2 years ago,Love it
Darrell Epalan,5 stars,2 years ago,N/A
Brian Marciniak,5 stars,3 years ago,N/A
Jooyong Kim,3 stars,3 years ago,N/A
regie iris (Jared),3 stars,3 years ago,Nice
HyeSun Choi,4 stars,3 years ago,N/A
김영호,5 stars,3 years ago,N/A
김인원,1 star,3 years ago,N/A
이미지,5 stars,3 years ago,N/A
KEVIN Park,4 stars,4 years ago,It is one of the famous spots for scuba diving. It is a national park and has beautiful t …
Bipin T,3 stars,4 years ago,N/A
Maricar Sagarino,4 stars,4 years ago,N/A
Andrea O,5 stars,4 years ago,N/A
チロルジェームズ,5 stars,4 years ago,N/A
김정환,5 stars,4 years ago,good~
Charlie Cacha,5 stars,4 years ago,Nice island
dive pro,5 stars,4 years ago,Recommended Hil …
展康伊藤,3 stars,4 years ago,N/A
yumi yang,4 stars,4 years ago,N/A
최준수,5 stars,4 years ago,N/A
MinJoong Kim,3 stars,4 years ago,N/A
iku matsu (Iku),5 stars,4 years ago,N/A
glyn emeterio,5 stars,4 years ago,N/A
Arong Jerome,5 stars,4 years ago,N/A
Arnel Espinosa,5 stars,4 years ago,Good to go in for ur island hopping tour.
Andy Bacalso,2 stars,4 years ago,N/A
Rosmarie Juarez,4 stars,4 years ago,N/A
Leo Christopher Tan,1 star,4 years ago,N/A
허진,3 stars,5 years ago,A place I nev …
Luzminda Umpad,5 stars,5 years ago,Hilotungan channel the deepest ocean in the world were people pass by through Gilotungan island
The Outdoorsy Me,5 stars,5 years ago,N/A
Fatima R. Helardes,3 stars,5 years ago,N/A
Mai Mon,4 stars,5 years ago,N/A
Marc Francis Manila,4 stars,5 years ago,Good
hoony kim,5 stars,5 years ago,nice place
jerry gonzaga,4 stars,5 years ago,Liked it
길길길혁이,4 stars,5 years ago,N/A
