review_user,review_rate,review_time,review_text
Alex Chef,5 stars,9 hours ago,N/A
Eden Grace Odever,5 stars,a day ago,Perfect for adventure! The true gem in Cebu South!
X. Ho,5 stars,2 days ago,What a blissfully beautiful place! Great 10m jump by the water. The current is surprisingly strong and the pool is deeper than it looks! Little crabs on the rocks by the water.
Nadaraja Raja,4 stars,5 days ago,Great water falls
Angelica Jumao-as,5 stars,6 days ago,N/A
Solongo Batbold,5 stars,6 days ago,Great experience 😊 …
De Los Santos,5 stars,a week ago,One for The best tourist spot in Cebu
Joel Tobler,5 stars,2 weeks ago,This waterfall is insanely cool. It was forming a natural rainbow when we went and there are some good places to jump from. Absolutely stunning.
Anna Engelund,5 stars,2 weeks ago,N/A
Snir Keidar,5 stars,2 weeks ago,Highly recommended  beautiful and fresh. Stayed there few hours . Magical place
Reggie Virtudes,5 stars,2 weeks ago,The waterfall was nice.
Jeniel Bonsit,5 stars,2 weeks ago,N/A
唐狮,5 stars,3 weeks ago,N/A
Eizen Barleta,5 stars,3 weeks ago,Probably the most captivating waterfall I’ve seen to date! Inambakan Falls is the highlight of your Ginatilan canyoneering experience. There are also jumping sites (3 meters and 10 meters high) you can try here. …
jeon병석,3 stars,3 weeks ago,"I booked Kawasan through Klook and came here
Kawasan closed two months ago, but there wa …"
Nicolas Atamosa,5 stars,a month ago,N/A
deanboyall,5 stars,a month ago,Amazing experience. Very tiring but worth it. Great tour guides.
Catherine Lastimoso,5 stars,a month ago,I'm a tour guide at inambakan falls here in ginatilan Cebu
Nina,5 stars,a month ago,You can just pay entry and swim at the first level where the main waterfall is but you should get a guide and go up to different levels and do some cliff jumping and see some.smaller waterfalls. …
Mike Morrison,5 stars,a month ago,Spectacular waterfalls and friendly local guides. Look out for Dave who is a very very good videographer and photographer with some great techniques for the best videos and photos. Also likes to keep everyone safe and using the correct techniques for jumping and walking.
