review_user,review_rate,review_time,review_text
Steve Alfanza Sagmon,5 stars,3 weeks ago,N/A
ajhie klg,5 stars,a year ago,N/A
Rodney Pantonial,5 stars,2 years ago,N/A
Cris Thadeo Cortes (Tadz),5 stars,2 years ago,"Very nice place.
We didn't camp here but will try to camp here next time. …"
Oscar Ted,5 stars,2 years ago,Zipline view in Lake Danao
Jimrey Biosa,3 stars,2 years ago,Good Place for Camping/Glamping... however there's a big difference now compared to the last time it was inaugurated...
carla bresciani,5 stars,3 years ago,N/A
Ana Marie,1 star,3 years ago,It was okay but the level of the water was not good for swimming. The prices on the web was different as what stated on the website.
PCUP- Field Office Mindanao Ferdinand C. Iman,4 stars,3 years ago,Relaxing place.:)
Jackielou Selerio,2 stars,3 years ago,N/A
KiyamasProject,2 stars,4 years ago,N/A
Bryan Panilag,5 stars,4 years ago,Great place
Tony Camello,1 star,4 years ago,N/A
Nicel Alegado,4 stars,4 years ago,N/A
Vanrick Sagario,5 stars,4 years ago,N/A
samson patigas,4 stars,4 years ago,spacious and clean
dragoRAVEN,4 stars,4 years ago,N/A
Chill o` Weytt,4 stars,4 years ago,If you'd like a cheap place to spend the night this is the place to go! You can rent a tent for 200 php. It's pretty cheap
Jay ar Hermoso,5 stars,4 years ago,N/A
Christopher Patentes,3 stars,4 years ago,"it is less beautiful to look at, and maybe there will be need some improvements and only they have one got my attention the boat riding and what did childrens is to push the boat to keep on running... Once again why we are here, celebrate a birthday celebrants...okies."
Laskoy music,5 stars,4 years ago,N/A
Mecel Cabalida,5 stars,4 years ago,Superduper i love it😘😍😎 …
Floragen Ibale,5 stars,4 years ago,Everything u need is dare
Dex Tung,5 stars,4 years ago,perfect place to relax and away from the city
Trinidad M,3 stars,4 years ago,"Things a tourist should know

ATTRACTION: …"
Reymar Serencio,5 stars,4 years ago,I really love the nature.. 😍😍😍 …
KHEIRON JHEO TOLENTINO,2 stars,4 years ago,Expect less then you'll going to appreciate its beauty.
Ivy Tero,2 stars,4 years ago,They asked entrance fee amounting to 20pesos per head and all we did was juat eat our lunch.
Stanley Mark Correa,3 stars,4 years ago,"Though it was low tide, the place seems nice... needs more government support."
Engineer Jhaybee,5 stars,4 years ago,N/A
Jed A. C.,4 stars,4 years ago,"So much fun visiting the place, it nice to visit on High-tide to experience the floating cottage"
philomath,4 stars,4 years ago,N/A
Donie Pejo,4 stars,4 years ago,Good for Camping. Not good during low tide. Must bring food and drinks.
Arong Jerome,5 stars,4 years ago,N/A
Cairo Satorre,4 stars,4 years ago,N/A
Jorge PWJ,3 stars,4 years ago,N/A
Christian J Zambo,3 stars,4 years ago,N/A
Lenard Tradio (Phobdous_Highlights),5 stars,5 years ago,nice place ..good to relax..
Benchdyl Velarde Daño,4 stars,5 years ago,N/A
Crischellyn Abayon,4 stars,5 years ago,N/A
장한솔,5 stars,5 years ago,N/A
Alecx Gangoso,4 stars,5 years ago,N/A
Estelle Marie Igot,4 stars,5 years ago,N/A
Wen Wen,3 stars,5 years ago,N/A
John Astorga,5 stars,5 years ago,N/A
Merry,5 stars,5 years ago,Very relaxing place. There's a lot of mangroves in the place. People in tyat place are hospitable
FRITZ MENGUITO,5 stars,5 years ago,N/A
devaiah rohan,4 stars,5 years ago,"Nothing much to do besides camp under the night sky. There is a basic toilet and water provided. A lady who is the caretaker could cook for you, if you provide her with supplies.  A habal habal can bring you from the ferry to the campsite …"
Brian Santmaria,4 stars,5 years ago,Quite and accomodating
Maryjhane Labiste,4 stars,5 years ago,N/A
Ariane Myr Canda-Vedua,5 stars,5 years ago,N/A
Mischelle Marie Suico,5 stars,6 years ago,"Great place for camping, planting mangroves and recreation."
Christian Villarosa,5 stars,6 years ago,Affordable overnight for 100 pesos. Friendly staff. Will definitely be back.
gotaro ogawa,4 stars,6 years ago,"peaceful silent place, but poor facility"
Clyde Sanchez (Audi),4 stars,6 years ago,"Good for camping only unless you prefer swimming in shallow and muddy water. If planning on overnight, bring mosquito repellants. ""Tag-nok"" also known as Sand Flies leave bite marks which itches for days and leave a bad looking scar when scratched badly."
Jo Libarnes,4 stars,6 years ago,N/A
