review_user,review_rate,review_time,review_text
Lena RO,5 stars,3 days ago,Two siblings who keep their fathers work alive. The garden is full of plants and the butterfly’s are flying freely. You see a lot of pillars. Inside you can see the collection of all the dead butterflies (they just collect them when they …
Gin Park,5 stars,a week ago,"Late Prof Jumalon was Cebu’s rennaissance man— an innovative artist of Lepido-Mosaics, a self taught etymologist whose works can be found in Smithsonian, and an environmental advocate. …"
campanz2040,5 stars,a week ago,N/A
Desiree Ocampo,3 stars,a week ago,"For a butterfly sanctuary, it almost has no butterflies."
Lyra Pérez Dumdum,5 stars,a month ago,We've been family friends with the Jumalons for forever so going to thus place is required. It's a great place to learn about biodiversity. The City really needs to preserve and fund places like these.
Lewis Birch,5 stars,a month ago,My partner and I visited the sanctuary after our Lonely Planet guide recommended it. …
richard alforque,5 stars,a month ago,N/A
Demi Shoebridge,5 stars,2 months ago,"Great educational experience.
Staff were so knowledgable and friendly. Really enjoyed our time there and was very interesting to hear about the butterflies and see the art."
Gordon Bollig,4 stars,2 months ago,"It is a collection of an artist’s collection 100s of butterfly species from around the world, and personal art. Had a garden but due to it being open air not many live butterflies when I went. Highlights was the mosaics made with dead butterfly wings. Place is a little out of its prime but shouldn’t stop anyone from goin."
Alec Tam,5 stars,3 months ago,"One of the best experiences in Cebu City. Lucky enough to be the first tourist led by the student interns from the Don Vicente Rama Memorial National High School back in March, a very well prepared and organised tour. …"
Marlou Geronimo,5 stars,3 months ago,❤️❤️❤️
SinghTV,5 stars,3 months ago,Very nice place ☺️ I like
Adam Green,5 stars,3 months ago,"Loved the feel of this place, very down to earth but fascinating. Got a personal tour from some very energetic and informed school students even though I came late. Because it was getting dark the butterflies in the garden were hiding away, …"
isidro sencio,5 stars,4 months ago,"1st dine in meals with this branch, just fine, parking areas for clients, service is good."
"DELA PEÑA, ALTHEA B.",5 stars,4 months ago,The place has a long and rich history. I wholeheartedly advise everyone interested in learning anything about butterflies to visit this location. There is a ton of trivia and myths you can discover about these species. The location is also spotless and quite relaxing. Make sure you won't be leaving any garbages behind when you arrive.
JOHN DAVID VILLAMOR,4 stars,4 months ago,N/A
Jesrel Lariosa,5 stars,4 months ago,N/A
ballirym tabar,5 stars,4 months ago,N/A
Charity Saluntao,5 stars,6 months ago,N/A
Rico Schiekel,5 stars,6 months ago,Very nice place with a lot of butterfly and nice owners explaining everything.
pppark,4 stars,7 months ago,N/A
energy buzz,2 stars,7 months ago,N/A
Xuan Chang,5 stars,7 months ago,"Very nice and worth place, I really like here
Recommend hid …"
Jason B,5 stars,10 months ago,"Very knowledgeable host, the son of the founder."
Kent Duque,5 stars,10 months ago,N/A
Tammy Kirschner,5 stars,11 months ago,Such an educational experience here. The daughter of the man who founded this place gave us part of our tour. She was fantastic
Allen Chua,5 stars,a year ago,"Super kind and accomodating. Hopefully there will be more visitors!
And help the local govt. They are truly one of Cebus treasure …"
Nikos Metaxas,5 stars,a year ago,Wonderful experience and great history lesson from the sanctuary owners
