review_user,review_rate,review_time,review_text
TAZ KY,5 stars,a month ago,N/A
Lucrecio Oliverio,4 stars,2 months ago,N/A
Carl Johnson Genon,5 stars,3 months ago,N/A
David Hálek,3 stars,3 months ago,N/A
Jürgen Hager,5 stars,4 months ago,N/A
Dione Liday,5 stars,4 months ago,N/A
Andreas Ostermaier,3 stars,4 months ago,Smoking ban everywh …
Haralds Pedraudzis,5 stars,4 months ago,good place for bounding with family. Amazing pool where you can swimming with the fish.
Julee lou Sabite,5 stars,6 months ago,N/A
Camille Tek-ing,4 stars,6 months ago,N/A
Jomar Panarigan,5 stars,6 months ago,N/A
mamerto eroy,5 stars,6 months ago,"If you want something different  or out from beach this place is good for you, though you should be more careful especially to those stairs cause they are a little bit slippery but still, we do have a great day in this place."
Melvin Rabz,5 stars,7 months ago,N/A
Jonalyn Terante,5 stars,7 months ago,As always nice place to relax during summer :) Newly Renovated! Highly Recommended:)
Jonnie Memoracion,5 stars,7 months ago,Cold & relaxing place visit here...
kingjuy 809,4 stars,7 months ago,N/A
Geneve Albano (Gev),5 stars,8 months ago,"chilly spring water with cute fishes. We went on a monday morning. you have to pay environmental fee of 100php, floaters are 500php. parking fee for motorbikes are 20php."
Oliver Leutung,5 stars,9 months ago,Nice bathing experience. Best time to swim alone during the day in the middle of the week 🏊 …
Nadine Guro,5 stars,9 months ago,N/A
Rax Andre Co,5 stars,10 months ago,If you need a cool dip to freshen up from a hot summer day then this is one of your best place to visit.  The place is very relaxing and the spring water is ice cold.  You will definitely get a cool down if you take a dip.  Nice place for a small gathering of friends and family.
Roy Joseph Argumido,4 stars,10 months ago,N/A
Dhen Redoble,5 stars,11 months ago,"Diff. worth coming back. Really really nice and cold spring water, good for relaxing, unwinding and also they have friendly kind staffs. Good job!"
Benito Armani,5 stars,11 months ago,N/A
Pauline Rosaroso,3 stars,a year ago,N/A
Catalan Elza,4 stars,a year ago,N/A
Delia Retiza,5 stars,a year ago,N/A
Jonathan Espanola,1 star,a year ago,No photos
Jojo Azuelo,5 stars,a year ago,N/A
Jov,4 stars,a year ago,N/A
968 Lazaz,3 stars,a year ago,Beautiful basins that blend salt water with fresh water controlled by the height of sea tides
Hamood Alalwi,3 stars,a year ago,"Nice, suitable for families, needs some  …"
jessa mae e. Suson,4 stars,a year ago,N/A
Jeric 95 TV,5 stars,a year ago,N/A
Criseluna Tusoy,4 stars,a year ago,N/A
xx rnng,5 stars,a year ago,N/A
Jefe Cosicol,5 stars,a year ago,The area located is peaceful and easy access in store or market.
Franzel Nicah Sumabong,4 stars,a year ago,"50   -- pesos Entrance
350- 500 php Cottage Fee.
Very easy to find and its near the main road."
Jhereyl Cabahug,5 stars,a year ago,The place is great to be recommended on those who are planning to go for outing with their families
Ericson Dela Cruz,3 stars,a year ago,"kansanto spring
badian cebu city"
Jeffrey Aznar,1 star,a year ago,Nice place to cool off.
Aljen Punay,5 stars,a year ago,N/A
Jon Francis “Nabualizer” Nabua,3 stars,a year ago,N/A
Star Lopez,3 stars,a year ago,N/A
Sham Vill,5 stars,a year ago,N/A
Lyndon Manlise,5 stars,a year ago,N/A
carissa mendoza,5 stars,a year ago,N/A
Tel Perino,5 stars,2 years ago,N/A
GRACE MARIE REYES,5 stars,2 years ago,N/A
cris dennis Cuaca,5 stars,2 years ago,N/A
Lily Joy Apurado,5 stars,2 years ago,N/A
Clemente Arances,5 stars,2 years ago,N/A
Gleashey Bebas,5 stars,2 years ago,N/A
Julius Cuerpo,5 stars,2 years ago,The water is clean and the staff is very accomodating...
Venz,5 stars,2 years ago,Wewere the only customers during our visit. Walk in is okay. No booking needed. Very spacious and cleab. Grill bar is nearby. Very cold spring. Cottages  rate at 350php. entrabce is 50 php.
CLovely Cheryl,4 stars,2 years ago,It's good for relaxing specially on summer. Would be better if we can use the other pool for swimming.
Petchie Villados,5 stars,2 years ago,People should go here when it's high tide. The place gets better when it's high tide.
Ella Tek-ing,4 stars,2 years ago,You can enjoy the place and especially the cold clear water.
mae rafols,5 stars,2 years ago,N/A
Marjun Tacder,3 stars,2 years ago,Nice small little place... cheap cottage as well.. water moves with the tide so low tide has low water level but still enjoyable..
Vox Dominic Lavarias,5 stars,2 years ago,"Very accommodating! Your check in time is your check out time. Highly recommended for those who like LAMBUG, their spring is nice, very cool, neutralizing the heat on the beach. Very clean rooms, very cold aircon units. Very affordable pa …"
Patrick Bacalso,4 stars,2 years ago,N/A
MJ TORREON,5 stars,2 years ago,N/A
Kjell Edgard Nerland (KEEN),4 stars,2 years ago,N/A
Heita Motomura,5 stars,3 years ago,"When I visited there, there were only a few people. The place is spacious and you can bring your lunch and drink beer in a cottage. I found it a pretty cool place to spend time with friends."
Jenn Canoy,5 stars,3 years ago,Nice place to plunge during hot summer days. The area is clean and there are benches where you can leave your belongings if you decided to just drop by.
Kenneth Rago,4 stars,3 years ago,"Pros:
- Serene & a nice place to relax and unwind.
- There are 3 pools but only 1 big pool is for swimming. The rest are for …"
Farrah Maravillas,5 stars,3 years ago,N/A
Jasmen Nacar,3 stars,3 years ago,N/A
Devilleres Elmer,4 stars,3 years ago,"a cool place to have a swim and chillax for a short while. just prepare 40 pesos for entrance fee... it has 3 pools but only 1 is allowed to swim and dip into. the other 2 pools have fishes... it has cottages worth 250-500 and private rooms worth 1400 pesos. but, it doesn't have much if you wanna stay longer..."
Alexander Steipe,5 stars,3 years ago,"I love the place, especially if no one uses the Karaoke and it is quiet. I know people loving Karaoke but when a drunken girl sings completely out of tune it sounds like a dog trying to meow like a cat."
Jakeulous Giangan (Jakeulous),4 stars,3 years ago,N/A
Jimmy,5 stars,3 years ago,N/A
T. MR.WILSON (BODHI-SATTVA-SÕĹ),5 stars,3 years ago,N/A
kim ctqz,4 stars,4 years ago,"Good!
Accessible by scooter and other public transpo. Close to national road. They have accommodation rooms. …"
R. H.,5 stars,4 years ago,N/A
Han Castaño,5 stars,4 years ago,N/A
Rehina Gracia,4 stars,4 years ago,"The place is great. If there isn't many people the water is blue, it turns green if it's too crowded. And there isn't any life vest available to use if you don't know how to swim since it's pretty deep."
Aaron Jess Paracuelles,5 stars,4 years ago,"Very nice and cold spring, 5 stars"
Sir Arvz,5 stars,4 years ago,A relaxing place and the staff are nice
Raphael Candia,4 stars,4 years ago,N/A
Gytis Sabaliauskas,5 stars,4 years ago,N/A
Klieford Delantar,5 stars,4 years ago,N/A
Chris Schnelli,4 stars,4 years ago,N/A
Michelle Merin,4 stars,4 years ago,N/A
ItsMe [MAWE],5 stars,4 years ago,N/A
Marvin Dorig,5 stars,4 years ago,N/A
Aldina Ujkanovic,5 stars,4 years ago,N/A
jean christophe aru,5 stars,4 years ago,Good place for swimming
ulymar paracuelles,5 stars,4 years ago,N/A
Jhayvee Al Ferolino,5 stars,4 years ago,N/A
Miguel Igot,4 stars,4 years ago,N/A
MAGRETH SAGARIO,5 stars,5 years ago,N/A
Vincent Lawaz,2 stars,5 years ago,N/A
John Fiel Enad,3 stars,5 years ago,"This is not a Classy destination. If you want classy, go somewhere else. If you want fun with very light rules, go here."
Sarah Dirckze,5 stars,5 years ago,N/A
marlo librando,3 stars,5 years ago,N/A
Leo Edgardo Taboada,3 stars,5 years ago,N/A
juru carpenter,5 stars,5 years ago,It's cold.... The wrap is cold
Jan Waggott,4 stars,5 years ago,"What a surprise to find this refreshing place 3 minutes away from where I stayed when visiting my son and his wife . Great place to chill ,picnic , spend time with friends and family....share a drink or two....fantastic."
troo foo,3 stars,5 years ago,"A natural spring used to be used by locals to wash their clothes and bathe their karabao. However, now it became a private owned natural pool. An ideal place for cooling down during such hot and humid weather. …"
Mayet Bebe,4 stars,5 years ago,N/A
Harshad Salla,5 stars,5 years ago,Very clean water amazing to relax
Donaldson Ferolino,4 stars,6 years ago,N/A
Marites Bermejo,2 stars,6 years ago,N/A
