review_user,review_rate,review_time,review_text
Arson Boone,5 stars,a day ago,Awesome
Rose Courtice Vlogs,4 stars,a day ago,So far so good. It has been so long I haven't been visiting the Kawasan Falls since I left my home at Balha-an Badian. And I was so pleased to see again the local tourist spot. And I love to see the Kawasan Nature rather than evolution!
Neil Capacio,5 stars,a day ago,"It's amazing,,and wonderful people especially the tour guides😍😍 …"
Ly H,1 star,2 days ago,Closed due to a bridge being repaired.
B B,1 star,3 days ago,"Temporarily closed since June/July 23, arrived for free."
Meelad Jamma,5 stars,3 days ago,"To Sister Shahid
Thank you very much, and if God willing, I will talk about you if someone wants to do any operation and praise you and the Ramo Clinic. With this beautiful …"
郭長林Ben,5 stars,3 days ago,The most exciting adventure of my life! Althou …
연산군,5 stars,5 days ago,"It's scary only the first time I run, but  …"
Pooja Sahu,5 stars,a week ago,"Full day filled with adventure. Don’t forget to jump, it’s totally save. Must visit"
Przemysław Niewiadomski,5 stars,a week ago,A very nice place where you can relax and swim in the fresh water. Very nice access route
Candy Baldove,5 stars,a week ago,N/A
John Zabala,5 stars,a week ago,Best experience!!
Clark Dave Grampon,5 stars,a week ago,Awesome place to get wet and enjoy the view..
amy d.,5 stars,a week ago,Wow amazing place
J Adrian Arriola Liwanag (Ian),5 stars,a week ago,Love it
Mark Anthony Santiago,5 stars,a week ago,Good.
Nelvin Timpog,5 stars,a week ago,N/A
Ann S.,5 stars,a week ago,Very nice falls relaxing place
Jad Damian,5 stars,a week ago,nice place
vianca Irish Espiritu,5 stars,a week ago,N/A
Wela Imperial,5 stars,a week ago,N/A
Cyrus Navarro,4 stars,a week ago,Best experience
Jenny Conicon,5 stars,a week ago,N/A
Hazel Dawn Patica,5 stars,a week ago,N/A
Romiel Llarena,5 stars,a week ago,N/A
이현재,5 stars,a week ago,N/A
Rogelio Elloremo,5 stars,2 weeks ago,N/A
Nikki Banquilay,5 stars,2 weeks ago,This is called paradise place such beautiful Ang lovely place..
Riann Zhiene D Camigla,5 stars,2 weeks ago,N/A
Christopher Dayagan,5 stars,2 weeks ago,N/A
Grazhelle Devivar,5 stars,2 weeks ago,N/A
Ba2siK,5 stars,2 weeks ago,Amazing experience
Justine Kho,5 stars,2 weeks ago,N/A
zoila cabotaje,5 stars,2 weeks ago,N/A
Chris Chan,5 stars,2 weeks ago,N/A
Melogyn Tedria,5 stars,2 weeks ago,It was one of the best experience we had. The palace is very scenic and relaxing.
Mia Tala,5 stars,2 weeks ago,N/A
Rafael Del panos,5 stars,2 weeks ago,N/A
Ivan Meneses,5 stars,2 weeks ago,Very nice view
Reyna Perez,5 stars,2 weeks ago,"Cool place to visit, friendly people around."
Gelaii Inciso,5 stars,2 weeks ago,N/A
erica labelle,5 stars,2 weeks ago,This place is very sceneric and very good view for tourist one of the best tourist attraction i can recommend
Nicko Angelo Cole,5 stars,2 weeks ago,Very nice place to.go swim
Kassy Brines,5 stars,2 weeks ago,Kawasan falls is part of Visayas so you can bring your family to enjoy.
Clarence Jonne Alcala,5 stars,2 weeks ago,N/A
Oscar Arellano,5 stars,2 weeks ago,N/A
Jeralf Obordo,5 stars,2 weeks ago,N/A
Liafe Mae,5 stars,2 weeks ago,Such a beautiful place to relax.
Leslie Estacio,5 stars,2 weeks ago,I must say that it was truly one  best of adventure we ever had this is one of a kind and a lifetime experience. The adventure lovers must do this activity as it is full of fun and thrills. It was kind of a natural waterpark with crystal …
Arlyn Betache,5 stars,3 weeks ago,N/A
Patrick Ramirez,5 stars,3 weeks ago,N/A
Kheajhoy Gabuya,5 stars,3 weeks ago,N/A
John Latoza,5 stars,3 weeks ago,I must say that it was truly one of its kind and a lifetime experience. The adventure lovers must do this activity as it is full of fun and thrills. It was kind of a natural waterpark with crystal clear lagoons and numerous mighty …
Rolando Querol,5 stars,3 weeks ago,N/A
Louie Do's,5 stars,3 weeks ago,nice view and you fell the spirit of nature..
Kay Fontanoza,5 stars,3 weeks ago,N/A
mike aljon fernandez,3 stars,3 weeks ago,N/A
RhynRhyn Tv,5 stars,3 weeks ago,N/A
