review_user,review_rate,review_time,review_text
j.edmund sustento,4 stars,a day ago,N/A
고용철,4 stars,4 days ago,N/A
Richie Sales,5 stars,5 days ago,N/A
Rolanda Patombon (Landa),5 stars,5 days ago,Good 👍 …
Jonathan balangue,5 stars,5 days ago,N/A
Arman Nico Penafiel,4 stars,6 days ago,N/A
Rodrigo jr Caburata,5 stars,6 days ago,N/A
Cebu 【KING】,4 stars,6 days ago,"If you want to see the night view,  …"
Pam Ibarra,4 stars,a week ago,N/A
Juris Comita,5 stars,a week ago,N/A
Joshua Tindugan,5 stars,a week ago,N/A
mike paul dan negru,5 stars,a week ago,"The perfect place to chill, may it be during the day or night. Great view of Cebu & place has a nice ambiance.
I loved their gelato as well 👌 …"
AN AN,4 stars,a week ago,Nice experience and the food are great. They just need to add more food in the menu.
SALEH ALMUSTANERl,5 stars,a week ago,N/A
주영민,5 stars,a week ago,"So good!
with a co …"
Monina Sanchez,2 stars,a week ago,I don’t recommend going here for the food and beverages because they do not serve authentic French cuisine. There are much better and affordable choices in the area with the same view. The pasta is too cheesy and saucy too..
mariandy clare Arnibal,4 stars,2 weeks ago,N/A
Virginia James,3 stars,2 weeks ago,"Pricey food. I just got the Gelato  for 240 philippine pesos for two small scoops.
Great view of the city."
Grace Pepito,4 stars,2 weeks ago,"Perfect view, chic vintage interior, and fine selections. Won’t recommend their macaroons though."
Helge Smeby,5 stars,2 weeks ago,Wow! What an amazing view!! And what an incredibly instagram friendly place as well. So many photo opportunities. …
Christer Oliver Barola,3 stars,2 weeks ago,N/A
Kてぃ,5 stars,3 weeks ago,"Great view, good food …"
Kyuketsuki Pearl,5 stars,3 weeks ago,N/A
francine,3 stars,3 weeks ago,Visited at night so the view was super nice. The food was good esp the desserts! Down side is that we waited for more than an hour for the dishes to be served 🥲 Was not able to take pics of the food bc of how hungry we were. Won't come back again if the service is like that esp when with kids. …
Cece Lacson,1 star,3 weeks ago,"I don’t usually write reviews on google after dining on a restaurant but because of how horrible the dining experience was, it made me write here. The pricing is reasonable because of the amazing views and it’s also because it’s a European …"
Dell Stiles,5 stars,3 weeks ago,N/A
Skyla Lee,3 stars,3 weeks ago,N/A
Violeta Estella,4 stars,3 weeks ago,N/A
Norlyn Joy Pormento,5 stars,3 weeks ago,"This is the perfect spot for you if you want to unwind and organize your thoughts. Food is okay, but if you're a big eater and a practical person, it can be pricey. The service takes a very long time, especially if there are a lot of people …"
JETTE GLORIANI,3 stars,3 weeks ago,It took almost 45 minutes to serve your food...
Chanel聽說是大明地標香奈兒老師,5 stars,3 weeks ago,"Luxury fashion style, decorative table and chair decoration art. It's a pity that there seems to be a shor …"
Victor Salvador,5 stars,4 weeks ago,"Best view of Cebu City at 180 degrees anytime of the day, and amazing to chill at night. They have locally produced drink that could not just be a beer, the one that I tried, which tourist should try. The place to offer you their local beer and other choices of drinks will be an added bonus that will fill you up in all respect."
Rhoda Clarion,5 stars,4 weeks ago,N/A
나영직,1 star,4 weeks ago,I stopped by for a long time. Th …
Emilie Hernandez,1 star,4 weeks ago,"The saddest bolognese pasta. Poor service. Price is expensive but bad service. It's a waste of money, we are willing to pay dearly as long as the food is good. Not …"
woogi 우기,5 stars,4 weeks ago,A cafe with a good atmosphere on a high mountain.
Christine Rosales,5 stars,4 weeks ago,"Good food and great view 💯
We ordered pesto for 2 and chicken satay bbq. 🤤 …"
