review_user,review_rate,review_time,review_text
hipolito sambajon,5 stars,22 hours ago,N/A
Eden Grace Odever,5 stars,22 hours ago,The spot that you'll never miss!
Elvira Obera,5 stars,2 days ago,Nice place
Lounard Pavillar,5 stars,2 days ago,N/A
noff,5 stars,2 days ago,It was within walking distance from the shangri la hotel. The staute of Lapulapu was impressive! …
Ann Kristine Peñaredondo,5 stars,2 days ago,A friend recommended visiting this place. It's very spacious and very well lit at night.
daniel catamco,5 stars,2 days ago,N/A
chi13 tose,3 stars,2 days ago,The paid guide w …
Serps Jay Bruce,4 stars,3 days ago,N/A
jhei bhadz,5 stars,4 days ago,N/A
Touch,2 stars,5 days ago,"It was near our hotel so we decided to visit on foot.
Admission was free, but as soon as I enter …"
이재동,4 stars,6 days ago,N/A
Ruben Ygot,4 stars,6 days ago,N/A
James Agreste,5 stars,a week ago,N/A
키루,5 stars,a week ago,There are souvenir shops nea …
Amarisina Abellana,5 stars,a week ago,Perfect for casual walk and serene dates.
오혜미,4 stars,a week ago,The evening view of the park was more wonderful than I t …
Robert Ma. Datahan,5 stars,a week ago,N/A
Jun Florentino,5 stars,a week ago,N/A
Ramil Prieto,4 stars,a week ago,N/A
Aireen Saraus,5 stars,a week ago,N/A
DIERF DARYL LUSPO,5 stars,a week ago,N/A
Luca Dal Pero,4 stars,a week ago,N/A
James Eduard Defuntorum,5 stars,a week ago,N/A
Shawi Cortez,5 stars,a week ago,"Entrance is free.

Nice to hang out in the evening. …"
星川正康,5 stars,a week ago,N/A
David Bates,5 stars,a week ago,N/A
Ruby姵如,5 stars,a week ago,N/A
Juanito Cabs,5 stars,a week ago,N/A
이율행,4 stars,a week ago,N/A
Melvin Revilla,5 stars,a week ago,N/A
みつみつ1116,3 stars,a week ago,It's just a square. There is a  …
Eon Geist,5 stars,2 weeks ago,good to roam around
Bruno Matino,4 stars,2 weeks ago,N/A
Rafael Reyes,5 stars,2 weeks ago,Clean place
Kyeoung Min Kim (DAMDAN),5 stars,2 weeks ago,N/A
akhe laynesa,5 stars,2 weeks ago,N/A
Mimay Gys,5 stars,2 weeks ago,No entrance fee. Spacious and has a good view. It's worth visiting. Parking area is quite limited if ever so not sure in peak season.
o s,5 stars,2 weeks ago,The place was s …
Ralph Albano ll,4 stars,2 weeks ago,N/A
Ramir Ybanez,5 stars,2 weeks ago,This historic place is beautiful
박기남,3 stars,2 weeks ago,N/A
Jo Cabs,5 stars,3 weeks ago,N/A
Izac Renz Lagunda,5 stars,3 weeks ago,N/A
Gabrielle Labis,5 stars,3 weeks ago,N/A
chan koh,4 stars,3 weeks ago,N/A
Mayumih Estrella,5 stars,3 weeks ago,N/A
Phil Floren Gallardo,4 stars,3 weeks ago,N/A
Jules Larrobis,3 stars,3 weeks ago,"It's a landmark that bears historical significance. Apart from that, there's not much to see except a couple of restaurants that serve authentic cebu cuisine, particularly SUTUKIL (sugba or grilled, tula or tinola, kilaw or kinilaw)."
Jade Pal,5 stars,3 weeks ago,N/A
vienna villaluz ilagan,4 stars,3 weeks ago,Nice history lesson on an historical landmark. Written in English but can be translated with Google Translator camera. …
lauriz takahagi,4 stars,3 weeks ago,N/A
Frank Fischer,4 stars,3 weeks ago,Is a monument and you should not expect more. Entry is free
My Taste of Life / Lynne's Kitchen Food Vlog,5 stars,3 weeks ago,N/A
Carol Lim Bajarla,4 stars,3 weeks ago,N/A
Donghyun Kim,4 stars,4 weeks ago,Tou …
Dennis Tesoro,5 stars,4 weeks ago,Shoot to kill was a high price food court
Andy Tayag,5 stars,4 weeks ago,N/A
이유진,4 stars,4 weeks ago,N/A
베프언니,3 stars,4 weeks ago,"- It's a meaningful place, so you can hear it lightly as if passing  …"
Jm Epile,5 stars,4 weeks ago,N/A
Sara,5 stars,4 weeks ago,N/A
Global Mission,4 stars,4 weeks ago,N/A
Leiobs Rodz,4 stars,a month ago,N/A
Jesson Morata,4 stars,a month ago,N/A
bobby jakosalem,4 stars,a month ago,N/A
Joseph Palmer,5 stars,a month ago,Beautiful are. Clean and educational
Phước Duy Nguyễn,4 stars,a month ago,"Like Can Gio, Ho Chi Minh City in Vietnam"
Jonathan Fransson,3 stars,a month ago,"Nice history, not much to see but its alright if you want to see some of the local history."
윤하정,3 stars,a month ago,Souve …
Mike Presley,5 stars,a month ago,"As a foreigner, I enjoyed the visit and learned a lot. I would definitely recommend this as a tourist location to visit."
Gary Salubre,5 stars,a month ago,It's a beautiful place
Jelome Kairos Tan,5 stars,a month ago,N/A
김기영,3 stars,a month ago,"Wide plaza, m …"
Rh Ea,5 stars,a month ago,N/A
shyhder liao,5 stars,a month ago,When Magellan landed on Cebu Island and brought Roman Catholicism to the Philippines for hundreds of yea …
9ninemonth Boardshop,5 stars,a month ago,Visit Lapu …
MINE,4 stars,a month ago,N/A
p S,4 stars,a month ago,N/A
Jhon Stephen Rebusa,5 stars,a month ago,"The Mactan Shrine is a historical site and tourist attraction located in Lapu-Lapu City, Cebu, Philippines. It commemorates the Battle of Mactan, a significant event in Philippine history, where Lapulapu and his warriors successfully …"
Chir Lech,5 stars,a month ago,A huge place to stroll and you can have picnic at their cottages but I don't know if its free.
Jun hyoung park,5 stars,a month ago,Nice. Also can short hoping tour 1000peso 1hours By local guide.
adonis montalban,5 stars,a month ago,N/A
QuiQue Enrikx,4 stars,a month ago,N/A
Annavale Dela Rosa Miranda,5 stars,a month ago,N/A
Roberto Pineda,5 stars,a month ago,N/A
Micole Koy,5 stars,a month ago,N/A
Eusebio “Euse” Pason,5 stars,a month ago,Lapu-lapu monument
케이,5 stars,a month ago,N/A
Tay Teroy Vlog,5 stars,a month ago,N/A
Edwin Villegas de Nicolas,4 stars,a month ago,the best time to visit this historic place is early morning. there are only few people and not yet crowded.
Levi Simmons,5 stars,a month ago,N/A
Taejin Park,3 stars,a month ago,A historical space …
Christian August Gutierrez,4 stars,a month ago,N/A
Rachelle Velasquez,5 stars,a month ago,N/A
Swen Michel,5 stars,a month ago,N/A
Meriza Ramos,5 stars,a month ago,N/A
Kyrusky Tampepe,5 stars,a month ago,N/A
The Philippine Observer,5 stars,a month ago,It was another visit since 2018 and the place has changed greatly. Very spacious and good for family gatherings and other sporty activities. There are many souvenir shops in the area offering various souvenir products.
