review_user,review_rate,review_time,review_text
aramar bayani,4 stars,an hour ago,"just dont buy candles and place on top of the Magellan's cross... they will take it away later and resell. if you meed candles, you can proceed inside the premises of the church and candles are there for free. Just be wary of snatchers especially on Sundays. Full pack of crowds."
Lutchie Lapedario,4 stars,21 hours ago,Nice Historical place nearby Basilica Del Santo Niño church.
Julius Rhyzar Mosqueda,5 stars,22 hours ago,N/A
Alvin Valdez,5 stars,a day ago,"Definitely, a place to go for a Catholic! Beatiful place and secured."
Lie Yu San,5 stars,2 days ago,Nice place
Jose Carcabuso,5 stars,2 days ago,Finally! I was able to visit Magellan's Cross.
Pablo del Campo,1 star,2 days ago,Solid historical backless place
Patrick Jhon Bustamante,5 stars,3 days ago,The church will make you relax. One of the best churches you should try.
James Agreste,5 stars,4 days ago,N/A
Shen Burlaos,5 stars,4 days ago,N/A
郭長林Ben,5 stars,6 days ago,N/A
Kristoffer Benoya,4 stars,6 days ago,N/A
Luca Dal Pero,4 stars,a week ago,N/A
Mash Potato12,5 stars,a week ago,It would not be Cebu without visiting Magellan's Cross
Sarah Namondo,3 stars,a week ago,The place was ok. Nothing much to see except the cross. It was strange to see people chanting and putting candles around the edge of the cross. I didn't understand if it was a Christian worship or some religious group. I don't recommend going there.
Jialin Wang,5 stars,a week ago,Worth a vi …
北海道フォトグラファーHokkaido Photographer,4 stars,a week ago,N/A
Richard Tiocson,5 stars,a week ago,busy place
W親子館,3 stars,a week ago,"It symbolizes the first time that Western culture brought Catholicism to the Philippines.
Magella …"
Haide Dagoy,5 stars,a week ago,N/A
Queenie Gay,5 stars,a week ago,"The place is such a reminder of historical happenings, must visit."
Rodora Segunial,5 stars,a week ago,N/A
michelle piano,5 stars,a week ago,N/A
shit happens,5 stars,a week ago,N/A
JUNAH LECITA,5 stars,a week ago,N/A
Chuchie Rosales,5 stars,a week ago,N/A
Joven Pascual,5 stars,a week ago,N/A
Ferds,5 stars,a week ago,N/A
Renz Surabia,5 stars,a week ago,N/A
Richie Salao,5 stars,a week ago,Love to stay here
Amina Jamad,5 stars,a week ago,😇😇😇😇😇 …
Jen,5 stars,a week ago,N/A
Benjar Talana,5 stars,a week ago,N/A
Samuel Emar,5 stars,a week ago,N/A
Earl Darren Dela-on,5 stars,a week ago,N/A
michael osia,5 stars,a week ago,N/A
Neil Fano,4 stars,a week ago,N/A
Remelyn Gonzaga,3 stars,a week ago,N/A
Rhodelbert Del Socorro,4 stars,a week ago,N/A
Trisha Kaye Beltran,5 stars,2 weeks ago,My 2nd visit
Jericho Padilla,4 stars,2 weeks ago,N/A
John Marlon,5 stars,2 weeks ago,"As expected the pavilion, lots of devotees.  The artwork on the ceiling is breathtaking."
Jessie Cris Tindoc,5 stars,2 weeks ago,Famous And Historical Landmarks of Cebu
Chenny Cantano,5 stars,2 weeks ago,N/A
Samm Ajero,3 stars,2 weeks ago,N/A
