review_user,review_rate,review_time,review_text
Wei Gu,2 stars,a week ago,Untouched natural scenery
Pol Batlló,3 stars,2 weeks ago,N/A
"MONILLA, RHEAN MARK A.",5 stars,2 months ago,N/A
Elias,4 stars,2 months ago,Here you have a beautiful view.
k levi,5 stars,6 months ago,"Relaxing place, well worths a visit!"
Arnel Orteza,5 stars,6 months ago,N/A
Josh Josh,2 stars,7 months ago,Nothing much. Trail's not on the map. You have to ask directions from locals. There's a secluded rocky beach few meters from it though.
A Day In Our Lives,5 stars,a year ago,Cool place to go snorkeling.
Nedilyn Hermoso,5 stars,a year ago,"It was raining when we go there, so the place looks so foggy."
Denver Gevero,5 stars,a year ago,Nothing fancy. Philippine government lighthouse.
Peter Quinineza,3 stars,2 years ago,lighthouse was padlocked. locals said children used to climb up and nobody’s guarding it that’s why they decided to lock it up. small trail access to lighthouse
이종성 (Lee Jongsung),4 stars,3 years ago,You can climb up on foot in no time. The wind blows …
Philip,5 stars,3 years ago,Amazing view
阿捷聊生活,5 stars,3 years ago,Secret place
Dietmar Schmitt,4 stars,3 years ago,Excel …
Joy Nyamuttah,5 stars,3 years ago,N/A
Max Lewen,5 stars,3 years ago,N/A
Supaphon Surinruk,4 stars,3 years ago,fine white sand beach The blue water is very clear. s …
Kin Jonathan,3 stars,3 years ago,"Nothing special,  …"
Johann Pongratz,5 stars,3 years ago,good view
Filipina Wanderer,4 stars,4 years ago,"5 minutes walk,over looking view of malapascua"
Александр Донецкий,4 stars,4 years ago,"Finding the way to the lighthouse is not so easy. There is a small index. Further: through a private house along the path, through a rocky hill and another house. From the lighthouse you can watch  …"
Sean Edgley,3 stars,4 years ago,"As of July 2019, you still can't climb up. A sign states that it's government property and well, it's functioning as an active lighthouse, off-limits to the public. So you can stand on the lower concrete slab and have a decent view of the ocean and part of a beach. Otherwise, you can't have much of a view here unless you have a drone."
Bryan Keen Sta. Maria,2 stars,4 years ago,N/A
Alessio Ligabue,5 stars,4 years ago,"The most beautiful beach in Malapasqua
Located under the lighthouse of the island, calm and warm sea, suitable for swimming and …"
Felibert Frejoles,5 stars,4 years ago,Nice place to visit
Suzette Bantasan,5 stars,4 years ago,Amazing view at nyt..
shi chen,3 stars,4 years ago,The road to the lighthouse is very difficult to find. If you ride by your …
Nonz Zder,2 stars,4 years ago,It's a pity that the place could show case a nice view but was not maintained properly. Would be a good go to place when visiting malapascua.
Paul Edwin Rediang,3 stars,4 years ago,More development to attract tourists.
李勝,4 stars,4 years ago,Kirin  …
JPQ,2 stars,4 years ago,N/A
Leigh Michelle Ortiz,3 stars,4 years ago,N/A
