review_user,review_rate,review_time,review_text
Victoriano Reambonanza,5 stars,2 days ago,Very nice and beautiful place
James G.,5 stars,3 weeks ago,N/A
Allan Albindo,5 stars,3 weeks ago,Good for relaxing elegant View
Bryan Belmonte,5 stars,4 weeks ago,Palace is good
Duke Sells,5 stars,a month ago,Nice place near the water to relax.  Cool and comfortable in the evening.
Jhon Stephen Rebusa,5 stars,a month ago,"The Millennium Park in Lapu-Lapu City is a really nice public park that offers a safe environment with police on duty. However, there are instances where some kids beg for money, which can be a bit of a downside. The park provides …"
Myla Lapuz,5 stars,2 months ago,N/A
Kaizer SAGEHART,5 stars,2 months ago,N/A
Eddie Anthony,5 stars,2 months ago,N/A
Rembert Camacho,4 stars,2 months ago,N/A
Rhemzel Rosalita,4 stars,2 months ago,N/A
Baboyおとうさん,4 stars,3 months ago,"It's nothing special, but it's a relaxing place. …"
Jimrey Biosa,3 stars,3 months ago,On going improvement... hopefully they will improve the area
Flavia Loon,4 stars,3 months ago,N/A
J da high roller,4 stars,3 months ago,N/A
Alrey Ura,5 stars,4 months ago,N/A
angelic Luna,5 stars,4 months ago,Nice place
Angelic Luna,5 stars,4 months ago,Nice park
Eun,5 stars,4 months ago,N/A
niño misterio,5 stars,4 months ago,N/A
mi co,5 stars,4 months ago,Waiting for the progress sa park
Jenu Ceniza,3 stars,5 months ago,Not enough parking space.
Byron Alde,5 stars,5 months ago,N/A
John Gerald Gurne,3 stars,5 months ago,N/A
Chris Lodovice,5 stars,5 months ago,Lively at night
Angel Erro,4 stars,5 months ago,N/A
Squiggly Line,5 stars,5 months ago,Best for family and friends unwind plus there's a playground for kids.
Alex 13,3 stars,6 months ago,"Yes, this is not a park, but a small public space overlooking the water and the bridge. You can sit on a stone bench in the evening, look at the passing boats. Everything will be occupied by the locals, mainly children. children of …"
Gerard euan Ybañez,5 stars,6 months ago,N/A
Benj,5 stars,6 months ago,Relaxing
Shadow Lopez,5 stars,7 months ago,N/A
Tri Beauties,5 stars,7 months ago,Smooth drive no traffic
Mariel Omongos,4 stars,7 months ago,It's a great place to relax and set aside all of your problems. Worth it to be here.
eduard stefanek,5 stars,7 months ago,N/A
ana manalili,5 stars,8 months ago,N/A
James Aying,3 stars,9 months ago,N/A
Faith Tantoy,5 stars,9 months ago,N/A
energy buzz,4 stars,9 months ago,"Nice to be with ,every morning walking here"
