review_user,review_rate,review_time,review_text
Gernie Lastimosa,5 stars,3 days ago,N/A
Deb Villanueva,5 stars,5 days ago,No words can bring justice the moving power this place brings to devout Catholics.
Michael O'Malley,5 stars,6 days ago,Beautiful location
Wei Gu,3 stars,a week ago,N/A
Jrln Lngkt,5 stars,a week ago,N/A
Maricel Tan,5 stars,a week ago,Great to be there.a lot of improvements everytime I visit this miraculous place
Ria Caballes,5 stars,a week ago,Mama Mary of Lindogon Granted my hearts desire and healed me.
mister abendan,4 stars,a week ago,Big and beautiful church. A lot of people pilgrims here. It took us about an hour lining up to be able to kiss mama Mary because the line was so long.
Joel Sarita,5 stars,a week ago,N/A
Earl Darren Dela-on,5 stars,2 weeks ago,N/A
kajal bhanot,5 stars,2 weeks ago,N/A
Lee Briones,5 stars,2 weeks ago,Miracle happens everyday
Lauro Gamboa,5 stars,3 weeks ago,N/A
Giselle Manayaga,5 stars,3 weeks ago,N/A
PANTILGONE CIRILO,5 stars,3 weeks ago,Very peaceful 🙏 …
Reynaldo Atis,5 stars,3 weeks ago,Great experience with my family and friends
Angelie Nunez,5 stars,4 weeks ago,N/A
Ronald Ruel Resol,5 stars,4 weeks ago,N/A
sergey Ignatyev,5 stars,4 weeks ago,Good as described. Very big. Nice to visit.
Richard Ramizo (RSR RE CEB),5 stars,4 weeks ago,N/A
Gardell Lopez,5 stars,a month ago,N/A
Arjay Reyes,5 stars,a month ago,"Breathtaking and awe-inspiring, Simala is a place where you will feel the presence of God. It's a must-visit spot for Catholic devotees, and an important stop on their pilgrimage journey. …"
Abdul Rehman Siddiqui,5 stars,a month ago,So beautiful
Cha Cha,5 stars,a month ago,N/A
Desmon Neil Nacua,5 stars,a month ago,N/A
Bernard Libres,5 stars,a month ago,N/A
Anne ubas,5 stars,a month ago,N/A
Runar Skretteberg,4 stars,a month ago,Special place old but great
Ryan Kristopher Bazar,4 stars,a month ago,N/A
Jessa Guevarra,5 stars,a month ago,N/A
Kim Gan,5 stars,a month ago,Majestic
Marily Cambonga,4 stars,a month ago,N/A
Romel Etoc,5 stars,a month ago,"A place of miracle, hope and love for every devotees of Mama Mary."
Jhon Stephen Rebusa,4 stars,a month ago,"The Monastery of the Holy Eucharist of Simala, also known as the Simala Shrine, is a renowned pilgrimage site located in Sibonga, Cebu, Philippines. It is home to the image of the miraculous Virgin Mary, known as the ""Birhen sa Simala"" or …"
Requerico Saludares,5 stars,a month ago,Townhouse in town
Wilcie Bolongon,5 stars,a month ago,N/A
Marlon Salvame,1 star,a month ago,N/A
Zcharinne Sanico,4 stars,a month ago,N/A
jianliang li,5 stars,a month ago,N/A
Pacifico Jr. de Lara,5 stars,a month ago,N/A
NJ CLAIREBELLE INDAS,5 stars,a month ago,Beautiful place♥️
Cheska Marie Rabago,5 stars,a month ago,N/A
Draw This!,5 stars,a month ago,Great an architectural design that is astonishingly unique within the Philippines. I wish that the monastery's sanctity remains preserved.
Fritzie Ryan Ibaoc,5 stars,2 months ago,N/A
Venn Horr,3 stars,2 months ago,N/A
Teofe Mejares,5 stars,2 months ago,N/A
ツAliansa,4 stars,2 months ago,I'm giving 4* because is dirty and plenty of trash. Look like dump church.
Chad Tarona,5 stars,2 months ago,N/A
Ivy Tabaranza,5 stars,2 months ago,N/A
Daryl Balderas,5 stars,2 months ago,N/A
Unabia Ralph,5 stars,2 months ago,N/A
Ma. Arlene Dy,5 stars,2 months ago,N/A
KAZUTAKA Y,4 stars,2 months ago,Maria in …
Mejoy Aicepser,5 stars,2 months ago,"the monastery of the holy eucharist is the best place for you to visit, because this church is considered to be the home of"" Miraculous""Birhen sa simala. furthermore,the monastery is the best place for you to meditate and say your prayers"
Loujean Grace Mar,5 stars,2 months ago,N/A
なみへい,4 stars,2 months ago,It seems that many Filipi …
Nick Chaves,4 stars,2 months ago,N/A
Raul Joseph Salon,5 stars,2 months ago,👍 …
Justine Lloyd Mulle,5 stars,2 months ago,N/A
sharon maxilom,5 stars,2 months ago,Always makes me feel better.
MGrace N Gomez,5 stars,2 months ago,N/A
Candilou Sarsaba,5 stars,2 months ago,N/A
Kristine Mae B,5 stars,2 months ago,N/A
LEE JENE MANALILI,5 stars,2 months ago,N/A
Robert Luthcke,5 stars,2 months ago,"Beautiful Shrine, we were a little late to the mass but spent about 2 hours here and had a great time walking around, lighting so candles and enjoying the mass as advertised times were incorrect but still caught the end. As a foreigner I'm …"
Van,5 stars,2 months ago,Beautiful
Ryan Romero,5 stars,2 months ago,Located at Barangay Lindogon this place host the miraculous image of Mama Mary who  shed tears in several occasions.
