review_user,review_rate,review_time,review_text
Danace Bryant Alfonso (kanamits),4 stars,5 days ago,N/A
John Gray Licardo,4 stars,a week ago,N/A
Eunice Joyce Gider,5 stars,a week ago,Nice place . .
Mau,4 stars,2 weeks ago,Wonderful view!
Dionel Ronquillo,5 stars,2 weeks ago,Great view of the city. A great place to relax and unwind.
jerome pierry,4 stars,2 weeks ago,Beautiful view !!!
Coco真由美,1 star,2 weeks ago,"Staff are not friendly. If you're not a local, be prepared to get ripped off. Plus the food in their ""restaurant"" are terrible and overpriced; their ""ripe mango shake"" doesn't even have mangoes in it. Overall just a terrible place to go to. …"
Candy claire Bello,4 stars,2 weeks ago,N/A
Jan Casoyla,5 stars,2 weeks ago,N/A
Totom Cabriana,5 stars,a month ago,N/A
Leonardo Aniel,5 stars,a month ago,N/A
Tip Kilby,5 stars,a month ago,What a beautiful place! The facility is amazing. The views are more amazing.
Ms. G Real,5 stars,a month ago,N/A
Love Garcia,4 stars,a month ago,It was good. Much better i you have your own car or motorcycle. If not  just pay100php for habal habal service. …
Maribel Cadiang,4 stars,a month ago,N/A
Janine Oliva,4 stars,a month ago,N/A
MS MEDICAL TRADING,5 stars,a month ago,N/A
jenni mench,5 stars,2 months ago,N/A
Neil Adrian Alcover,5 stars,2 months ago,N/A
Jeferson Antipala,5 stars,2 months ago,N/A
Evan Rey Avila,5 stars,2 months ago,"I really like this place especially during weekends hanging out with my friends and family. Cold and peaceful place, overlooking view of the cities of cebu, lapu2x, and mandaue"
Abdelhamid Mhajbia,4 stars,2 months ago,Fine
MYRNA LABRADOR,5 stars,2 months ago,Perfect place for morning and night  to unwind and chill with friends
Donabel Surban,5 stars,2 months ago,🤍 …
Song Meng,5 stars,2 months ago,So far so good the places are so nice
MicLesDanLouiseSean Aliman,5 stars,3 months ago,N/A
Archie Bayadog,4 stars,3 months ago,N/A
Badee Bradex,4 stars,3 months ago,N/A
Cassandra Calinawan,5 stars,3 months ago,Me and my friends love it here so much because they would only charge you ₱150 for the entrance fee and then you can bring whatever you want already. Tables and chairs good for 4 is only for ₱300 and you can already have a full day access …
Carmela Fe Gomez,5 stars,3 months ago,"Very nice place..and the view and the free wifi, plus the swimming pools...sulittt"
Thomas Cloud,4 stars,3 months ago,N/A
Сергей Кузнецов,3 stars,3 months ago,"The park, in principle, is in ruins, no one is particularly interested, apparently. But it’s quiet and green, a …"
Nathaniel James Sarmiento,5 stars,4 months ago,"the view is great. If you want o beat the heat, maybe this place is right for you. The  sun is scorching hot during noon time but the cold breeze somehow balanced the temperature."
Celmar Maurillo,5 stars,4 months ago,N/A
Steven Ong,4 stars,4 months ago,N/A
Raven C.,5 stars,4 months ago,"A lot of changes after the Covid happened, esp. the pool 🤩. I should have taken more pictures of it but can't beat the heat. …"
Gaye Yncierto,5 stars,4 months ago,N/A
Ace Gocuan,4 stars,4 months ago,Very chill place on weeknights but very full on weekdays and very noisy.
Fawaz Thubaiti,4 stars,4 months ago,Nice view of Cebu City
Mary kris Gaut,4 stars,4 months ago,N/A
Roselyn Mina,5 stars,4 months ago,"It was the most amazing stay I've had with friends..  I never thought would happen... They just made my dreams came true ... Staying overnight, unplanned!"
Leonard Magistrado,4 stars,4 months ago,N/A
Johara Solon,5 stars,5 months ago,N/A
Jack Alpuerto,5 stars,5 months ago,N/A
Iammaryann onong,5 stars,5 months ago,"Nice place to relax. Nice view especially at night, you can see the whole city lights."
Hannah Boyles,1 star,5 months ago,The attitude of the staff is bad trip! Such a waste of money and time!
Armando Garrido,4 stars,5 months ago,Nice place but just be careful driving road is 45 deg incline. Use low gear going down
Joprell Joy Tero,3 stars,5 months ago,Relaxing
Errolnazario Ardillo,5 stars,5 months ago,N/A
LIDE LEE,5 stars,6 months ago,"It's hard to climb up, but the  …"
Christian Frölich,5 stars,6 months ago,N/A
Nikka Jen Barriga,5 stars,6 months ago,N/A
tons,4 stars,6 months ago,N/A
Jerlyn Diongco,5 stars,6 months ago,2nd visit of my baby 😸 …
neu reader,4 stars,6 months ago,Nice
GOD_SPEED,5 stars,6 months ago,"john martin was here , good place but also be careful cause 1 mistake could cause you ur life specially vehicles"
Flora May Augusto,4 stars,7 months ago,Nice experience if want to chill and get out of the city.  What i like the most is same the entrance fee is cheap unlike other attraction.. not very well maintained but still relaxing and worth the trip.
"MASBANG, ROSEMARNIEG",5 stars,7 months ago,N/A
Carren,5 stars,7 months ago,Beautiful view of the City. Visit the place for you to enjoy and relax.
walter dean vargas,5 stars,7 months ago,N/A
James Hondrada,5 stars,8 months ago,N/A
Robert Bryan Layague,4 stars,8 months ago,N/A
سيلوف كلاشنكوف,5 stars,8 months ago,"The place is very beautiful, entry is 50 pesos, swimming is 100 pesos, and it has very excellent Wi-Fi, as well as there a …"
Casey Donayre,5 stars,8 months ago,N/A
Benjoe Carvajal,4 stars,8 months ago,N/A
Ian Coogan,5 stars,9 months ago,Went there today had an awesome time views from swimming ara looking over cebu spectacular. And swimming pools are really safe with life gards. Short taxi journey from hotel then taken by motorbike rest of way hamlets on. Only 100 pesos for motorcycle ride to swimming ara. And 100 pesos back taxi can very.
Romel Lolo,4 stars,9 months ago,"View is good
Accommodation is clean
Pool is not so clean
Staff and service need improvement"
Lyla Montesclaros,4 stars,9 months ago,"Most quite spot(less crowd) to chill in Busay compared to other famous tourist spots. P50.00 entrance per person, 20% discount for PWD and senior citizens.  Mountain View is open up until dawn time(I don’t know if they are 24/7 open) same …"
Shigeki12,5 stars,9 months ago,N/A
Jun Rey,5 stars,10 months ago,Nice place to be with someone special.
Quennie May Abadies,1 star,10 months ago,"Worst of all worst!!! We booked 2 family rooms when we got there, the entrance and pool fees were different. In the conversation over the phone, it was clear that there was no need to pay for our room. They suddenly changed the rules whe …"
Nigel Anthony Oliveros,5 stars,10 months ago,A great escape away from the crowded city and pollution! Just pure nature and adventure! The rope course is challenging and fun if you’re with a large group. This park has the best view of the city! Overlooking cebu and neighboring island.
PH,4 stars,11 months ago,Enjoy the view of the mountains and city lights of Cebu and fresh air.
Raihana Rangaig,5 stars,11 months ago,N/A
Jerrico Stubblefield,5 stars,11 months ago,Went on a overcast day and it was still a great view and experience. A must go to spot when your in Cebu. Recommend going for the sunrise as it comes up over the ocean
jared eslit,5 stars,a year ago,N/A
Stephen Labbe,2 stars,a year ago,Swimming pool closed
Novelyn Alcober,5 stars,a year ago,"very nice view ,good for retirement"
Odessa Marañon,5 stars,a year ago,N/A
