review_user,review_rate,review_time,review_text
懇ろカンテ,5 stars,4 weeks ago,The sea was as  …
Yongjae Lim,5 stars,a month ago,The sea is clean …
Hye young Shimy,4 stars,3 months ago,A good p …
B A,5 stars,4 months ago,It is well decorated.  …
봄春,5 stars,4 months ago,Snowcool …
sujin,5 stars,5 months ago,water clea …
Rodrigo John,5 stars,5 months ago,The view is good and the  …
이민경,5 stars,5 months ago,It's p …
kissly,5 stars,7 months ago,N/A
김중화,5 stars,7 months ago,A beautiful  …
suwan kang,5 stars,8 months ago,It was really good for a hopping tour. The sea was no …
Kyle Moon,5 stars,9 months ago,"It's a small island, but the sur …"
tony ju,5 stars,9 months ago,Although the facilities on the isla …
햇님,5 stars,11 months ago,"The legs are gone now.

I had  …"
sunshine ong,2 stars,11 months ago,It's a pity that it was completely ruined by the typhoon. I don't have those nice legs. It  …
Mark,5 stars,a year ago,"I visited through hopping, and it f …"
Mona Lisa Mosqueda,5 stars,a year ago,Ok👍 …
Jesan Cabuga,5 stars,a year ago,N/A
こんにちは,5 stars,2 years ago,"It's not a large island, but how about spending a relaxing day  …"
Timmy Fat,5 stars,2 years ago,"Nalusuan island is beautiful, crystal clear water, you can find colorful corals, colorful fish, wonderful. How to get there, you have to go to the port of Lapu _Lapu, go to the agency that organizes trips to the Mactan Islands, they take care of everything about how to take you to the island you want  …"
鈴木こうすけ,4 stars,2 years ago,"Well, if you are a family, you can enjoy it with peace of mind. You can onl …"
Rajj Muaña,5 stars,2 years ago,N/A
Mitch Ramos-Cui,5 stars,2 years ago,Pristine clear water. Overnights are preffered over day trips. If you want privacy in a secure and quiet island at night you shoukd come and stay overnight
アップルちゃん,5 stars,2 years ago,"It will be a long time ago, but
Make a reservation at the …"
Twenty Four,5 stars,2 years ago,N/A
k,3 stars,2 years ago,"I went there a year ago. It was pouring rain and it was so cold that all the tourists were gritting their teeth. Also, at the buffet right after crossing the famous pier, I had an ups …"
k h,5 stars,2 years ago,"This is a photo from a few years ago
I can't go into the sea …"
Jemuel Carillo,5 stars,2 years ago,N/A
J-AR DIO LIN,5 stars,2 years ago,Beautiful Island. Good snorkeling site. Nice sandbar during low tide.
Cheols,5 stars,3 years ago,Stay and dive at the same time! Highly re …
saori .k,4 stars,3 years ago,"Many photogenic spots
Also a snorkeling spot, the isla …"
Tamás Vastag,4 stars,3 years ago,N/A
nelson lee,5 stars,3 years ago,Clear blue  …
Jinwon Lee,5 stars,3 years ago,Is there such a fa …
하스케치,3 stars,3 years ago,"i visited for scuba diving. but unfortunately it wasn't good for underwater. so mass underwater... maybe gonna diving later again.
Unfortunately, the visibility underwater is a …"
샥스핀,4 stars,3 years ago,Pocari Sweat commercial film …
술꽃냥이,5 stars,3 years ago,N/A
문미란,3 stars,3 years ago,"It's a small and pretty island, bu …"
김관호,5 stars,3 years ago,The water is really  …
sny sgw,5 stars,3 years ago,N/A
D J,5 stars,3 years ago,Best scuba diving  …
K Atsu,5 stars,3 years ago,N/A
Philipp Gantner (Phil),1 star,3 years ago,"!Trap! Went to an island hopping trip to Nalusuan Island with my family today. The island is nice, however at the entrance you will be asked if you want to pay entrance (400PHP/head) or if you will eat at the restaurant. As already planned …"
連名翔,3 stars,3 years ago,N/A
Darby Park,4 stars,3 years ago,"An island very close to Cebu, it seems like a good place to go soon
Right in front of the is …"
C S,4 stars,3 years ago,N/A
Paul shi (Hunter),4 stars,3 years ago,N/A
져스트두있,5 stars,3 years ago,N/A
1 R00T (‪公式‬),4 stars,3 years ago,N/A
Em,4 stars,4 years ago,N/A
N. F.,2 stars,4 years ago,"Overrated. The fishes are beautiful once you throw fish food around you, but besides that? Nothing left to see in the island. Not even beautiful corals because a lot of them are dead. Overcrowded with tourists, too. And the restaurant? One …"
山崎楓,5 stars,4 years ago,N/A
渋沢亮介,5 stars,4 years ago,The amount …
DAI SAKURA,5 stars,4 years ago,"the best!
T …"
GILBERT PAIK,5 stars,4 years ago,A must visit island. I went there via an island hopping company tour and they take us to here as one of their stops and it is THE spot for astonishing vew of the ocean. It was also for our fun time for real splash snorkeling near the dock.
이은희,1 star,4 years ago,N/A
Kieu Nguyen,5 stars,4 years ago,N/A
Bimboy Mohamad,5 stars,4 years ago,N/A
최승훈,5 stars,4 years ago,"It's so clear, …"
강동조,4 stars,4 years ago,N/A
Seunghyun Jung,5 stars,4 years ago,N/A
Jiyeong Choi,4 stars,4 years ago,"It's pretty good, it …"
堀内伸一,5 stars,4 years ago,"It is a small island that can be reached by island hopping.
The long pier was beautiful and …"
Jaeil Choi,4 stars,4 years ago,Great diving spot lol
K. K,5 stars,4 years ago,N/A
Shun Namiki (Nash),5 stars,4 years ago,Used for island hopping. The island is roughly divided into two spots. (1) The spot for snorkeling is near the tip of the bridge. (2) The opposite  …
니츠,4 stars,4 years ago,"From the top of the water, the water is sky blue, so it's pretty, but when you go into the wa …"
윤재호,4 stars,4 years ago,N/A
Kaoru Abe,5 stars,4 years ago,I have a cut …
ju je,2 stars,4 years ago,There is no mind that makes you want to go again by developing goo …
Yukihito Hara,4 stars,4 years ago,N/A
김민수,5 stars,4 years ago,"The island is also very pretty, a …"
Camily,5 stars,4 years ago,"A nice island. Easy to access by renting a boat. It is theisland nearest to cebu mainland. The island itself is very small. But u can enjoy snorkelling, food, and swimming there. Sand and sea are very good! Recommend for a weekend escape!"
せたたか,4 stars,4 years ago,"The island is perfect.
The shallow sea behind the pier  …"
eniwa kmkm,5 stars,4 years ago,N/A
村上泰央,5 stars,4 years ago,"I did a diving experience with a local KI MARINE guide.
Excellent transparency.
There seemed to  …"
"Sewing Live Mactan Cebu, Inc.",5 stars,4 years ago,"This Island is superb! If you are looking for best Island to swim and go snorkeling, this is the best choice. The view is so nice here Though entrance is a bit high."
Nick Bond,4 stars,4 years ago,Great day out
Stone San,4 stars,4 years ago,A small island  …
