review_user,review_rate,review_time,review_text
きりたに英憲,5 stars,4 months ago,The wind is the best …
JAKE YOON,5 stars,4 months ago,N/A
Akira Okita,5 stars,9 months ago,N/A
Florie Marie Sanchez,3 stars,9 months ago,N/A
김회동,5 stars,10 months ago,N/A
Byu Hur,4 stars,3 years ago,Best beaches i …
Samuel Ian Chavez,4 stars,3 years ago,N/A
Anthony Maglunsod,4 stars,3 years ago,N/A
조영민,5 stars,3 years ago,N/A
Jinwon Lee,5 stars,3 years ago,If there is a paradise o …
john eden minguito,4 stars,3 years ago,Very good place for my guest
Seongtak OH,5 stars,3 years ago,N/A
Hua Chang,5 stars,3 years ago,Very be …
Derick Kim,5 stars,3 years ago,N/A
스포츠산업연구소,5 stars,3 years ago,Nalusuan Island is a small island in the southeast of Ma …
카디르나,5 stars,3 years ago,N/A
고가람,5 stars,3 years ago,"Pretty, good for snork …"
maria joao Contreras,4 stars,3 years ago,N/A
양호이,3 stars,3 years ago,N/A
정해은,5 stars,3 years ago,N/A
Arcel Villa,5 stars,3 years ago,😍😍 …
유창열,5 stars,3 years ago,so pretty a …
Masa gaske,5 stars,3 years ago,"There is an entrance tax of 400, but it is full of fish and shallow, making it perfect for snorkeling. It is important to take an early break because there are too many people hanging out at  …"
Ma. Gina Servano,5 stars,3 years ago,Very nice place
SHyeon J,4 stars,3 years ago,Beautiful place. Too bad that the water was dried out like desert at the best spot for shooting. Good we were there earlier than the crowed time. I enjoyed a lot.
안태동,5 stars,3 years ago,N/A
E J,3 stars,3 years ago,"There are many fish in the shallows, so begin …"
유상환,5 stars,3 years ago,Unconditionally recommended~ Even …
김성수,5 stars,3 years ago,Deeper is b …
Mao M,4 stars,3 years ago,"Clear water beautiful marine sanctuary. But the water is pretty shallow, pretty sure it's not like that all year round though. There were so many people and it took forever to get on our boat. Heard there'd be a horrible queue during summer."
Elena Anoba,4 stars,3 years ago,I love their buffet here
배우김현지,5 stars,3 years ago,N/A
홍이장군,5 stars,3 years ago,life s …
AYEONG SEO,1 star,3 years ago,"I have never been stung by a jellyfish while diving 60 logs in Contiki, Olango, Bohol, etc. for a month, but I went to Nalusuan once, and my right cheek, both wrists, and both ankles... the skin exposed …"
Talha Tahir,5 stars,4 years ago,"We did scuba diving in this location, the reef has decent amount of marine life, we were able to spot sting Ray and a school of Jack fish along with other creatures."
yc Sung,5 stars,4 years ago,O …
김재영,5 stars,4 years ago,N/A
Choylyn Jardin,5 stars,4 years ago,N/A
