review_user,review_rate,review_time,review_text
Stephen Virtudazo,5 stars,a month ago,N/A
StarMoonSun Sarah,5 stars,a month ago,N/A
ryan abella,5 stars,a month ago,A very nice place of worship. It is a top of a hill with decent view. The church was at the top and it also has a very beautiful chapel midway right beside the main building. The chapel is full of relics. Very nice and solemn.
Jem Earl Custodio,5 stars,a month ago,Solemn place.
Mhel Franko Vincci II Netherward,5 stars,a month ago,Cool
James Arendain,5 stars,2 months ago,"Chapel of Holy Relics.

Home of the famous Catholic Saints from around the world. …"
Ailyn Samson,5 stars,2 months ago,"This place has church on top the hill, a chapel of different relics, has souvenirs store, the mass very solemn and you can focus on your prayer...on the top of the hill the statue of St.Rita de Cascia was there."
Hannie Moon (ItsChaiNing69),5 stars,3 months ago,"There's a big change, and in a good way.. My sister loved going back here.."
Flavia Loon,5 stars,3 months ago,We are for confession
krisha Mancio,5 stars,4 months ago,N/A
romulo son jr,5 stars,4 months ago,N/A
Kim Taehyung,5 stars,4 months ago,N/A
RYZA RAFAEL,5 stars,4 months ago,N/A
Antoinette Bangiban,5 stars,4 months ago,N/A
Phil Alvarez,5 stars,4 months ago,"You can ask the impossible, and it will happen. 100% Guaranteed!

OAD Tabor Hill: A Place of Prayer and Meditation …"
Diovane Abastas,5 stars,4 months ago,N/A
Rhys Marie Cabalan,5 stars,5 months ago,Peaceful place.
Laurencio Valdez,3 stars,5 months ago,N/A
Amir Abdullahi,4 stars,6 months ago,"Great place to chill. Hard to climb but worthy. Free entrance, there not that much to do except looking different stuffs there."
Jose Conson Jr,5 stars,6 months ago,N/A
Bernard Palang,5 stars,6 months ago,N/A
Crystal,5 stars,7 months ago,N/A
Ron Nemes,5 stars,7 months ago,N/A
Nikko Ouano,4 stars,7 months ago,N/A
Wenalyn Abella,5 stars,9 months ago,N/A
Jay Turla,5 stars,9 months ago,"A good place to meditate during Holy Week because of its ambience. I may be bias in this because of being a former OAD seminarian but I can attest that when I brought my friends, they all loved it."
Angelica Cogtas,5 stars,9 months ago,Wonderful church and beautiful views
Manuel Cabahug,5 stars,10 months ago,N/A
Stephanie Rebaca,5 stars,10 months ago,N/A
rafelbert “raffy” ponce,5 stars,10 months ago,N/A
Jerah Mae ihada,5 stars,10 months ago,well it's nice there though
Robert Pialante,5 stars,a year ago,I love this place
Ken Victoria,4 stars,a year ago,"This place is amazing for those who are seeking a serene evironment to just kick back and enjoy some peace of mind. The place offers a full basketball court for those who like some physical activity, though i am not sure if they rent it …"
Marc Fernando,5 stars,a year ago,N/A
Hernand Vasay,5 stars,a year ago,N/A
Genesis Garcia,5 stars,a year ago,N/A
Guendel Orcullo,5 stars,a year ago,N/A
Ryan Sitoy,5 stars,a year ago,Place of worship to connect God and nature.
Simply Boholana,5 stars,a year ago,"Ideal place for retreats, days of recollection and conferences."
Raya Su (Maestrang Laagan),5 stars,a year ago,"- such a solemn place to repent & reconnect with God
- has a great view too
- restroom is also available for visitors …"
Amy Monsalud,5 stars,a year ago,My haven and where solitude is
Danilo Dillo,5 stars,a year ago,The Best Morning Jog
