review_user,review_rate,review_time,review_text
Jürgen Tomaschewski,4 stars,a week ago,"Very nice with many very small beaches. Everything a bit old-fashioned. About 20 minutes by ferry from Mactan. Infrastructure not so excellent, had not found a good place restaurant etc where you could rest well. take swimwear with you."
김까루,5 stars,2 months ago,Very be …
Ryan Romero,5 stars,3 months ago,N/A
Tejee Daño,5 stars,3 months ago,N/A
Francois Moreau,5 stars,3 months ago,"Olango must mean paradise in Bisaya.
This coral Island just 20 minutes from Mactan-Cebu explains on itself why Cebu is a south after tourist destination. …"
Janissa Uy,4 stars,3 months ago,N/A
Lenard Tradio (Phobdous_Highlights),5 stars,4 months ago,It's nice to visit here in Olango Island Wildlife Sanctuary
WEI-CHE CHEN,4 stars,4 months ago,Island h …
Finity Rubi,3 stars,4 months ago,This place releases a vibrant vibes and I loved how friendly the locals are. Mangrove planting is a must visit place.
teddy bear,5 stars,5 months ago,Nice place for island tour
rien tisoy,5 stars,5 months ago,Wonderful
Mi Noh,5 stars,7 months ago,N/A
Peter Paul Juezan,5 stars,8 months ago,N/A
Stephanie Rebaca,5 stars,8 months ago,N/A
Mailyn Cabañero,5 stars,10 months ago,N/A
Rey Petruch,4 stars,11 months ago,N/A
rocel guigue,3 stars,11 months ago,N/A
Sef Kilantang,5 stars,11 months ago,A must visit place for solo or by a group just to escape the city's stressful life and to experience a beautiful paradise within a few miles on the city.
kike moratalla,4 stars,11 months ago,Big island next to Mactan. You have to go to the port of Marigondon and negotiate with the owners of the boats. An entrance fee is paid. Good place to dive with or without bottles. very transparent wa …
Angelyn,3 stars,a year ago,Good place to rent for a bike and explore the island with friends – especially if you'd want to be able to freely ride without fear of other cars and traffic jams like in the main city. …
Mark Allen Pulido,5 stars,a year ago,"This is the first time I went to this place and I love that I saw mangroves personally, and we planted some seeds of it as part of our activity in place. The place is so beautiful, like you can breathe the fresh air and it can remove your …"
Claire Melody,5 stars,a year ago,Always love olango ❤️
EUNA YOO,4 stars,a year ago,"I went to Shalala Beach and Coconut Farm. I went to Shalala Beach without making a reservation in advance, so there was no cottage? There was no seat. I sat on a …"
PJ Magallanes,5 stars,a year ago,The next big thing in Cebu!
Christian Hinayon,5 stars,a year ago,Great island.
cherrybeth corbo-pineda,5 stars,a year ago,N/A
Reymonel Canete,5 stars,a year ago,N/A
Mona Lisa Mosqueda,5 stars,a year ago,🤟🏻 …
Aman Saiyed,5 stars,a year ago,N/A
Thorak Bahag,5 stars,a year ago,N/A
shollielyd calvo,5 stars,a year ago,There's no place like this island.  The best in island hopping.  Fresh and cheap foods.  The locals are very friendly and helpful.
Arjeandel Ompad,5 stars,a year ago,N/A
Carlo “Crefara” Libranda,5 stars,a year ago,N/A
David Della Torre,5 stars,2 years ago,"Quite and peaceful, the fish sanctuary is an amazing spot for snorkeling, just around 3 meters deep is forbidden place for fishermen, you can see many kind of very colorfull tropical fishes and corals as well, the water is cristal clear"
N2NGtv,5 stars,2 years ago,OLANGO ISLAND
Vina Dejon,5 stars,2 years ago,N/A
Mary Gie Elguerra,5 stars,2 years ago,"If you're looking for a place where you can relax from the city for a little while Olango island is a perfect place.
You can rent a bike and motorcycle going to island tourist spots.
The people are so nice and helpful also."
jacky Bajenting,5 stars,2 years ago,"A nice place to unwind and be with nature. If you want to enjoy th island , you better stay there for at least 3 Days and explore more of the beautiful views and hospitable people."
