review_user,review_rate,review_time,review_text
KENNETH Mace,3 stars,2 months ago,"Unfortunately, there is no pool anymore nice garden and fish pond now."
Endeavor BeStHaTeR,5 stars,2 years ago,N/A
Joshua Pocong,5 stars,2 years ago,N/A
Vince Gabriel P. Sala,5 stars,3 years ago,N/A
Kevin Joshua Patlingrao,5 stars,4 years ago,I love their orchid
Prince Ian Reigns,5 stars,4 years ago,N/A
Jasper Hamp,5 stars,5 years ago,Nice this place and also there rooms
Joshua Pocong2,5 stars,5 years ago,N/A
Catrina And Pickles The Cats!,5 stars,5 years ago,So cool!It's nature like!Also with animals!
Cool Cartoons,5 stars,5 years ago,Fun bec. Its not expensive kids 50 pesos and adults 75 pesos for swimming in swimming pool and for just visiting 10 pesos.So nice
Jacksepticeye Trollface,5 stars,5 years ago,N/A
Takumi DiSapPoInTeD,5 stars,5 years ago,N/A
LlamaCat Lover,5 stars,5 years ago,N/A
Michelle Quilo,5 stars,6 years ago,N/A
Arn marquez,2 stars,6 years ago,It's like you're just at  …
Christine Pocong,5 stars,6 years ago,N/A
