review_user,review_rate,review_time,review_text
Alex Chef,5 stars,4 hours ago,"It was really crowded and we had to wait, but worth it!"
Bobby,1 star,5 hours ago,N/A
Jonniel Tanoco,5 stars,a day ago,N/A
kiki chen,5 stars,a day ago,"From Dumaguete to Whale Shark Village, first take a tutu to Sibulan Port in Dumaguete (it is more recommended to take a tutu car, if you take a bus, you have to go for a while), and the ticke …"
Stefan Obermeier,5 stars,a day ago,Absolute madness. There you can see that you are not the greatest …
hack jacky,5 stars,2 days ago,N/A
DY Park,5 stars,2 days ago,N/A
佳玫,5 stars,2 days ago,We were luc …
Mary Rose Faderogao,5 stars,2 days ago,"If you are planning a trip to Cebu, include these ""gentle giants"" in your itinerary. The experience is really worth it."
Romeo Jr,5 stars,3 days ago,I want to go back again👍🏿👍🏿👍🏿💪🏿 …
andrea tosoni,4 stars,3 days ago,Long thing to get in but once in the water well worth it
Danilo Olanosa,4 stars,3 days ago,"Let's talk whale sharks. They're over 6 meters of something that looks between a shark and a catfish. The rules are simple. Stay 4 meters away from them. No touching but they can touch you.  Basically step club rules, only fishy.  However, …"
郭長林Ben,5 stars,3 days ago,This is the most touching itinerary I have ever had in Cebu. After entering the wat …
john bc,5 stars,4 days ago,"I originally made an appointment to go to Leila on Panglao Island to see whale sharks, but I was informed the day before that Leila canceled the whale shark trip due to weather factors. I hurried out at 5:00 this …"
牛若丸,5 stars,4 days ago,"Arrange and participate in a tour at a local hotel.
Tourists al …"
Penten,5 stars,4 days ago,"Very cool, but very long queues. It is better to dive with scuba diving, it is more expensive, but you do not wait in line, do not swim in the snorkel soup and you can dive even without experience with an instructor,  …"
문현규,5 stars,4 days ago,N/A
Jun Oka,5 stars,5 days ago,"Departure from Compostela at 2:00 and arrival at 5:00.
Still, it was super crowded on Sunday, and a long line was m …"
최희선,4 stars,5 days ago,"Even if you go through rough traffic at dawn
I waited a …"
BIAO CHAO,5 stars,5 days ago,"IG: chaochoooo
Need any information welcome to ask!
It takes at least …"
Tasha Young,5 stars,6 days ago,N/A
Joel Larsson,1 star,6 days ago,"5 hour waiting time in blazing sun. The very definition of a tourist trap.
Inflated prices and disfigured creatures that barely looks like whale sharks anymore. Don't waste your time."
Amado Wasawas,5 stars,6 days ago,N/A
Elena Vecino Puente,1 star,6 days ago,N/A
Jelou Sotto,5 stars,6 days ago,I been there too
Peter Zwartjes,5 stars,6 days ago,N/A
Adam Orr,2 stars,a week ago,The whale sharks are amazing and it was a bucket list thing for me which us the only reason it has an extra star. …
Hung Yuan Lin,5 stars,a week ago,"wonderful water world, specially for the amazing whale shark. You can observe them so close and so many whale sharks live there"
olens,5 stars,a week ago,N/A
Bruce Montana,4 stars,a week ago,Unique experiece to swim with gentle whale sharks. Expect large tourist crowd. Arrive early. This us a 3 to 4 hour road trip from Cebu City. Attraction closes at 11 am. Fee is 500 pesos per person.
莊奕振,5 stars,a week ago,"Oslo Whale Shark Village is a famous tourist attraction, located in a small village in the southeast of Cebu City in the Philippines. Because t …"
Marc Menden,5 stars,a week ago,"30 minutes of swimming continuously with Whale Sharks.  The wait was long, we got our number at 7:30 on a Thursday morning and didn’t swim till almost 11am.  We went to the falls while we waited, but it was worth the wait.  The package …"
flora lee,5 stars,a week ago,Whale sh …
Josh Mont,5 stars,a week ago,N/A
みつみつ1116,5 stars,a week ago,We left the hotel in Mactan Island at 3:00 and arrived at 5:30. Perhaps because …
coop,3 stars,a week ago,"It's so crazy because it's a big market..
If you didn't have a guide in advance, you'd come at 7:00 and do it at  …"
MK KIM,5 stars,a week ago,jj …
Matthieu “MaceMatt” Rebouh,5 stars,a week ago,"After having hesitated for a long time to do this activity because of the controversy it fuels, I come away delighted!
- The organization on site is much better managed than I had imagined.
 …"
SALEH ALMUSTANERl,5 stars,a week ago,N/A
Ruby姵如,5 stars,a week ago,N/A
ss쩡쓰쓰,5 stars,a week ago,"This is the view that greets me after a long drive in the morning.
That's enough compensa …"
연산군,5 stars,a week ago,A lot of water. …
Mo,5 stars,a week ago,"Join a scuba diving tour to see whale sharks via Shisa Cebu. The whale shark that can be seen up close is a masterpiece.
The explanation before participating in the a …"
Jonas Ray Cubar,5 stars,a week ago,N/A
Y.H CHO,5 stars,a week ago,I don't like whale wat …
魏Weijunyo,5 stars,a week ago,The road from Cebu to Oslo  …
Brandon Hedrick,5 stars,a week ago,N/A
이현재,5 stars,a week ago,N/A
David “Koalified2party” Russell,5 stars,a week ago,"Despite the waiting and hundreds of people, the experiences unforgettable highly recommend"
Nicolas Monroy,5 stars,a week ago,N/A
Anson Leung (Anson),4 stars,2 weeks ago,N/A
David Schorr,2 stars,2 weeks ago,"Very very commercialized. So many people, parking is very bad. Assembly line whale shark watching. Still the sharks are very cool though."
Lenka Zipp,5 stars,2 weeks ago,Absolutely the most powerful experience. .. I recommend leaving …
Tim Wilde,5 stars,2 weeks ago,Get there early as it is first come first served. Having a guide to watch your stuff is also advisable. The whale sharks are amazing and totally worth the wait. Beautiful gentle giants.
SeungHyun Lee,5 stars,2 weeks ago,"really the best!!!!
Waiting should be done by the person who made the reservation, and the per …"
二章,5 stars,2 weeks ago,Best wha …
장길수 (짜아앙),1 star,2 weeks ago,N/A
Virginia James,4 stars,2 weeks ago,"Recently, the admission line for local tourists has been separated from foreigners. It's a great experience to be in close encounters with the whales. No touching of the whales allowed. It's very entertaining."
AKRAM HOSSAIN,5 stars,2 weeks ago,Very beautiful place
Down,4 stars,2 weeks ago,Big whale shark around you
도부,5 stars,2 weeks ago,"I made a reservation with a Korean company, so I was able to get in quickly without waiting in li …"
Snir Keidar,5 stars,2 weeks ago,"Don't like the feeding activity  but have to say this experience is unreal.
I dive with the whale sharks
Can't find the words to describe how amazing it is"
미야,5 stars,2 weeks ago,N/A
Gustav Kullgren,5 stars,2 weeks ago,Totally amazing
