review_user,review_rate,review_time,review_text
Ly H,3 stars,2 days ago,"Do not take the northern route coming from ""Bangkulotan Hillside"" as there is 2km of hard off road. It is a small path in the forest too difficult for scooters (impossible for cars) because of large stones and mud on the way up.
The road  …"
Karl Heinz,1 star,2 days ago,"Exhausting journey, but good variety to stretch your legs

Why are people whining because of the small amount of money that is being asked for.
The …"
mark herediano,5 stars,3 weeks ago,N/A
Emeric Magny,5 stars,3 weeks ago,"Incredible place, you have to take a guide we paid 220 pesos for two (parking included)!

PS: To  …"
ted thor,5 stars,3 weeks ago,"Definitely my favorite place of all other places that I have visited while I am in Cebu. The 1-hr motorcycle ride was such an adventure. The gusty, chilly mountain wind is a very nice change to the warm coastal breeze. Definitely a must see & a must do."
Totskie TV,5 stars,a month ago,nice place
Gilbert Coronado,5 stars,a month ago,N/A
Khirlstine Lhou Garcia,5 stars,a month ago,"Great experience ❤️ Nice view, fresh air and feels like little tagaytay co'z it's cold😌 Best place to hike, worth the wait til to the top❤️🌄 …"
Jo Sutia,5 stars,2 months ago,"A must go place. But be prepared for the entrance, environmental and tour guide fees."
Robert Lüthgens,5 stars,2 months ago,Camping is a great way to have fun even when the weather was bad. We all had a lot of fun
Ana Liu,4 stars,2 months ago,"First, this is not a ""hike"".  It's a ""ride"" to the tourist center with a paid entrance fee (50 pesos) and a mandatory guide fee (100 pesos) to access the small hiking trail to the vista point where you can see some nice views of Moalboal …"
Teddy See,1 star,2 months ago,"Would give 0 stars if I could.

Came up here thinking it was just a hike up to the peak for a sunrise view. Was …"
Christian Paolo Macatangay,5 stars,2 months ago,N/A
Maxime Baucheron,5 stars,3 months ago,"Incredible place, unfortunately you have to take a guide, really incomprehensible this is not a trek but a short 10 min walk, but hey that's how it works at every tourist spot in the Philippines,
Be careful to go there when there is not too much cloud, otherwise you will not see anything…"
Verna B,4 stars,3 months ago,Good to visit this campsite in summer or there is no rain so the night moment at the peak is nice.. The view is beautiful and worth it eve …
Vienna Lee,5 stars,3 months ago,N/A
Agdoron Gemaildotcom,5 stars,3 months ago,"15min trek to peak from tourism office.

Very friendly and helpful guides …"
MIHWA HER,5 stars,4 months ago,"I visited it because it was not too far away, taking about 30 minutes to go to Simala Cathedral, but it was really …"
Radek Šinc,5 stars,4 months ago,A beautiful journey on a motorcycle and nice views …
Minsu Ham,1 star,4 months ago,"100 pesos for tour guide lol
I thought I was supposed to explore the top of the mountain, Himalaya.
All I could hear from the guide was that ""it is the point, it is beautiful"" …"
Heero Villegas,1 star,4 months ago,"Not the actual location of the Place. It is on the other side wich is exact location.
please dit location so that no one will mislead while going there."
Bruno Cooke,5 stars,4 months ago,"Osmeña Peak is a spectacular place to camp - and if you do, you'll get to see the surrounding highlands all the way down to Moalboal and a large stretch of the western coast of Cebu at sunset AND sunrise. …"
DominiQC Asean,5 stars,5 months ago,Follow directions on the road rather than Google map directions. You'll have to turn right rather than go straight when about 500m away from your destination. …
Agnieszka Brachucy,4 stars,6 months ago,"We paid 50 PHP for entry. We had to pay mandatory 100 PHP for the guide, cheating! The guide just walks, the terrain is very simple. It took us 15 minutes to get in."
hei_journey,5 stars,6 months ago,"Beautiful view point. Similar to the Chocolate Hills in Bohol, only much more beautiful and impressive.
The journey from Moalboal is adventurous. Definitely arrive via Alegria. The faster ro …"
Laura Birks,3 stars,7 months ago,"If you hike to nice places a lot, then this really isn't that special. It's a nice view but there were too many people when we went to fully enjoy it. Having a mandatory guide makes me feel uncomfortable and rushed. Why they are mandatory …"
Jaro Tan,5 stars,7 months ago,Great view. Breathtaking experience.
Dash Venus,5 stars,7 months ago,View is amazing! Fun experience!
Glenn Paulo Dudas,5 stars,7 months ago,Scenic view has a city light view of Cebu City
francis estrella,5 stars,7 months ago,a fantastic hiking experience!! perfect place to unwind with outstanding view
CARMINA JOY ALSON,5 stars,7 months ago,N/A
Mae Ann Aguinaldo,5 stars,7 months ago,Very promising place🥰 …
Maria margallo,5 stars,7 months ago,Amazing experience! Incredible hiking yet so enjoy!
Reinier Magtoto,5 stars,7 months ago,One of the finest! Grateful to be visiting this extravagant place! Best places to stay for a wonderful view!
Ingco Sta Cruz Concept Store,5 stars,7 months ago,A fantastic hiking experience!!! I highly recommend
Sarah Grace Deladia,5 stars,7 months ago,Great experience!
Jezer john Dogoldogol,5 stars,7 months ago,an amazing hiking and picture taking experience. It was breathtaking view 🤩🤩🤩 …
Barachiel Concepcion,5 stars,7 months ago,Nice view!
Lynn Lopez,5 stars,7 months ago,N/A
Regilyn Salazar,5 stars,7 months ago,nice view. reccomendable for hiking.
Norie Anne Olais,5 stars,7 months ago,"I love to hike, and this place is perfect, foggy until dawn, best experience to be here"
Settie Naisah Cassan,5 stars,7 months ago,The best view to unwind ❤️ this is the perfect place to relax! ❤️💖 …
Jam`Z zxc,5 stars,7 months ago,"Osmeña peak one of the best choices you can consider if you're gonna stay cebu. The rooms are well-maintained by the house keepers, the food is great, and remarkably the pool is awesome."
Gary Nicolas,5 stars,7 months ago,Nice location
"REYES, REYNALYN B.",5 stars,7 months ago,Amazing
Ry Anamong,5 stars,7 months ago,The hiking was definitely worth it!
reg javier,5 stars,7 months ago,N/A
Khrystian King Moldez,5 stars,7 months ago,Stunning view
Pauline Luz Saique,5 stars,7 months ago,N/A
Maelyn Ungriano,5 stars,7 months ago,"fantastic view up this peak, everyone should really try going here. totally worth it."
Milchen Añasco,5 stars,7 months ago,Relaxing and so beautiful place.❤️❤️
福建师范大学,5 stars,7 months ago,Cold weather and a peak beautiful view here in Osmeña Peak is amazing! We’ll be back again for a refreshing environment ❤️
Joanne Laguda,5 stars,7 months ago,This is a nice place to unwind especially if you want to run away from stressed from work and take adventure to hike here. I will recommend this place to my friends and will go back here again.
Beverly Jorolan,5 stars,7 months ago,Awesom hiking experience!
Joanna Camille Espayos,5 stars,7 months ago,A fantastic hiking experience!! I hope to visit soon.
Chloe kyla Sarmiento,5 stars,7 months ago,N/A
TrixiaMay Belga,5 stars,7 months ago,Awesome hiking experience
Nina,5 stars,7 months ago,It was an amazing hiking and picture taking experience. It was breathtaking view
Gracelle Rivera,5 stars,7 months ago,So relax place perfect for hiking and nature sceneries😍 …
EJ Blanca,5 stars,7 months ago,One of the most famous peak noted as one of the highest on Cebu. It is a very tricky hike but I guarantee that this experience is a very good one!
Jennsanc Canoy,5 stars,7 months ago,"What an awesome experience to conquer the famous highest peak of Southern Cebu, the Osmena Peak. Cold breeze of the day and exciting panoramic view certainly welcome every visitors that seeks to unwind and unload stresses."
Charisse Mae Condino,5 stars,7 months ago,I went to this wonderplace last year with friends. I cant wait to go here again hopefully next year 2023!!!!
emmanuel pulido,5 stars,7 months ago,The best way to unwind and to be with nature! The view from the top is breathtaking. I will surely come back here.
Laarni Janer,5 stars,7 months ago,"A fantastic hiking experience!!! I highly recommend you have a guide and get a walking stick. It took us about half an hour to walk up to the peak with our guide helping us trek up (a bit slippery because of the slight rain) and to take photos along the way. On the way down, we bought freshly harvested sayote ⛰🌼🍃 …"
Elle Adrias,5 stars,7 months ago,Super relaxing and fantastic view
Ronald Catubao,5 stars,7 months ago,Best place for nature lovers.
Joseph Niel Mirasol,5 stars,7 months ago,"My hiking experience was so great in Osmeña Peak, I will surely go back again."
Deanne Mallari,5 stars,7 months ago,"Awesome place, i highly recommend this who loves hiking. It's safe!"
Jojemae Jayme,5 stars,7 months ago,The best view comes after the hardest climb. ♥️
Fredgie Mae Monacillo,5 stars,7 months ago,Perfect for a serene and relaxing getaway with friends and family. 💕 …
jonabelle afrondoza,5 stars,7 months ago,GOOD CHOICE
Michael Carbonel,5 stars,7 months ago,N/A
Keith Nicole Faderogao,5 stars,7 months ago,A good and fun hiking experience here! Highly recommend!
Catherine Rose Pabustan,5 stars,7 months ago,I really love the place! Such entertaining guides will lead you to the destination. Would really love to go back here!!
Micha Cabrera,5 stars,7 months ago,This place is breath-taking
Ehron Dumrigue,5 stars,7 months ago,Nice for camping and better view this place is very cold
Engineer ME,5 stars,7 months ago,"Nice place, good for hiking, nature friendly, fresh air"
Nor-Ain Gautan,5 stars,7 months ago,N/A
Brix Lorcha,5 stars,7 months ago,N/A
Mi Cah,5 stars,7 months ago,Great place with good people!
Ryan Famisaran,5 stars,7 months ago,Proper attire is a must when hiking in this place. A great scenery awaits you.
Lourimyr Denoso,5 stars,7 months ago,"The beauty of nature, awesome"
Ronalyn Dela Pena,5 stars,7 months ago,Great experience! Recommended for those who want to hike and release all their stress and shout put loud in the the top of the mountain. It is safe and has a great view. Love it! 😍❤️❤️ …
Mika Marte,5 stars,7 months ago,Recommended for those who likes adventures. A good place for hiking!
Julie Ann Subosa,5 stars,7 months ago,"if you love hiking, this is the best place. best getaway for summer vacation. my friends and I enjoyed our stay and so awesome to feel nature!"
richelle bartolome,5 stars,7 months ago,Awesome hiking experience. Highly recommended for adventurous people like. 😀😀😀😀 …
Jessa Mae Molles,5 stars,7 months ago,"I highly recommend this place, the view and place is very nice it will give you peace of mind."
Jam,5 stars,7 months ago,Very Nice place! Fantasic view. Good place to unwind.
Pauline Bongon,5 stars,7 months ago,This place is amazing. If you are planning to go to Cebu this place is a must.
cherry Jorolan,5 stars,7 months ago,Highly recommended! You have a guide to keep yiu safe and enjoy the place!
Lyka Chelly Reyes,5 stars,7 months ago,This place is perfect for those who love adventures and hiking. The view is very relaxing. Perfect for a group bond or those who wants to unwind.
Christine Deapera,5 stars,7 months ago,N/A
Mariel Jane Bunglay,5 stars,7 months ago,"Bring your partner, you will actually have a momentous get along. The place is warmth and unique. Capture each moments with absolute view😊 …"
Jayson Gomez,5 stars,7 months ago,The peak mountain range is soo beautiful and i have a great experience reaching the summit. Have a great guide that help us and motivate us to summit. We will visit again
Jeffrey Aboga-a,5 stars,7 months ago,"Nice is so very beautiful , highly recommend ♥️🤩 …"
Ruby-Ann Latras,5 stars,7 months ago,N/A
JAY ROOF'S MotoVlogzzz,5 stars,7 months ago,N/A
Victor Santiago,5 stars,7 months ago,Great place. Nice view. Perfect for hiking
kristel anne locsin,5 stars,7 months ago,N/A
