review_user,review_rate,review_time,review_text
Ronald Hofstee,5 stars,a month ago,An amazing dive spot! Crystal clear water and the corals are in good health and color. At the south side there are lots of colorful fish! Very nice to see is the Cathedral cave. For sure you will see the frog fish and with a little luck you will see the white tip shark.
Rocky Ping,5 stars,3 months ago,"Sardines and turtles are amazing. The tourist is professional, they not only monitor carefully to ensure safety but also help us take best photos and records. Unforgettable moments!"
yoon yoon,5 stars,4 months ago,"The day I went, the weather was nice  …"
Jessie Leal,3 stars,6 months ago,N/A
이보람,1 star,7 months ago,Filling out paperwork in front of Moalboal City Hall …
ELIAS,4 stars,11 months ago,This place is a very good snorkeling place. My and my family had gone and do snorkeling to this area. We saw a lot of things like the sea turtle that are very huge and amazing fishes and a school of fishes swimming around under the sea. …
Prajay Dobariya,5 stars,a year ago,N/A
An Tran,5 stars,a year ago,"If you have a chance, pls do scubadiving for best experience"
Rude Toy,3 stars,a year ago,Be forewarn of the coral has been destroyed after typhoon Ursula. Now it was just couple of rebars at the murky bottom to attempt to grow some corals. No Dory and Nemo down here. Be sure to check with the locals before renting a bangka here
Florian Poullin,1 star,a year ago,"The corals were destroyed by the typhoon in December 2021. Unfortunately there is nothing left to see at the moment. Coral stumps have been planted to replenish the reefs. The results will be visible within a few years. In the meantime, it  …"
渡邊明美,5 stars,a year ago,N/A
Elnerrendo torres,5 stars,a year ago,N/A
Jeeyoung Yun,5 stars,a year ago,Best snorkel …
Khey Hope B. Canillo,1 star,2 years ago,There are some jellyfish there and its itching and we thought its fish
Aldrin Luzares,5 stars,2 years ago,N/A
Roland Paul Albert,3 stars,2 years ago,N/A
Almyra Acao,5 stars,2 years ago,So nice to experience swimming with sardines.
Leza Andrea,4 stars,2 years ago,"My first close encounter with a wild turtle 😍😍😍 Also had fun snorkeling. Saw a lot of colorful fishes but the corals didn't look that nice for me. Anyway, if you're planning to go on a South Cebu Adventure, don't forget to include Pescador and Moalboal in your itinerary. Definitely recommended for those who are fond of diving. 😊 …"
Simply Boholana,5 stars,2 years ago,One of my favorite island.
Nikki Reid,4 stars,3 years ago,N/A
Michelle Chang,5 stars,3 years ago,This place is also bought KKDay itinerary! Going …
Jay YEOM,5 stars,3 years ago,It was a fantasy in itself to swim with sea turtles and countless sar …
Jerzey,5 stars,3 years ago,This is by far the best snorkeling experience I’ve had. The marine environment is teeming with life.
Günter Kuhn,4 stars,3 years ago,It's still nice to dive there but if some divers keep going like this and it all works out the beauty will soon be over I've been here for four years now but it's getting worse and nobody feels responsible for the destruction there will be …
chloe bonhomme,5 stars,3 years ago,Gorgeous !
takumi yajima,5 stars,3 years ago,"Moalboal's 3 remote island tours were the best.
Guided by a boat, g …"
Alvin Yeo,4 stars,3 years ago,Lots of fishes and coral. Nemo can be found here.
쑥,5 stars,3 years ago,"I can say the best place in real Moalboal.
When I was hopping, I did it through a local tour, but the hopping price without going to Pesgardo Island was about 1500 pesos. If you bargain for a hopping  …"
rika anapi,5 stars,3 years ago,"I love this activity!!! Gotta see Nemo and Dory!!! Finally, we’ve found them here in the Philippines. Lol"
Atiqah Ismail,5 stars,3 years ago,N/A
김K.young-tak,4 stars,3 years ago,"Although it is a world famous diving point
The reputation in the past has now been …"
K Min,5 stars,3 years ago,N/A
Elka Publico,4 stars,3 years ago,N/A
S.H,4 stars,3 years ago,a lot of f …
진우,4 stars,3 years ago,"Emerald sea. But after the rain, the waves were so hot that it was dangerous"
Lucy Creed,4 stars,3 years ago,"*Visited May 2020*
A nice little island that you can snorkel around and see all the different types of coral. …"
Denmark Gadia,5 stars,3 years ago,"Snorkeling in this island is like being on the top of the building. Under water, the side of the island is full of corals with school of fish and next to is a very deep, broad and wide ocean that you wont see the floor below. What an experience!"
Ha Mix,5 stars,3 years ago,"The most beautiful spot in Southeast Asia! ? It is no exaggeration to say that Private tour from Cebu city, PHP 3.000 fro …"
star00 moon,5 stars,3 years ago,Wonderfull expirence
Mysterious X,5 stars,3 years ago,Beshys are very clear.
Geneza Orion Peters,1 star,3 years ago,N/A
22nd Century Humans,4 stars,4 years ago,Stone garden hoppi …
nash t. (nash),5 stars,4 years ago,"This place provided me such wonderful experience. The locals were so friendly, guides were considerate and very helpful. I love the part when the local tourism provided a mini orientation about the place, they oriented us about do's and …"
이공부,5 stars,4 years ago,N/A
JM De Roxas,5 stars,4 years ago,Niceeee
Cherry On The World - Travel blog,5 stars,4 years ago,N/A
ju je,5 stars,4 years ago,"If you visit Cebu again, where would you like to go?? If you are asked ..,
Moalb …"
Micah Perez,5 stars,4 years ago,N/A
Eleanor Lyle Gimarino Blanco,5 stars,4 years ago,"Moalboal is known for having some of the best diving in Asia! There are dive shops, tour guides and boats ready to take you out scuba diving and snorkeling at the 'House Reef', Pescador Island... which has a breathtaking drop-off where you …"
하스케치,5 stars,4 years ago,super awesome!! Definitely a hot spo …
Evelyn mesias,5 stars,4 years ago,N/A
湘凌劉,5 stars,4 years ago,N/A
ともむ,5 stars,4 years ago,N/A
Jane Tho,5 stars,4 years ago,N/A
Brian Chen,5 stars,4 years ago,"We bought the kkday itinerary. After departing from downtown Cebu to Moalboal port, we first went to a sightseeing center to listen to a guide. Simply put, we can’t touch coral reefs, feed fish, use sunscreen, etc., in order to protect the people here. Ecology and fish, and then go out to sea on a c …"
Charmaine Castillo,5 stars,4 years ago,Life underwater ❤️❤️❤️
joo yeon lee,4 stars,4 years ago,N/A
Rolly Fernandez,3 stars,4 years ago,N/A
