review_user,review_rate,review_time,review_text
abeh reyes,5 stars,22 hours ago,N/A
dexter Ebina,5 stars,a day ago,♥️
Avrailah Torralba,5 stars,2 days ago,N/A
Sanny N A.,4 stars,3 days ago,Nice placed to gather with friend also good for activities.
Junrey Lidres,4 stars,4 days ago,N/A
Kent Cerna,5 stars,4 days ago,N/A
Dondon Alvarez,5 stars,5 days ago,N/A
Donna Abigail Alcomendras,5 stars,a week ago,very nostalgic
Warren Delarosa,5 stars,a week ago,N/A
Lorabelle Montero Jimeno,5 stars,a week ago,This place now is clean and good for runners  as well.
Jenelyn Dumalag,5 stars,a week ago,N/A
Manuel Villanueva,5 stars,a week ago,N/A
Maria Estephan Emo,4 stars,a week ago,N/A
Anabel Amorado,5 stars,a week ago,N/A
Alec Alontaga,5 stars,a week ago,N/A
Mae Tarosa,5 stars,a week ago,Educational and fun 😊 …
Gin Inaba,4 stars,2 weeks ago,N/A
Amabelle Silawan,3 stars,2 weeks ago,N/A
Johnalyn Masayon,5 stars,2 weeks ago,N/A
Dian M. Noval,5 stars,2 weeks ago,Plaze independencia soo nice the view and also their plants very green
Cyrel Galleon,5 stars,2 weeks ago,Memorable
Ariane Mae,5 stars,2 weeks ago,N/A
Fevie Balanquit,4 stars,3 weeks ago,N/A
Edril Padayhag,5 stars,3 weeks ago,dating without spending..
cebu genuine cellphone repair #Phukartonboard,5 stars,3 weeks ago,N/A
Maria sabina Kho,5 stars,3 weeks ago,N/A
Josephus Jr. Barriga,5 stars,3 weeks ago,N/A
ACM,4 stars,3 weeks ago,Wide open area for recreation situated near the historical downtown of cebu and is near other historical landmarks in the area. Suitable place for anyone loooking for a place to slow down in a busy city. Place can still be improved by a lot of measure in multiple areas.
Marivic Tañajura,5 stars,3 weeks ago,N/A
Rey Sagarino,3 stars,4 weeks ago,N/A
Annie Tayoba,5 stars,4 weeks ago,N/A
Allan Ebarle,5 stars,4 weeks ago,Clean and historical
Edgar Rivera,3 stars,4 weeks ago,N/A
Joehara PANARA-AG,5 stars,a month ago,N/A
Anne ubas,5 stars,a month ago,N/A
anna liza ragas,5 stars,a month ago,clean and peaceful
Henry Choy Rojero (Choy),5 stars,a month ago,I've been here before :- …
Carmeli Diaz,4 stars,a month ago,N/A
Alexis Keith,5 stars,a month ago,Good place.
raymund lumantao,5 stars,a month ago,It's grea …
Joseph Lint Ignacio,4 stars,a month ago,A great place to discover a part of Phillipines' history and culture.
