review_user,review_rate,review_time,review_text
Joyce Mae Mulo,3 stars,5 months ago,"The place is nice, but it lacks charging area. Water bottles aren't allowed and that makes it more annoying because if you want to drink water, you need to go back to the baggage area to get some water. But overall it's nice and cold so you might want to bring jacket or so. For now, I'll rate it 3 stars."
Ron Joel Bernel,5 stars,4 months ago,"Definitely a good place to study, especially those who are preparing for the board exams. Bring your jackets 'cos it really gets cold inside."
Moses Mari Lacierda,5 stars,a year ago,Lovely American-Era architecture. The Library is just below the Cebu Provincial Museum. It is a very good place to read books about the history of Cebu and the Visayas in general. A must-see is their collection of Filipiniana books. Lovely. And it is fully airconditioned too.
Ivy Lubiano,5 stars,3 months ago,Been a fan since high school
Mary Grace Paragsa,5 stars,6 months ago,A place where in we can focus on our studies. A place where students and non-students have the freedom to mind their own businesses without anyone's judgement. The people inside serves hospitality and respect.🥰🥰🥰 …
Jing de Egurrola,4 stars,4 years ago,The best library in Cebu. Being open 24 hours might make it as one of the best in the country.
Kenneth “Kuya Ken” Rivera,5 stars,5 years ago,"Cebu City's Public Library named after the Philippines' National Hero, Dr. Jose P. Rizal. …"
rodney cook,3 stars,6 years ago,"This was a decent, small museum with a great Staff to answer questions. It's also free."
Julimar Trinidad,5 stars,8 months ago,"Rizal Memorial Library and Museum is a three-story, pre-war, neoclassical heritage site and landmark in Cebu City, Philippines. Dedicated to the national hero, Jose P. Rizal, it was designed by Filipino architect Juan M. Arellano, who also …"
Kristal Liza,5 stars,5 years ago,The library has undergone a lot of improvements in recent years thanks to the efforts of concerned citizens who have taken up its cause. It's great that it's now open for 24 hours so students and even professionals can drop by to enjoy the quiet while studying or preparing for activities.
midnight blue,4 stars,6 years ago,Beautiful building with a neoclassical design. A must visit for every tourist in Cebu.
Miraflor Saldua,5 stars,5 years ago,The library is open 24/7.
Marian Minosa,5 stars,9 months ago,Great place to study. But I hope they can extend their service hours to the public.
Mikee Ryza Yu,4 stars,5 years ago,"This is a great free place for studying, doing your homework, or other educational purposes :) instead of going to cafés having this public library is really a decent place to replace em 200php coffees. They also have old books there for …"
Mica Shane Colina,5 stars,5 years ago,"This is the first library in the Philippines to be open 24 hours. Students may stay here to study, research, and read books. There is also a Children's corner where they can read fun books. Also, the library conduct story tellings for the …"
Katrina B,4 stars,5 years ago,I just walked in the library and in my opinion this is one of those busy libraries where students really make use of the resources. They have a painting on the wall where a 'mi ultimo adios' is written in Cebuano. There's also free drinking …
Ruby Salutan,2 stars,5 years ago,"Newly refurbished grand hall. A very historical place.  Very nice classical look, with ballroom that has a capacity of maybe about 300 pax.  The bathroom facilities are horrendous though  and the place has no elevators.  Parking is very limited inside the grounds and parking fees are very expensive in the areas around."
Ianne Velasco,4 stars,5 years ago,"Good for studying. Can't bring your bag with you on the table, though. And no lockers. Def need improvment, but its in progress. So its cool and free."
zZzZZzz,3 stars,3 years ago,"Great place to study! But the AC is too hot since I started coming to the library, for 5 months now."
Mexican Moustache,5 stars,4 years ago,The library staff are very accomodating and the library is well air-conditioned you could really focus on studying or reading.
Dummy Philosopher,5 stars,4 years ago,Good place to study/work in. Staff members are friendly and accommodating. It just needs a little more space.
Herbert Kikoy,5 stars,6 years ago,The best place in Cebu to find rare and very interesting books
Aurelio Maria Rodriguez,3 stars,5 years ago,The Rizal Library has a great potential to become a real cultural destination not only for tourist but also for the locals. At the moment it is not that and a bit unmaintained well.
Katherine Cometa,1 star,5 years ago,Tables are placed really close to each other. No centralized airconditioner. Has a dress code.
Mely Irabs,5 stars,4 years ago,Great place to study. They're now 24 hours open and with free wifi.
Rowena Getutua,5 stars,5 years ago,"Though the space is small, you can find several bestsellers amd classics here. There are also very helpful reference materials here especially the Filipiniana section."
Kathryn Jinn Briones,5 stars,4 years ago,It's open 24/7 and provides a relaxed and quiet environment for people to study or research.
Ric Dee,5 stars,2 years ago,Oct 2020 - Beautiful Building.   Was closed on the day we walked by!  Next trip!  (Feb 21)
Jo Riza Pearl Gonzaga,4 stars,5 years ago,too crowded. not updated books. but provides basic library space for studying.
Carl Bontilao,5 stars,4 years ago,24 hrs service with free wifi easy accessible good for students
KJ,5 stars,5 years ago,Really beautiful architecture
Michael Carreon,5 stars,4 years ago,Great place to study anf is open 24-7. Awesome!
Myles Defuntorum,5 stars,5 years ago,Lots of books for reference doing my thesis best place to do research and study for the board exam
Aira Arreglado,5 stars,4 years ago,A great place for those students who wants a quiet place to study.
Rome Nicolas,4 stars,5 years ago,"This building is now always open to serve its patrons. Slippers, shorts and sando shirts are not allowed."
Emma Lauglaug (Emma May),5 stars,4 years ago,Great place for studying. The place was clean and the people are approachable.
Chisom Jenny,5 stars,a month ago,AMAZING
Lady In Z,1 star,5 years ago,The staffs are the one who are noisy especially if there are only few people researching and studying.
Alec John Briones,3 stars,5 years ago,Great acoustics although the place has to be renovated.
Cydel Guinita,4 stars,4 years ago,"No entrance Fee and Free Wifi.
24/7 operation and Air-conditioned"
Albert Gian Carl I. Navarro,5 stars,5 years ago,It's the Philippine's FIRST public library operating 24/7.
edelyn pocson,4 stars,4 years ago,"I feel the momentum of my study in this place, organized and improving."
Weebong,4 stars,5 years ago,I appreciate they hold special events to highlight local talents.
Charieline Jate Hortado,5 stars,5 years ago,Good for research and study. Just wow! Open 24/7
Leandro banzon jr.,3 stars,5 years ago,Good hospitality librarian n other employees..
Louidth Lloyd Galenzoga,4 stars,2 years ago,So nice place
Sunday Lidres Caballero,5 stars,4 years ago,This is an excellent place for solo and group study.
Angelou Jane Quirante,5 stars,4 years ago,It is a public library that opens 24 hours.
Cebu Balloons,5 stars,7 years ago,"Big function room, perfect for parties"
Aiswarya Ajith Kumar,5 stars,4 years ago,Peaceful and clam area to study and research
Gretchen Sulad,5 stars,4 years ago,Once visited it to look for Philippine literature books
Raymund Guinto,5 stars,a year ago,"Historical place, it needs a facelift."
Samith Chathuranga Perera,5 stars,5 years ago,"Learn more about the Cebu and it's culture, tourism and many more"
Deode Wynne Cases,4 stars,5 years ago,It's a place where people from all courses study
Dianice Jane Cagasan,4 stars,5 years ago,Better if the books are updated.
Rhona Banez,5 stars,3 years ago,Best place to study.
Mario Maur,3 stars,4 years ago,Almost full of students every night
Edgar Ian Homedia,5 stars,4 years ago,Best 24hrs library.
Mere Hell,5 stars,4 years ago,The best library. Ever..
Francis Duran,4 stars,5 years ago,"GOOD , and a place for peace and quiet"
구르믈버서난달 (gooday2day),2 stars,6 years ago,"good for the locals maybe, meaningless for the travellers."
Pulse Up,4 stars,a year ago,4 stars
Naveenkumar Sengottaiyan,5 stars,5 years ago,Good place to study
Carmela Busico,5 stars,4 years ago,A good choice of library
JeMaR Rivera,5 stars,4 years ago,Nice!
Steven Evans,4 stars,3 years ago,Study hall.
DOHA QATAR,5 stars,a year ago,Nice monument
Sophia Belle,5 stars,5 years ago,Good !
Christopher Papas (CHASING),4 stars,4 years ago,Good place
JN. Vianney Dagandan,5 stars,5 years ago,Accessible
Jerryl Gonzales,5 stars,7 months ago,N/A
DR. CH.N.S.Naveen,5 stars,5 years ago,N/A
Lonie Ramos,5 stars,4 years ago,N/A
Rick C137,1 star,5 years ago,N/A
John Guaren,5 stars,9 months ago,N/A
Shennah Lou Casio,4 stars,5 years ago,N/A
Johnjay Pojas,4 stars,4 years ago,N/A
Mae Mdll,5 stars,5 years ago,N/A
Jeffrey Lenizo,4 stars,3 years ago,N/A
RS Ares,5 stars,a year ago,N/A
Noehven Javierto Salmeron,4 stars,5 years ago,N/A
Bam Bam,5 stars,3 years ago,N/A
Neriah BJ Ato,5 stars,5 years ago,N/A
Bryan Vincent Agbisit,5 stars,3 years ago,N/A
Ma Justine Araquil,5 stars,4 years ago,N/A
Louella Andico,5 stars,5 years ago,N/A
Geafered Fernandez,4 stars,4 years ago,N/A
Jancie Marie Gallego,5 stars,4 years ago,N/A
Meije Hope Taboada,5 stars,5 years ago,N/A
Desiree V.Calinog,4 stars,4 years ago,N/A
ANJENETTE TRAZONA,5 stars,3 months ago,N/A
Dexter Tanzo,5 stars,6 months ago,N/A
Joshua Ogoc,4 stars,4 years ago,N/A
jonas coneta,5 stars,5 years ago,N/A
Alvin Patigayon,4 stars,6 months ago,N/A
Jeve Villaver,5 stars,5 years ago,N/A
Wex Payne,5 stars,2 years ago,N/A
Danica Omayan,4 stars,5 years ago,N/A
Jeffry Burdeos,5 stars,3 years ago,N/A
Rex John (RJ),4 stars,4 years ago,N/A
Maric solon,4 stars,6 years ago,N/A
Kaiser Ed Bayawa,3 stars,4 years ago,N/A
Sophia Gayoso,5 stars,a year ago,N/A
Archie Mercader,5 stars,5 years ago,N/A
Miriam Mae Catadman,4 stars,5 years ago,N/A
Genesis Gabales,4 stars,5 years ago,N/A
Lisa Mae Desuacido,4 stars,5 years ago,N/A
Michelle Sanjorjo,5 stars,5 years ago,N/A
Mark Marius Mopon,4 stars,4 years ago,N/A
Fabs Valenzuela,4 stars,5 years ago,N/A
Marcializa Andrino,5 stars,4 years ago,N/A
Omniah Obinay,3 stars,4 years ago,N/A
Chierail Raeleyme Fajardo,4 stars,5 years ago,N/A
Ralph Flores,4 stars,4 years ago,N/A
Allan Cruz,5 stars,5 years ago,N/A
Hendrix “Artisttidbits”,5 stars,4 years ago,N/A
Karlizle Aubree Tumanda,5 stars,5 months ago,N/A
Gile Ferdz,4 stars,5 years ago,N/A
Z White,3 stars,4 years ago,N/A
Gabriel Llorca,4 stars,4 years ago,N/A
Isa Stephanie Lagahit,3 stars,4 years ago,N/A
Judi Ann Magsacay,5 stars,3 years ago,N/A
Kai Zen,3 stars,5 years ago,N/A
Travelicious Tours Services,3 stars,6 years ago,N/A
Mary Faith Gungob,5 stars,4 years ago,N/A
Alvin Guadiz,4 stars,4 years ago,N/A
Angelie “GieYie” Maña,5 stars,11 months ago,N/A
Ana Delia Pauline Felicisimo,5 stars,5 months ago,N/A
Elle Diez,5 stars,5 years ago,N/A
Gem Elaine,4 stars,4 years ago,N/A
Jetaley Mojar,5 stars,3 years ago,N/A
Jam Bridgette,4 stars,5 months ago,N/A
V V,5 stars,4 years ago,N/A
ian ace escoton,5 stars,5 years ago,N/A
Angelika Alcantara,3 stars,5 years ago,N/A
Razil Gempisao,5 stars,5 years ago,N/A
alex bacalla,3 stars,6 years ago,N/A
Raven II,4 stars,5 years ago,N/A
Vitexculie Lumactod,5 stars,5 years ago,N/A
nash yap,5 stars,5 years ago,N/A
Luna Moon ANIME LOVER,4 stars,4 years ago,N/A
