review_user,review_rate,review_time,review_text
ChupaChups Mondragon,5 stars,2 days ago,N/A
Justin Gabriel Ybañez,5 stars,5 days ago,It was nice & good for cardio when climbing the stairs 😂 & ramen was great …
stefany ansay,2 stars,6 days ago,N/A
SUNSHINE R. CAHIGAS,5 stars,6 days ago,They're still in the process of renovation but the place is wonderful
Jelou Sotto,5 stars,6 days ago,N/A
羅子善,5 stars,a week ago,N/A
Heena ramani,3 stars,a week ago,"Good place. Good food (limited option)
Nice view from the  parking area
No restroom down. Only on top, and there are many stairs  difficult  for senior citizens"
張張,5 stars,2 weeks ago,N/A
Humphrey Singculan,5 stars,2 weeks ago,The night view is unexpectedly good
Piet Emmen,4 stars,2 weeks ago,N/A
Jansen Eda,5 stars,2 weeks ago,"It's so awesome to experience that we are the Philippines but can experience a little bit of Japanese culture thanks to Little Kyoto in Cebu. I really had fun in there together with my Wife, our baby and my Mom. Will recommend including Little Kyoto to your itenerary. I wanna go back here someday."
Pro Shadow Gaming,5 stars,2 weeks ago,N/A
Noriselle Savare,5 stars,2 weeks ago,Far but nice place 😍
Kristine Mae B,5 stars,2 weeks ago,It's a few minutes away from Temple of Leah so don't miss the chance to visit Little Kyoto in Cebu! More than a hundred steps to reach the top but it's worth it!
Mhel Franko Vincci II Netherward,4 stars,3 weeks ago,"⭐⭐⭐⭐⭐

Sachiko's Little Kyoto is an absolute gem that brings the beauty and charm of …"
Christy Ocariza,5 stars,3 weeks ago,The place is well maintained. There are a lot of areas to take photos with. The staffs are very friendly.
Ang Col,5 stars,3 weeks ago,N/A
Honymie Nob,4 stars,3 weeks ago,N/A
Steven Henslee,5 stars,a month ago,"Great place to see, roads a little rough but absolutely worth the trip"
Kevin Lowell Bolon Aninang (Arjay),4 stars,a month ago,N/A
Jel Mar,5 stars,a month ago,The place is so cute. I would just want to sit and just chill with the great scenery.
Marygrace Sinahonon-Milan,5 stars,a month ago,N/A
Joehara PANARA-AG,5 stars,a month ago,Everything is great and felt nostalgic. I thought of Ghibli during my visit. Highly recommended!
Malachi Jones Uy (McKai),2 stars,a month ago,N/A
Lord Jasper Navato,5 stars,a month ago,Breathtaking scenery and it makes you feel like you’re not in the Philippines
Dirk Reitze,4 stars,a month ago,"At an altitude of 600 meters lies Little Kyoto. In particular, the last kilometer after the main road is quite exhausting for older cars, in any case very narrow and bumpy. The Filipino family enjoyed themselves very much. For a somewhat  …"
Danilo Jr Davila,3 stars,a month ago,"Going there is narrow and a bit steep. Needs some manuevering if there is incoming car up ahead. Place is ok, good for pictorials with some back drop. But I prefer and very much like the mountain view when you walk up the stairs. NOTE: There is going to be some stairs, a little bit of stretching may help. :-)"
I'm Cathy,5 stars,a month ago,N/A
Francis Carl Angelo Bentoy,5 stars,a month ago,"One word: Beautiful!

The staffs were so nice to me especially the girl where you pay for the entrance …"
Alibasher Macalnas,4 stars,a month ago,"It was a nice experience visiting the place. The rental for Kimono, as of this writing, is 150 pesos per hour and a 200 pesos deposit that you can claim after returning the rented kimono."
Justine Krystyl Iñido,4 stars,a month ago,N/A
Dandoy Jonathan,4 stars,a month ago,N/A
Jonalyn Martinez,5 stars,a month ago,"Maganda talaga ang place.😊😄
The designs are well-made and crafted.😊💯 …"
lixen law,4 stars,a month ago,nice place to visit
Iceal Estrada,4 stars,a month ago,"Small but Real Japanese ambience only in Cebu!!!
You can rent the Japanese attire you want and accommodating staff who I even requested for a shout out over my team. A bit awkward but he was game! …"
Jo Sutia,5 stars,2 months ago,"Excellent view. You can find japanese themed gates, egg, gods, characters and meals"
Onin Laden,5 stars,2 months ago,N/A
Jose Marie Ignatius Poncion,5 stars,2 months ago,Loved the place
Journey,4 stars,2 months ago,N/A
Steven Ong,3 stars,2 months ago,N/A
Maria,5 stars,2 months ago,Included on the cebu city tour this place has stunning views!
James Adams,5 stars,2 months ago,Very beautiful great flowers and scenery
Nelson Cobrado,1 star,2 months ago,Yes miralyn paglinging whire
Candilou Sarsaba,4 stars,2 months ago,N/A
Michael Maga-ao,5 stars,2 months ago,"Despite initial concerns about the bad weather and road conditions, our curiosity triumphed, and we ventured to Sachiko's Little Kyoto using Waze. The final kilometer of the road, which ascended a steep hill, proved to be narrow, but we …"
Clarks Escapade TV,5 stars,2 months ago,N/A
ZESELY OZARRAGA,4 stars,2 months ago,"not crowded, frest air..."
Rio de la Cruz,5 stars,2 months ago,N/A
flynn Dee,5 stars,2 months ago,N/A
Jeralyn Suson,5 stars,2 months ago,The place is beautiful it makes you feel that you're really in Japan and you can rent a Japanese costume which is kimono👘 also the foods are delicious. But the road going there is a little difficult. But still nice when you arrive there cuz they have a big parking space👍😊 …
Jeralyn Suson,5 stars,2 months ago,"It was a good experience  when we went there, Cuz it makes you feel that you're really in Japan and the foods are delicious also you can rent a Japanese costume which is the kimono (👘) ..though the road going there is a little difficult. But still it's nice when you already arrive👍 …"
mark coligado,4 stars,2 months ago,N/A
Bhern Phillip Abalorio,5 stars,2 months ago,N/A
Flora Mae Diaz,5 stars,2 months ago,N/A
Cherish Buen Mosuela,5 stars,3 months ago,N/A
YS LEE.,4 stars,3 months ago,"It's a little smaller than Sirao Garden, but it feels better maintained and the facilities are clean. You can easily buy somethin …"
christopher campos,5 stars,3 months ago,relaxing place
Antoinette Penales,4 stars,3 months ago,A good place to visit in cebu. You must come while there is still light. Nice scenery.
jessa ebesa,5 stars,3 months ago,N/A
Harry Monleon,3 stars,3 months ago,Going there via Temple of Leah but there is also a short cut in going there if you came from Sirao Flower Gardens only the road leading the destination is narrow just drive slowly and safely. …
vard k,4 stars,3 months ago,free parking with Php100 entrance fee. Nothing to see there except for some one piece statues and mini tori on the stairs. price of food is affordable.
Archie's Humanitarian Vlogs,3 stars,3 months ago,N/A
Kalandrakas TV,4 stars,3 months ago,N/A
Gem L.,5 stars,3 months ago,N/A
Cody Jorgensen,5 stars,3 months ago,Eljie is amazing!
Chen Tiu Chua,5 stars,3 months ago,N/A
teddy ticar,5 stars,3 months ago,N/A
Mohamed Mostafa,2 stars,3 months ago,Need more attention and more guide line in the road
Merjure Hagupar,5 stars,3 months ago,Nice places
Clifford Liloan,3 stars,3 months ago,N/A
Nnylj G,5 stars,3 months ago,N/A
Angie Buendia (Angel),4 stars,3 months ago,Very nice staff always greets the guest when entering inside
Agdoron Gemaildotcom,5 stars,3 months ago,"Nice attraction to visit, not crowded, place is not easily assessable (need to drive all the way up a mountain). Do rent a Kimono before staring trail for photos. Food/drinks decent."
Kael Ganzon,4 stars,4 months ago,"It is a nice place to visit (especially for tourists). The only con/s for this t. spot is the road going to the place, a little bit of rough road."
Letlet Valdez,4 stars,4 months ago,its cute..
Helen Korh,4 stars,4 months ago,"Nice place, nice little place. Where you can try on a yukata, buy yourself a Japanese umbrella or mask as a souvenir. But it needs a little renovation."
Daniel Neather,1 star,4 months ago,"Overated tourist trap, nothing special. Built purely for taking photos to be shared on social media. About as Japanese as a roast dinner."
Michael Amaleona,5 stars,4 months ago,Love this place 🤩 …
sambong Ryu,5 stars,4 months ago,Great View there.
ЯR B,4 stars,4 months ago,"Dropby at night, has portion of rough road going up, but has ample parking and great view above."
Bon Magbojos,4 stars,4 months ago,N/A
Ivete Azevedo,4 stars,4 months ago,People very nice will receive you!
KM Ilustrisimo,4 stars,4 months ago,N/A
Arvin Palma,2 stars,4 months ago,"Um, ok, it's worth it if I go there."
David Rumptz,3 stars,4 months ago,It was ok. It's a bit small but looks n8ce
Kyrene Himaya,5 stars,4 months ago,N/A
Danica Mondejar,5 stars,5 months ago,Yummy ramen good ambience 👌 …
Sparks Fabros,4 stars,5 months ago,N/A
Luke Lerin,3 stars,5 months ago,N/A
Malenie Ybanez,3 stars,5 months ago,N/A
