review_user,review_rate,review_time,review_text
RIZALIE ACABAL,5 stars,4 days ago,This the great place to take a break when ur stress
Chris Lodovice,5 stars,a week ago,"Visited this place from lapulapu
It was just a 15 min ride by jeep
Around trip …"
Eric GIRARDET,4 stars,2 weeks ago,"The mangrove is nice although a lot of plastic, it's a shame. The snorkeling is not bad, but unfortunately, dozens of boats have just put on the reef and launched their horrible jet-skis towing Koreans thoroughly on buoys in 40cm of water  …"
美团生活超市,5 stars,3 weeks ago,You can choose the 80p item and only browse th …
Sikkir Dionson,5 stars,4 weeks ago,N/A
Hun-Mook Lee,4 stars,a month ago,"It's my first time in Cebu and I came alone.
It is a 10-night, 11-day itinerary …"
Carmel Jean,4 stars,a month ago,Lovers of nature and a thalassophile person will find this place a breathtaking view!!!
Dennis B,4 stars,2 months ago,N/A
ppseric,4 stars,2 months ago,Tickets and parking fees are charged. If …
gigi teh,3 stars,2 months ago,7 minute walk on pontoon. be prepare to walk. bring hat or umbrella.
Maria Judia Minoza,5 stars,2 months ago,Went here July few months after the typhoon Odette. The bridge going to the cottages were still damage and cottages are totally ruined but still accessible by boat.
Raya Su (Maestrang Laagan),5 stars,2 months ago,"- not so crowded knowing it was a weekend
- crystal clear water (enjoy swimming with fishes around for 80pesos only)
- seafoods are also available"
Jonghee Chun,5 stars,3 months ago,N/A
adrian mapute,5 stars,3 months ago,N/A
Ivan Kim,5 stars,4 months ago,"Both lovers of nature and those looking for adventure will find San Vicente Marine Sanctuary in Olanggo, Cebu, to be a breathtaking and inspiring site. The sanctuary, one of the most popular tourist destinations in the area, is home to a …"
꽃시미니,4 stars,4 months ago,N/A
jame bruss ongue,5 stars,4 months ago,N/A
Mk,3 stars,4 months ago,"Haha It's worth a visit, but t …"
rosebelle65,5 stars,5 months ago,The place is now familiar including the people.  Catered food was phenomenal Filipino menu.  But has to be ordered in advance. …
오제라,5 stars,6 months ago,take bre …
Tricia,5 stars,6 months ago,"Very cool boardwalk and mangroves.
Menu of prices depending on if you want to swim or take a boat ect.
The kayaking + fish feeding was very fun and our guides Pinocchio was fantastic."
Marius Hofgaard,1 star,7 months ago,"Probably a nice place, but the entrance guard is dishonest. Make sure you pay according to the sign"
이건호,2 stars,8 months ago,"It was damaged a lot by the typhoon in December 2021, but it …"
Nikos Spanoudakis,3 stars,8 months ago,N/A
Patrick Jones,5 stars,8 months ago,"Was a great time, first taste of urchin, oysters, and conch."
Nedilyn Hermoso,5 stars,8 months ago,N/A
rey labra,4 stars,11 months ago,N/A
mernilo arnaiz,4 stars,11 months ago,N/A
Aldie A (A1dieeeee),4 stars,a year ago,N/A
Wesley Chung (小衛),5 stars,a year ago,#SanVicenteMarineSanctuary #SanVicent …
louwill vergara,2 stars,a year ago,N/A
Karisa Laquinta,4 stars,a year ago,N/A
Mae Mdll,4 stars,a year ago,N/A
Jyl Esmeralda,5 stars,a year ago,"I really like the mangrove tree along with the shaky boardwalk. You'll see school of fish in the water and you can freely feed them if you have some fish crackers. The entrance fee is not that pricey, and if you love to go on adventures inland, they offer bicycle for rent. Highly recommend this for vacation. Greaaat! 💓 …"
Mona Lisa Mosqueda,5 stars,a year ago,🤙🏻 …
Ruby Castillo,5 stars,a year ago,N/A
Shean Ann Seno,5 stars,a year ago,nice view
Recto James Muñez,5 stars,2 years ago,N/A
N2NGtv,5 stars,2 years ago,"Wow! amazing experience 😍👏👌nice for bonding family, friends, …"
Moses Mari Lacierda,4 stars,2 years ago,A place to go for nature tripping through a mangrove forest path. There's a  hangout platform wherein you can have some drinks and do some fish feeding.
Mark Marshall Patigdas,5 stars,2 years ago,Great place
Bruz,4 stars,2 years ago,N/A
jerry tan,5 stars,2 years ago,Amazing experience..good for family and friends bonding.
Cristine Narvasa,1 star,2 years ago,the old guy in the reception area is very rude.
Christian Jed Ando,1 star,2 years ago,Rude staff
Cris Thadeo Cortes (Tadz),5 stars,2 years ago,"Nice place to visit
Has 80 entrance fee and 100 environmental feel"
Al Jay Mejos,5 stars,2 years ago,Very nice place. I will be back here soon.
Liem Mae Tangaro,5 stars,2 years ago,N/A
Michelle Delgado,5 stars,2 years ago,N/A
Mary Jane Pamaong,5 stars,2 years ago,N/A
Vince Mendoza,4 stars,2 years ago,N/A
Jennifer Baldon,5 stars,2 years ago,N/A
ZeeBee CDO,5 stars,2 years ago,Best place to relax and swim with the fish
Patricia Paculanang,4 stars,2 years ago,N/A
Nikki Tumulak,5 stars,2 years ago,N/A
Jade O. Alibong,5 stars,2 years ago,N/A
Kid Wanderer,5 stars,2 years ago,great place to have fun and adventure! a must to go place in Olango!
Drëin Gomèz,4 stars,2 years ago,"Perfect place for sight seeing, boardwalking, fish feeding, and swimming  with few friends on weekends or even on week days."
Leo Celes,5 stars,2 years ago,N/A
kevin soriano,5 stars,2 years ago,"Noice place,"
caz langkoy,4 stars,2 years ago,There are …
Allvin Yosores,5 stars,2 years ago,i love the place because it's so peaceful and i think it's safe there and the water is so clear..... the location itself is so beautiful
Joseph Dioque Laurito (JD),5 stars,2 years ago,Very nice
Irene Amaro,2 stars,2 years ago,"Been there 2 times  ,first i like it alot the receptionist is good (guy ) verry friendly and Place is great.
second time receptionist in the area supper slow and the way she answer the …"
alberto cabag jr.,5 stars,3 years ago,"Alone when I visited it and I simply behold the silence and the beauty of the place. It truly gives me that ""wooah"" experience. For melancholics and those whose been fighting for ecological conversion, this is a must place to visit"
BRK Straight,4 stars,3 years ago,Must have visitors limit. Expensive
Nana Nanette,5 stars,3 years ago,N/A
JINS,4 stars,3 years ago,It is a quiet and good place to snorkel with your family …
권상정,5 stars,3 years ago,N/A
Honey Gin,5 stars,3 years ago,N/A
김봉수리,5 stars,3 years ago,It's a beautiful plac …
Mary Paulin Tacoloy,5 stars,3 years ago,N/A
MASAKO IMOTO,5 stars,3 years ago,Have an active day
Herman Fung,4 stars,3 years ago,N/A
Christopher Betaganso,3 stars,3 years ago,N/A
Loilla Bendulo,5 stars,3 years ago,N/A
