review_user,review_rate,review_time,review_text
Simon Li,4 stars,a week ago,"I was mostly satisfied with my experience. The dive master was great and took a lot of cool videos of me and even left me with some cool videos of things I completely missed. With that being said, my regulator had some problems and kept …"
Juliette,5 stars,a month ago,"Unforgettable experience. How lucky to be initiated by Cédric. Patience, kindness, passion…. Exceptional dives, including the particularly impressive first: thresher shark hunting in the sardine bank! Cédric shares his passion for the mar …"
shahar tabachnik,5 stars,2 months ago,we did our deep dive certification and it was amazing mario the owner is really nice and he helped us alot 10/10 would recommend
Martin Amour,5 stars,2 months ago,I went through my Open Water course with a friend and we had an amazing time! The people are very friendly and welcoming and will take you through every step at your speed in order to get you to enjoy as much as possible! Also the spots are …
Uwe Sandner,5 stars,2 months ago,"Nice atmosphere, uncomplicated, no frills"
Mathilde Calloch,5 stars,2 months ago,Great dives with Cyril who is passionate about macro! Diving with sardines as well as on the coast of Moalboal and Pescador Island. Nice reefs and some nice turtles.
Twan Houwers,5 stars,2 months ago,"Great well maintained equipment, friendly staff and a nice shop. Took the boat two times with Rudy, which was great! Saw some massive turtle and eagle ray."
Sacre Valentin,5 stars,3 months ago,"Guide at the top! Advanced spent with Cédric, passionate, kind, nice and always in a good mood I recommend x10000
Thanks again !"
Simon Schäffer,5 stars,3 months ago,I picked SeaQuest for my PADI Open Water diving certificate and had Cédric as my instructor. He explained everything very carefully and showed us amazing animals during the dives! Thank you very much again for all the support! I would 100% choose SeaQuest/Cédric for diving again :)
Quentin Steinmetz,5 stars,3 months ago,"We spent our Open Water with my wife, it was a wonderful experience with Cédric, who really took us into his world, who shared his passion with us. During your various outings, Cédric takes photos of all the specimens encountered during …"
Qiongqiong Wang,5 stars,3 months ago,I took my AOW course with Dennis.I enjoyed very much the 5 dives in two days. Dennis’ instructions were very clear and supportive in the whole course. He is very friendly and relaxing person too which was helpful in my case coz I am not …
mathieu binisti,5 stars,3 months ago,Amazing experience with Cédric for my PADI ! He is a very friendly and helpful instructor. He took so many photos and videos (excellent quality) during our dives and share them by email. …
Basil Paulose,4 stars,4 months ago,Took us to some great reefs and achieved padi open water in 3 days. You can see some stunning things such as swimming through the sardine ball and see giant turtles just of the coast
margot leymarie,5 stars,4 months ago,"Great times spent at Seaquest. Cédric was able to put me in confidence and overcome my phobia, so I was able to do open water in complete safety. Passionate about the seabed, Cédric takes the time to introduce us to many species.
The s …"
Michel FARAH,5 stars,4 months ago,"Great dive center, welcoming and helpful staff! Beautiful reefs close to the beach and boat diving at the top! Good general atmosphere, special mention to Cédric 😁. Thanks to the whole team!"
Kirsty Doogan,5 stars,4 months ago,"Did my open water diving course here with Cedric and can’t thank him enough. The best experience!! He is patient and knowledgeable and took time to help me learn about the different sea life we discovered. I hope to go back and do my advanced course with SeaQuest, very friendly staff and good equipment."
Mylene Chaintreuil,5 stars,5 months ago,Very good experience with Cédric our diving instructor for the PADI open water. He was able to put us at ease and reassure us. Cédric is a passionate person who can teach you a lot about marine life by debriefing on the photos of the species encountered Thank you for everything.
ace wiccanprince,5 stars,5 months ago,N/A
Levi Kieft,5 stars,6 months ago,"Went here to get my PADI open water, found an instructor immediately and had my degree a few days later."
sebastian m,3 stars,6 months ago,"I went here for my first sea dive after getting my license in Europe.
Hope the following info helps, if you are also new to diving. …"
Rubén SANCHEZ,5 stars,6 months ago,We had the opportunity to take the Padi open water and advanced at seaquest with Cedric and it was one of the best experiences in our lives! …
Matthew Weaver,3 stars,6 months ago,"Equipment all ok but dive experience could be improved. Dive instructor seeming to prioritise his photo taking rather than guiding, he'd take a photo for a while then swim off without showing us what he was looking at. unnecessarily close …"
Daniel Utrera,5 stars,6 months ago,I did the discover diving activity. Enjoyable place with very good instructors. Very precised and you will feel comfortable and safe trying divíng for first time. I recommend it
Adam Gorczyński,5 stars,8 months ago,"We had two great dives with these guys. They were friendly, the equipment well maintained, and the price fair. Pescador Island was a typical wall dive, with a nice cave to explore, a good 4/5 dive. The sardine rush dive, however, was an …"
Victoria Tomkowicz,5 stars,8 months ago,"Beautiful Dives, good attentive instructors, all in all a well equipped dive shop with very nice gear. Would dive here again. For the price they offer and the hospitality of the owners 5/5 definitely recommend."
Denis Demianov,1 star,10 months ago,"We booked diving with sardines.
While diving we saw nothing special including sardines.
In the end of the diving we asked about sardines. Instructor sad there were no sardines."
Heken Yarman,5 stars,a year ago,"Great PADI open water course, very relaxed atmosphere, 1 to 1 teaching for same price"
vasikaran,5 stars,2 years ago,Seaquest one of my fav places to visit  .
Lucy Pringle,5 stars,3 years ago,Great dive shop for diving the sardine run off of the beach (P1300 Feb 2020) or boat diving (P1700 Feb 2020). We did two boat dives - first at Pescador Island to go through the Cathedral Cave natural tunnel and second at Copton Point to see …
Mark,5 stars,3 years ago,N/A
James,5 stars,3 years ago,Great dive shop. Rudy is an excellent dive master and very friendly. Diving with the sardines was an incredible experience. Thank you! :)
Nick M,4 stars,4 years ago,N/A
Alexandra Kroeb,5 stars,4 years ago,Padi diving course in different languages ​​possible. Has its own swimming pool for diving instruction. Friendly and helpful staff.
LIN HIKO,5 stars,5 years ago,"Highly recommended. Guides are very funny, friendly, and enthusiastically search interesting, tiny things for divers. And reasonable price in Moalboal."
Moritz Wolf,5 stars,5 years ago,"Even though there are a lot of Bad reviews, i cant agree to any of them! (Most of them are at least a year old anyway) The Staff was super Friendly, the Groups were small, and even when i was the only Person Diving, the Guides were looking …"
kazu,5 stars,5 years ago,N/A
Flori an,5 stars,5 years ago,N/A
Ambre Crocis,4 stars,5 years ago,"Nice staff, equipment is ok. Explanations are good and the youngest instructor takes really  nice pictures :)"
