review_user,review_rate,review_time,review_text
jose emileo pada,4 stars,7 hours ago,Nice place
Richard T,4 stars,12 hours ago,It's super busy here but the views are beaut …
ta chee,5 stars,19 hours ago,N/A
이강현,4 stars,22 hours ago,N/A
Casidel Ocubillo,5 stars,a day ago,N/A
황윤재,4 stars,a day ago,N/A
daniel catamco,5 stars,a day ago,N/A
HyoSik Wee,5 stars,a day ago,If you are traveling in Cebu with child …
Anthony Sky,3 stars,2 days ago,Crowded
Ballard Family,5 stars,2 days ago,Feels like you are at the top of Cebu when you arrive. The garden is fully of colour and fun and views great.
Jenelyn Rosales,4 stars,2 days ago,"A lot has changed since I last visited in 2018. However, they might need to add access for senior citizens and PWDs."
Prince_B612 Little,3 stars,2 days ago,The road to Cebu City Tour …
Roy cobra,4 stars,2 days ago,N/A
Carlos Jones,5 stars,2 days ago,Nice place
Heena ramani,3 stars,3 days ago,N/A
Aname Gines,4 stars,3 days ago,Beautiful flower garden with difft. Kind.Looks good for the eyes and soul.
Romeo Paquio,5 stars,4 days ago,Beautiful experience
eddie solana,5 stars,4 days ago,Amazing place
Adrian Dziaduszek,5 stars,4 days ago,"Garden on the top hill near Cebu City. It makes the travel worthwhile. Many plants and man made attractions make this place a picture perfect place. It is known for its golden hand statue which You climb and take one of a kind photos.
Entrance fee is 70php per person which is a very good price for that attraction."
Ann,5 stars,4 days ago,Perfect
黒木義和,3 stars,4 days ago,vacation😎👍 …
Patrick Jhon Bustamante,5 stars,4 days ago,Perfect experience. You should try it too.
Joshua Alarcon,4 stars,4 days ago,The place is okay. The highlight is the two big hands. One thing to improve is the parking. Funny thing is there is a wheel clamp in the parking lot so good luck!
스텔라15,4 stars,4 days ago,It's worth going just thinking abo …
Jelou Sotto,5 stars,5 days ago,N/A
Raymond Casama,5 stars,5 days ago,N/A
Andrew Fitzgerald,5 stars,5 days ago,Beautiful gardens. Great view.
Solongo Batbold,5 stars,6 days ago,Ticket 100 Php per person. Pay at the entrance.
Furby Chang,5 stars,6 days ago,N/A
Shepard Ectin,5 stars,a week ago,Just make sure to pick the right angle
Brandon Ward,5 stars,a week ago,Beautiful sights and wonderful smells 👍 proposed here and it was worth everything 😊 …
hima parat,4 stars,a week ago,N/A
Veronica Sacro,5 stars,a week ago,N/A
Caloy Ruiz,5 stars,a week ago,N/A
Marco Gerninghaus,5 stars,a week ago,N/A
Nadaraja Raja,4 stars,a week ago,"A place to visit for tourists in cebu, wonderful garden with a team."
Clau Carpz,5 stars,a week ago,N/A
Dan Daniel Alvarez,5 stars,a week ago,What an amazing place to spend time with!
Precious Morton,5 stars,a week ago,N/A
Lavetta Freya Molos,5 stars,a week ago,Worth the visit. Had fun with my Malaysian friends!
Diana Rose Llanes,5 stars,a week ago,N/A
Zhel Arcega,5 stars,a week ago,Great for family bonding adventures. Instagramable sceneries for pictorial also.
Marie Cris Terado,5 stars,a week ago,N/A
Mark Anthony Santiago,5 stars,a week ago,Enjoying
Clark Dave Grampon,4 stars,a week ago,Beautiful place
amy d.,5 stars,a week ago,N/A
J Adrian Arriola Liwanag (Ian),5 stars,a week ago,Love it
JaRi Recommends,5 stars,a week ago,N/A
Hazel Dawn Patica,5 stars,a week ago,N/A
ferlyn curaraton,5 stars,a week ago,N/A
shinee fajardo,5 stars,a week ago,N/A
Eimear Murphy,5 stars,a week ago,Beautiful flowers
