review_user,review_rate,review_time,review_text
Kevin Mark,4 stars,3 months ago,"Update: they have ceased operations already.

We went here in 2017 and I must say that we had fun. I highly suggest that you …"
עינת גרוס,1 star,4 months ago,closed. There is no …
Leouel Jr Santos (Eleos Travel),5 stars,4 months ago,"Late review, but really had fun here.  unfortunately your not allowed to bring your own action cameras but they will take photos of you and give you certificates of completion after the experience."
Mary Rose Talatala,5 stars,4 months ago,N/A
Cate,5 stars,5 months ago,"Superb experience! Friendly guide, very funny 😂 Too bad we can't take the gopro or laptop... There is a photographer on site so that you can of course buy the photos afterwards. And that's what we did 😜 Be careful if you want to do the zipline you must not weigh more than 90-95kg 😂"
En & Lj,5 stars,5 months ago,N/A
Jel Mar,1 star,6 months ago,CLOSED. Don't waste time going here. They don't know when it will open.
Primož Kralj,3 stars,6 months ago,It's closed since Typhoon Odette in 2021 and they don't know if it will open again.
Shadi Adnan,4 stars,8 months ago,That’s the highest building in Cebu and there is nothing even close. Took the elevator up and we received the full training. We suited up got hooked and walked around the building on a very thin glass platform and did the zip line. Yes scary at first but a good adventure
Lada Nechaeva,4 stars,8 months ago,N/A
최고은,1 star,11 months ago,The door is c …
Bunty.sandhu4350@gmail.com Bunty,5 stars,11 months ago,Sat shri akala main Rajwinder kaur sky to apne husband da Visa lagwaya Canada da aj Visa aa gya thandwad sky walleye da
Mr Cla Rahsia,1 star,11 months ago,"Hoi. This place is closed.
Don't get yr hopes up. They still say open here but trust me it's shut down."
Diana Burgstaller,1 star,a year ago,Sadly the place is closed. We went all the way just to find out it shut down.
Med Jamz,4 stars,a year ago,"Breathtaking does not begin to describe my experience.  From the first class catapult to the luxury parachute, this was a glamorous experience. By the way, this is Paderic  not Med Jamz."
Ken Cheek,5 stars,a year ago,"Very helpful,nice people"
Morten Moen,4 stars,a year ago,One life time experiment
Yasmin Evangel Lao Aso,4 stars,a year ago,CLOSED as of this moment
Julmar Raandaan,5 stars,a year ago,"I like it here, the view is be …"
Robert Richardson,1 star,a year ago,"No open yet, still repairing from damaged by Typhoon Odette"
norle agustino,5 stars,a year ago,N/A
Charisse Ramientos,5 stars,a year ago,N/A
CJ Vincoy (Champoy),5 stars,a year ago,Ideal time to visit? Early morning and 5pm forward. You’ll be in awe to see the majestic view of the city and the heart pounding sky activities available. Not suitable for the weak heart though. 😅 …
Alvin Bayongasan,5 stars,a year ago,N/A
Piktal Wahab,4 stars,a year ago,N/A
Lorna Taril,5 stars,2 years ago,N/A
Bong Dedals,3 stars,2 years ago,N/A
Ian Jarabelo,5 stars,2 years ago,This place is awesome! Their rooms were very relaxing. The pool is cool and amazing.
Queen Ann Villaro,3 stars,2 years ago,N/A
樋口彰久（Akihisa Higuchi）,4 stars,2 years ago,The added thrill of whether or …
Vaibhav Vasani,3 stars,3 years ago,N/A
Evelyn Bateman,5 stars,3 years ago,N/A
Elizabeth,5 stars,3 years ago,Scary at first but it was an amazing experience!!
Mr. S,5 stars,3 years ago,I haven't been to school yet. I hope everyone ca …
Vladimir Simonov,5 stars,3 years ago,N/A
Amy Nguyen,5 stars,3 years ago,N/A
Reiji Clarkson Hamada (Reiji TV),5 stars,3 years ago,"Okay, let's go"
서미연,3 stars,3 years ago,It's not r …
Henry Maglasang,5 stars,3 years ago,N/A
裕凱黃,4 stars,3 years ago,N/A
Jan Ace Chan,5 stars,3 years ago,N/A
Надежда Бушуева,2 stars,3 years ago,"Everything is very slow, you wait for each attraction until you are blue in the face, so they also break. They forbid you to take pictures with your camera, they take away everything, gopro, phones .... Like we have our own photographer, …"
Gino Torre,5 stars,3 years ago,"Love it, my family enjoys a lot."
Jay Marie Pedrano,3 stars,3 years ago,N/A
Joey B,4 stars,3 years ago,Experience the beautiful view of cebu it's so breathtaking such a great place to take photos.
Kimberly Salvaña,4 stars,3 years ago,N/A
Gaurav Keshari,5 stars,3 years ago,N/A
陳Chan450316@gmail.com,1 star,3 years ago,T …
Dayana,3 stars,3 years ago,N/A
Who onE,4 stars,3 years ago,N/A
fredi berlan,5 stars,3 years ago,N/A
張浩耘,5 stars,3 years ago,"On the sky trail, there is only a safety rope to tie you up. You are stepping on a tra …"
Ron Akoto,5 stars,3 years ago,Ok
Dhenzkieboii Calunsod,5 stars,3 years ago,N/A
顏呈芳,4 stars,3 years ago,N/A
Сергей Мурин,4 stars,3 years ago,N/A
Julius Ofilanda,5 stars,3 years ago,Its so higggggggh....
oki ro (ニッキー),4 stars,3 years ago,N/A
Jeffrey Canton,4 stars,3 years ago,N/A
張廷,5 stars,3 years ago,N/A
Yi Wan,3 stars,3 years ago,When it was almost time for  …
Aashi Sharma,4 stars,3 years ago,"While being in Cebu, it's a must do activity. It will give you a thrilling and a new experience.
Edge coaster is really worth trying once. It will add some adrenaline rush to your experience."
4-ACE's&J Channel,4 stars,3 years ago,N/A
Vismin Lipardo,5 stars,3 years ago,N/A
Katrina Tamayo-Defiño,4 stars,3 years ago,Great
Kenneth Alcoseba,3 stars,3 years ago,N/A
Paul Singh,4 stars,3 years ago,N/A
河野裕一郎,5 stars,3 years ago,N/A
OKAWA KEITA,5 stars,3 years ago,"You can also get photo data.
Even people …"
Michal Kolínek,3 stars,3 years ago,"Visited just the observation deck. The view of the Cebu City is great, but as long as you are not into attractions too much, there is not much to do. In the evening there is at least the sky bar open."
Makki Makki,1 star,3 years ago,"Expensive, so many rules, not profesional photographer."
azinec28 ceniza,5 stars,3 years ago,N/A
邱品鳳,5 stars,3 years ago,N/A
Watson 花生 Lu,3 stars,3 years ago,"The scenery is very good, b …"
Scott Charlton,5 stars,3 years ago,N/A
Thanh dien nguyen,5 stars,3 years ago,Goog
Emmanuel Joseph A Aguirre,5 stars,3 years ago,N/A
Inna Grigorenko,5 stars,3 years ago,N/A
김첨지,5 stars,3 years ago,It's a shame to help out w …
키팅,3 stars,3 years ago,I rode the Edge Coaster for about 5 minutes ᆢ 600 pesos and they didn't let me tak …
Jakub,4 stars,3 years ago,N/A
台中房多多買房找阿璋（阿璋）,5 stars,3 years ago,fear  …
Wes Alvaro,5 stars,3 years ago,N/A
董繼方,5 stars,3 years ago,N/A
kittycat cupcake,5 stars,3 years ago,Love
鍾泰浤,3 stars,3 years ago,fi …
蔡俐君,5 stars,3 years ago,N/A
Hsiao Alan,4 stars,3 years ago,N/A
吳旭智,4 stars,3 years ago,"Adventure activities are considered high at local prices, …"
Avon Teng,3 stars,3 years ago,"The entrance fee is 250 pesos for the scenery, an …"
潘秀鳳,5 stars,3 years ago,N/A
詹文瑞,5 stars,3 years ago,N/A
chrysler 300c,4 stars,3 years ago,N/A
Bryan Yau,2 stars,3 years ago,Very rude staff & bad experience
Alvin Yeo,3 stars,3 years ago,Not worth going. Place is dirty and rundown. City 360 view..
Rachel Magno,5 stars,3 years ago,N/A
謝和政,5 stars,3 years ago,N/A
Niño Bonn Anino,5 stars,3 years ago,"If you want to experience adventure within a city, this place is perfect"
SHINUN PARK,5 stars,3 years ago,N/A
林Easton,4 stars,3 years ago,N/A
范陽治,5 stars,3 years ago,Both games are great. The transparen …
Karvika Jain,1 star,3 years ago,"Over rated, dont go by the pictured its unhygienic and sad."
Cheng yeh Wu,5 stars,3 years ago,N/A
Jonathan Corpus,5 stars,3 years ago,N/A
иʍ乛Bishnoi,4 stars,3 years ago,N/A
Lucie Kolínková,3 stars,3 years ago,N/A
Nur-adim Hadji Shalim,5 stars,3 years ago,N/A
minchen wu,5 stars,3 years ago,Really  …
Ken Chang,5 stars,3 years ago,N/A
顏永孝,4 stars,3 years ago,Coura …
Jinseok Kim,4 stars,3 years ago,"Enjoy skywalk and zipline on the roof of a 40-story building
It's worth enjoying at least once. First of all, if you enjoy the price combo, the price is cheap, and the view of C …"
Joy Policher,5 stars,3 years ago,N/A
昌輝,3 stars,3 years ago,N/A
NiNi Hung,4 stars,3 years ago,The only aerial rail  …
百成搬家貨運,4 stars,3 years ago,OK
Cryptominat,5 stars,3 years ago,"Great adventure, definitely recommended for adrenaline junkies"
Naomi,3 stars,3 years ago,"The ticketing hall is located on the 19th floor
Except SKY  …"
黃Bella,5 stars,3 years ago,N/A
Dennis Wu,5 stars,3 years ago,N/A
羅秋龍,5 stars,3 years ago,N/A
許珈銦,5 stars,3 years ago,N/A
Monisah Bantuas,1 star,3 years ago,"It's so expensive, but price not worth it...Better than anjo world if you're looking for adventure."
Keth Symon Loma,4 stars,3 years ago,Located at the heart of Cebu City - Queen City of the South. Very accessible to many restaurants and bars
Jhünax Gimenez,4 stars,3 years ago,N/A
Izzabelle Dollente,5 stars,3 years ago,N/A
M Corliss,5 stars,3 years ago,Great service and unique adventure!
Heksan Cabarrubias,5 stars,3 years ago,N/A
김홍연,4 stars,3 years ago,N/A
Ashley Lin,5 stars,3 years ago,"Nice view, fun ride"
李冠杰,5 stars,3 years ago,N/A
Bogdan IONESCU,3 stars,3 years ago,N/A
Michal “7myso7” Lutisan,5 stars,3 years ago,N/A
Sham Vishnu,4 stars,3 years ago,N/A
Zahra K,3 stars,3 years ago,N/A
Jhong Vergara,5 stars,3 years ago,Wow wow
Liza Odencio,5 stars,3 years ago,Good Experience 😘😍 …
yuki3 Taka3 (taka3),3 stars,3 years ago,N/A
Rafał Sulima,5 stars,3 years ago,WOW
Arlene bot,5 stars,3 years ago,N/A
Wendy Wang,4 stars,3 years ago,"We chose the edge coaster, which is a bit expensive, but the night  …"
jinhak lee,3 stars,3 years ago,N/A
Karmela M.,3 stars,3 years ago,Lots of adventure to choose from but it is pricey. Zipline is quite intimidating but very short compared to other ziplines from other ones I have tried.
유건희,5 stars,3 years ago,N/A
沅,4 stars,3 years ago,N/A
Nicca Carlos,5 stars,3 years ago,The kuya assistants are very accommodating!
滝本大輔,3 stars,3 years ago,N/A
Jovito Anito,2 stars,3 years ago,creepy place... place (waiting area) is not well lit. The staff openly asks for tips..
Thiam,5 stars,3 years ago,"You can do sky walk, zip line, …"
florian,5 stars,3 years ago,N/A
小帥熊,5 stars,3 years ago,N/A
DANARY LUMAPAC,5 stars,3 years ago,N/A
Wei siang Beh,3 stars,3 years ago,scen …
뒹굴뒹굴,3 stars,3 years ago,Just like tha …
Kuniko,5 stars,3 years ago,N/A
Marilou Nudalo,5 stars,3 years ago,N/A
劉小翰,5 stars,3 years ago,Cebu Skyw …
James,4 stars,3 years ago,N/A
陳長安,4 stars,3 years ago,N/A
허종인,5 stars,3 years ago,go at suns …
Jayson Soriano,5 stars,3 years ago,N/A
maria katrina nepomuceno,5 stars,3 years ago,N/A
Alicia Prilop,5 stars,3 years ago,N/A
Everything Nice,5 stars,3 years ago,N/A
hiroshi kamei,5 stars,3 years ago,N/A
jullene africa,5 stars,3 years ago,N/A
Mcro Calabia,5 stars,3 years ago,N/A
愷愷,5 stars,3 years ago,N/A
吳有煥,5 stars,3 years ago,N/A
Mohamed harbaoui,5 stars,3 years ago,"Great view people are lovely
On the 18th floor there is a pool table
Great we …"
Gilbert Liba,5 stars,3 years ago,N/A
Dee Dee,4 stars,3 years ago,N/A
Car Rental Cebu Selfdrive,5 stars,3 years ago,Awhsome
Marites Palarca,5 stars,3 years ago,Very relaxing. The view is amazing.
PING HAN TSAI,3 stars,3 years ago,N/A
aisa obusan,4 stars,3 years ago,N/A
Jonah Mendez,5 stars,3 years ago,N/A
多喝水,5 stars,3 years ago,N/A
