review_user,review_rate,review_time,review_text
G Sanders,5 stars,6 days ago,"Just back from another stay at Sumilon Island, Bluewater. I have been to beach resorts all over the Philippines and the world; this remains one of my favorites. …"
Michwel Fat,5 stars,a week ago,A very recommend for All tourest very approachable employees from the beginning until the end super satisfied
Krizzia Joanna Jayawon,4 stars,2 weeks ago,Definitely a go to destination for vacationing with family and friends!
Pietro Valsorable,5 stars,2 weeks ago,Nice sands
Jenny Vi,5 stars,2 weeks ago,Very relaxing place. Highly recommended
Joven Pascual,5 stars,2 weeks ago,N/A
Erljume Catipon,5 stars,2 weeks ago,beautiful⭐
Nish NZ,5 stars,2 weeks ago,N/A
BlueKid761 BG,5 stars,2 weeks ago,Nice
Davz Clair,5 stars,2 weeks ago,"The sand bar is beyond beautiful, sea water is turquoise crystal clear. You can can already get to the island in a speed boat with other tourists in a very affordable price. Worth it!"
delilah cion,5 stars,2 weeks ago,Love it!☺️
H2R Clifford,5 stars,2 weeks ago,N/A
Maureen Boldo,5 stars,2 weeks ago,N/A
decemie latar,3 stars,2 weeks ago,N/A
Jillian Catigan,5 stars,2 weeks ago,N/A
Jerry Flores,5 stars,2 weeks ago,Love it
Justine Kho,5 stars,2 weeks ago,N/A
Charlene Celo,5 stars,2 weeks ago,N/A
"MSg Mondero, 250 PAW",5 stars,2 weeks ago,N/A
Leah Veltan,5 stars,2 weeks ago,N/A
Charina Bedoña,5 stars,2 weeks ago,Love the place
Roy Divinagracia,5 stars,2 weeks ago,N/A
Chang Eudela,5 stars,3 weeks ago,N/A
Liezette Aballe,5 stars,3 weeks ago,Nice
Maricris Torrefranca,5 stars,3 weeks ago,N/A
Eldwin Raye Gaspar,5 stars,3 weeks ago,N/A
Anna Guillermo,5 stars,4 weeks ago,N/A
Rizza G,5 stars,4 weeks ago,prepare your swimsuits and let us explore sumilon island.
Joey Pontillas,5 stars,4 weeks ago,N/A
France Mariella Maninang,5 stars,4 weeks ago,N/A
