review_user,review_rate,review_time,review_text
eLLy Yumang,4 stars,36 minutes ago,"You can buy different kinds of dried goods
Like danggit, dried pusit, chorizo de Cebu and others."
MHARYOU TV,5 stars,3 hours ago,N/A
Pilar Lee,5 stars,5 hours ago,N/A
Nomer Ambe,5 stars,20 hours ago,N/A
Ray Dy,5 stars,21 hours ago,Hello there...you can find it here a different kinds of dried fish whether for your personal viand or a gift to your friends...
Jonathan Buscato,5 stars,a day ago,not congested public market
Mayeit Guinto,5 stars,a day ago,tourist spot for buwad
Lightning Ridge,1 star,a day ago,stalls outside are higher in price of sried fish compared to supermarkets inside stalls
Bea Limatoc,4 stars,2 days ago,N/A
Dino Batain,4 stars,2 days ago,"If you're looking for a great place to buy pasalubong for your family or friends, then this marketplace is an excellent choice. They offer high-quality dried fish and a variety of Filipino desserts. Although the market's cleanliness might not be perfect, it's still a good market overall."
Gernie Lastimosa,4 stars,3 days ago,N/A
Alvin Valdez,5 stars,4 days ago,"Cheap prices, quality foods and friendly locals."
Neil Gonzales,5 stars,4 days ago,The go to place for dried fish and other pasalubongs
Cresente Lauronilla,5 stars,5 days ago,N/A
jhei bhadz,5 stars,5 days ago,N/A
Carlos Jones,5 stars,5 days ago,Open until 9pm for those buying dried squid and danggit. They can accommodate any amount per pack.
Sonj Abadillz,5 stars,6 days ago,"one of a kind.
where you can find local dried fishes good for pasalubong."
iahnel gacayan,5 stars,6 days ago,Dried fish are sold here. Most expensive and cheap.
Maria Socorro Reyes,5 stars,a week ago,Excellent
Leavel Nelson,5 stars,a week ago,N/A
Jay Lord Peligrin,4 stars,a week ago,N/A
Jofer Semontiza,5 stars,a week ago,N/A
anne corpuz,4 stars,a week ago,The vegetables and dried fish are very affordable
Richard Manto,5 stars,a week ago,Nice
jilyn chan,4 stars,a week ago,Good
Mary Ann Lendio,5 stars,a week ago,N/A
Jhonatan Padit,4 stars,a week ago,It's easy to buy there but not everyone accepts e-wallet payment
Eliza Lecera,1 star,a week ago,N/A
Richard Tiocson,5 stars,a week ago,N/A
Kyle Kenneth Bihag Larase,4 stars,a week ago,N/A
Jay Van Dalisay,3 stars,a week ago,N/A
Blueberry Blue,4 stars,a week ago,Good price.
Regina CMC,5 stars,a week ago,"BEST place to go for pasalubong. For dried mangoes and dried fish, go further inside the market for cheaper rates. For Cebu shirts and paraphernalia, go across the street 2nd floor for better choices"
Glaiza Gonzales,4 stars,a week ago,"A lot of dried fishes to choose from and other pasalubong items can be bought here too (piyaya, dried mangoes, etc.) …"
yi li,5 stars,a week ago,good place
Bala SP,5 stars,a week ago,A place to get all your dried goods and snacks.
philipp Cabiles,5 stars,a week ago,N/A
DIERF DARYL LUSPO,5 stars,a week ago,N/A
